city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
bahia,23.15,16.59,9.87,3.7,24.06,15.48,54.68,44.78
ate 5.000 ,31.75,25.85,10.49,4.43,33.03,24.27,67.09,58.6
aiquara,32.64,23.76,12.82,3.58,34.89,22.62,65.59,55.66
catolandia,32.45,25.71,10.99,6.99,37.1,23.73,67.08,53.83
contendas do sincora,30.45,26.72,9.73,2.92,30.68,26.03,60.89,58.0
dom macedo costa,28.38,20.79,5.98,2.39,29.76,18.57,61.57,51.83
gaviao,28.32,26.26,8.53,3.88,28.86,24.86,65.02,59.94
ibiquera,34.51,30.19,13.14,8.42,38.47,29.55,68.86,62.4
lafaiete coutinho,34.86,26.84,11.96,1.7,35.3,23.99,75.1,64.88
lajedao,35.81,24.18,12.7,3.64,34.03,20.26,74.71,60.11
lajedinho,30.12,27.58,11.06,6.78,31.88,27.99,64.86,58.25
de 5.001 a 10.000 ,31.92,25.92,11.92,4.92,34.15,24.83,66.18,60.15
abaira,23.89,19.45,4.91,2.28,21.88,14.96,55.19,44.93
almadina,34.62,31.82,12.27,7.83,38.99,30.57,66.59,65.12
apuarema,36.54,31.03,13.2,6.51,41,32.19,76.32,71.82
aratuipe,35.77,24.62,17.65,7.39,40.78,26.18,62.94,55.07
barra do rocha,39.32,26.79,16.17,6.38,47.4,26.83,70.77,61.95
barro preto,30.04,26.31,12.59,6.16,33.29,27.12,61.33,54.77
canapolis,35.44,30.9,13.24,4.37,39.15,31.6,71.68,68.63
candeal,31.94,25.73,13.16,4.63,33.31,23.52,66.29,56.94
cardeal da silva,31.92,23.01,13.1,5.06,37.58,25.44,66.26,58.13
caturama,33.55,27.88,8.97,4.44,37.8,26.03,71.32,65.34
cordeiros,38.96,25.55,10.54,2.17,43.66,22.57,78.85,64.88
cravolandia,33.24,27.78,9.16,3.31,37.1,27.12,76.06,69.64
elisio medrado,29.61,25.43,7.38,3.4,30.01,22.45,61.93,56.88
feira da mata,29.64,22.41,9.1,3.23,32.44,21.18,69.29,56.13
firmino alves,34.47,23.37,11.29,3.75,37.3,21.26,69.08,59.19
gongogi,38.81,28.44,17.45,5.52,42.54,29.74,76.82,65.54
ibirapua,30.62,23.34,7.68,3.4,30.68,20.75,67.52,57.42
ichu,20.41,14.24,6.56,2.82,18.48,10.88,54,40.62
ipupiara,18.59,15.88,3.7,2.1,16.62,13.33,45.26,37.83
irajuba,38.76,27.82,15.93,5.96,39.18,26.0,76.11,63.78
itagimirim,30.01,27.88,11.26,5.05,32.66,24.64,65.81,69.28
itaju do colonia,33.53,25.65,14.58,6.0,37.83,24.62,67.52,60.07
itamari,35.56,28.21,17.96,6.88,39.4,27.96,67.91,61.39
itanagra,32.22,24.6,12.2,5.89,38.27,27.23,65.04,62.31
itaquara,38.98,33.75,15.56,5.61,41.49,36.84,74.91,69.15
jaborandi,37.14,25.55,14.41,3.89,42.39,24.16,77.28,65.55
jussari,27.96,29.47,8.12,6.99,31.88,29.89,59.06,59.35
jussiape,21.07,25.25,5.18,3.85,19.05,21.21,54.07,54.15
lajedo do tabocal,34.56,29.29,12.44,3.88,37.87,29.02,73.52,68.79
lamarao,35.1,32.78,16.4,9.19,37.07,33.7,70.08,66.27
macurure,29.28,25.77,12.11,6.04,29.03,24.16,61.76,58.5
maetinga,39.79,32.92,14.93,4.5,43.87,28.82,79.21,73.33
maiquinique,33.77,26.79,11.82,4.22,36.08,25.24,72.93,67.28
malhada de pedras,32.33,26.13,7.06,3.16,35.6,23.35,71.64,65.0
morpara,33.14,27.62,10.18,6.89,34.66,25.24,67.38,60.82
muniz ferreira,30.25,22.54,9.04,3.92,32.91,21.18,72.77,56.21
nova fatima,28.78,23.62,11.36,3.42,29.9,21.43,63.88,56.6
nova ibia,33.19,29.01,13.09,5.08,38.08,30.29,67.4,67.59
nova itarana,35.58,30.56,13.01,5.72,39.91,33.54,68.83,67.17
nova redencao,37,27.15,16.86,5.59,41.74,25.69,71.72,65.63
ouricangas,35.52,26.9,12.04,4.23,36.73,27.12,73.43,65.29
palmeiras,23.32,17.81,9.27,3.6,23.38,14.99,47.94,48.16
pedrao,29.07,21.88,7.55,4.25,27.51,17.25,66.12,57.62
pirai do norte,36.39,26.18,20.87,8.37,40.11,28.35,68.8,61.16
planaltino,45.96,32.31,20.31,4.95,50.23,33.01,81.37,73.89
potiragua,35.48,22.35,17.52,3.19,40.14,21.72,69.53,59.46
quixabeira,34.45,30.78,12.46,5.14,36.23,29.41,74.73,67.82
ribeirao do largo,43.27,30.95,20.79,5.91,51.21,33.53,78.95,66.3
rodelas,25.44,22.2,12.87,7.45,25.88,22.82,54.65,49.27
santa cruz da vitoria,36.03,24.61,13.28,5.68,38.84,21.4,73.85,65.94
santa teresinha,37.84,25.36,16.22,3.71,38.28,22.72,68.82,58.17
santanopolis,31,24.27,9.46,4.82,32.13,21.55,63.98,55.61
sao domingos,25.25,22.14,6.44,2.67,26.68,18.46,64.26,57.04
sao jose da vitoria,32.05,28.08,10.94,5.49,35.68,29.33,65.35,58.63
tanquinho,24.51,19.58,9.65,4.07,23.91,18.3,56.68,43.64
teodoro sampaio,29.4,22.95,13.02,6.88,29.7,20.84,61.27,52.62
varzea do poco,27.1,23.7,10.03,4.36,26.72,21.99,58.11,53.8
varzedo,29.85,26.23,11.95,3.93,29.98,25.1,63.07,60.1
vereda,39.4,30.88,13.93,5.26,42.18,27.62,75.88,73.24
wagner,29.09,21.58,11.28,3.18,31.83,21.48,61.13,53.06
de 10.001 a 20.000 ,33.45,25.32,13.83,4.85,36.55,25.02,67.45,59.39
abare,33.06,26.85,17.81,7.98,37.15,29.22,56.51,55.52
acajutiba,30.38,22.3,13.52,6.17,30.41,20.41,63.03,52.61
adustina,45.5,35.53,23.96,6.49,51.88,40.64,69.69,69.49
agua fria,40,27.26,17.28,4.92,43.5,26.92,74.47,61.34
america dourada,31.12,27.53,16.05,6.2,34.11,29.18,60.9,60.32
andarai,35.76,26.56,16.17,5.76,40.02,28.26,69.75,59.96
andorinha,39.59,25.71,17.49,4.04,42.09,25.62,71.86,59.09
angical,31.82,24.55,12.32,3.09,36.95,25.11,61.58,55.9
anguera,26.19,23.13,7.4,3.27,26.27,18.82,62.66,61.9
antas,29.68,28.33,11.19,5.3,30.73,29.04,57.31,57.03
antonio cardoso,34.33,29.07,10,4.9,36.94,29.64,74.47,68.17
antonio goncalves,28.5,19.72,14.44,4.49,28.61,18.21,59.12,48.31
apora,38.22,27.81,18.26,5.24,40.01,28.44,67.71,57.17
aracas,31.44,23.15,9.48,3.68,37.03,25.2,76.12,68.03
aracatu,41.29,29.38,14.11,3.25,47.2,28.6,77.81,65.99
aramari,31.99,19.58,15.48,5.34,33.09,17.35,68.4,54.83
arataca,40.62,31.58,18.4,7.72,47.2,34.45,68.54,62.39
aurelino leal,37.04,26.72,15.77,5.68,43.96,28.47,71.31,61.54
baianopolis,41.66,30.62,17.91,4.73,47.44,32.32,80.35,66.25
banzae,35.6,26.34,16.58,4.54,38.17,25.37,67.14,62.94
barra do mendes,19.45,14.75,4.53,2.34,19,10.51,50.93,40.28
barro alto,22.17,18.21,5.32,2.3,22.72,15.91,54.32,49.49
barrocas,-,19.7,-,3.9,-,19.88,-,53.08
belo campo,33.39,26.12,11.63,4.73,36.1,23.99,69.59,61.36
biritinga,36.23,26.14,18.94,6.42,38.46,25.85,65.36,58.48
boa nova,43.24,31.7,20.71,5.12,46.82,31.16,77.01,69.28
boa vista do tupim,34.87,30.31,13.03,6.59,38.36,31.14,73.89,68.62
bom jesus da serra,37.39,27.15,14.94,4.24,41.74,25.81,76.43,66.19
boninal,28.7,22.02,7.86,3.1,28.8,18.72,63.81,57.7
bonito,26.79,20.32,13.27,3.38,30.5,22.87,63.71,57.1
botupora,32.05,26.26,11.35,4.9,35.99,26.34,62.65,58.04
brejoes,31,24.22,10.42,3.01,34.58,23.86,66.4,62.49
brejolandia,29.51,26.3,8.61,4.9,32.88,25.11,63.56,58.86
brotas de macaubas,25.68,21.22,6.87,4.01,24.61,18.56,53.12,43.57
buerarema,30.41,23.1,13.65,4.9,32.72,22.5,57.47,50.42
buritirama,35.86,26.03,18.37,5.61,40.79,29.32,71.05,63.01
caatiba,32.42,30.0,8.58,6.94,37.86,28.76,83.35,74.59
cabaceiras do paraguacu,37.18,26.48,15.73,5.34,42.13,27.58,72.68,66.67
caem,32.77,25.2,13.71,4.5,35.27,25.52,66.28,54.51
caetanos,38.63,27.04,12.29,3.34,45.17,25.33,78.76,70.15
cafarnaum,29.47,21.82,13.74,5.64,31.46,20.94,62.93,56.74
cairu,28.59,15.61,17.25,3.91,31.3,17.27,52.34,42.52
caldeirao grande,32.45,29.26,13.54,7.28,35.15,30.82,64.72,60.22
candiba,32.17,25.56,7.38,4.01,33.98,23.46,69.66,62.77
canudos,32.17,25.24,14.57,4.8,33.04,25.46,67.12,57.06
capela do alto alegre,37.07,27.98,13.3,3.63,39.05,25.04,72.2,62.73
caraibas,38.73,32.87,13.29,3.89,43.39,31.62,77.21,68.13
central,26.86,20.01,11.78,4.57,28.75,18.49,55.55,47.0
chorrocho,32.13,28.38,16.53,9.02,32.25,28.15,61.89,58.35
cipo,30.24,23.88,16,6.51,31.82,23.98,58.68,54.36
cocos,33.87,24.85,13.12,3.7,36.49,24.08,70.71,60.53
conceicao do almeida,30.33,20.43,8.72,3.07,29.99,17.5,68.82,55.73
condeuba,35.86,27.24,9.7,3.07,38.51,22.78,74.66,65.1
coribe,32.86,28.37,12.41,4.1,36.3,26.8,69.73,66.07
coronel joao sa,54.91,39.29,31.79,7.35,62.41,45.77,84.64,74.68
cotegipe,38.46,29.84,16.16,5.75,45.52,32.87,68.35,65.34
cristopolis,37.91,30.2,13.82,4.74,45.74,31.8,71.8,67.15
dario meira,44.34,34.07,23.53,10.31,51,35.32,77.8,71.19
dom basilio,28.8,23.79,9.64,4.52,28.81,21.85,66.91,59.56
erico cardoso,44.87,30.27,21.25,5.54,48.21,29.76,76.66,65.32
fatima,43.94,35.12,19.61,5.35,48.74,38.5,75.25,71.06
filadelfia,31.38,22.52,12.57,3.95,35.14,22.8,65.02,50.65
floresta azul,32.05,28.97,11.38,8.01,33.79,27.24,66.64,59.61
gentio do ouro,30.78,25.44,11.54,6.19,31.02,22.9,60.69,56.98
gloria,35.47,28.1,15.38,7.05,38.68,29.8,70.62,59.33
governador mangabeira,25.29,17.45,8.16,3.22,27.7,15.84,62.73,50.76
guajeru,35.96,29.93,10.46,3.25,39.34,28.22,75.13,68.44
heliopolis,41.25,31.96,20.92,4.96,45.04,34.4,68.71,65.76
ibiassuce,29.34,21.05,8.32,2.36,30.56,17.5,65.63,54.5
ibicoara,28.29,16.39,11.02,2.51,31.04,17.9,66.48,57.09
ibicui,34.48,25.52,13.06,5.15,37.85,23.71,65.47,58.85
ibipeba,20.3,18.26,6.66,3.85,20.89,16.54,50.62,46.2
ibipitanga,38.54,28.1,15.36,5.45,41.74,26.82,73,62.91
ibirataia,31.71,28.88,12.68,5.88,35.59,28.63,66.34,63.45
ibitiara,27.28,23.22,9.4,3.81,26.52,20.35,58.79,55.19
ibitita,25.97,22.73,10.43,4.07,27.85,22.31,53.77,50.98
igapora,29.8,20.39,9.1,2.7,32.53,19.29,63.31,51.41
igrapiuna,38.8,24.49,22.01,5.06,44.72,27.78,69.8,61.36
ipecaeta,32.91,26.23,11.65,4.57,34.5,25.98,73.91,60.66
iramaia,29.48,24.32,9.78,4.28,31.36,23.64,71.08,60.71
itaete,37.85,26.32,13.39,3.89,42.31,27.1,75.95,62.58
itagi,36.47,30.77,14.03,4.79,39.94,30.94,73.07,66.24
itagiba,35.55,26.51,13.79,5.19,39.84,25.38,72.51,63.05
itaguacu da bahia,34.92,28.72,17.93,7.06,39.42,31.7,62.34,60.74
itape,29.58,23.21,10.68,6.0,32.73,22.98,63.49,50.88
itapebi,36.96,29.64,18.48,6.43,42.24,30.8,67.26,65.41
itapitanga,37.14,25.68,18.87,5.04,40.62,25.33,69.95,62.25
itarantim,27.15,23.03,8.05,4.09,27.55,20.62,65.54,58.9
itatim,30.96,23.32,14.98,5.12,32.56,23.98,63.57,56.95
itirucu,31.65,24.52,12.2,3.98,34.48,23.87,61.36,54.83
itororo,31.8,24.37,10.95,4.44,33.64,22.15,66.39,57.46
ituacu,37.82,25.8,18.25,5.23,39.86,24.52,70.22,61.47
iuiu,37.58,25.99,19.95,5.42,41.49,28.22,72.99,66.09
jacaraci,33.54,25.82,8.39,1.79,35.32,21.48,71.79,66.0
jaguaripe,37.03,28.35,19.73,7.71,42.74,31.14,63.09,58.77
jandaira,40.28,27.29,21.99,5.74,45.67,28.77,68.08,66.39
jiquirica,35.47,22.6,13.23,3.51,40.23,22.37,70.06,58.45
jitauna,35.1,29.72,11.63,4.45,38.55,30.14,76.18,66.42
jucurucu,44.69,32.04,18.64,6.69,52.2,31.72,83.37,73.53
jussara,33.59,25.8,16.54,6.53,37.23,25.38,65.53,58.25
lagoa real,39.13,23.83,14.94,3.93,44.38,24.74,74.09,58.12
lencois,28.53,18.68,14.66,4.61,29.51,19.07,62.23,50.47
licinio de almeida,28.61,22.93,5.09,1.85,28.39,17.88,71.75,64.86
macajuba,34.04,27.76,13.69,5.83,35.22,25.76,69.48,62.55
macarani,36.47,27.5,11.73,3.92,40.03,26.98,73.46,69.36
madre de deus,8.73,5.26,3.46,1.45,8.48,4.43,30.64,20.0
mairi,30.96,24.11,11.87,5.53,33.31,23.87,58.36,48.72
malhada,37.54,24.32,16.68,4.47,44.93,26.43,74.43,63.05
manoel vitorino,39.78,27.81,17.24,4.9,43.59,26.53,77.73,65.59
mansidao,22.66,17.55,6.35,3.29,25.08,16.89,58.21,49.8
marau,45.82,25.44,27.31,9.48,52.71,28.32,68.15,49.38
marcionilio souza,34.72,30.64,12.11,5.42,37.74,31.38,75.47,72.75
mascote,36.28,30.6,15,6.19,41.37,32.07,67.31,61.8
matina,40.77,31.91,16.54,4.79,46.48,34.79,77.58,73.36
milagres,27.51,22.25,9.73,4.73,28.55,19.68,65.76,56.81
mirangaba,29.96,25.32,12.58,5.08,32.6,26.27,61.35,56.16
mirante,35.51,30.18,15.93,4.9,41.25,28.7,73.49,71.72
mortugaba,30.95,26.48,6.29,3.3,31.81,22.56,70.95,63.92
mucuge,33.9,19.85,10.83,3.28,37.55,19.13,72.2,52.05
mulungu do morro,27.92,20.41,10.51,4.13,32.12,19.4,65.66,60.1
muquem de sao francisco,36.2,25.24,14.53,4.99,44.04,27.42,70.85,64.15
nilo pecanha,33.49,26.29,18.17,7.81,36.72,27.83,63.12,59.91
nordestina,38.27,29.46,15.83,4.28,42.88,30.94,70.07,63.75
nova canaa,37.94,31.43,16.16,6.15,40.01,29.3,72.18,66.0
novo horizonte,28.19,21.94,9.52,4.97,28.17,19.6,57.26,52.47
novo triunfo,34.77,23.29,8.18,5.21,39.34,22.4,74.8,61.79
ourolandia,41.13,27.85,24,5.92,48.36,30.75,66.67,59.16
pau brasil,36.19,28.19,15.38,5.73,41.48,28.66,66.81,63.8
pe de serra,28.85,24.37,9.37,3.45,30.45,22.8,64.34,57.97
pedro alexandre,48.71,40.96,31.15,15.24,54.62,47.48,76.06,76.33
piata,28.77,23.74,9.2,3.1,29.09,21.35,61.26,54.98
pindai,32,23.8,9.89,3.09,35.8,22.97,68.29,59.21
pintadas,32.11,24.1,11.64,3.15,34.56,21.49,69.37,60.81
piripa,36.41,25.41,7.22,2.78,39.39,21.03,85.22,66.58
ponto novo,34.35,25.44,12.72,6.09,40.05,24.41,68.53,61.1
presidente dutra,22.07,15.41,7.73,3.3,23.53,14.1,51.86,38.59
