city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
bahia,37.4,47.68,38.16,38.14,24.43,14.17
ate 5.000 ,10.27,21.29,43.89,47.55,45.83,31.16
aiquara,43.5,55.92,14.03,15.38,42.48,28.7
catolandia,0.87,2.11,66.04,69.3,33.09,28.59
contendas do sincora,0.92,10.83,68.73,59.45,30.35,29.72
dom macedo costa,3.63,6.53,30.36,47.92,66.01,45.55
gaviao,34.69,10.85,20.02,57.12,45.3,32.03
ibiquera,0.55,1.64,49.22,57.07,50.23,41.29
lafaiete coutinho,23.51,32.42,31.97,48.43,44.52,19.15
lajedao,0.31,44.28,63,45.35,36.69,10.37
lajedinho,11.12,20.2,30.76,35.1,58.12,44.7
de 5.001 a 10.000 ,17.11,27.56,44.16,47.12,38.73,25.32
abaira,2.05,12.39,86.59,79.56,11.35,8.04
almadina,57.08,68.03,17.06,15.71,25.87,16.27
apuarema,25.98,38.68,31.01,36.5,43.02,24.82
aratuipe,9.08,20.6,43.24,43.9,47.68,35.5
barra do rocha,29.21,45.94,12.03,23.53,58.75,30.53
barro preto,45.46,68.25,21.6,12.95,32.94,18.79
canapolis,2.08,19.22,60.38,64.11,37.54,16.67
candeal,10.82,0.59,35.44,49.43,53.74,49.98
cardeal da silva,20.83,12.76,49.4,63.71,29.77,23.54
caturama,6.47,16.51,41.57,43.28,51.96,40.21
cordeiros,0.11,0.27,56.18,70.42,43.72,29.31
cravolandia,21.25,56.08,48.55,22.95,30.2,20.97
elisio medrado,0.29,0.55,64.5,79.83,35.22,19.62
feira da mata,0.82,1.78,51.95,57.63,47.23,40.59
firmino alves,48.19,55.87,34.59,35.83,17.22,8.3
gongogi,34.92,57.3,31.2,20.88,33.87,21.82
ibirapua,29.2,44.78,29.94,27.63,40.87,27.59
ichu,39.1,0.32,32.09,72.93,28.81,26.75
ipupiara,0.14,1.68,83.44,82.93,16.42,15.38
irajuba,-,2.79,51.01,63.56,48.99,33.65
itagimirim,54.21,72.44,30.87,15.28,14.91,12.28
itaju do colonia,42.49,63.38,27.75,18.19,29.76,18.42
itamari,5.86,37.66,36.69,42.35,57.45,19.98
itanagra,1.27,19.02,50.88,52.09,47.85,28.9
itaquara,31.59,54.5,35.64,25.09,32.77,20.41
jaborandi,17.66,30.56,30.64,45.75,51.7,23.68
jussari,54.78,65.32,23.7,21.24,21.52,13.44
jussiape,4.19,13.81,64.96,74.06,30.86,12.13
lajedo do tabocal,0.38,0.62,72.38,83.5,27.24,15.88
lamarao,8.43,15.7,17.13,23.9,74.44,60.4
macurure,-,0.33,38.54,53.72,61.46,45.95
maetinga,9.64,24.57,12.77,29.41,77.59,46.01
maiquinique,58.65,71.19,17.63,8.41,23.72,20.41
malhada de pedras,3.75,9.38,25.39,36.81,70.86,53.8
morpara,0.43,3.26,70.31,65.15,29.26,31.59
muniz ferreira,0.12,19.39,44.98,54.11,54.9,26.5
nova fatima,36.7,60.59,28.86,27.82,34.45,11.59
nova ibia,29.52,33.09,11.44,11.52,59.04,55.39
nova itarana,4.44,2.67,46.97,82.16,48.59,15.17
nova redencao,0.63,5.38,63.29,75.47,36.08,19.15
ouricangas,2.77,14.03,51.88,78.78,45.35,7.2
palmeiras,2.8,27.41,68.66,63.54,28.55,9.05
pedrao,2.76,1.81,22.04,35.96,75.19,62.23
