city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
ceara,27.97,38.89,43.52,46.19,28.5,14.92
ate 5.000 ,0.19,33.15,53.06,46.01,46.75,20.83
granjeiro,4.21,21.43,22.04,49.36,73.75,29.21
guaramiranga,13.26,46.09,31.32,42.32,55.43,11.59
de 5.001 a 10.000 ,8.64,14.35,39.82,59.49,51.54,26.16
altaneira,2.13,14.22,62.57,80.47,35.31,5.31
antonina do norte,12.14,36.06,54.08,43.86,33.78,20.08
arneiroz,4.97,23.75,26.3,40.46,68.72,35.79
baixio,1.55,1.34,44.93,65.36,53.52,33.29
catunda,0.09,1.16,47.35,59.96,52.55,38.88
deputado irapuan pinheiro,0.05,1.77,31.84,75.45,68.11,22.77
erere,21.56,13.9,22.49,59.68,55.95,26.42
general sampaio,0.19,3.68,53.06,77.66,46.75,18.66
itaicaba,3.38,2.01,75.36,89.19,21.26,8.8
jati,0.75,16.09,51.84,56.63,47.42,27.28
moraujo,0.7,3.02,52.99,65.06,46.31,31.92
pacuja,32.67,46.26,28.27,25.9,39.06,27.84
palhano,25.51,15.59,31.5,57.95,42.99,26.46
penaforte,31.25,52.25,24.05,27.61,44.7,20.14
potiretama,0.65,0.76,38.9,57.77,60.45,41.47
sao joao do jaguaribe,19.93,22.92,48.72,73.08,31.34,4.0
senador sa,10.83,6.09,58.26,72.81,30.92,21.11
tarrafas,0.37,1.77,22.43,45.98,77.2,52.25
umari,13.86,13.36,30.1,51.55,56.05,35.08
de 10.001 a 20.000 ,6.15,11.19,42.03,59.73,51.82,29.08
abaiara,0.2,3.27,28.75,64.4,71.05,32.33
acarape,1.59,26.7,58.79,61.28,39.62,12.02
aiuaba,0.06,8.4,35.39,48.4,64.55,43.2
alcantaras,6.27,20.55,21.02,32.82,72.71,46.63
alto santo,12.81,10.6,27.54,61.04,59.65,28.36
apuiares,2.22,2.52,64.41,80.02,33.38,17.46
ararenda,-,9.08,39.45,71.34,60.55,19.57
aratuba,5.66,17.84,42.66,50.76,51.68,31.4
banabuiu,2.78,16.92,45.3,52.84,51.92,30.24
barreira,0.07,11.84,28.49,57.18,71.44,30.98
barroquinha,0.1,12.57,49.48,60.84,50.42,26.59
capistrano,12.08,5.64,29.97,58.05,57.95,36.3
carire,1.82,5.17,45.61,71.27,52.57,23.56
carius,1.08,4.5,35.75,60.27,63.17,35.22
carnaubal,0.14,2.41,58.79,71.02,41.07,26.58
catarina,1.05,18.29,45.2,39.68,53.75,42.03
chaval,0.62,6.72,30.63,66.01,68.76,27.27
choro,1.01,3.67,18.84,36.21,80.16,60.13
chorozinho,0.07,1.14,39.93,68.49,60,30.37
croata,6.97,21.56,39.38,73.93,53.65,4.51
farias brito,0.87,8.71,50.36,63.9,48.77,27.39
fortim,0.43,1.06,50.69,79.89,48.88,19.05
frecheirinha,2.17,12.33,52.86,62.44,44.98,25.23
graca,0.32,5.99,31.36,52.88,68.32,41.13
groairas,12.51,27.28,52.78,59.75,34.71,12.96
hidrolandia,2.08,5.65,43.48,63.52,54.44,30.83
ibaretama,0.42,2.0,22.94,35.98,76.63,62.02
ibicuitinga,11.86,15.47,45.3,61.1,42.84,23.44
icapui,1.03,10.3,86.06,84.11,12.91,5.59
ipaporanga,0.14,0.43,33.18,80.05,66.68,19.52
ipaumirim,17.61,16.24,40.37,53.79,42.03,29.97
iracema,32.68,21.99,41.63,60.77,25.69,17.24
itapiuna,8.21,10.89,49.63,51.43,42.16,37.68
itatira,0.44,4.89,25.3,51.35,74.26,43.76
jaguaretama,20.84,5.23,40.87,57.57,38.28,37.19
jaguaribara,2.44,56.25,42.46,32.05,55.1,11.69
jijoca de jericoacoara,6.09,12.45,32.05,59.4,61.86,28.15
madalena,1.88,9.81,40.82,61.93,57.3,28.26
martinopole,24.27,2.7,46.91,80.67,28.82,16.63
meruoca,4.55,7.21,33.16,52.6,62.3,40.19
milha,0.31,19.52,43.23,51.45,56.46,29.03
miraima,9.74,10.87,43.88,58.14,46.38,30.99
monsenhor tabosa,0.43,6.02,47.76,64.23,51.81,29.74
mucambo,0.45,17.11,47.05,56.53,52.5,26.36
mulungu,9.17,17.86,30.53,51.64,60.3,30.5
nova olinda,25.25,37.91,33.25,42.1,41.5,19.99
pacoti,11.94,31.99,27.41,50.39,60.65,17.62
palmacia,0.58,12.78,39.54,48.8,59.88,38.42
paramoti,1.3,9.97,37.35,56.21,61.34,33.82
pereiro,0.49,12.29,35.34,58.31,64.16,29.4
pindoretama,0.09,0.6,50.01,70.79,49.9,28.61
piquet carneiro,33.26,3.16,24.79,63.08,41.95,33.76
pires ferreira,0.14,0.86,35.53,64.81,64.33,34.33
