city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
espirito santo,11.67,8.13,2.98,1.39,10.99,6.44,37.26,27.62
ate 5.000 ,20,15.18,6.82,1.98,20.49,14.46,48.68,42.22
divino de sao lourenco,20,15.18,6.82,1.98,20.49,14.46,48.68,42.22
de 5.001 a 10.000 ,19.87,15.07,5.28,2.07,19.63,12.64,50.52,42.87
aguia branca,19.45,14.83,3.6,1.74,20.27,12.06,52.07,44.71
alto rio novo,22.48,17.01,5.85,1.61,23.88,15.51,57.46,46.15
apiaca,18.66,15.25,4.95,1.78,18.37,12.77,40.73,37.67
atilio vivacqua,15.16,10.46,4.28,1.43,13.51,8.6,43.83,32.03
bom jesus do norte,12.46,9.15,2.89,1.56,11.08,6.67,32.34,26.84
dores do rio preto,21.39,17.59,7.1,3.03,21.39,16.23,51.96,46.97
ibitirama,25.74,19.04,11.64,4.38,27.59,19.03,57.1,46.44
mucurici,26.19,19.87,5.27,2.68,26.42,15.57,70.46,56.84
ponto belo,25.31,21.69,3.07,2.03,24.45,16.28,68.56,64.03
sao domingos do norte,17.18,12.11,3.61,1.6,16.98,9.52,44.24,36.79
vila pavao,20.23,14.23,3.49,1.29,20.02,11.49,58.32,47.34
de 10.001 a 20.000 ,16.81,12.55,4.51,1.86,16.39,10.18,45.72,36.55
agua doce do norte,26.19,20,6.53,3.06,27.35,16.95,64.56,52.72
alfredo chaves,12.38,7.89,2.81,0.96,11.18,5.92,35.2,22.77
boa esperanca,19.72,16.51,3.74,2.07,19.18,13.4,60.57,53.24
brejetuba,23.03,18.93,9.33,3.22,27.02,19.75,58.91,54.48
conceicao do castelo,17.32,12.1,4.04,1.87,16.81,10.31,48.52,33.43
fundao,13.29,9.5,4.05,1.17,12.11,7.95,36.15,27.11
governador lindenberg,-,11.39,-,1.56,-,8.45,-,37.88
ibiracu,13.05,8.1,2.76,1.57,12.08,5.79,40.77,28.01
iconha,11.7,8.28,2.21,1.13,10.03,5.55,39.48,29.98
irupi,22.58,18.86,6.52,2.14,24.1,17.69,59.95,52.66
itaguacu,15.46,13.42,3.54,1.46,13.53,10.1,41.53,35.69
itarana,13.9,10.05,3.75,1.07,11.48,7.07,40.73,29.67
jeronimo monteiro,16.54,13.11,4.48,2.32,14.58,9.91,41.73,35.46
joao neiva,11.47,7.71,1.4,1.23,9.59,5.09,37.86,26.36
laranja da terra,17.3,13.21,2.76,0.96,15.77,7.86,47.32,41.83
mantenopolis,22.95,18.61,6.46,2.81,23.01,15.86,56.15,48.72
marechal floriano,13.88,9.61,3.28,1.22,13.76,7.69,36.05,30.86
marilandia,14.3,12.11,2.78,1.77,12.58,8.95,41.98,36.62
montanha,23.19,17.39,4.77,1.78,23.19,13.09,58.67,51.81
muniz freire,20.55,14.69,7.14,3.87,21.33,12.9,47.9,37.73
muqui,15.3,11.48,3.82,1.79,14.38,9.75,37.4,29.37
piuma,10.81,7.61,3.28,2.14,10.21,6.09,32.45,23.12
presidente kennedy,25.49,17.11,8.75,2.62,26.24,15.54,59.47,46.49
rio bananal,16.26,13.27,4.26,1.45,15.98,11.12,49.55,43.73
rio novo do sul,13.09,9.03,3.4,2.09,12.02,6.61,35.9,27.3
santa leopoldina,19.37,13.34,5.72,1.83,18.94,11.09,46.38,37.23
sao jose do calcado,18.11,12.35,5.27,2.01,16.59,10.02,40,29.1
sao roque do canaa,14.05,9.73,3.03,0.86,12.1,6.8,42.26,31.64
vargem alta,15.3,11.3,4.57,1.51,14.79,9.65,43.51,35.18
vila valerio,18.23,14.07,4.63,1.75,18.99,12.77,49.21,44.15
de 20.001 a 50.000 ,17.66,12.99,4.22,1.79,17.49,10.81,47.79,39.53
afonso claudio,19.31,14.3,5.07,1.91,19.47,11.77,49,39.1
alegre,17.93,13.56,5.38,2.03,17.22,11.65,41,34.38
anchieta,11.35,6.75,2.78,0.83,11,5.05,33.43,24.09
baixo guandu,17.35,13.15,3.87,1.52,16,9.64,47.25,39.66
barra de sao francisco,21.32,15.72,4.31,1.86,21.24,12.8,55.69,47.11
castelo,11.82,8.42,2.8,1.08,10.26,6.01,35.12,26.92
conceicao da barra,21.96,15.22,6.06,1.96,23.62,13.76,58.72,48.56
domingos martins,13.45,10.98,2.76,1.23,13.71,9.09,35.77,33.45
ecoporanga,25.04,20.18,3.85,2.4,26.41,16.09,63.46,58.57
