city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
espirito santo,61.12,69.34,24.54,22.15,14.34,8.51
ate 5.000 ,25.79,30.99,18.92,24.7,55.29,44.31
divino de sao lourenco,25.79,30.99,18.92,24.7,55.29,44.31
de 5.001 a 10.000 ,34.78,50.59,23.67,20.65,41.56,28.76
aguia branca,20.85,30.72,7.69,10.61,71.47,58.67
alto rio novo,32.95,49.67,23.38,19.69,43.67,30.64
apiaca,60.34,65.2,10.72,13.23,28.93,21.57
atilio vivacqua,43.63,65.12,33.57,26.2,22.8,8.69
bom jesus do norte,74.04,76.62,18.89,18.81,7.08,4.57
dores do rio preto,42.97,52.7,13.14,33.85,43.89,13.45
ibitirama,24.21,35.87,22.6,24.21,53.19,39.92
mucurici,26.31,51.37,39.63,19.29,34.06,29.34
ponto belo,31.73,66.98,46.08,15.37,22.2,17.65
sao domingos do norte,24.92,38.09,15.2,21.97,59.88,39.94
vila pavao,15.02,24.61,17.95,25.36,67.03,50.04
de 10.001 a 20.000 ,34.82,42.64,30.92,35.21,34.27,22.15
agua doce do norte,17.59,34.61,38.03,31.71,44.38,33.68
alfredo chaves,34.91,44.78,46.24,47.31,18.85,7.9
boa esperanca,43.63,48.02,27.53,27.69,28.83,24.29
brejetuba,6.91,21.96,20.36,50.17,72.73,27.86
conceicao do castelo,19.23,37.33,38.49,40.77,42.29,21.9
fundao,35.2,35.8,50.08,54.07,14.72,10.13
governador lindenberg,-,32.45,-,27.06,-,40.49
ibiracu,70.11,74.03,18.34,19.77,11.55,6.2
iconha,38.89,43.74,31.05,44.16,30.06,12.11
irupi,33.73,30.55,9.84,22.26,56.43,47.18
itaguacu,21.12,43,33.8,36.64,45.08,20.35
itarana,34.88,41.54,28.36,43.4,36.75,15.06
jeronimo monteiro,58.41,71,18.93,13.7,22.66,15.3
joao neiva,74.67,79.68,18.22,13.36,7.11,6.96
laranja da terra,17.97,35.86,17.03,22.73,65,41.41
mantenopolis,43.91,57.7,19.71,12.31,36.38,29.98
marechal floriano,17.41,18.45,47.8,74.17,34.79,7.38
marilandia,34.27,54.2,24.98,19.31,40.75,26.48
montanha,49.63,67.62,30.9,16.94,19.47,15.44
muniz freire,28.18,28.95,20.15,42.36,51.66,28.7
muqui,38.58,49.2,34.22,32.23,27.19,18.57
piuma,69.66,66.04,27.95,31.66,2.38,2.3
presidente kennedy,16,29.84,39.56,51.92,44.44,18.24
rio bananal,17.52,31.02,15.79,26.99,66.69,41.99
rio novo do sul,40.89,42.33,25.87,48.86,33.23,8.82
santa leopoldina,6.29,8.23,23.27,54.94,70.44,36.82
sao jose do calcado,62.67,63.87,14.57,23.16,22.75,12.97
sao roque do canaa,19.94,37.76,30.43,33.97,49.63,28.27
vargem alta,3.55,15.6,62.57,67.43,33.88,16.98
vila valerio,16.44,28.66,16.33,13.54,67.24,57.8
de 20.001 a 50.000 ,42.15,48.5,27.3,32.76,30.54,18.73
afonso claudio,33.94,41.94,18.19,27.13,47.87,30.94
alegre,50.13,57.42,22.52,24.16,27.35,18.41
anchieta,47.21,46.34,41.6,51.15,11.18,2.51
baixo guandu,57.17,72.53,20.75,13.87,22.08,13.6
barra de sao francisco,41.83,52.36,22.97,22.29,35.2,25.35
castelo,52.14,62.21,20.12,19.97,27.74,17.82
conceicao da barra,9.46,30.04,75.83,57.51,14.71,12.45
domingos martins,20.65,27.59,33.8,50.94,45.55,21.47
ecoporanga,30.91,41.13,34.36,30.74,34.74,28.13
guacui,66.67,68.86,15.54,17.8,17.8,13.34
ibatiba,41.39,40.91,21.93,32.23,36.68,26.86
itapemirim,45.45,21.14,34.32,71.45,20.23,7.41
iuna,50.01,50.84,10.36,26.85,39.63,22.3
jaguare,31.19,50.5,36.17,34.11,32.64,15.39
marataizes,66.03,51.79,28.8,36.88,5.18,11.33
mimoso do sul,33.37,45.06,25.19,26.71,41.44,28.23
nova venecia,49.43,57,21.29,21.1,29.28,21.9
pancas,37.52,35.13,10.36,26.66,52.13,38.21
pedro canario,22.18,51.1,70.29,42.16,7.52,6.74
pinheiros,60.5,72.02,19.72,11.42,19.78,16.57
santa maria de jetiba,10.58,19.95,30.91,52.93,58.51,27.12
santa teresa,28.55,48.12,35.65,40.47,35.8,11.41
sao gabriel da palha,59.73,61.41,12.59,19.44,27.68,19.15
sooretama,16.44,42.33,54.12,35.94,29.43,21.73
venda nova do imigrante,49.51,55.74,42.18,42.93,8.31,1.33
de 50.001 a 100.000 ,55.09,72.14,34.34,24.17,10.57,3.69
aracruz,64.55,77.43,28.32,18.38,7.13,4.2
viana,49.61,65.48,41.61,31.47,8.78,3.06
de 100.001 a 500.000 ,76.47,81.82,20.49,16.17,3.04,2.01
cachoeiro de itapemirim,81.06,86.86,13.29,11.41,5.66,1.73
cariacica,58.41,76.74,39.88,22.58,1.71,0.68
colatina,72.9,82.87,12.87,10.74,14.23,6.39
guarapari,49.04,61.78,43.59,35.86,7.37,2.36
linhares,51.74,65.91,33.89,25.25,14.37,8.84
sao mateus,58.26,58.38,24.3,28.64,17.45,12.99
serra,69.98,82.52,29.34,17.2,0.68,0.28
vila velha,86.56,85.77,12.72,13.89,0.72,0.34
vitoria,96.98,97.45,2.98,2.54,0.05,0.01
mais de 500.000 ,-,-,-,-,-,-
