city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
espirito santo,17.79,9.18,16.64,9.1,5.39,1.77
ate 5.000 ,34.07,20.88,64.82,46.68,24.25,10.07
divino de sao lourenco,34.07,20.88,64.82,46.68,24.25,10.07
de 5.001 a 10.000 ,28.74,14.85,46.01,31.17,15.65,6.05
aguia branca,23.57,13.2,73.1,60.41,17.49,8.67
alto rio novo,33.03,14.93,47.89,31.42,17.11,5.13
apiaca,29.34,18.12,39.12,27.69,14.93,7.01
atilio vivacqua,18.25,11.49,22.4,6.85,7.28,1.1
bom jesus do norte,15.04,5.96,10.2,7.34,3.11,0.83
dores do rio preto,31.44,17.12,53.2,13.87,19.49,4.5
ibitirama,40.99,22.98,61.56,45.85,28.95,15.25
mucurici,39.71,18.33,33.09,32.58,12.06,5.43
ponto belo,34.63,19.61,21.12,16.58,6.83,2.5
sao domingos do norte,22.47,13.73,57.4,41.63,12.88,6.94
vila pavao,25,9.66,70.2,51.26,20.09,6.24
de 10.001 a 20.000 ,24.28,13.24,38.03,23.6,11.82,4.61
agua doce do norte,34.75,19.94,50.24,35.09,18.55,7.68
alfredo chaves,13.91,7.08,18.6,7.92,3.84,0.85
boa esperanca,28,17.77,28.06,22.71,7.74,3.51
brejetuba,34.98,21.48,77.55,32.89,30.05,10.66
conceicao do castelo,24.74,16.65,45.93,26.29,14.88,7.31
fundao,19.1,11.26,16.71,9.85,5.2,1.83
governador lindenberg,-,13.08,-,43.78,-,5.08
ibiracu,18.35,6.67,12.2,5.26,4.59,1.05
iconha,12.13,6.37,26.92,9.38,4.93,1.8
irupi,34.19,21.78,60.64,52.71,23.71,14.49
itaguacu,23.9,12.11,48.31,23.58,13.32,3.64
itarana,19.02,9.91,43.86,20.27,11.95,2.4
jeronimo monteiro,22.25,13.81,23.66,15.61,7.61,3.6
joao neiva,14.07,6.27,6.53,6.63,2.03,0.64
laranja da terra,21.08,10.07,65.84,42.16,13.08,4.03
mantenopolis,29.53,19.12,39.73,35.01,13.17,8.17
marechal floriano,20.85,9.27,42.24,6.34,12.2,1.14
marilandia,19.04,10.43,44.7,26.96,10.83,3.12
montanha,32.22,14.91,22.03,17.58,8,3.48
muniz freire,32.39,18.55,62.51,31.13,23.86,7.88
muqui,21.19,13.4,32.24,19.87,9.6,4.16
piuma,15.9,10.3,2.05,2.31,0.74,0.92
presidente kennedy,39.52,16.04,47.21,14.18,22.69,4.35
rio bananal,24.2,11.79,72.89,44.88,19.92,6.92
rio novo do sul,21.02,8.44,33.87,6.72,10.96,1.47
santa leopoldina,24.16,12.08,75.11,35.49,20.51,6.04
sao jose do calcado,24.86,13.37,30.42,12.6,12.57,2.83
sao roque do canaa,18.57,10.97,52.88,27.77,12.02,4.29
vargem alta,22,12.04,37.12,16.62,10.93,3.35
vila valerio,24.15,14.2,69.47,60,17.58,8.75
de 20.001 a 50.000 ,25.56,13.52,34.35,19.76,11.3,3.63
afonso claudio,28.12,15.15,54.68,33.72,17.96,5.91
alegre,28.35,14.71,34.85,21.18,15.48,5.53
anchieta,16.35,7.24,12.26,1.35,3.69,0.1
baixo guandu,23.29,12.09,23.74,12.14,8.28,2.04
barra de sao francisco,27.98,14.3,37.47,24.73,12.81,4.54
castelo,17.68,8.76,33.32,19.95,9.01,2.92
conceicao da barra,34.01,18.02,17.73,14.26,9.28,3.98
domingos martins,19.27,9.88,51.18,24.75,12.58,3.61
ecoporanga,33.49,15.3,35.84,28.6,14.3,5.4
guacui,28.84,17.9,24.93,16.72,9.73,5.12
ibatiba,29.25,18.26,41.08,29.42,14.43,6.41
itapemirim,21.72,11.52,19.82,6.31,6.28,1.47
iuna,32.49,17.12,47.63,26.58,19.05,6.7
jaguare,27.98,14.19,33.84,15.4,8.69,2.18
marataizes,16.98,7.91,6.76,13.48,2.53,1.71
mimoso do sul,25.08,13.15,50.31,32.46,17.29,5.67
nova venecia,22.28,10.98,30.58,23.54,9.32,3.59
pancas,29.15,14.56,57.87,36.97,18.54,5.37
pedro canario,35.49,20.77,8.52,5.71,4.54,1.35
pinheiros,30.21,16.82,22.45,18.82,7.75,3.61
santa maria de jetiba,18.51,8.67,62.1,29.04,13.47,3.4
santa teresa,22.01,13.4,43.56,12.75,12.26,2.69
sao gabriel da palha,21.08,11.1,30.1,18.64,7.95,2.74
sooretama,32.52,18.65,27.55,20.36,9.47,4.31
venda nova do imigrante,14.35,8.87,8.89,1.79,2.7,0.26
de 50.001 a 100.000 ,17.84,7.92,12.25,3.31,4.01,0.55
aracruz,16.98,8.4,8.22,3.94,2.5,0.7
viana,12.83,7.29,9.65,2.48,2.12,0.36
de 100.001 a 500.000 ,12.63,6.84,3.67,2.41,1.19,0.55
cachoeiro de itapemirim,13.56,5.6,6.59,1.64,2.05,0.37
cariacica,12.56,6.52,1.73,0.7,0.45,0.1
colatina,14.83,6.82,14.59,7.23,3.59,1.07
guarapari,15.54,8.41,8.49,2.64,2.32,0.65
linhares,24.43,13.28,17.73,9.8,6.96,2.47
sao mateus,23.28,12.64,19.91,14.67,7.64,3.53
serra,13.52,6.66,0.82,0.39,0.26,0.11
vila velha,8.62,4.86,1.22,0.52,0.47,0.1
vitoria,9.04,4.31,0.1,0,0.06,0
mais de 500.000 ,-,-,-,-,-,-
