city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
ate 5.000 ,6.42,12.49,63.2,65.84,30.38,21.67
adelandia,0.81,22.04,81.68,67.42,17.5,10.55
agua limpa,2.04,5.99,72.26,67.44,25.69,26.57
aloandia,9.36,21.88,72.59,66.5,18.05,11.63
alto horizonte,0.4,1.86,66.89,83.96,32.72,14.18
amaralina,8.86,23.1,45.94,26.21,45.2,50.69
amorinopolis,1.3,7.93,71.57,68.12,27.13,23.95
anhanguera,10.51,10.0,80.43,84.57,9.06,5.43
aparecida do rio doce,4.84,64.79,72.83,24.45,22.33,10.76
apore,0.49,16.64,61.64,62.28,37.88,21.08
aracu,5.7,6.39,78.73,84.6,15.57,9.01
arenopolis,8.22,7.83,57.62,81.67,34.16,10.5
aurilandia,0.6,1.62,77.39,84.51,22,13.88
avelinopolis,47.61,21.34,22.21,67.64,30.19,11.02
baliza,0.14,6.38,42.67,34.44,57.18,59.18
bonopolis,0.75,36.99,55.44,27.4,43.82,35.62
brazabrantes,10.51,3.33,68.85,81.52,20.64,15.16
buriti de goias,14.7,1.92,64.88,82.85,20.41,15.23
buritinopolis,0.13,10.08,72.56,59.56,27.31,30.35
cachoeira de goias,30.74,14.17,48.7,70.04,20.56,15.79
caldazinha,0.12,36.06,47.61,43.14,52.26,20.8
campestre de goias,4.11,1.5,68.16,69.38,27.73,29.12
campinacu,3.91,4.88,41.85,57.7,54.24,37.42
castelandia,47.46,19.78,46.91,79.3,5.63,0.91
caturai,0.16,15.53,72.87,82.95,26.96,1.52
colinas do sul,0.59,0.74,66.8,75.23,32.61,24.03
corrego do ouro,1.92,1.26,59.06,75.74,39.02,23.0
cristianopolis,3.77,3.65,77.52,84.26,18.72,12.09
crominia,10.04,38.27,69.01,52.11,20.95,9.63
cumari,47.28,51.59,33.67,32.46,19.05,15.94
damianopolis,-,5.36,70.21,72.51,29.79,22.13
damolandia,4.62,20.69,71.03,67.29,24.36,12.02
davinopolis,-,1.96,60.9,65.88,39.1,32.16
diorama,0.25,28.5,56.08,39.49,43.67,32.01
divinopolis de goias,1.88,0.89,72.89,83.04,25.23,16.08
edealina,0.84,1.76,62.74,71.66,36.42,26.58
estrela do norte,0.3,22.04,75.79,68.52,23.91,9.44
formoso,0.68,19.95,72.31,59.38,27.01,20.67
gameleira de goias,-,0.57,-,47.59,-,51.84
gouvelandia,3.22,0.7,65.94,78.84,30.84,20.46
guaraita,3.8,0.82,47.74,61.27,48.46,37.91
guarani de goias,-,0.24,54.84,61.98,45.16,37.78
guarinos,1.73,0.62,56.13,58.22,42.13,41.16
heitorai,8,39.43,66.16,37.35,25.84,23.21
hidrolina,0.23,0.29,66.06,81.48,33.71,18.23
ipiranga de goias,-,0.2,-,62.5,-,37.3
israelandia,0.22,4.73,71.94,70.61,27.85,24.65
itaguari,17.4,21.15,60.28,76.0,22.32,2.85
ivolandia,0.41,3.96,51.7,51.27,47.89,44.77
jaupaci,0.63,19.52,76.86,60.29,22.51,20.19
jesupolis,1.83,4.18,68.77,75.74,29.4,20.08
lagoa santa,-,24.31,-,43.98,-,31.71
mairipotaba,11.99,2.71,56.39,72.76,31.62,24.53
marzagao,1.07,0.85,85.41,88.86,13.52,10.3
matrincha,1.24,12.48,74.34,63.49,24.42,24.03
mimoso de goias,-,5.19,41.76,54.56,58.24,40.25
moipora,1.08,7.55,63.31,62.89,35.6,29.56
montividiu do norte,2.92,6.62,54.89,75.85,42.18,17.53
morro agudo de goias,0.26,0.97,65.2,70.98,34.54,28.05
mutunopolis,0.09,13.73,67.05,55.68,32.87,30.59
nova america,16.31,1.03,52.92,76.9,30.77,22.06
nova aurora,20.3,1.77,63.89,93.04,15.81,5.18
nova iguacu de goias,12.9,57.14,45.08,15.57,42.02,27.28
nova roma,1.73,1.69,72.79,85.7,25.49,12.61
novo brasil,2.86,4.28,60.42,74.17,36.72,21.55
novo planalto,0.32,10.3,72.87,60.3,26.8,29.4
ouro verde de goias,0.08,0.6,57.88,68.52,42.04,30.88
palestina de goias,0.51,1.8,52.7,67.41,46.8,30.79
palmelo,12.77,52.17,82.13,47.7,5.11,0.13
palminopolis,25,11.69,42.87,82.27,32.13,6.04
panama,10.63,0.71,61.88,75.82,27.49,23.47
perolandia,6.27,1.29,62.38,82.02,31.35,16.68
pilar de goias,1.39,0.67,38.25,48.06,60.36,51.28
porteirao,24.97,4.31,60.75,83.52,14.29,12.17
portelandia,0.19,1.86,77.12,80.02,22.68,18.12
professor jamil,11.78,6.76,59.22,68.28,29,24.95
rianapolis,8.05,14.91,76.65,74.19,15.3,10.9
rio quente,10.37,76.71,76.4,17.56,13.24,5.73
santa cruz de goias,0.58,0.27,41.23,46.84,58.19,52.89
santa fe de goias,5.89,4.09,67.22,75.37,26.89,20.54
santa isabel,6.27,2.1,61.64,69.24,32.09,28.66
santa rita do novo destino,0.81,15.01,43.89,76.92,55.3,8.07
santa rosa de goias,0.28,1.0,65.56,78.92,34.17,20.08
santa tereza de goias,6.53,43.58,78.62,45.18,14.85,11.24
santo antonio da barra,6.03,10.32,75.27,74.2,18.71,15.48
santo antonio de goias,0.73,8.88,83.88,84.72,15.38,6.4
sao joao da parauna,45.18,68.03,45.02,24.26,9.79,7.7
sao luiz do norte,1.59,6.93,62.72,80.88,35.69,12.19
sao miguel do passa quatro,2.13,37.8,38.31,29.24,59.55,32.96
sao patricio,25.23,11.55,23.57,59.77,51.2,28.67
sitio d'abadia,-,0.6,60.38,59.13,39.62,40.26
taquaral de goias,0.36,5.39,68.89,76.17,30.75,18.44
teresina de goias,1.28,2.83,68.48,70.07,30.24,27.09
tres ranchos,0.34,35.17,76.78,56.36,22.87,8.47
trombas,1.79,0.34,69.65,65.34,28.56,34.31
turvania,7.49,13.0,68.47,76.26,24.04,10.74
