city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
ate 5.000 ,21.38,12.21,30.06,21.07,7.1,3.36
adelandia,18.49,8.02,17.74,6.95,0.75,0.0
agua limpa,11.93,5.97,31.69,28.36,2.47,0.75
aloandia,17.48,7.26,22.82,9.68,3.4,0.81
alto horizonte,19.03,8.18,30.8,7.71,10.38,1.64
amaralina,31.89,18.08,43.7,55.35,15.35,14.39
amorinopolis,16.02,9.95,27.9,26.7,2.76,1.36
anhanguera,7.69,1.35,8.97,10.81,1.28,0.0
aparecida do rio doce,20.22,7.94,23.16,10.05,3.31,3.17
apore,22.07,11.5,47.14,17.65,8.72,2.94
aracu,20.86,11.79,18.23,8.94,2.88,1.22
arenopolis,18.42,7.2,33.95,8.47,8.42,1.27
aurilandia,18.04,10.78,24.68,14.22,2.22,0.49
avelinopolis,19.21,10.53,25.33,8.95,3.93,2.11
baliza,18.58,17.29,57.52,63.39,13.72,11.53
bonopolis,27.73,14.73,43.3,44.18,11.53,6.51
brazabrantes,13.06,9.05,22.76,15.52,4.48,0.86
buriti de goias,12.9,10.3,18.55,10.3,1.21,0.0
buritinopolis,39.14,14.51,21.96,23.66,10.5,6.94
cachoeira de goias,23.98,6.6,15.2,15.09,3.51,0.94
caldazinha,11.07,8.61,41.69,15.57,4.23,1.23
campestre de goias,20.18,17.76,28.61,37.07,5.42,10.04
campinacu,23.72,9.47,53.72,31.93,13.26,3.16
castelandia,26.51,23.91,5.35,0.0,1.63,0.0
caturai,25.58,11.16,26.51,1.16,6.74,0.23
colinas do sul,31.84,14.72,28.74,18.06,12.82,5.56
corrego do ouro,16.9,8.74,38.73,22.4,2.46,1.09
cristianopolis,11.36,6.03,16.88,10.34,2.27,1.72
crominia,13.43,10.94,22.29,16.8,3.14,1.95
cumari,12.5,6.07,20.95,15.42,3.04,2.8
damianopolis,38.24,12.31,27.94,17.16,15.29,4.48
damolandia,14.47,8.29,24.56,11.92,3.51,0.0
davinopolis,22.77,10.83,26.73,26.75,3.96,4.46
diorama,13.84,9.09,39.29,33.69,5.8,3.21
divinopolis de goias,42.57,18.64,24.83,12.92,12.33,3.6
edealina,18.83,7.36,34.72,30.62,6.11,1.55
estrela do norte,26.58,14.72,26.58,8.68,6.58,0.0
formoso,22.2,10.37,33.39,23.4,8.31,1.6
gameleira de goias,-,7.07,-,49.84,-,2.57
gouvelandia,15.92,18.13,29.71,17.5,5.31,2.71
guaraita,15.74,6.54,41.7,30.72,3.83,2.61
guarani de goias,42.2,23.45,41.8,32.73,21.2,12.89
guarinos,19.61,11.84,45.1,32.24,10.2,4.61
heitorai,16.95,9.12,25.71,25.91,5.65,1.46
hidrolina,13.63,6.53,34.07,16.15,5.71,2.75
ipiranga de goias,-,3.17,-,37.57,-,1.59
israelandia,13.5,9.14,29.58,25.71,5.14,1.71
itaguari,17.2,12.32,22.6,1.12,4.18,0.0
ivolandia,13.67,8.47,45.7,46.33,6.64,4.52
jaupaci,17.28,12.82,21.53,17.44,3.68,2.56
jesupolis,23.58,16.39,24.8,17.49,10.16,4.37
lagoa santa,-,5.88,-,35.29,-,3.53
mairipotaba,11.11,4.22,36.71,22.29,5.31,1.2
marzagao,13.79,7.78,11.21,11.98,3.45,0.6
matrincha,22.64,15.98,20.87,32.54,4.72,4.14
mimoso de goias,37.13,16.73,58.98,37.55,21.86,7.35
moipora,10.14,2.83,39.17,32.08,2.3,0.0
montividiu do norte,30,15.41,46.5,17.22,14.25,2.42
morro agudo de goias,15.35,6.21,35.43,31.03,2.76,3.45
mutunopolis,28.4,13.99,35.92,34.81,10.8,4.1
nova america,23.08,7.59,26.24,24.05,7.24,5.06
nova aurora,12,4.94,13.33,1.23,1.33,0.0
nova iguacu de goias,16.05,6.22,37.12,18.67,4.68,2.49
nova roma,34.1,20.41,28.5,9.91,12.47,2.33
novo brasil,20.43,11.71,40.05,26.34,8.06,1.95
novo planalto,29.87,19.8,32.21,34.32,14.81,8.25
ouro verde de goias,15.62,6.74,36.51,22.47,6.29,1.87
palestina de goias,15.77,6.01,49.7,36.48,8.04,1.72
palmelo,13.76,6.37,8.26,0.0,0.92,0.0
palminopolis,7.72,6.49,35.61,5.63,2.08,0.0
panama,19.27,10.2,27.27,21.43,6.55,3.06
perolandia,18.99,12.69,30.7,16.15,5.38,3.85
pilar de goias,11.48,12.57,57.1,49.18,5.74,6.56
porteirao,28.73,14.16,16.26,12.35,4.88,2.11
portelandia,19.91,9.15,23.53,17.35,3.17,1.89
professor jamil,15.29,13.56,23.82,22.46,3.82,2.97
rianapolis,21.71,13.53,14.61,12.08,2.71,1.69
rio quente,8.93,5.28,6.7,2.8,1.79,0.93
santa cruz de goias,17.16,17.6,59.17,51.07,10.36,9.01
santa fe de goias,23.41,9.76,25,19.29,6.35,1.67
santa isabel,13.14,7.35,35.71,32.65,4.29,2.86
santa rita do novo destino,29.94,26.42,58.33,8.94,21.3,4.88
santa rosa de goias,16.88,14.04,37.99,24.16,6.82,2.25
santa tereza de goias,20.08,10.6,17.89,13.18,2.78,1.43
santo antonio da barra,33.61,16.93,20.38,16.67,7.14,2.86
santo antonio de goias,16.76,6.86,14.45,5.03,3.76,1.37
sao joao da parauna,12.38,8.2,8.91,9.02,0.5,0.82
sao luiz do norte,24.55,13.46,32.05,9.51,9.09,1.62
sao miguel do passa quatro,11.99,9.91,60.25,33.93,7.57,4.8
sao patricio,13.19,6.35,57.14,23.81,8.24,0.0
sitio d'abadia,52.05,31.5,40.06,37.8,21.77,16.14
taquaral de goias,18.81,4.86,40,19.46,12.84,1.08
teresina de goias,42.03,22.56,32.14,34.26,23.35,13.09
tres ranchos,6.21,8.72,18.62,6.15,1.72,0.0
trombas,27.32,15.25,26.53,32.98,7.43,9.93
turvania,17.07,8.26,30.92,12.98,6.02,1.18
turvelandia,31.55,21.59,33.5,18.03,9.95,5.45
uirapuru,26.98,12.95,33.24,29.91,11.72,5.36
urutai,7.8,6.09,28.47,34.78,2.03,3.04
varjao,14.99,8.47,35.97,25.4,5.45,2.02
vila boa,42.92,16.03,12.71,12.93,6.04,2.0
de 5.001 a 10.000 ,24.17,13.43,29.12,16.26,9.11,3.48
abadia de goias,15.21,9.31,27.27,10.11,7.27,1.77
agua fria de goias,27.41,14.29,47.68,44.99,13.13,7.46
alto paraiso de goias,26.15,16.71,18.85,21.59,6.12,6.82
alvorada do norte,35.84,19.03,16.9,6.84,10.12,1.74
americano do brasil,16.37,10.9,18.93,7.58,4.73,0.24
aragoiania,19.89,10.47,40.99,10.34,10.48,1.12
araguapaz,28.1,15.67,35.57,19.75,12.28,3.92
aruana,25,15.01,36.89,10.86,12.65,2.55
barro alto,27.42,12.03,25.92,11.63,9.14,1.7
bom jardim de goias,20.79,14.44,29.7,23.55,9.28,5.02
bonfinopolis,21.39,8.01,9.03,3.12,2.69,0.0
britania,27.88,17.45,25.36,13.44,6.83,2.83
buriti alegre,13.7,7.23,15.68,3.54,2.21,0.0
cabeceiras,25.51,16.41,23.7,16.12,6.32,3.42
cachoeira dourada,19.91,13.51,8.53,7.31,1.3,1.91
campo alegre de goias,9.82,13.6,36.61,15.36,2.45,2.4
campo limpo de goias,-,13.1,-,9.82,-,1.64
campos verdes,27.21,16.67,30.06,13.33,11.98,2.56
carmo do rio verde,16.71,8.12,29.24,11.96,5.65,1.03
cavalcante,60.7,30.9,55.35,39.73,38.64,20.54
cezarina,11.61,9.42,10.57,11.4,2.08,1.98
chapadao do ceu,7.3,5.08,25.05,4.32,1.97,0.13
corumbaiba,11.81,9.36,20.26,10.89,3.79,1.99
doverlandia,20.84,14.11,36.41,26.31,7.95,4.18
faina,24.9,12.65,47.4,33.99,14.1,5.53
fazenda nova,14.81,11.82,35.9,22.93,3.85,2.84
goiandira,16.43,8.74,13.1,12.02,3.1,3.55
inaciolandia,30.7,18.1,21.4,17.71,6.67,3.81
itaguaru,14.71,10.83,16.01,12.25,3.91,1.99
itaja,21.94,10.53,41.09,13.53,9.71,2.76
itapirapua,21.88,9.87,35.24,27.24,8.96,3.47
itaruma,16.85,8.42,52.86,23.44,8.35,1.83
itaucu,16.74,8.17,19.23,11.48,4.7,1.22
jandaia,11.53,10.54,24.05,16.82,3.13,3.36
joviania,14.63,9.52,13.5,7.48,1.97,0.34
leopoldo de bulhoes,16.72,15.75,33.67,18.93,5.76,4.62
mambai,42.22,20.84,9.44,17.56,5.46,5.24
monte alegre de goias,43.01,30.85,55.23,41.6,30.47,16.36
montes claros de goias,16.89,6.89,44.63,35.34,7.72,2.83
mossamedes,21.12,15.56,42.99,23.17,11.21,2.54
mundo novo,32.21,19.73,51.8,33.59,21.06,7.03
nazario,15.79,7.99,14.71,4.49,3.1,0.33
nova gloria,17.44,9.88,25.98,12.56,6.97,1.68
nova veneza,16.92,9.05,13.08,8.47,3.38,0.58
ouvidor,7.97,3.17,15.66,4.3,1.92,0.45
paranaiguara,20.55,9.44,12.38,7.66,3.16,0.41
sanclerlandia,12.53,8.43,16.08,10.49,2.59,0.75
santa barbara de goias,16.96,10.56,8.39,0.19,0.71,0.0
santa rita do araguaia,17.06,8.25,9.2,7.78,3.51,1.59
sao francisco de goias,25.4,13.93,33.19,24.18,9.52,3.48
serranopolis,19.36,15.26,40.59,23.68,7.21,2.8
simolandia,43.22,18.71,9.3,14.58,5.53,4.4
terezopolis de goias,22.62,13.81,13.42,6.37,4.06,1.97
vicentinopolis,17.99,14.06,16.98,9.33,2.01,1.29
vila propicio,35.29,18.79,54.23,35.96,19.67,7.19
de 10.001 a 20.000 ,19.99,11.85,21.79,16.41,5.32,2.74
abadiania,21.86,8.73,33.06,12.94,7.88,1.4
aragarcas,15.74,8.22,4.89,2.46,1.18,0.52
cachoeira alta,18.6,9.07,29.82,12.68,7.25,1.2
cacu,14.45,7.93,27.57,21.31,3.66,3.27
caiaponia,22.85,12.35,25.81,20.43,5.11,3.01
campinorte,19.07,10.17,26.82,8.65,6.17,1.02
campos belos,30.93,16.49,13.22,4.74,6.09,1.69
cocalzinho de goias,24.73,11.27,37.92,16.65,12.88,2.45
corumba de goias,23.78,11.86,42.61,31.36,10.72,5.51
crixas,18.76,9.33,27.2,16.42,7.52,2.39
edeia,18.13,11.64,25.77,8.79,5.33,1.26
firminopolis,14.6,4.5,18.39,15.89,2.99,0.66
flores de goias,31.59,21.37,56.85,50.97,18.95,9.86
goianapolis,21.87,15.17,9.66,4.33,2.85,1.44
guapo,18.52,11.87,27.96,5.42,7.64,0.95
hidrolandia,16.06,7.95,41.25,24.25,8.58,2.93
iaciara,37.32,22.03,24.83,12.62,11.36,4.23
indiara,20.05,11.84,12.16,9.98,1.92,0.56
itapaci,17.57,10.77,20.7,8.17,6.33,1.96
jussara,18.17,8.29,22.86,15.79,5.28,2.12
mara rosa,25.85,13.45,27.52,17.31,9.25,2.81
maurilandia,24.28,19.36,7.8,2.19,2.8,0.78
montividiu,20.98,11.37,30.52,15.9,3,1.11
mozarlandia,25,14.64,27.27,9.12,9.74,1.42
nova crixas,33.38,21.26,33.61,34.84,11.63,9.15
orizona,10.87,5.79,40.58,20.04,2.97,0.83
parauna,18.52,9.49,35.35,29.0,6.57,1.92
petrolina de goias,25.42,9.25,37.34,34.83,11.53,3.81
piranhas,20.27,9.7,20.19,17.04,5.18,1.7
pontalina,15.29,9.9,20.41,17.87,2.97,2.77
rialma,12.65,5.44,5.69,5.58,0.88,0.84
rubiataba,13.8,6.44,14.44,10.71,2.88,1.36
santa terezinha de goias,21.22,13.58,23.4,12.5,5.69,2.69
sao domingos,45.95,27.02,45.86,32.58,25.69,14.25
sao joao d'alianca,23.12,15.74,28.47,33.69,6.61,7.87
sao simao,16.26,9.73,1.66,2.63,0.55,0.32
silvania,12.2,6.24,41.32,28.98,6.16,2.69
uruana,18,11.41,19.87,15.86,3.61,2.03
vianopolis,15.55,6.1,29.3,17.64,4.48,1.24
de 20.001 a 50.000 ,17.76,10.13,18.09,9.92,4.77,1.72
acreuna,28.87,14.76,8.42,9.17,2.19,1.48
alexania,22.49,10.7,20.7,10.3,6.47,1.87
anicuns,14.95,6.27,16.03,6.08,3.5,0.96
bela vista de goias,13.99,9.74,33.4,11.17,5.83,1.99
bom jesus de goias,21.83,11.6,10.27,6.17,2.53,1.1
ceres,12.48,5.46,14.08,3.67,2.35,0.29
cristalina,22.79,12.29,26.26,12.69,7.69,2.06
goianira,15.08,8.83,10.17,2.05,1.95,0.27
goias,16.97,13.83,29.62,19.07,6.49,3.84
goiatuba,14.03,7.79,12.98,6.05,1.63,0.98
inhumas,16.49,9.83,7.96,4.93,2.22,0.86
ipameri,10.96,9.53,18.67,11.62,1.65,1.31
ipora,12.22,6.73,10.17,6.82,1.47,1.23
itaberai,21.39,8.9,20.8,10.47,4.78,1.23
itapuranga,17.74,8.87,23.99,8.34,4.59,0.64
jaragua,16.66,7.93,22.01,11.99,5.15,1.76
minacu,17.9,13.47,13.5,8.64,4.99,2.11
morrinhos,11.15,7.03,12.64,4.4,1.79,0.58
neropolis,18.89,7.86,9.64,2.39,2.25,0.37
niquelandia,23.81,11.3,27.21,13.78,9.77,3.2
padre bernardo,26.41,15.39,37.18,20.82,11.47,4.12
palmeiras de goias,13.39,8.85,26.78,14.93,5.07,1.83
piracanjuba,14.19,7.62,31.41,16.74,6.18,1.32
pirenopolis,20.2,10.38,29.43,11.15,7.6,2.14
pires do rio,10.98,6.73,8.47,3.46,1.25,0.14
porangatu,20.62,9.61,15.95,14.58,4.56,1.82
posse,34.96,18.84,26.21,19.79,13.1,6.94
quirinopolis,14.35,7.57,17.04,9.15,2.52,0.89
santa helena de goias,26.82,11.51,12.17,3.55,6.01,0.99
sao luis de montes belos,11.97,7.14,10.75,7.6,1.6,1.2
sao miguel do araguaia,21.59,10.63,23.45,15.86,6.28,2.15
uruacu,20.18,10.41,14.48,6.3,5.59,0.92
de 50.001 a 100.000 ,16.88,8.31,12.7,4.2,3.8,0.81
caldas novas,11.29,7.46,6.93,1.43,1.65,0.18
catalao,9.1,4.85,11.04,3.68,1.21,0.31
cidade ocidental,11.62,7.68,17.47,3.69,5.05,0.49
goianesia,17.93,9.32,6.66,4.25,1.99,0.92
itumbiara,13.65,6.66,8.16,2.41,2.13,0.4
jatai,14.19,7.18,12.93,5.23,2.79,0.78
mineiros,17.31,8.85,12.41,4.96,2.45,0.62
novo gama,18.39,8.87,11.45,3.38,3.58,0.6
planaltina,24.16,12.34,22.16,6.47,7.56,1.75
santo antonio do descoberto,23.03,10.71,30.12,10.31,9.94,2.57
senador canedo,13.78,6.94,8.98,0.82,2.16,0.14
de 100.001 a 500.000 ,13.72,6.99,19.03,2.64,4.25,0.45
aguas lindas de goias,18.92,8.8,64.57,3.01,13.53,0.64
anapolis,10.2,5.2,5.7,1.47,1.26,0.18
aparecida de goiania,11.9,5.86,7.76,0.37,1.67,0.1
formosa,20.9,9.87,12.33,5.78,4.28,1.07
luziania,17.36,9.52,25.05,6.2,6.58,1.17
rio verde,14.85,7.2,12.04,5.63,2.6,0.54
trindade,15.12,8.42,5.26,2.94,1.53,0.54
valparaiso de goias,12.28,5.26,5.52,1.17,1.79,0.29
mais de 500.000 ,7.14,3.62,0.77,0.14,0.18,0.02
goiania,7.14,3.62,0.77,0.14,0.18,0.02
