city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
maranhao,28.39,20.88,14.15,5.87,30.51,21.38,62.61,53.94
ate 5.000 ,38.87,27.14,22.53,6.82,41.95,29.18,71.54,59.74
junco do maranhao,38,27.16,21.07,6.31,43.51,30.57,73.6,66.45
nova colinas,28.13,22.53,11.94,4.38,31.37,22.22,72.22,63.12
nova iorque,36.98,30.8,19.64,8.6,37.93,32.2,69.11,61.59
sao felix de balsas,32.57,29.59,19.69,10.3,33.89,31.88,61.9,57.03
sao pedro dos crentes,22.44,19.1,11.2,4.58,23.47,20.89,57.14,48.02
sucupira do riachao,36.52,32.99,17.6,6.88,39.77,36.78,64.41,61.91
de 5.001 a 10.000 ,37,28.58,19.04,8.19,41.37,31.13,70.94,63.9
afonso cunha,42.22,34.64,19.57,7.24,48.4,40.93,83.29,82.27
amapa do maranhao,39.39,33.27,21.7,9.42,46.93,38.4,76.95,76.91
bacurituba,35.57,23.9,15.21,4.65,38.61,23.55,63.28,53.7
belagua,52.81,39.2,35.55,11.73,58.53,49.0,82.51,83.97
benedito leite,34.29,29.24,18.49,7.19,33.55,29.4,66.41,65.05
bernardo do mearim,37.3,26.78,17.71,6.47,41.18,27.5,71.3,57.29
boa vista do gurupi,29.13,23.74,14,5.87,32.57,26.2,62.3,61.57
brejo de areia,48.28,35.08,33.64,12.19,53.64,40.85,78.56,72.82
cachoeira grande,42.35,30.41,24.81,10.37,47.22,35.3,75.15,67.9
central do maranhao,35.85,26.73,14.49,5.57,39.72,28.42,73.13,64.32
feira nova do maranhao,32.61,19.75,16.93,3.94,35.15,19.71,70.33,53.8
fernando falcao,55.57,38.06,47.04,15.84,55.85,44.82,82.05,70.14
governador luiz rocha,39.95,30.85,17.28,8.18,47.04,32.76,75.45,69.73
graca aranha,33.73,30.1,14.32,7.87,37.8,30.13,67.22,66.12
jatoba,39.85,32.42,19.79,9.09,46.22,36.25,75.57,70.44
lago dos rodrigues,38.3,30.06,19.37,6.15,42.04,31.18,73.22,65.13
lajeado novo,26.84,18.65,11.75,4.61,28.24,18.7,63.07,47.93
luis domingues,25.07,19.44,10.23,5.73,26.23,20.15,60.32,50.8
maraja do sena,50.49,39.98,38.8,18.56,55.56,47.94,76.53,73.97
milagres do maranhao,41.97,35.38,22.6,10.91,47.44,40.45,74.59,71.58
montes altos,26.9,19.77,9.35,4.44,29,18.6,64.13,52.02
porto rico do maranhao,20.67,15.52,5.97,1.89,22.32,12.93,58.33,46.29
presidente medici,35.87,25.72,13.19,4.11,42.44,26.52,71.32,70.37
