city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
maranhao,47.94,34.58,49.83,29.19,30.88,14.59
ate 5.000 ,57.69,40.42,67.91,40.01,43.35,18.2
junco do maranhao,59.23,43.03,93.13,19.88,58.15,11.89
nova colinas,37.88,27.86,50.67,44.28,21.72,15.14
nova iorque,51.99,43.96,52.31,37.03,35.25,22.18
sao felix de balsas,50.35,46.52,83.12,81.73,45.75,41.62
sao pedro dos crentes,36.25,30.43,63.28,40.51,23.75,11.86
sucupira do riachao,54.18,53.22,47.91,13.26,26.21,6.04
de 5.001 a 10.000 ,57.67,43.11,68.88,38.66,43.45,20.8
afonso cunha,65.04,53.56,87.77,47.88,60.92,33.3
amapa do maranhao,61.07,45.82,96.25,31.04,59.88,18.17
bacurituba,55.15,36.42,92.32,49.92,51.46,23.9
belagua,72.97,59.55,98.12,66.82,72.71,45.09
benedito leite,48.69,38.39,39.29,25.05,23.11,13.53
bernardo do mearim,60.61,39.26,80.31,40.89,53.13,21.48
boa vista do gurupi,47.46,34.86,72.94,36.24,36.52,16.39
brejo de areia,70.89,54.52,98.78,66.71,70.15,38.31
cachoeira grande,64.65,49.18,97.96,69.13,64.01,37.52
central do maranhao,58,37.92,99.72,32.19,58,14.52
feira nova do maranhao,45.17,25.91,88.49,54.58,41.7,16.52
fernando falcao,75.28,68.26,99.89,61.73,75.28,44.73
governador luiz rocha,60.74,42.04,35.48,8.14,24.6,4.74
graca aranha,49.76,42.04,51.7,7.48,26.94,4.14
jatoba,58.95,46.34,20.47,8.99,13.48,5.93
lago dos rodrigues,56.48,43.17,73.51,23.5,47.57,12.15
lajeado novo,38.3,25.6,52.66,35.88,26.46,11.17
luis domingues,41.49,30.07,50.06,36.88,22.14,14.48
maraja do sena,72.75,61.07,98.81,88.26,72.54,58.1
milagres do maranhao,66.13,54.57,95.7,66.55,64.84,39.74
montes altos,41.26,33.61,50.54,35.09,24.02,10.93
porto rico do maranhao,37.37,26.22,31.57,7.62,13.53,2.44
presidente medici,53.44,34.83,42.37,24.14,24.3,10.29
ribamar fiquene,45.36,28.78,48.59,29.56,21.67,9.29
sambaiba,45.84,26.09,69.92,53.11,33.63,14.6
santa filomena do maranhao,64.25,41.65,40.46,13.63,30.15,8.46
