city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
mato grosso,24.76,31.32,54.39,54.66,20.85,14.02
ate 5.000 ,4.92,6.43,56.62,62.83,38.46,30.74
araguaiana,1.21,2.3,59.72,67.34,39.07,30.36
araguainha,-,8.01,81.98,79.59,18.02,12.4
canabrava do norte,0.1,0.07,23.7,62.83,76.2,37.1
conquista d'oeste,-,5.62,-,67.09,-,27.29
curvelandia,-,0.73,-,64.71,-,34.57
figueiropolis d'oeste,0.09,1.33,44.36,59.78,55.56,38.89
gloria d'oeste,0.1,5.53,55.24,62.85,44.65,31.62
indiavai,0.18,3.99,62.3,76.2,37.52,19.81
itauba,0.23,8.64,68.45,73.51,31.32,17.85
luciara,-,0.76,73.32,87.65,26.68,11.59
nova brasilandia,2.13,16.97,67.01,57.66,30.85,25.38
nova guarita,0.22,0.27,42.67,55.22,57.11,44.52
nova marilandia,0.49,0.54,60,61.5,39.51,37.96
nova nazare,-,2.5,-,52.89,-,44.61
nova santa helena,-,9.53,-,55.13,-,35.34
novo horizonte do norte,0.24,7.29,51.18,48.03,48.58,44.68
novo santo antonio,-,1.84,-,60.7,-,37.46
planalto da serra,8.12,6.37,57.65,71.49,34.24,22.13
ponte branca,47.7,1.08,40.03,85.82,12.27,13.1
porto estrela,-,17.87,43.84,59.07,56.16,23.06
reserva do cabacal,0.75,11.37,66.62,62.64,32.63,26.0
ribeiraozinho,0.5,32.17,75.66,52.22,23.84,15.61
rondolandia,-,0.21,-,30.1,-,69.69
salto do ceu,17.17,1.56,51.27,60.3,31.57,38.14
santa carmem,0.82,5.97,70.1,78.41,29.08,15.61
santa cruz do xingu,-,29.09,-,34.55,-,36.36
santa rita do trivelato,-,2.37,-,65.69,-,31.94
santo afonso,0.49,5.84,44.65,57.33,54.87,36.83
santo antonio do leste,-,2.15,-,67.71,-,30.14
sao jose do povo,0.37,5.72,62.85,67.76,36.78,26.52
sao pedro da cipa,4.9,3.94,77.08,86.24,18.02,9.81
serra nova dourada,-,7.97,-,47.84,-,44.19
tesouro,3.23,7.66,69,63.49,27.77,28.85
torixoreu,23.9,21.1,53.44,57.86,22.66,21.03
uniao do sul,0.1,1.14,77.71,76.42,22.19,22.44
vale de sao domingos,-,0.1,-,44.95,-,54.94
de 5.001 a 10.000 ,3.9,8.15,56.17,62.37,39.94,29.48
acorizal,32.27,2.07,42.5,74.38,25.22,23.55
alto boa vista,0.32,16.43,36.05,52.9,63.63,30.67
alto taquari,8.73,1.84,71.74,89.26,19.53,8.9
apiacas,-,2.48,54.22,68.75,45.78,28.77
barao de melgaco,15.08,17.82,36.24,33.48,48.67,48.69
bom jesus do araguaia,-,0.52,-,61.65,-,37.83
campos de julio,0.63,3.06,67.5,82.78,31.88,14.16
castanheira,0.35,6.69,47.1,44.29,52.55,49.03
cocalinho,0.36,1.12,55.02,63.57,44.61,35.31
denise,9.17,3.06,76.19,85.99,14.64,10.95
dom aquino,0.73,4.02,78.87,79.6,20.4,16.38
gaucha do norte,13.15,6.0,37.9,52.21,48.95,41.79
general carneiro,-,16.39,66.76,45.64,33.24,37.97
ipiranga do norte,-,1.92,-,70.56,-,27.52
itanhanga,-,1.72,-,75.99,-,22.29
jangada,7.44,7.03,48.32,39.69,44.23,53.29
lambari d'oeste,4.16,1.07,46.42,70.04,49.42,28.89
nortelandia,12.43,13.62,77.06,67.96,10.52,18.41
nova lacerda,3.88,33.5,50.41,28.59,45.71,37.91
nova maringa,0.2,16.13,54.66,65.97,45.14,17.9
nova monte verde,-,0.04,28.22,61.58,71.78,38.38
nova ubirata,1.19,3.68,68.25,59.72,30.56,36.61
novo mundo,1.4,0.27,27.85,43.8,70.74,55.93
novo sao joaquim,0.5,19.97,51.07,50.75,48.43,29.28
pontal do araguaia,1.63,6.13,75.89,84.87,22.48,9.0
porto dos gauchos,2.36,5.86,66.73,70.61,30.91,23.54
ribeirao cascalheira,-,25.88,46.1,50.72,53.9,23.4
rio branco,0.35,1.07,79.99,86.07,19.67,12.86
