city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
mato grosso do sul,11.19,7.68,3.09,1.29,10.55,6.36,36.03,25.97
ate 5.000 ,17.1,11.61,4.58,1.73,16.43,9.61,47.13,35.57
alcinopolis,14.37,11.04,3.89,1.3,15.84,10.16,37.04,37.8
corguinho,14.71,11.55,2.07,1.08,14.89,9.69,39.52,32.03
figueirao,-,10.66,-,0.88,-,8.97,-,34.6
jatei,17.28,12.56,4.37,2.69,16.15,10.3,57.76,41.75
novo horizonte do sul,18.85,12.97,5.65,2.25,20.06,10.57,53.33,40.39
rochedo,13.83,7.48,4.3,0.67,14.31,5.95,32.1,21.31
taquarussu,22.46,15.97,5.23,3.21,20.69,12.37,59.45,48.21
de 5.001 a 10.000 ,18.77,13.05,5.94,1.9,18.81,10.91,50.63,38.35
anaurilandia,18.4,11.97,3.11,1.71,18.39,9.59,54.72,37.42
angelica,17.21,12.06,3.56,1.4,14.98,10.43,50.67,36.23
antonio joao,19.33,13.45,8.47,2.38,20.44,13.52,39.81,33.02
bandeirantes,16.13,11.99,2.78,1.94,15.58,9.41,45.33,36.06
bodoquena,17.3,10.81,4.31,1.43,18.87,9.32,48.4,36.76
caracol,13.8,8.53,5.33,0.94,12.75,7.25,38.54,29.81
douradina,16.28,10.46,2.25,0.86,14.9,7.77,48.71,35.56
gloria de dourados,16.81,11.16,3.44,1.22,14.01,8.18,47.92,33.46
inocencia,16.54,13.47,4.52,1.7,16.78,11.08,49.09,41.3
japora,31.57,23.03,16.01,5.02,31.75,23.32,70.48,63.25
jaraguari,13.19,9.34,3.73,1.72,12.54,7.96,32.76,21.76
juti,23.66,18.67,8.41,3.23,22.44,16.21,56.65,50.71
laguna carapa,17.48,12.24,8.34,2.07,16.67,11.2,45.77,36.59
pedro gomes,21.75,16.96,7.44,1.56,21.7,15.05,51.63,44.94
rio negro,19.39,12.95,6.22,2.09,16.47,9.93,53.23,32.99
santa rita do pardo,19.18,12.56,6.66,2.25,20.31,10.23,53.03,43.41
selviria,17.21,11.68,3.56,1.1,15.76,8.94,55.4,41.65
vicentina,20.52,14.62,2.81,0.97,16.71,9.49,56.6,43.44
de 10.001 a 20.000 ,15.42,11.65,4.67,1.93,15.08,10.32,45.04,37.02
agua clara,13.31,8.98,4.61,1.21,15.56,9.23,38.71,34.02
aral moreira,20.36,14.28,7.42,3.39,20.21,14.32,54.12,41.72
bataguassu,15.46,10.27,3.86,1.46,15.51,8.5,51.29,39.18
bataypora,18.39,12.53,4.28,2.12,17.61,9.99,53.41,39.45
bonito,12.51,9.31,3.62,1.61,12.98,8.33,35.61,29.39
brasilandia,14.95,10.54,3.34,1.21,14.68,9.14,55.05,38.77
camapua,12.37,10.57,2.83,1.18,12.2,8.39,36.65,32.86
chapadao do sul,6.7,4.61,1.71,0.79,7.47,4.28,28.44,23.39
coronel sapucaia,22.97,17.86,11.87,5.16,23.48,17.02,57.51,49.5
costa rica,13.39,9.27,2.7,1.09,13.05,7.48,46.77,34.72
deodapolis,18.69,13.11,2.82,1.64,16.89,9.72,52.93,42.35
dois irmaos do buriti,18.8,12.14,4.66,1.43,19.79,11.31,46.97,36.12
eldorado,19.08,14.26,5.25,2.37,19.27,12.04,51.93,45.61
fatima do sul,15.65,11.73,2.11,0.8,13.01,8.07,48.15,35.7
guia lopes da laguna,17.58,13.49,4.95,1.64,17.37,11.8,44.1,33.71
iguatemi,15.73,12.71,5.04,1.67,15.94,11.36,47.83,39.86
itaquirai,20.13,16.64,6.19,2.38,22.1,16.42,53.04,46.27
ladario,8.44,6.69,2.97,1.81,7.94,5.46,26.35,24.92
mundo novo,15.69,11.81,4.31,2.57,13.84,9.25,46.1,34.45
nioaque,17.61,12.2,5.94,1.61,17.85,10.93,49.25,37.54
nova alvorada do sul,13.55,9.59,3.95,1.48,14.79,9.56,40.68,36.52
paranhos,25.09,17.88,11.43,4.97,26.02,17.66,61.66,50.48
porto murtinho,17.98,10.73,6.82,1.65,19.47,10.5,42.73,34.3
rio verde de mato grosso,14.09,12.0,4.56,1.73,13.6,10.18,38.7,34.67
sete quedas,21.18,18.4,9.18,3.33,20.31,17.82,48.93,43.37
sonora,16.25,12.4,5.05,2.3,19.14,13.51,46.91,42.08
tacuru,26.1,19.45,11.25,2.43,27.68,19.69,63.06,56.67
terenos,13.54,8.17,3.99,1.31,14.13,6.66,33.62,24.23
de 20.001 a 50.000 ,14.14,9.69,3.72,1.42,13.58,8.17,42.76,32.02
amambai,16.85,11.14,7.55,2.34,15.62,9.73,47.05,34.27
anastacio,15.01,11.54,3.22,1.69,14.66,9.74,42.62,33.91
aparecida do taboado,15.01,9.96,3.55,1.22,13.27,7.85,43.44,31.36
aquidauana,13.22,8.53,3.73,1.55,12.56,7.2,35.66,23.98
bela vista,12.75,9.16,3.24,1.41,12.46,8.02,36.37,27.07
caarapo,18.66,12.2,5.48,1.7,17.75,9.77,54.04,44.19
cassilandia,14.04,11.54,1.82,1.03,12.53,7.5,42.89,36.49
coxim,14.98,10.46,3.41,1.3,14.59,8.49,46.44,34.84
itapora,15.76,11.9,5.19,2.54,13.84,10.17,46.61,36.09
ivinhema,14.56,9.92,2.95,0.93,12.89,7.41,47.67,32.41
jardim,11.32,7.94,3.06,1.2,10.39,6.41,34.78,24.24
maracaju,11.42,7.22,3.23,1.18,11.74,6.8,35.23,26.9
miranda,16.6,12.52,4.75,2.27,16.75,11.47,49.01,37.75
navirai,15,10.11,3.73,1.11,15.08,8.79,48.23,37.86
nova andradina,12.04,8.52,2.32,0.97,11.37,6.74,42.34,32.06
paranaiba,15.34,10.82,3.28,1.42,14.01,7.96,45.95,34.43
ribas do rio pardo,15.09,10.35,5.5,1.37,16.49,10.9,41.16,33.62
rio brilhante,13.42,8.11,5.02,1.33,14.37,7.94,35.56,27.22
sao gabriel do oeste,8.6,5.72,2.21,0.85,9.17,5.0,28.35,22.62
sidrolandia,11.44,8.84,2.61,1.37,11.61,8.07,39.74,29.76
de 50.001 a 100.000 ,10,9.23,3.11,1.86,9.37,8.47,31.21,28.58
ponta pora,10.73,9.23,3.22,1.86,10.7,8.47,33.9,28.58
de 100.001 a 500.000 ,8.99,5.98,2.04,1.22,7.91,4.74,35.13,21.67
corumba,9.04,6.36,3.73,2.09,8.66,5.69,25.68,18.18
dourados,8.99,5.56,2.04,0.89,7.91,4.18,35.13,22.43
tres lagoas,10.57,6.43,2.24,0.97,9.23,4.94,35.15,23.65
mais de 500.000 ,6,3.93,1.37,0.74,5.25,2.89,23.45,14.97
campo grande,6,3.93,1.37,0.74,5.25,2.89,23.45,14.97
