city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
minas gerais,66.4,75.01,19.86,16.44,13.74,8.55
ate 5.000 ,34.89,47.24,30.71,29.45,34.4,23.3
acaiaca,49.75,58.92,17.87,19.51,32.38,21.57
agua comprida,63.14,71.09,5.45,18.76,31.41,10.16
aguanil,46.84,63.86,20.52,17.22,32.64,18.92
alagoa,34.37,44.69,31.4,33.83,34.24,21.48
albertina,60.2,67.82,6.68,18.26,33.12,13.92
alvarenga,24.8,42.94,21.85,15.26,53.35,41.8
alvorada de minas,2.7,25.16,30.16,28.78,67.14,46.07
antonio prado de minas,53.89,59.17,11.48,25.0,34.63,15.83
aracai,0.87,49.93,80.03,28.79,19.1,21.28
aracitaba,52.07,65.14,25.37,19.14,22.55,15.71
arantina,72.12,79.94,18.94,14.48,8.94,5.58
arapua,60.43,71.57,2.15,4.47,37.43,23.96
argirita,59.63,67.45,13.65,13.87,26.72,18.68
aricanduva,9.23,28.56,18.13,20.94,72.64,50.5
augusto de lima,0.78,15.39,56.3,53.08,42.91,31.53
bandeira,27.88,45.02,21.17,13.91,50.96,41.07
belmiro braga,45.37,35.48,30.49,48.11,24.14,16.41
berizal,13.9,14.8,64.96,56.88,21.13,28.32
bertopolis,22.03,35.22,38.73,31.05,39.24,33.73
bias fortes,33.65,32.81,23.03,39.85,43.32,27.34
biquinhas,0.22,1.43,60.67,65.71,39.11,32.86
bom jesus da penha,61.9,70.63,6.91,17.77,31.19,11.6
bras pires,25.75,39.89,22.05,30.16,52.2,29.95
bugre,0.19,4.52,46.61,63.55,53.2,31.94
cachoeira da prata,83.91,93.64,15.39,6.36,0.7,-
cachoeira dourada,82.16,87.45,16.74,3.84,1.1,8.71
caiana,38.96,42.19,8.81,42.82,52.22,14.99
cajuri,23.1,55.88,24.85,23.52,52.05,20.6
camacho,28.7,48.08,21.19,29.76,50.11,22.17
campanario,34.85,61.16,35.21,17.0,29.94,21.84
campo azul,0.13,4.8,54,61.96,45.88,33.24
canaa,24.12,33.22,12.77,20.97,63.11,45.81
cantagalo,4.51,21.57,32.28,52.23,63.21,26.2
capela nova,14.05,34.12,32.63,22.86,53.32,43.02
capitao andrade,47.31,64.11,21.04,14.49,31.65,21.39
caranaiba,20.84,35.86,23.06,25.63,56.1,38.5
carmesia,19.3,50.74,36.14,23.83,44.56,25.44
carrancas,51.98,60.5,14.21,22.4,33.81,17.11
carvalhopolis,69.53,73.64,13.17,20.0,17.3,6.36
carvalhos,39.85,43.15,22.2,28.66,37.95,28.19
casa grande,18.98,47.48,45.17,31.38,35.85,21.14
cascalho rico,56.29,37.85,15.56,31.22,28.15,30.93
catas altas,68.41,82.55,17.94,9.04,13.64,8.41
catas altas da noruega,13.72,39.82,27.72,12.32,58.56,47.85
cedro do abaete,16.54,24.27,70.8,64.27,12.66,11.46
chacara,68.88,63.11,10.18,28.7,20.93,8.19
chiador,38.9,60.66,28.15,25.62,32.94,13.72
claraval,40.03,46.41,8.65,23.52,51.32,30.08
comendador gomes,12.27,41.22,42.58,20.06,45.15,38.72
conceicao da barra de minas,0.2,37.89,66.83,36.63,32.97,25.48
conceicao das pedras,47.98,60.35,12.68,30.99,39.34,8.65
conceicao de ipanema,27.41,34.68,25.64,22.53,46.95,42.79
congonhas do norte,6.43,24.1,52.8,50.97,40.77,24.93
consolacao,38.01,53.04,16.67,35.71,45.33,11.25
cordislandia,72.71,78.89,10.21,7.63,17.09,13.48
coronel pacheco,64.11,62.1,10.22,27.32,25.67,10.58
coronel xavier chaves,42.27,50.05,14.37,43.53,43.36,6.42
corrego danta,40.45,57.53,26.16,5.63,33.39,36.84
corrego do bom jesus,35.28,43.59,25.85,47.99,38.86,8.42
corrego novo,24.39,60.18,37.14,10.13,38.47,29.69
couto de magalhaes de minas,27.43,65.85,62.51,26.52,10.05,7.64
crucilandia,44.26,57.26,11.1,11.17,44.64,31.58
cruzeiro da fortaleza,74.46,85.91,11.31,10.47,14.23,3.62
cuparaque,44.81,72.4,36.53,17.19,18.67,10.42
descoberto,60.76,76.27,12.4,16.55,26.84,7.17
desterro do melo,24.02,38.18,13.49,18.41,62.49,43.41
diogo de vasconcelos,17.75,28.5,13.63,29.01,68.63,42.49
divinesia,34.98,44.87,33.13,32.21,31.89,22.91
divino das laranjeiras,29.15,59.41,52.58,29.21,18.28,11.38
dom bosco,20.9,34.89,45.83,41.48,33.27,23.63
dom joaquim,21.59,50.94,39.33,22.66,39.09,26.41
dom vicoso,34.54,54.07,31.62,28.22,33.84,17.71
dores do turvo,10.94,25.92,31.67,29.5,57.39,44.58
doresopolis,57.53,77.94,15.31,10.73,27.16,11.34
douradoquara,49.83,62.33,21.7,14.05,28.47,23.62
espirito santo do dourado,41.34,48.14,17.66,19.52,41,32.34
estrela dalva,47.34,60.17,28.72,24.82,23.94,15.01
estrela do indaia,69.48,44.65,25.98,47.51,4.54,7.84
ewbank da camara,39.34,90.69,49.79,6.36,10.87,2.95
fama,56.77,49.94,15.14,39.32,28.09,10.74
faria lemos,57.92,63.13,12.69,17.14,29.39,19.73
fernandes tourinho,41.63,51.74,29.61,17.18,28.76,31.08
fortaleza de minas,69.64,73.25,11.91,23.25,18.45,3.51
fortuna de minas,19.9,38.66,43.18,49.15,36.92,12.2
francisco dumont,0.26,15.44,55.76,49.73,43.98,34.83
frei lagonegro,0.83,16.74,11.23,11.09,87.93,72.17
fronteira dos vales,15.68,42.68,52.17,29.98,32.15,27.34
funilandia,8.84,34.2,63.08,53.09,28.08,12.71
glaucilandia,4.52,23.09,85.84,47.01,9.64,29.89
goiabeira,33.51,62.93,50.47,21.39,16.02,15.68
goiana,71.65,76.43,16.8,16.46,11.55,7.11
goncalves,27.43,28.65,66.79,69.74,5.79,1.61
grupiara,1.36,1.58,82.09,82.97,16.55,15.45
guaraciama,0.09,0.9,82.7,92.77,17.21,6.33
guarara,53.02,81.53,33.16,13.18,13.82,5.29
ibitiura de minas,58.96,67.84,21.12,24.01,19.92,8.15
ibituruna,71.03,85.22,13.79,10.05,15.18,4.73
ingai,48.64,58.71,15.21,17.43,36.14,23.86
ipiacu,83.36,89.93,12.82,3.05,3.81,7.02
itacambira,2.82,2.97,20.67,36.09,76.51,60.94
