city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
minas gerais,18.96,10.28,16.3,9.56,6.24,2.56
ate 5.000 ,28.17,16.63,36.2,23.61,12.78,6.03
acaiaca,29.1,12.54,28.86,17.04,11.19,4.5
agua comprida,11.76,10.4,36.27,15.2,1.47,3.2
aguanil,18.28,10.1,31.99,13.47,5.91,3.03
alagoa,15.93,10.0,32.2,27.37,8.14,1.58
albertina,18.08,8.92,39.94,11.27,9.62,0.47
alvarenga,33.72,18.03,57.56,38.8,20.74,9.56
alvorada de minas,46.34,29.14,72.76,49.88,38.62,20.74
antonio prado de minas,10.56,8.89,32.39,13.33,4.93,1.11
aracai,17.36,14.37,19.01,29.34,5.37,4.79
aracitaba,25.14,12.5,21.23,13.39,6.7,5.36
arantina,20.26,7.49,3.92,1.07,0.33,0.53
arapua,4.7,1.7,30.77,15.34,2.14,0.57
argirita,19.49,12.71,31.63,18.23,8.95,4.42
aricanduva,39.47,23.74,75.4,56.51,31.33,16.18
augusto de lima,28.14,21.13,41.54,28.54,14.57,6.32
bandeira,54.66,37.03,51.74,41.06,34,15.62
belmiro braga,23.16,18.05,32.89,19.17,10.79,6.02
berizal,49.36,31.54,20.55,20.54,9.32,8.31
bertopolis,47.98,46.51,42.71,46.31,25.71,29.54
bias fortes,34.17,19.17,43.05,25.94,16.63,3.76
biquinhas,14.57,5.0,37.4,37.86,5.12,0.71
bom jesus da penha,12.3,5.79,32.2,8.49,5.24,0.39
bras pires,18.85,15.32,54.22,27.33,12.21,6.01
bugre,30.82,12.64,52.74,25.57,19.86,3.45
cachoeira da prata,9.94,3.96,0.58,0.0,0,0.0
cachoeira dourada,24.41,9.95,0.47,3.62,0,0.0
caiana,27.36,15.24,60.24,16.63,20.87,2.08
cajuri,24.05,14.34,58.8,19.93,13.59,3.5
camacho,23.86,5.8,47.16,20.29,11.65,2.42
campanario,39.6,26.16,32.66,22.94,17.67,6.81
campo azul,38.24,22.63,47.25,35.17,19.56,10.7
canaa,32.14,15.87,62.05,51.43,20.76,8.89
cantagalo,35.99,19.16,62.5,25.93,24.57,7.71
capela nova,20.94,13.78,59.83,50.15,18.8,9.97
capitao andrade,37.44,16.53,29,21.31,14.84,5.18
caranaiba,22.93,10.64,54.42,31.91,15.75,4.26
carmesia,34.67,14.91,44.16,25.44,18.98,7.46
carrancas,20.15,6.6,35.44,11.55,10.19,0.99
carvalhopolis,9.14,4.55,19.76,5.79,1.18,0.41
carvalhos,23.95,10.51,34.42,31.91,9.07,3.11
casa grande,15.72,7.79,29.69,18.18,1.75,1.3
cascalho rico,8.14,5.73,29.07,33.48,2.33,2.64
catas altas,22.33,4.38,13.13,6.33,6.38,0.49
catas altas da noruega,31.79,19.56,66.03,51.66,22.28,14.76
cedro do abaete,24.26,6.76,14.71,8.11,3.68,1.35
chacara,22.31,14.46,21.92,11.45,6.92,1.2
chiador,27.89,16.74,35.03,18.88,13.61,9.87
claraval,12.1,5.81,47.95,23.48,5.02,1.52
comendador gomes,14.52,6.72,47.18,37.31,7.66,0.37
conceicao da barra de minas,12.05,8.06,31.08,24.54,6.99,0.73
conceicao das pedras,15.13,7.29,45.02,3.13,5.17,0.0
conceicao de ipanema,33.42,16.11,55.95,39.17,16.71,6.11
congonhas do norte,42.9,32.06,42.6,24.16,22.96,10.77
consolacao,25.4,13.33,55.03,5.83,18.52,0.83
cordislandia,20.79,13.67,17.63,19.67,3.16,1.67
coronel pacheco,23.05,12.64,29,10.44,5.58,2.2
coronel xavier chaves,14.58,8.59,40.34,3.91,5.42,0.0
corrego danta,15.74,12.44,39.51,41.94,8.64,8.76
corrego do bom jesus,12.33,5.31,37,3.86,5,0.97
corrego novo,29.56,18.56,41.99,27.49,11.88,4.81
couto de magalhaes de minas,26.39,17.51,9.48,8.76,3.92,4.52
crucilandia,15.27,8.12,44.09,23.25,7.14,5.04
cruzeiro da fortaleza,8.83,12.29,15.27,3.35,1.19,0.0
cuparaque,33.27,23.15,20.56,10.19,8.47,1.85
descoberto,18.72,6.69,23.79,6.38,5.73,1.82
desterro do melo,37.58,17.26,70.81,41.12,31.54,10.66
diogo de vasconcelos,44.04,23.7,70.85,30.37,38.72,7.78
divinesia,20.59,10.45,40.85,21.25,11.76,3.48
divino das laranjeiras,27.94,15.23,16.81,13.51,6.09,2.46
dom bosco,21.8,11.63,26.62,22.59,5.87,3.99
dom joaquim,38.61,21.68,46.09,28.06,21.71,8.16
dom vicoso,14.63,6.37,38.44,17.65,7.14,0.49
dores do turvo,30.25,15.38,66.54,49.45,24.39,10.62
doresopolis,17.65,10.53,30.25,7.89,8.4,0.0
douradoquara,11.89,3.68,22.38,21.32,0.7,0.74
espirito santo do dourado,12.11,10.74,34.2,32.55,4.99,6.71
estrela dalva,29.25,13.11,29.64,18.58,12.25,2.73
estrela do indaia,19.6,17.3,3.17,11.81,0.58,1.27
ewbank da camara,22.67,12.83,9.79,1.64,3.1,1.32
fama,15.35,13.42,37.62,12.75,8.42,3.36
faria lemos,38.24,16.01,41.57,28.47,19.71,5.69
fernandes tourinho,30.14,20.35,26.95,28.32,6.74,5.31
fortaleza de minas,17.68,5.26,17.92,4.02,1.45,1.86
fortuna de minas,23.9,9.22,34.56,13.82,11.76,0.46
francisco dumont,41.2,22.95,39.49,31.58,13.33,10.32
frei lagonegro,46.45,18.43,90.16,67.92,43.44,15.7
fronteira dos vales,58.44,33.5,36.06,29.85,26.82,11.41
funilandia,24.02,10.74,24.54,11.66,7.05,2.45
glaucilandia,25.17,16.87,10,20.08,2.76,4.02
goiabeira,37.45,17.09,13.9,13.09,5.41,4.0
goiana,13.02,12.69,17.14,10.45,4.76,2.99
goncalves,20.22,8.13,4.94,1.06,1.35,0.0
grupiara,9.4,3.81,7.69,7.62,0.85,0.95
guaraciama,34.01,16.22,16.9,6.63,8.96,2.46
guarara,19.68,12.12,13.73,6.73,4.35,1.01
ibitiura de minas,16.14,9.0,23.1,5.69,5.7,0.0
ibituruna,16.57,11.16,15.68,5.79,0.89,0.83
ingai,14.7,8.29,38.35,23.83,5.02,1.04
ipiacu,17.96,16.45,2.49,6.13,0,0.32
itacambira,30.61,19.79,76.24,57.52,26.05,15.3
itamarati de minas,15.67,8.68,19.37,7.85,3.7,1.65
itambe do mato dentro,28.29,22.62,56.59,38.69,22.48,11.31
itutinga,18.72,4.4,17.73,21.25,4.19,2.56
jaguaracu,24.09,12.12,25.18,2.6,6.2,0.0
japaraiba,5.99,2.53,16.96,11.8,0.75,0.56
jesuania,25.25,12.09,42.63,25.16,15.35,5.88
joaquim felicio,41.71,22.16,38.34,40.34,18.65,9.66
jose goncalves de minas,50.96,29.41,45.87,51.85,28.1,22.22
jose raydan,42.34,25.2,71.29,48.79,32.78,16.89
josenopolis,62.24,38.88,57.16,35.33,43.58,18.32
juramento,30.08,13.74,33.69,28.36,10.59,7.02
lagoa dos patos,37.12,19.89,26.14,20.69,9.09,5.04
lamim,22.47,19.64,67.4,55.71,17.53,17.5
leandro ferreira,19.28,14.51,32.23,16.86,8.13,4.31
leme do prado,36.6,22.2,10.29,16.95,6.21,7.16
madre de deus de minas,15.49,8.84,18.04,15.19,3.73,1.93
marilac,40.57,15.14,18.86,11.75,8.35,0.78
maripa de minas,18.18,8.29,24.55,8.78,4.55,1.46
marlieria,21.74,10.29,24.49,5.79,5.49,1.61
marmelopolis,19,9.91,41.95,12.26,12.66,1.89
materlandia,45.11,28.54,57.33,42.17,28.99,17.42
mathias lobato,40.36,24.16,10.24,5.06,5.62,1.4
matutina,14.29,7.46,17.2,10.09,2.33,0.0
medeiros,11.3,2.9,49.44,28.26,4.24,0.72
minduri,20.69,12.31,10.84,8.58,5.67,2.61
