city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
para,16.77,11.74,8.28,3.95,17.75,11.75,42.98,34.04
ate 5.000 ,20.59,18.28,8.66,3.96,22.91,18.83,48.6,47.1
bannach,24.42,18.28,10.81,3.96,29.4,18.83,54.05,47.1
de 5.001 a 10.000 ,24.91,16.87,11.5,4.42,27.18,16.92,56.13,45.96
abel figueiredo,24.95,17.76,10.57,2.52,28.11,18.42,62.61,51.78
brejo grande do araguaia,26.79,19.74,9.94,3.46,30.53,20.35,70.6,59.79
faro,16.13,10.51,6.93,2.79,17.25,10.15,43.05,34.0
magalhaes barata,16.37,10.63,4.51,3.16,15.32,9.31,45.32,28.62
palestina do para,34.18,23.52,16.98,5.33,37.28,22.87,75.24,66.91
pau d'arco,26.01,22.46,11.14,6.64,28.61,22.24,63.72,61.54
peixe-boi,27.88,22.16,12.63,6.87,30.44,22.21,56.12,50.18
santa cruz do arari,21.48,11.54,11.5,5.03,21.73,10.95,51.21,34.4
santarem novo,24.49,17.2,9.92,3.55,27.46,17.43,54.22,46.68
sao joao da ponta,18.49,8.74,7.79,3.41,16.55,7.58,45.82,23.76
sapucaia,18.85,22.29,7.21,6.41,22.02,24.55,50.72,59.18
de 10.001 a 20.000 ,25.56,17.97,13.4,5.25,28.11,18.59,55.33,46.71
aveiro,24.29,13.74,10.26,4.62,28.32,13.23,51.03,39.55
belterra,19.13,12.4,7.12,2.3,20.29,11.92,47.43,33.89
bom jesus do tocantins,37.15,21.14,18.51,4.73,41.24,22.03,75.66,56.83
bonito,32.06,21.8,18.79,8.21,35.24,23.09,59.75,56.62
brasil novo,24.87,17.83,9.62,5.55,29.05,17.53,59.24,48.59
colares,13.93,10.36,4.06,2.38,15.26,9.58,35.72,28.85
cumaru do norte,25.65,25.2,12.78,13.89,29.56,26.93,57.47,48.76
curionopolis,26.88,17.98,10.47,3.08,30.77,18.1,57.3,49.83
curua,18.35,14.43,7.68,4.27,18.77,14.95,50.6,43.61
floresta do araguaia,25.77,18.76,11.43,4.51,28.44,18.85,62.95,59.0
inhangapi,24.54,15.61,10.51,3.62,27.13,16.27,53.64,43.42
jacareacanga,36.82,27.41,18.99,12.94,42.37,30.57,73.16,59.53
nova ipixuna,29.94,21.91,12.9,5.39,35.2,22.95,67.6,59.39
nova timboteua,25.94,20.06,11.87,4.78,26.44,19.39,60.61,49.86
ourem,27.49,20.61,13.42,5.27,30.13,21.4,58.51,52.42
picarra,28.06,22.19,14.17,6.61,31.28,22.65,70.74,63.33
primavera,24.6,20.88,11.94,5.6,24.1,21.23,55.19,47.76
quatipuru,28.87,22.93,16.2,8.56,30.98,24.16,56.7,49.82
rio maria,18.83,16.04,5.93,3.0,20.16,15.75,55.87,47.92
santa barbara do para,13.3,8.39,5.23,1.91,13.42,7.92,39.81,27.96
santa luzia do para,34.55,24.89,19.13,8.67,38.93,27.12,67.42,58.34
santa maria das barreiras,29.6,18.64,12.47,5.11,33.67,18.6,62.52,47.53
sao caetano de odivelas,15.48,11.4,6.3,4.44,15.81,11.04,39.21,28.01
sao francisco do para,18.12,15.91,6.43,3.31,20.16,15.34,45.13,44.44
sao joao do araguaia,34.46,24.76,17.66,7.74,39.25,26.62,72.04,59.55
senador jose porfirio,31.67,22.8,16.25,7.52,37.9,25.8,64.64,55.31
terra alta,13.56,9.63,4.39,2.3,13.48,9.43,38.96,25.9
terra santa,13.24,8.47,3.66,1.8,12.5,6.94,47.76,32.79
trairao,24.67,19.77,10.9,5.44,29.49,21.75,65.56,60.92
vitoria do xingu,27.47,16.09,14.1,4.69,31.37,17.23,55.06,47.05
de 20.001 a 50.000 ,24.33,17.17,12.08,5.87,27.06,18.09,56.41,46.51
afua,43.61,28.88,29.46,12.32,48.57,33.99,76.35,64.13
agua azul do norte,20.5,11.77,7.16,2.9,24.39,12.07,56.65,48.9
almeirim,19.63,13.79,11.02,4.35,20.4,13.89,58.2,47.06
anajas,49.37,32.98,42.78,15.5,50.97,39.21,70.87,68.65
anapu,30.23,19.19,15.73,6.33,35.92,21.41,63.12,54.48
augusto correa,34.03,26.26,16.79,9.28,37.98,29.48,69.68,60.19
aurora do para,36.45,23.45,20.86,9.0,40.72,24.89,69.18,60.05
bagre,34.2,23.98,25.21,11.56,35.97,26.42,62.78,64.62
baiao,18.45,13.93,8.22,6.0,19.04,14.39,51.59,37.58
bujaru,24.84,14.57,9.34,4.55,28.01,14.33,59.57,44.0
cachoeira do arari,18.51,13.64,8.09,5.62,19.25,12.97,43.17,36.92
cachoeira do piria,47.61,28.83,34.16,11.28,53.2,34.32,71.59,65.16
canaa dos carajas,18.5,9.93,7.45,2.21,20.63,10.04,54.41,43.8
chaves,37.11,27.07,26.18,14.01,39.85,29.62,62.8,55.95
conceicao do araguaia,21.25,14.1,6.54,3.11,22.61,12.18,59.23,43.27
concordia do para,30.18,20.42,13.58,6.26,33.99,21.51,68.63,59.83
curralinho,32.28,21.6,21.29,10.52,35.01,24.01,64.35,51.85
curuca,12.19,10.82,4.66,3.36,11.6,10.66,30.65,25.64
eldorado dos carajas,27.48,21.29,13.18,5.13,32.1,23.37,62.86,60.05
garrafao do norte,41.73,30.5,29.36,12.56,46.29,34.92,68.83,63.85
goianesia do para,30.25,22.67,17.01,6.59,34.53,25.48,68.76,64.87
gurupa,35.05,24.82,22.35,9.0,38.4,28.33,68.56,62.3
igarape-acu,21.37,15.57,9.02,4.24,23.03,15.55,49.65,42.07
irituia,22.17,19.65,8.55,4.33,24.04,19.86,55.94,52.35
juruti,15.05,8.9,4.63,2.3,14.28,7.95,50.37,36.38
limoeiro do ajuru,23.09,14.75,12.43,5.36,23.58,15.76,61.38,44.5
mae do rio,23.34,17.6,10.01,4.2,24.71,18.09,61.91,49.93
maracana,18.02,12.0,6.92,3.55,17.99,11.21,44.15,31.06
marapanim,14.2,9.44,6.15,2.85,13.29,8.86,34.42,23.06
medicilandia,24.15,18.35,10.28,4.21,29.18,20.44,55.15,52.87
melgaco,41.91,36.68,31.2,20.21,44.65,44.39,77.11,70.14
mocajuba,15.18,10.92,6.49,3.15,14.56,11.01,44.69,31.69
muana,21.22,13.02,12.05,4.5,21.47,13.55,52.26,39.29
nova esperanca do piria,40.29,26.32,27.76,11.94,46.48,31.1,71.75,55.27
novo progresso,12.47,8.9,3.22,1.38,14.29,9.99,47.91,29.94
obidos,15.19,12.68,6.16,4.18,15.88,12.56,40.52,31.84
