city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
para,32.71,21.82,43.43,29.6,20.98,10.93
ate 5.000 ,35.76,29.48,54.87,56.27,21.86,20.64
bannach,41.32,29.48,85.24,56.27,37.15,20.64
de 5.001 a 10.000 ,41.09,24.78,53.83,21.3,25.24,7.53
abel figueiredo,43.09,25.94,28.34,10.53,14.74,5.14
brejo grande do araguaia,44.77,27.56,38.45,25.85,22.93,7.91
faro,23.84,18.56,39.16,27.92,11.32,7.36
magalhaes barata,30.7,16.08,45.62,10.31,15.52,3.61
palestina do para,52.52,29.77,41.92,24.15,25.6,9.32
pau d'arco,36.16,29.17,79.89,45.09,29.89,18.9
peixe-boi,49.39,31.49,59.4,20.15,35.45,8.31
santa cruz do arari,44.16,28.17,36.07,13.02,17.59,4.26
santarem novo,42.39,24.34,45.13,22.11,23.33,8.68
sao joao da ponta,30.45,15.78,50.69,15.63,16.78,4.25
sapucaia,35.51,30.16,27.54,20.29,11.23,7.13
de 10.001 a 20.000 ,42.54,26.86,67.49,40.08,33.14,13.41
aveiro,35.08,21.07,80.78,61.4,32.41,15.51
belterra,31.17,17.87,76.21,37.67,26.05,9.01
bom jesus do tocantins,54.25,29.82,56.79,31.47,35.55,12.26
bonito,52.09,29.72,62.05,34.78,34.45,13.72
brasil novo,38.37,24.18,71.95,47.74,30.19,15.26
colares,24.76,16.72,49.09,22.55,15.82,5.9
cumaru do norte,38.46,33.77,40.38,55.08,16.67,15.31
curionopolis,44.9,25.85,50.52,32.31,25.29,9.72
curua,31.18,24.3,68.41,32.7,22,9.48
floresta do araguaia,36.67,22.73,82.62,72.23,32.91,18.2
inhangapi,41.46,24.33,68.64,46.94,31.53,13.89
jacareacanga,51.9,36.73,75.93,52.57,45.22,21.19
nova ipixuna,47.86,32.59,93.64,51.69,46.18,19.21
nova timboteua,43.72,27.24,39.74,26.22,22.99,8.38
ourem,46,33.54,51.39,26.47,27.07,11.54
picarra,43.3,34.48,86.51,58.05,39.62,21.62
primavera,44.33,34.18,46.27,23.1,25.86,11.36
quatipuru,51.17,37.49,78.06,28.68,45.41,13.59
rio maria,27.65,20.37,47.33,26.21,14.45,5.67
santa barbara do para,22.6,13.87,18.11,26.16,5.12,4.6
santa luzia do para,56.8,37.05,61.21,45.36,40.33,20.18
santa maria das barreiras,38.55,24.45,68.83,49.0,31.86,14.37
sao caetano de odivelas,25.85,18.84,53.32,21.98,17.19,5.75
sao francisco do para,29.74,24.85,45.87,28.55,16.02,8.83
sao joao do araguaia,55.29,36.88,76.75,54.43,45.01,23.44
senador jose porfirio,50.91,38.16,60.81,44.88,34.27,21.61
terra alta,21.84,13.34,30.99,14.04,9.83,1.82
terra santa,24.14,11.98,26.97,16.78,8.09,1.83
trairao,39.81,32.82,92.88,54.02,38.19,23.84
vitoria do xingu,42.47,27.99,67.31,50.74,32.56,15.64
de 20.001 a 50.000 ,41.86,28.96,59.33,44.51,29.84,17.09
afua,67.85,52.01,80.85,76.43,57.81,42.98
agua azul do norte,31.45,13.42,72.92,45.94,22.14,6.12
almeirim,37.34,25.34,40.2,36.57,23.95,12.99
anajas,70.73,58.94,79.43,70.33,59.94,46.38
anapu,46.92,31.46,86.43,56.18,42.09,20.72
augusto correa,54.96,44.29,54.02,41.77,33.7,22.31
aurora do para,56.84,35.19,73.36,41.23,46.14,18.4
bagre,51.52,42.93,75.47,60.72,42.61,31.38
baiao,35.02,22.22,46.64,35.98,20.28,11.61
bujaru,46.81,23.94,72.15,66.46,37.58,17.36
cachoeira do arari,34.95,24.23,74.25,51.78,26.7,13.33
cachoeira do piria,71.29,40.24,83.8,78.72,62.3,33.37
canaa dos carajas,26.51,14.34,72.25,13.0,19.83,4.17
chaves,58.63,46.44,94.33,86.7,56.55,42.44
conceicao do araguaia,32.22,17.75,34.53,25.8,16.73,7.38
concordia do para,50.38,32.06,82.25,45.29,45.04,17.34
curralinho,54.3,38.89,76.33,74.75,45.13,33.07
curuca,22.79,18.48,41.37,10.65,11.28,2.79
eldorado dos carajas,43.56,30.2,85.71,54.52,40.15,19.07
garrafao do norte,63.9,48.41,76.55,61.86,51.51,33.54
goianesia do para,46.1,34.09,80.68,32.99,41.23,14.37
gurupa,57.85,45.95,75.07,69.13,47.35,35.44
igarape-acu,37.08,26.25,48.99,22.65,23.04,9.28
irituia,37.42,29.57,62.73,40.79,26.28,14.17
juruti,26.91,15.0,68.95,36.73,20.94,6.95
limoeiro do ajuru,41.49,25.44,86.25,77.92,38.73,21.72
mae do rio,39.87,28.32,61.07,11.54,29.53,4.47
maracana,30.7,18.39,45.17,31.84,16.38,7.95
marapanim,22.52,16.8,45.44,17.89,13.29,3.85
medicilandia,41.81,25.95,79.89,53.68,37.17,16.72
melgaco,60.45,55.24,88.33,79.94,55.37,49.01
mocajuba,31.09,22.74,36.15,35.08,13.33,10.72
muana,39.34,24.75,71.22,60.43,30.55,15.95
nova esperanca do piria,66.53,44.01,97.55,49.77,65.67,26.92
novo progresso,17.27,13.16,25.05,18.85,5.2,2.57
obidos,27.91,22.1,51.15,41.86,17.61,12.67
oeiras do para,44.62,36.39,70.47,61.72,34.71,25.74
ourilandia do norte,33.62,24.12,58.78,25.49,21.81,12.73
pacaja,46.53,31.65,88.98,65.99,43.52,25.13
placas,38.95,23.62,95.22,71.5,37.34,18.56
ponta de pedras,37.13,25.85,59.22,50.84,27.35,16.48
porto de moz,52.63,37.96,48.82,57.88,30.11,23.06
prainha,40.15,30.36,62.43,54.89,28.45,18.9
rondon do para,39.94,29.11,27.97,19.13,15.5,7.89
ruropolis,46.44,23.42,81.19,58.66,41.38,15.62
salinopolis,28.07,19.58,41.99,9.91,15.69,3.16
salvaterra,18.86,14.13,50.38,14.73,12.37,2.41
santa maria do para,45.68,30.83,32.54,24.84,20.43,11.25
santo antonio do taua,26.74,16.8,32.78,14.47,11.8,3.91
sao domingos do araguaia,47.98,29.04,75.98,26.32,39.64,9.26
sao domingos do capim,52.82,35.02,71.35,54.61,42.39,22.52
sao geraldo do araguaia,40.95,25.35,77.23,33.11,33.91,11.17
sao joao de pirabas,44.35,33.31,56.16,33.39,26.83,12.35
sao sebastiao da boa vista,39.67,28.42,75.88,64.57,33.86,22.12
soure,26.41,15.71,39.73,10.68,14.45,3.69
tracuateua,47.95,33.68,81.71,61.75,41.15,23.77
tucuma,32.53,16.59,59.44,24.61,23.57,5.5
ulianopolis,41.94,19.9,85.75,24.36,38.6,6.1
uruara,34.23,20.76,81.44,48.3,29.55,13.06
vigia,26.06,16.65,27.49,12.93,9.28,2.89
xinguara,30.79,18.1,76.32,16.34,27.35,4.3
de 50.001 a 100.000 ,37.01,27.13,47.36,34.78,23.42,13.99
acara,48.77,35.27,82.67,64.38,42.53,26.27
alenquer,33.07,27.49,66.42,54.74,26.47,18.52
altamira,32.26,19.57,24.75,22.77,12.52,7.47
barcarena,23.89,15.68,35.62,19.8,13.49,6.01
benevides,18.69,10.63,14.27,10.29,4.63,1.95
breu branco,44.63,31.19,46.08,27.84,25.16,11.55
breves,61.36,48.98,64.51,59.17,46.21,36.05
capanema,31.72,22.47,55.36,11.35,23.62,4.76
capitao poco,56.97,37.38,59.9,33.07,38.04,15.58
dom eliseu,46.03,26.05,25.6,21.48,14.08,5.89
igarape-miri,47.98,36.24,67.86,61.74,38.08,27.18
ipixuna do para,55.99,29.54,67.77,35.84,42.3,13.6
itaituba,35.25,21.73,45.32,19.57,20.63,6.29
itupiranga,54.93,34.41,74.03,52.08,43.75,20.94
jacunda,42.92,23.34,45.43,15.37,24.23,5.65
moju,46.94,31.61,68.28,53.34,37.3,20.59
monte alegre,36.23,22.82,64.47,47.55,27.51,13.51
novo repartimento,51.96,32.48,85.6,50.06,47.75,20.46
oriximina,27.73,20.07,39.87,41.58,15.44,11.15
paragominas,39.77,22.53,23.15,11.96,12.79,4.6
portel,67.68,54.72,74.3,61.16,56.31,42.06
redencao,25.08,16.62,26,16.93,9.97,4.71
santa isabel do para,22.55,13.72,22.41,18.42,7.63,4.35
santana do araguaia,30.63,17.01,48.08,36.45,17.86,7.8
sao felix do xingu,39.71,16.19,74.64,45.11,33.21,9.81
sao miguel do guama,39.98,27.06,66.46,42.55,31.1,15.6
tailandia,44.47,22.64,59.46,12.22,31.53,4.39
tome-acu,40.13,29.07,40.77,37.0,20.49,13.73
tucurui,22.12,17.59,12.79,7.5,4.56,2.39
viseu,54.02,39.99,76.59,57.62,44.44,26.65
de 100.001 a 500.000 ,21.74,14.36,27.4,18.97,10.6,5.42
