city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
paraiba,35.08,45.56,40.07,37.64,24.86,16.8
ate 5.000 ,11.76,26.26,36.14,37.92,52.09,35.82
algodao de jandaira,3.17,12.78,32.28,48.59,64.55,38.63
amparo,0.67,10.38,35.92,43.55,63.41,46.07
areia de baraunas,6.57,36.89,48.74,18.85,44.7,44.26
assuncao,30.2,-,44.94,81.96,24.86,18.04
barauna,0.12,0.08,60.41,76.85,39.47,23.08
bernardino batista,-,0.25,14.34,46.56,85.66,53.19
bom jesus,0.2,0.57,61.25,71.1,38.55,28.33
cacimba de areia,31.55,35.6,10.79,18.43,57.65,45.97
cajazeirinhas,6.33,11.41,28.24,44.42,65.43,44.17
caraubas,19.02,38.46,21.58,24.52,59.4,37.03
carrapateira,-,16.95,86.58,62.2,13.42,20.85
catingueira,3.03,16.83,41.68,50.8,55.28,32.36
caturite,12.15,19.86,21.12,41.53,66.73,38.6
congo,14.92,40.05,36.33,32.48,48.74,27.47
coxixola,27.72,31.46,23.51,60.37,48.76,8.16
curral velho,-,29.94,54.14,37.19,45.86,32.87
damiao,-,0.51,39.14,52.4,60.86,47.09
duas estradas,13.98,25.42,58.63,55.96,27.39,18.62
emas,18.49,48.47,34.51,29.55,47,21.98
frei martinho,48.91,60.21,7.41,17.71,43.68,22.08
gurjao,6.73,33.01,56.24,46.39,37.03,20.59
lagoa,6.61,17.03,31.81,36.88,61.59,46.08
lastro,0.15,12,35.24,35.17,64.61,52.83
logradouro,16.48,36.41,51.92,43.57,31.6,20.02
mae d'agua,22.37,42.31,37.92,20.22,39.71,37.47
matinhas,4.06,10.56,30.27,7.75,65.67,81.69
mato grosso,0.91,30.04,33.09,53.69,66,16.27
montadas,23.93,34.39,33.12,33.49,42.95,32.11
monte horebe,28.53,52.64,26.13,7.8,45.34,39.56
nova palmeira,55.69,56.11,7.22,7.48,37.09,36.41
olivedos,10.88,41.17,33.5,15.01,55.62,43.81
ouro velho,0.52,1.81,68.24,68.54,31.23,29.65
parari,-,46.02,26.05,18.16,73.95,35.82
passagem,34.72,35.27,46.43,47.32,18.85,17.41
pedra branca,3.76,63.51,51.94,16.43,44.29,20.06
poco dantas,0.36,13.52,34.06,54.69,65.58,31.79
poco de jose de moura,22.87,35.8,8.42,17.78,68.71,46.42
prata,0.21,0.52,64.16,68.61,35.62,30.86
quixaba,29.25,35.12,9.75,9.77,61.01,55.12
riachao,-,21.18,46.92,53.44,53.08,25.38
riachao do bacamarte,5.01,11.42,49.85,56.45,45.13,32.13
riachao do poco,-,1.11,22.23,47.26,77.77,51.62
riacho de santo antonio,0.99,36.15,63.7,32.98,35.31,30.87
salgadinho,0.77,14.84,46.08,22.15,53.15,63.01
santa ines,0.38,0.98,33.5,45.66,66.11,53.36
santa teresinha,31.94,47.71,9.83,46.12,58.23,6.17
santarem,0.33,0.67,71.76,82.4,27.91,16.93
santo andre,-,-,27.68,36.02,72.32,63.98
