city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
paraiba,48.86,32.08,29.84,18.91,21.2,10.08
ate 5.000 ,58.63,38.48,55.71,36.99,37.27,17.8
algodao de jandaira,78.91,45.56,67.01,26.67,57.48,16.67
amparo,52.91,23.11,71.96,42.44,47.62,15.13
areia de baraunas,63.32,47.95,44.98,32.75,27.07,15.79
assuncao,51.79,33.88,35.81,21.21,22.59,10.47
barauna,47.65,33.26,40.49,24.27,21.98,13.03
bernardino batista,68.8,42.82,91.47,57.99,67.2,30.35
bom jesus,55.64,25.55,35.02,26.87,21.01,7.93
cacimba de areia,59.17,33.33,61.5,35.85,43.67,13.52
cajazeirinhas,75.94,52.52,72.17,50.94,58.84,29.87
caraubas,43.4,26.59,69.54,32.37,37.56,12.43
carrapateira,61.37,34.8,13.08,20.7,10.59,11.89
catingueira,66.67,50.43,60.83,30.6,44.07,20.04
caturite,41.63,26.84,66.94,37.45,32.86,13.2
congo,51.87,37.47,55.62,28.54,31.27,13.9
coxixola,40,24.0,50.4,4.0,24,0.8
curral velho,59.71,37.82,45.22,35.29,29.28,17.65
damiao,75.42,47.73,68.02,46.02,51.76,23.48
duas estradas,68.6,46.27,32.04,20.81,26.45,13.98
emas,71.36,53.09,60,35.39,49.77,23.6
frei martinho,38.78,35.12,50.19,20.25,19.39,8.68
gurjao,44.55,28.04,47.12,23.62,26.92,7.38
lagoa,65.86,43.67,69.57,48.06,53.25,26.1
lastro,67.21,41.06,60.66,46.75,43.61,21.95
logradouro,62.16,50.37,29.82,20.95,21.79,14.21
mae d'agua,60.25,39.2,46.33,46.23,32.41,23.37
matinhas,60.77,41.43,70.62,79.83,47.63,33.41
mato grosso,75.16,55.77,62.75,17.69,50.65,11.92
montadas,50.1,27.82,49.06,33.67,28.6,11.29
monte horebe,58.53,40.53,57.95,48.02,37.4,22.47
nova palmeira,44.7,28.57,39.39,38.19,25.51,15.11
olivedos,55.97,27.27,58.36,41.07,35.81,13.79
ouro velho,40.36,29.34,28.21,29.34,18.93,11.2
parari,43.48,26.55,76.81,22.12,38.41,7.96
passagem,48.8,37.55,22.97,15.72,13.88,9.61
pedra branca,54.82,40.06,50.22,25.44,36.4,15.79
poco dantas,79.24,51.92,62.29,24.04,50.48,15.87
poco de jose de moura,58.33,32.81,67.53,44.38,39.94,16.56
prata,45.45,32.65,36.08,30.85,22.16,12.85
quixaba,51.15,37.97,50,57.59,28.74,29.11
riachao,67.64,35.93,62.6,25.45,44.56,12.57
riachao do bacamarte,62.12,47.94,50.3,32.73,33.67,21.39
riachao do poco,62.99,48.48,79.77,52.78,52.18,21.72
riacho de santo antonio,60,33.15,42.86,28.26,27.43,8.7
salgadinho,65.27,39.81,57.7,63.83,40.34,29.61
santa ines,68.93,43.34,71.55,53.82,56.24,33.14
santa teresinha,61.31,44.05,66.15,10.54,45.77,7.03
santarem,57.3,38.79,22.78,13.55,12.46,5.14
santo andre,49.82,34.7,79.7,59.36,44.65,27.85
sao bentinho,50.95,41.99,32.52,27.56,19.51,13.12
sao domingos,65.15,51.58,64.02,63.8,45.08,37.1
sao domingos do cariri,41.9,36.02,57.71,47.39,27.27,21.8
sao francisco,50.67,38.22,49.66,24.32,26.17,12.36
sao joao do cariri,37.48,18.84,55.34,27.54,23.88,4.93
sao joao do tigre,67.62,43.38,73.37,56.18,56.14,29.72
sao jose de espinharas,56.18,47.61,69.29,65.87,44.01,37.61
sao jose de princesa,55.99,42.11,92.27,81.58,53.31,36.58
sao jose do bonfim,62.5,43.57,68.18,29.15,50.28,17.24
sao jose do brejo do cruz,66.84,41.82,63.68,36.97,44.74,23.03
sao jose do sabugi,47.56,39.09,39.11,12.42,20.89,6.06
sao jose dos cordeiros,47.15,31.09,64.27,44.56,34.04,15.03
sao sebastiao do umbuzeiro,56.04,28.75,30.96,32.59,20.12,12.46
serra da raiz,56.84,41.29,34.43,21.61,22.17,10.65
serra grande,66.76,33.45,61.41,39.72,48.45,16.03
sertaozinho,52.91,33.08,28.1,20.55,21.52,11.78
sossego,67.94,37.68,42.65,38.55,30.88,15.65
tenorio,53.05,42.53,75.61,37.93,47.87,20.31
varzea,18.09,18.04,28.64,30.93,12.06,5.67
vista serrana,54.08,36.34,64.95,35.21,42.93,18.87
zabele,53.03,24.19,28.79,22.79,19.7,10.7
de 5.001 a 10.000 ,62.87,43.37,50.82,36.86,36.66,20.09
agua branca,60.95,35.24,57.38,42.49,41.61,19.46
aguiar,71.92,48.21,65.99,49.6,53.51,31.15
alcantil,51.99,37.65,65.44,40.2,40.67,21.76
aparecida,56.69,36.09,34.05,35.82,21.16,13.3
areial,47.09,30.94,40.81,28.44,25.56,12.03
baia da traicao,57.69,39.55,17.23,9.43,13.52,4.0
barra de santana,64.17,43.74,93.36,83.91,61.46,38.93
