city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
parana,9.53,6.28,2,0.94,8.51,4.64,31.76,21.75
ate 5.000 ,17.22,12.05,3.34,1.36,15.99,9.23,46.58,34.23
altamira do parana,23.33,17.57,4.63,2.03,24.95,15.42,62.35,45.62
alto paraiso,19.56,14.66,3.75,1.9,19.68,12.01,52.56,40.29
anahy,15.36,11.82,2.9,0.89,14.32,7.97,40.94,34.38
angulo,16.82,11.29,4.14,0.82,14.11,8.47,46.98,34.64
arapua,21,16.59,5.87,2.06,20.31,11.35,49.31,44.8
ariranha do ivai,21.92,15.14,3.55,1.82,22.42,11.41,53.04,38.14
atalaia,13.33,9.29,1.26,0.68,11.78,5.77,39.95,28.73
barra do jacare,15.16,11.81,2.34,0.45,12.88,8.53,45.86,32.39
bela vista da caroba,14.09,14.22,2.93,2.66,13.45,11.9,35.75,33.45
boa esperanca,14.93,13.31,2.62,0.99,13.32,9.02,44.55,40.8
boa esperanca do iguacu,14.16,8.39,2.7,1.8,14.81,6.39,39.76,27.0
bom jesus do sul,17.82,10.1,3.81,0.66,17.02,6.3,48.78,29.98
bom sucesso do sul,13.32,1.86,2.38,0.35,10.73,1.21,43.15,5.8
brasilandia do sul,23.15,15.44,5.88,0.91,22.16,12.17,55,41.37
cafeara,22.06,15.58,3.17,1.26,19.94,12.17,58.62,46.17
cafezal do sul,20.01,15.32,3.7,1.95,16.26,11.39,52.22,39.66
campina do simao,13.99,11.93,3.92,2.25,13.92,11.18,46.42,32.8
campo bonito,20.84,13.08,4.96,1.64,21.69,11.6,53.16,36.15
conselheiro mairinck,19.74,10.11,2.8,0.46,17.47,7.43,52.96,30.52
corumbatai do sul,23.28,19.22,3.62,2.03,24.76,15.43,59.37,48.23
cruzeiro do iguacu,13.75,12.74,1.86,1.02,13.08,10.9,39.76,36.81
cruzeiro do sul,15.93,12.11,2.82,1.64,14.6,9.38,46.4,37.24
cruzmaltina,24.27,17.14,3.59,2.24,24.39,14.06,56.54,43.57
diamante do sul,23.95,19.12,7.08,2.04,23.95,17.36,59.26,51.4
entre rios do oeste,3.67,3.19,0.77,0.93,3.65,2.87,10.66,7.28
esperanca nova,16.09,11.46,3.16,0.75,13.23,6.76,41.67,30.93
espigao alto do iguacu,18.13,14.05,5.93,1.73,18.22,11.76,43.19,35.01
farol,21.76,14.87,2.09,1.58,21.88,11.74,60,43.67
fenix,19.1,13.26,4.87,2.79,17.17,9.97,48.13,35.21
flor da serra do sul,16.37,11.08,3.96,1.26,16.26,8.66,42.82,33.85
