city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
parana,49.99,62,37.71,31.05,12.31,6.96
ate 5.000 ,8.81,12.06,60.34,67.61,30.86,20.32
altamira do parana,1.13,1.74,38.78,56.88,60.08,41.38
alto paraiso,1.33,8.12,71.29,64.89,27.38,26.98
anahy,0.36,27.93,59.88,50.11,39.76,21.96
angulo,0.6,1.19,87.24,89.94,12.15,8.87
arapua,1.87,4.07,46.98,63.41,51.16,32.53
ariranha do ivai,0.13,2.86,37.18,50.31,62.68,46.82
atalaia,1.49,1.08,81.44,91.92,17.08,7.01
barra do jacare,16.1,15.21,58.36,67.86,25.53,16.94
bela vista da caroba,0.08,1.12,28.8,53.25,71.12,45.62
boa esperanca,16.43,0.66,59.21,81.9,24.36,17.45
boa esperanca do iguacu,1.83,-,34.55,68.54,63.62,31.46
bom jesus do sul,3.75,3.44,25.31,82.54,70.93,14.02
bom sucesso do sul,10.75,34.31,50.66,39.38,38.6,26.32
brasilandia do sul,1.19,1.12,77.66,86.5,21.15,12.37
cafeara,1.31,2.11,84.76,88.52,13.93,9.37
cafezal do sul,1.41,1.1,71.85,81.37,26.74,17.53
campina do simao,0.19,0.94,31.21,42.59,68.6,56.47
campo bonito,8.44,21.72,53.09,54.04,38.47,24.24
conselheiro mairinck,61.1,57.96,36.15,32.58,2.75,9.46
corumbatai do sul,25.88,33.59,23.66,36.95,50.46,29.47
cruzeiro do iguacu,0.09,2.05,57.33,68.62,42.58,29.33
cruzeiro do sul,1.31,1.04,68.92,76.86,29.77,22.1
cruzmaltina,0.21,34.28,47.92,34.38,51.86,31.34
diamante do sul,2.94,1.68,29.99,40.0,67.07,58.32
entre rios do oeste,14.42,14.18,83.46,84.56,2.12,1.25
esperanca nova,0.15,9.7,59.73,74.09,40.12,16.21
espigao alto do iguacu,0.08,6.05,35.71,47.84,64.22,46.11
farol,0.28,1.09,63.98,75.27,35.74,23.63
fenix,16.78,5.07,67.33,83.54,15.88,11.39
flor da serra do sul,8.61,17.87,18.25,34.91,73.14,47.22
