city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
parana,13.06,6.31,13.63,7.01,3.24,0.93
ate 5.000 ,21.52,10.89,32.89,20.32,7.83,2.77
altamira do parana,32.68,18.4,64.44,50.15,23.53,10.68
alto paraiso,24.64,9.96,28.26,25.1,5.8,2.39
anahy,14.55,4.93,33.64,15.7,3.64,2.24
angulo,17.14,10.96,14.29,10.05,1.43,1.37
arapua,25,11.16,51.82,34.66,12.05,3.19
ariranha do ivai,25.59,12.09,60.63,39.56,16.14,3.3
atalaia,16.89,8.44,20.32,9.7,3.69,0.84
barra do jacare,14.8,8.43,17.94,18.67,1.79,1.81
bela vista da caroba,19.85,14.19,73.47,47.52,15.65,8.25
boa esperanca,20.04,8.47,23.03,20.2,2.77,1.3
boa esperanca do iguacu,17.98,8.08,62.08,29.8,12.64,4.04
bom jesus do sul,26.59,9.68,75.6,13.26,24.01,3.23
bom sucesso do sul,14.24,0.43,30.96,19.57,5.88,0.0
brasilandia do sul,27.41,15.52,20.56,11.64,3.3,2.59
cafeara,26.11,11.28,19.47,7.69,4.42,1.03
cafezal do sul,20.39,10.0,24.34,14.0,3.95,1.0
campina do simao,21.43,12.95,64.44,50.52,15.08,7.25
campo bonito,32.6,14.25,31.29,22.63,8.77,2.23
conselheiro mairinck,23.6,8.57,3.5,7.86,1.4,0.71
corumbatai do sul,28.35,12.37,51.52,33.57,16.67,4.24
cruzeiro do iguacu,19.35,9.37,38.7,27.0,9.96,3.03
cruzeiro do sul,14.41,10.83,32.75,24.72,5.68,1.39
cruzmaltina,36.98,12.16,53.7,39.64,18.33,5.86
diamante do sul,35.57,23.55,68.34,54.52,28.86,14.19
entre rios do oeste,4.79,4.59,1.92,0.71,0,0.0
esperanca nova,15,10.17,36.11,16.1,2.78,2.54
espigao alto do iguacu,33.09,22.44,61.28,46.67,21.81,11.56
farol,19.82,8.45,32.07,23.94,3.12,1.06
fenix,23.33,12.16,16.25,9.42,3.63,0.3
flor da serra do sul,26.99,13.35,76.75,42.51,22.6,6.54
florida,11.79,9.79,9.17,5.15,0.44,0.52
godoy moreira,33.8,11.16,52.35,23.14,18.28,5.79
guapirama,17.45,9.17,17.67,12.23,2.68,0.61
guaporema,19.78,12.35,41.79,19.14,8.21,1.85
iguaracu,21.39,9.93,12.5,9.27,1.94,0.33
iguatu,21.34,13.1,27.62,8.33,4.18,1.79
inaja,25.5,14.22,6.88,7.11,0,2.22
indianopolis,16.91,7.44,34.38,7.44,7.74,1.29
iracema do oeste,26.95,16.76,27.3,12.29,1.42,1.12
itaguaje,26.45,9.6,19.31,19.47,4.44,2.13
itauna do sul,27.24,18.07,23.74,6.23,3.7,0.31
ivatuba,19.65,3.03,10.92,1.82,0,0.0
jaboti,18.98,8.11,33.66,18.11,5.87,1.62
japira,20.23,8.75,46.44,15.13,10.21,2.13
jardim olinda,23.56,9.4,37.7,24.79,7.33,2.56
jundiai do sul,29.9,13.2,28.19,28.4,9.07,4.4
kalore,22.92,4.24,24.77,9.89,5.79,0.71
leopolis,16.31,8.9,23.09,27.76,4.24,1.42
lidianopolis,25.5,11.35,47.52,23.4,14.85,2.84
lobato,15.1,6.98,11.14,3.2,1.73,0.58
lupionopolis,22.22,6.53,7.26,4.15,1.36,0.3
manfrinopolis,25.73,12.65,82.85,59.68,21.97,9.09
marquinho,31.23,19.56,75.76,41.11,25.96,10.22
marumbi,18.5,9.21,21.21,9.84,4.16,1.27
mato rico,36.4,15.61,80.8,58.28,31.8,9.24
mirador,27.2,9.13,21.84,15.07,8.43,0.46
miraselva,14.59,9.84,26.49,12.3,4.32,0.82
munhoz de melo,20.24,5.86,14.29,13.81,2.68,0.84
nossa senhora das gracas,15.08,10.42,12.3,6.67,2.55,0.0
nova alianca do ivai,16.05,12.1,25.31,22.58,3.09,4.03
nova america da colina,18.41,16.03,28.9,10.45,5.63,1.39
nova santa barbara,25.23,15.65,22.92,6.8,6.48,0.34
novo itacolomi,20.82,4.37,53.16,37.16,11.52,0.55
ourizona,13.7,5.19,17.04,6.93,2.59,0.0
paranapoema,22.76,10.31,10.07,4.58,1.87,0.38
pato bragado,6.88,3.45,11.17,1.06,0.57,0.0
pinhal de sao bento,29.77,8.04,70.55,12.95,22.01,0.89
pitangueiras,19.39,13.12,22.05,13.57,3.8,1.36
planaltina do parana,15.18,14.16,19.9,25.9,3.4,5.12
porto amazonas,12.72,7.71,2.98,1.6,1.19,0.27
porto barreiro,22.25,12.42,74.45,66.44,17.18,10.74
porto rico,13.56,11.68,20.34,11.68,3.73,1.52
porto vitoria,10.33,5.23,30.02,24.79,3.7,1.65
prado ferreira,20.54,12.55,19.64,9.59,4.46,0.37
presidente castelo branco,11.9,10.59,17.74,9.04,0.81,0.52
quarto centenario,23.68,10.7,34.24,16.58,9.47,2.67
quatro pontes,1.52,1.63,39.09,10.57,1.21,0.81
ramilandia,30.98,18.92,38.04,26.76,11.34,7.3
rancho alegre,18.5,12.03,14.52,7.52,2.58,0.75
rancho alegre d'oeste,25,18.14,31.55,11.16,4.46,0.47
rio bom,20.18,4.22,34.04,26.16,6.93,0.42
rio branco do ivai,36.61,12.9,53.94,23.12,24.02,2.96
salgado filho,20.11,11.97,56.49,24.6,13.12,4.53
santa amelia,30.57,12.58,20.75,18.55,5.85,2.83
santa cecilia do pavao,29.84,16.55,24.83,11.82,9.34,2.03
santa ines,17.39,10.77,24.15,9.23,4.35,0.77
santa lucia,19.06,12.16,41.25,25.23,7.31,2.13
santa monica,22.02,10.97,14.77,12.26,2.85,0.65
santo antonio do caiua,21.1,6.49,16.51,2.7,3.36,0.0
santo antonio do paraiso,18.99,7.77,29.84,17.1,5.81,2.07
sao jose das palmeiras,35.31,14.39,36.73,16.97,9.95,1.85
sao manoel do parana,16.92,8.44,40.51,9.09,6.67,1.3
sao pedro do parana,25.8,11.24,28.27,22.49,8.13,4.14
serranopolis do iguacu,8.27,4.25,24.56,4.58,0.75,0.98
sulina,19.16,8.37,54.33,28.9,11.29,3.42
tamboara,13.73,7.0,16.06,9.62,1.04,1.46
uniflor,21.78,4.28,27.56,13.37,4.89,0.53
virmond,17.41,11.4,61.38,27.92,7.14,1.14
de 5.001 a 10.000 ,20.98,10.98,33.05,19.26,8.01,2.65
abatia,27.88,14.66,35.16,20.86,10.97,3.79
adrianopolis,33.26,20.53,44.31,31.69,19.64,9.2
