city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
pernambuco,24.5,18.01,12.44,5.25,24.72,17.48,51.77,42.43
ate 5.000 ,25.01,19.54,11.64,4.33,25.73,18.89,55.01,52.22
fernando de noronha,6.87,5.01,2.12,2.42,5.97,4.36,37.5,26.8
ingazeira,33.05,26.87,13.89,4.96,35.85,28.38,59.82,53.57
itacuruba,25.94,21.56,13.65,4.63,27.58,21.81,52.96,56.42
de 5.001 a 10.000 ,38.64,29.99,17.64,7.13,41.29,30.56,69.95,61.97
brejao,42.63,32.04,22.25,9.34,45.66,33.35,72.14,64.03
brejinho,35.55,25.37,14.11,3.34,38.78,25.23,65.36,59.01
calumbi,40.46,32.6,21.36,9.04,43.62,34.42,70.48,60.84
camutanga,34.54,26.87,16.02,5.81,34.39,25.19,70.67,62.7
granito,38.79,27.12,19.12,5.16,42.56,27.83,68.13,61.53
ibirajuba,45.14,35.41,20.3,7.67,46.8,33.34,74.6,71.54
palmeirina,44.01,33.07,21.82,8.32,46.72,34.09,74.89,64.59
quixaba,35.96,28.18,12.88,4.14,42.56,32.18,66.22,60.68
salgadinho,40.76,43.21,19.26,17.04,45.66,44.81,77.69,77.22
solidao,36.11,25.96,16.17,5.47,40.23,28.6,66.16,53.44
terezinha,45.79,37.15,22.92,10.38,49.2,39.49,74.75,70.51
terra nova,28.12,20.93,15.09,4.34,28.98,21.15,55.26,48.73
tuparetama,30.92,21.43,10.21,3.06,31.14,17.54,60.08,50.8
verdejante,33.06,26.35,11.4,6.58,35.71,27.03,64.85,54.21
vertente do lerio,44.16,33.24,17.43,5.94,49.46,34.8,73.81,67.09
de 10.001 a 20.000 ,38.83,30.24,19.49,8.07,41.84,31.33,68.79,63.25
afranio,35.68,25.78,15.43,3.67,39.53,26.35,67.91,61.21
alagoinha,35.4,26.62,18.8,7.08,36.55,26.96,57.25,51.03
angelim,39.03,33.4,15.46,8.67,41.89,32.02,68.72,68.31
aracoiaba,37.5,24.04,19.37,6.21,41.86,25.1,70.78,63.11
barra de guabiraba,45.94,34.84,26.87,11.26,48.5,37.17,77.61,73.87
belem de maria,41.95,32.49,20.84,6.05,45.01,35.12,70.06,67.77
betania,38.45,33.22,19.43,7.28,42.11,34.42,67.5,66.95
buenos aires,35.2,28.11,13.49,6.51,41.63,28.58,68.96,63.0
cachoeirinha,39.82,32.13,17.12,8.37,40.27,30.89,72.83,68.05
calcado,41.39,32.38,19.15,8.8,43.35,32.91,75.55,66.94
camocim de sao felix,39.81,31.95,16.92,6.65,42.8,33.28,70.42,64.14
capoeiras,43.93,31.89,23.05,8.67,47.16,33.28,74.94,65.68
carnaiba,37.72,27.07,15.14,4.25,42.74,28.08,66.67,58.56
carnaubeira da penha,42.8,27.49,23.61,9.68,47.55,31.27,70.55,54.4
casinhas,42.82,31.43,20.68,7.04,47.71,33.58,70.66,64.71
cedro,33.65,22.32,13.84,4.72,36.69,23.65,66.91,54.44
cha de alegria,36.52,24.69,18.02,5.92,40.69,25.5,73.43,59.18
correntes,42.24,32.51,19.99,8.03,46.09,34.19,74.35,68.06
cortes,36.09,28.89,18.78,7.05,41.38,33.34,67.92,61.89
cumaru,40.72,32.07,14.32,6.19,44.8,32.5,82.18,64.92
dormentes,38.05,26.22,16.71,5.41,42.65,26.74,69.03,62.28
ferreiros,34.34,28.44,13.97,4.73,36.18,27.51,71.32,64.96
