city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
pernambuco,36.79,47.35,42.8,40.58,20.41,12.07
ate 5.000 ,52.38,63.27,16.11,12.86,31.52,23.86
fernando de noronha,80.51,78.12,19.49,21.88,-,-
ingazeira,27.68,42.64,13.93,10.0,58.39,47.36
itacuruba,70.13,78.98,17.17,11.47,12.7,9.54
de 5.001 a 10.000 ,16.59,30.31,35.39,37.14,48.01,32.55
brejao,5.31,24.03,43.39,38.74,51.29,37.22
brejinho,27.46,44.39,13.37,20.27,59.17,35.34
calumbi,11.64,28.99,40.33,52.21,48.03,18.8
camutanga,18.04,21.73,54.4,71.11,27.56,7.16
granito,12.67,29.07,33.44,28.84,53.89,42.09
ibirajuba,27.61,38.92,17.94,25.48,54.45,35.6
palmeirina,14.81,41.38,41.92,32.33,43.27,26.29
quixaba,4.28,24.0,29.57,24.89,66.16,51.11
salgadinho,2.18,1.01,30.64,52.85,67.18,46.14
solidao,11.16,23.5,20.8,26.8,68.03,49.71
terezinha,15.9,36.92,22.95,25.57,61.14,37.51
terra nova,29.78,43.91,49.39,36.93,20.82,19.17
tuparetama,37.62,59.61,40.26,21.49,22.12,18.9
verdejante,12.52,30.26,50.27,45.24,37.21,24.5
vertente do lerio,0.19,0.69,19.3,49.22,80.5,50.09
de 10.001 a 20.000 ,16.76,29.63,37.54,39.1,45.7,31.28
afranio,3.53,17.02,29.64,32.07,66.83,50.91
alagoinha,23.17,31.99,32.01,37.23,44.83,30.78
angelim,37.85,44.13,20.04,30.35,42.11,25.52
aracoiaba,2.83,6.55,70.82,74.52,26.35,18.93
barra de guabiraba,31.08,71.64,51.34,19.36,17.58,9.01
belem de maria,17.89,32.07,42.78,41.96,39.33,25.97
betania,10.26,21.54,19.38,47.46,70.36,31
buenos aires,4.81,12.92,57.43,65.49,37.76,21.59
cachoeirinha,50.46,59.74,25.42,23.63,24.12,16.63
calcado,19.66,31.42,21.63,28.47,58.71,40.11
camocim de sao felix,21.72,69.8,59.02,22.96,19.27,7.24
capoeiras,21.75,28.94,11.06,10.63,67.19,60.43
carnaiba,26.66,37.01,24.91,20.33,48.43,42.66
carnaubeira da penha,-,9.71,13.64,15.3,86.36,74.99
casinhas,0.13,8.6,16.28,20.11,83.59,71.29
cedro,31.5,55.01,31.89,10.45,36.6,34.54
cha de alegria,8.76,16.34,61.53,66.79,29.71,16.86
correntes,26.77,37.44,43.19,35.1,30.03,27.46
cortes,33.16,51.08,48.91,30.26,17.93,18.65
