city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
pernambuco,42.8,27.67,27.28,15.68,18.76,8.25
ate 5.000 ,42.97,28.35,31.92,22.04,19.09,8.99
fernando de noronha,19.52,6.73,0,0.0,0,0.0
ingazeira,51.91,31.3,57.12,48.41,32.81,19.07
itacuruba,42.52,34.44,16.54,10.56,11.42,4.81
de 5.001 a 10.000 ,59.34,39.54,53.79,34.15,37.05,16.31
brejao,63.3,41.83,53.81,37.75,36.77,18.1
brejinho,54.7,33.52,68.29,38.45,44.95,14.65
calumbi,58.81,43.88,51.96,17.63,35.13,7.37
camutanga,54.68,36.93,35.56,8.84,24.67,6.11
granito,61.08,38.68,60.84,46.27,41.92,20.53
ibirajuba,63.66,42.39,58.76,36.34,42.33,16.06
palmeirina,64.47,43.99,53.22,31.35,38.22,16.04
quixaba,56.78,37.92,70.86,52.42,47.92,23.87
salgadinho,67.84,49.18,72.16,48.54,55.29,30.04
solidao,56.13,33.33,70.22,50.0,46.77,22.61
terezinha,71.74,53.24,66.93,35.07,50.69,20.28
terra nova,44.67,35.02,22.54,22.06,14.48,9.11
tuparetama,40.21,22.24,28.3,22.09,14.27,6.48
verdejante,52.7,39.06,41.65,27.19,27.33,13.65
vertente do lerio,68.63,40.86,85.77,45.04,60.86,21.58
de 10.001 a 20.000 ,60.1,41.55,51.64,34.77,35.99,18.09
afranio,53.28,34.2,69.58,49.2,40.91,21.22
alagoinha,55.71,33.71,51.77,33.71,35.07,14.86
angelim,58.45,44.9,49.2,29.04,33.98,16.06
aracoiaba,64.48,31.24,32.27,22.76,25.38,7.59
barra de guabiraba,67.53,47.0,22.33,10.81,16.88,6.23
belem de maria,63.44,40.09,46.18,31.08,33.99,15.23
betania,59.19,42.97,73.92,27.97,49.48,12.81
buenos aires,57.27,33.01,42.37,22.36,28.71,9.5
cachoeirinha,54.85,37.65,29.04,18.86,19.9,10.1
calcado,58.89,40.23,63.49,42.9,38.21,18.45
camocim de sao felix,59.14,39.08,24.38,6.48,17.86,3.21
capoeiras,66.82,45.5,72.63,62.95,52.41,31.62
carnaiba,57.66,33.97,55.02,41.16,39.46,18.5
carnaubeira da penha,69.15,44.22,88.41,80.61,64.36,39.84
casinhas,68.34,46.96,85.14,75.36,58.75,38.48
cedro,56.03,33.15,41.72,36.19,25.94,14.75
cha de alegria,56.32,32.71,37.46,18.62,25.89,8.45
correntes,63.31,50.17,36.51,31.3,27.19,17.61
cortes,60.86,43.83,18.9,20.82,14.55,12.03
cumaru,60.92,38.78,73.28,45.1,46.75,23.2
dormentes,55.57,32.27,69.82,27.47,44.13,12.58
ferreiros,54.77,39.17,33.98,12.75,21.88,8.26
frei miguelinho,57.52,32.65,78.99,44.56,48.77,18.71
iati,76.03,56.2,62.34,38.69,51.47,26.63
iguaraci,54.17,36.39,52.96,43.94,34.6,21.2
inaja,66.4,51.62,53.99,51.04,42.43,31.03
itapetim,46.57,30.85,51.65,35.45,29.84,13.88
itaquitinga,55.97,41.83,40.49,10.22,25.66,5.35
jaqueira,68.01,46.62,44.35,39.14,33.57,19.33
jatauba,69.31,45.74,58.05,35.34,46.1,21.24
jatoba,44.52,31.28,23.58,21.38,16.35,10.9
joaquim nabuco,58.84,44.88,34.4,19.78,23.26,11.09
jucati,64.16,40.74,59.23,47.56,38.7,20.2
jupi,59.28,43.93,55.64,33.6,36.47,16.62
jurema,70.68,49.37,48.08,33.09,37.98,20.32
lagoa do carro,46.9,29.78,42.67,20.63,23.8,7.84
lagoa do ouro,66.47,56.79,41.07,11.71,30.45,8.4
lagoa dos gatos,73.47,53.06,57.25,39.0,49.36,25.31
machados,64.71,37.45,46.34,27.49,35.37,8.3
manari,78.46,63.36,97.62,65.24,77.39,46.21
maraial,67.94,54.94,50.04,26.65,37.94,18.34
mirandiba,55.71,31.18,44.39,32.11,29.42,12.11
moreilandia,52.24,31.56,57.49,35.42,35.29,15.44
oroco,57.24,33.97,38.35,15.88,27.33,6.77
paranatama,66.12,52.43,80.95,56.63,56.19,34.4
pocao,66.58,47.57,54.74,29.69,42.39,17.64
primavera,55.48,41.57,57.4,23.9,36.8,13.11
riacho das almas,64.54,43.34,69.21,35.44,50.11,20.46
saire,60.51,39.1,68.21,29.96,44.76,14.98
saloa,64.92,45.99,58.39,40.73,40.45,22.77
santa cruz,66.63,43.09,73.35,57.22,56.22,31.34
santa cruz da baixa verde,46.71,35.15,69.88,46.76,37.61,20.56
santa filomena,63.83,38.87,73.8,62.06,50.29,29.45
santa maria do cambuca,66.83,42.65,80.36,49.77,58,27.79
santa terezinha,55.44,31.0,49.65,29.32,33.12,12.13
sao benedito do sul,73.56,49.62,57.44,44.59,46.79,24.85
sao jose da coroa grande,57.65,40.22,34.67,12.83,28.18,9.32
sao vicente ferrer,65.33,46.15,51.29,23.2,37.52,14.42
serrita,60.08,40.37,62.97,52.99,43.3,27.84
tacaimbo,63.14,44.78,42.98,27.81,30.48,15.99
tracunhaem,54.09,34.07,33.31,12.01,22.92,4.69
triunfo,32.45,22.06,59.46,42.47,24.14,12.45
venturosa,56.77,39.33,46.8,30.77,29.63,14.78
vertentes,56.41,33.9,54.73,23.96,34.97,13.42
xexeu,70.16,50.58,31.93,14.02,27.57,9.11
de 20.001 a 50.000 ,59.07,39.78,43.67,26.77,31.86,14.61
afogados da ingazeira,44.67,28.19,29.23,15.62,17.8,7.41
agrestina,61.34,41.89,33.92,8.35,25.87,5.22
agua preta,64.81,48.34,52.62,37.76,40.22,22.6
aguas belas,72.63,56.39,52.68,35.22,44.08,24.8
alianca,60.08,38.07,39.03,8.63,28.51,4.5
altinho,63.13,44.31,48.67,36.29,36.26,20.33
amaraji,60.8,45.52,46.52,27.3,33.16,14.84
barreiros,53.35,36.92,28.25,23.81,21.06,13.49
belem de sao francisco,58.37,36.43,42.98,37.26,30.7,17.78
bodoco,65.88,46.36,68.13,56.57,50.58,30.99
bom conselho,65.02,49.44,47.82,28.19,36.49,17.59
bom jardim,57.04,38.98,63.26,36.91,39.72,17.8
bonito,62.39,46.45,36.33,21.96,27.56,13.42
brejo da madre de deus,65.06,44.06,34.82,17.33,28.95,11.44
cabrobo,55.06,34.89,32.68,18.35,23.21,8.44
caetes,71.64,49.61,80.1,68.96,61.19,39.53
canhotinho,68.16,51.18,42.76,36.51,32.63,21.28
catende,57.88,41.82,30.72,19.76,24.58,11.03
cha grande,62.73,40.02,46.14,31.67,31.51,15.23
condado,52.76,36.8,33.67,5.65,22.34,2.72
cupira,57.61,38.67,17.9,7.93,14.77,4.74
