city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
piaui,30.51,22.93,15.29,5.5,32.28,22.72,62.71,55.47
ate 5.000 ,39.58,30.72,20.39,6.77,43.27,31.22,70.41,65.26
antonio almeida,26.8,24.8,10.32,6.0,27.44,21.94,59.25,65.83
aroeiras do itaim,-,36.64,-,5.42,-,37.36,-,69.97
arraial,38.99,31.52,18.7,6.36,40.45,32.7,74.94,69.87
barra d'alcantara,42.38,31.12,17.57,4.31,47.28,28.68,81.29,72.08
barreiras do piaui,21.39,21.67,10.37,7.74,19.79,21.53,52.71,46.87
bela vista do piaui,20.17,22.75,10.57,4.32,21.59,22.76,39.64,55.26
belem do piaui,48.81,36.77,29.81,6.96,53.11,39.41,71.43,70.3
bocaina,31.63,22.86,9.52,5.18,31.38,19.41,66.33,48.1
brejo do piaui,43.52,38.08,24.58,11.98,48.64,39.54,72.65,70.85
cajazeiras do piaui,41.5,30.61,20.46,5.26,45.22,30.12,78.21,72.49
campo alegre do fidalgo,44.19,32.83,26.83,7.93,49.59,36.6,67.09,70.85
canavieira,32,26.93,19.32,8.66,31.59,25.09,63.31,57.84
capitao gervasio oliveira,37.48,31.92,16.67,6.47,41.52,33.84,67.18,63.33
caridade do piaui,39.89,32.15,22.39,8.53,45.42,35.82,67.61,66.94
cocal de telha,45.51,33.4,23.93,4.56,49.23,32.89,82,73.4
coivaras,40.12,31.74,19.47,7.31,46.3,32.24,66.27,64.93
conceicao do caninde,38.94,30.16,21.08,7.57,43.13,31.14,60.28,54.68
coronel jose dias,37.18,32.45,14.06,4.03,43.2,32.83,71.22,68.48
currais,36.04,32.73,19.56,7.21,40.38,34.84,68.21,71.78
curral novo do piaui,44.21,35.45,28.74,10.28,50.53,41.63,61.18,70.33
curralinhos,42.13,31.07,16.69,4.98,48.05,31.91,77.41,74.25
domingos mourao,40.17,31.05,21.07,7.6,44.74,33.8,66.32,61.3
eliseu martins,32.66,21.43,13.44,3.22,34.28,17.94,65.63,53.81
flores do piaui,43.44,32.22,23.21,8.14,47.56,33.6,74.13,61.39
floresta do piaui,52.81,40.51,30.43,9.76,58.19,40.33,76.32,76.62
francisco ayres,39.4,30.18,19.6,6.42,39.73,29.26,75.65,61.35
francisco macedo,40.51,36.33,18.58,8.67,45.82,39.55,66.82,69.18
guaribas,59.02,34.84,42.76,8.09,67.7,44.06,82.42,72.58
hugo napoleao,41.91,32.05,20.82,7.54,44.86,30.96,76.83,71.06
jardim do mulato,41.45,29.59,20.84,4.51,43.27,29.63,76.3,67.42
jatoba do piaui,37.46,30.4,19.66,5.12,39.52,30.55,67.87,58.42
jerumenha,27.75,25.01,13.21,6.32,27.37,22.27,62,61.68
joao costa,34.53,28.42,17.53,7.92,38.56,29.32,65.71,61.35
juazeiro do piaui,44.2,29.23,22.86,6.31,49.08,29.89,73.76,65.91
jurema,44.67,35.48,24,6.73,51.14,38.69,74.56,74.56
lagoa do barro do piaui,38.56,27.73,15.42,6.17,44.31,27.84,72.29,63.97
lagoa do piaui,34.19,27.04,14.15,4.46,38.26,29.4,68.77,58.81
lagoa do sitio,42.71,35.78,24.53,14.0,47.66,36.43,64.6,62.56
lagoinha do piaui,32.36,27.22,12.24,6.65,33.75,26.43,73.02,59.64
marcos parente,32.14,25.23,16.36,5.19,32.37,24.1,62.85,55.78
miguel leao,37.89,28.65,17.85,3.88,41.98,30.12,72.27,65.44
morro cabeca no tempo,31.22,25.1,15.22,7.68,33.75,26.39,63.69,54.91
nossa senhora de nazare,33.47,25.7,14.6,5.03,36.33,23.68,61.16,54.43
nova santa rita,37.32,29.29,20.49,8.78,41.88,30.24,64.44,64.65
novo santo antonio,43.92,37.54,20.37,7.03,49.32,38.67,79.21,73.65
olho d'agua do piaui,41.78,20.91,18.93,2.03,48.04,18.66,75.9,52.2
paes landim,34.47,25.61,19.27,5.36,36.98,26.44,65.66,55.83
pajeu do piaui,35.58,33.06,15.07,4.72,39.85,32.88,62.71,63.06
palmeira do piaui,34.34,26.47,13.18,4.02,40.02,27.38,67.78,64.33
paqueta,54.63,43.69,32.63,9.64,61.54,46.41,83.16,78.96
passagem franca do piaui,48.78,38.84,30.34,13.41,53.01,41.22,75.32,79.88
pau d'arco do piaui,-,34.78,-,6.39,-,35.71,-,70.25
