city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
piaui,30.46,23.99,34.53,53.81,35.02,22.2
ate 5.000 ,4.73,9.37,35.71,55.96,59.56,34.67
antonio almeida,0.14,7.61,65.03,71.74,34.83,20.65
aroeiras do itaim,-,0.15,-,67.71,-,32.14
arraial,0.25,9.68,39.75,60.48,60,29.84
barra d'alcantara,13.69,0.76,38,92.01,48.31,7.22
barreiras do piaui,-,0.25,51.71,80.9,48.29,18.84
bela vista do piaui,5.47,25.53,25.87,65.38,68.66,9.08
belem do piaui,-,11.25,26.83,54.77,73.17,33.98
bocaina,15.4,20.25,52.15,73.54,32.44,6.22
brejo do piaui,12.46,-,18.9,43.14,68.64,56.86
cajazeiras do piaui,-,30.43,34.21,42.15,65.79,27.42
campo alegre do fidalgo,5.42,0.16,5.72,31.56,88.87,68.28
canavieira,4.68,6.24,57.02,60.51,38.3,33.24
capitao gervasio oliveira,0.25,0.35,6.88,38.29,92.87,61.36
caridade do piaui,-,0.08,13.8,49.01,86.2,50.91
cocal de telha,0.47,25.83,46.46,50.38,53.08,23.8
coivaras,-,0.49,38.04,53.4,61.96,46.11
conceicao do caninde,16.75,36.7,42.22,29.81,41.03,33.49
coronel jose dias,-,7.02,21.47,46.53,78.53,46.45
currais,0.8,0.18,20.37,61.54,78.83,38.28
curral novo do piaui,-,0.17,1,40.44,99,59.39
curralinhos,-,13.88,33.97,73.59,66.03,12.52
domingos mourao,15.92,25.11,23.61,37.26,60.47,37.62
eliseu martins,28.85,30.75,47.08,54.94,24.07,14.32
flores do piaui,0.18,24.08,47.81,52.08,52,23.85
floresta do piaui,0.16,0.81,24.96,66.71,74.88,32.48
francisco ayres,20.9,24.57,25.33,54.27,53.77,21.16
francisco macedo,-,0.25,22.45,43.13,77.55,56.62
guaribas,-,15.76,0.53,40.58,99.47,43.66
hugo napoleao,21.06,35.22,65.23,52.73,13.71,12.05
jardim do mulato,7.01,-,44.95,87.03,48.04,12.97
jatoba do piaui,-,3.77,19.61,49.65,80.39,46.57
jerumenha,1.95,9.57,51.86,69.51,46.2,20.92
joao costa,0.15,2.7,14.42,40.49,85.43,56.81
juazeiro do piaui,-,5.37,10.58,63.19,89.42,31.43
jurema,-,9.76,9.88,52.78,90.12,37.46
lagoa do barro do piaui,6.96,0.6,6.76,24.08,86.28,75.32
lagoa do piaui,0.92,0.38,28.74,46.89,70.34,52.73
lagoa do sitio,0.3,1.37,59.32,78.44,40.38,20.19
lagoinha do piaui,-,0.9,72.43,97.16,27.57,1.94
marcos parente,3.49,3.26,78.23,85.93,18.28,10.81
miguel leao,-,0.3,50.78,67.78,49.22,31.91
morro cabeca no tempo,-,0.81,0.99,51.83,99.01,47.35
nossa senhora de nazare,-,7.39,43.97,46.71,56.03,45.9
nova santa rita,-,18.31,15.52,36.88,84.48,44.81
novo santo antonio,-,0.66,8.25,49.62,91.75,49.73
olho d'agua do piaui,-,29.23,69.85,63.36,30.15,7.41
paes landim,6.55,5,48.19,60.61,45.26,34.38
pajeu do piaui,28.16,14.09,13.74,48.88,58.1,37.03
palmeira do piaui,14.53,5.5,40.33,61.37,45.14,33.13
paqueta,0.2,3.77,57.43,72.17,42.36,24.06
passagem franca do piaui,0.11,8.09,44.1,44.78,55.79,47.12
