city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
rio de janeiro,6.64,4.28,2.42,1.16,5.82,3.34,17.29,11.72
ate 5.000 ,-,-,-,-,-,-,-,-
de 5.001 a 10.000 ,14.74,11.35,3.93,1.72,13.55,9,38.97,31.65
comendador levy gasparian,9.89,7.36,2.12,1.07,8.11,4.64,32.9,24.46
laje do muriae,18.74,13.76,4.57,2.59,18.12,10.98,43.99,35.66
macuco,10.15,7.92,2.49,1.99,8.98,5.63,30.89,22.22
rio das flores,13.6,8.65,2.2,0.97,12.98,6.12,36.69,28.18
sao jose de uba,19.96,14.71,4.38,1.81,20.21,12.45,48.75,37.46
sao sebastiao do alto,18.35,14.49,5.49,2.67,17.08,11.38,41.05,37.02
varre-sai,18.83,11.6,7.44,1.27,20.01,10.72,38.26,33.37
de 10.001 a 20.000 ,13.62,10.23,3.99,1.52,12.48,8.16,35.41,27.91
aperibe,13.34,10.6,2.42,2.12,10.71,7.94,40.38,28.84
areal,9.45,7.29,2.75,0.75,8.39,5.83,27.88,22.41
cambuci,17.46,12.69,3.75,1.56,15.66,9.52,41.4,31.4
cantagalo,12.58,9.46,2.63,0.99,11.66,7.08,33.6,26.58
carapebus,12.72,8.54,3.95,0.93,9.82,5.94,42.19,31.3
cardoso moreira,19.69,15.2,6.26,2.55,18.44,12.46,42.36,35.43
carmo,13.47,9.91,3.65,1.51,11.32,7.45,37.02,28
duas barras,17.63,11.73,6.05,2.41,17.6,10.3,40.16,31.35
engenheiro paulo de frontin,9.06,5.78,2.14,1.4,7.78,4.7,24.6,14.65
italva,16.27,11.06,4.18,1.75,13.73,7.9,39.52,27.79
mendes,7.59,5.47,1.96,0.98,5.98,3.85,22,15.55
natividade,15.19,11.23,3.47,1.87,13.19,8.02,38.45,30.34
porciuncula,16.57,11.51,4.33,1.7,15.86,9.7,37.71,30.03
porto real,10.51,6.33,2.31,0.91,9.55,4.49,39.62,27.21
quatis,10.59,6.74,2.92,0.8,9.22,5.04,35.17,22.72
rio claro,16.38,10.23,4.83,1.4,15.37,8.03,42.73,29.6
santa maria madalena,17.93,13.36,3.81,1.48,17.47,11.48,40.58,31.74
sapucaia,16.82,10.15,5.89,2.22,15.43,8.35,39.1,26.61
sumidouro,21.7,16,8.28,1.8,23.13,15.98,46.71,40.09
trajano de moraes,20.4,14.54,8.51,1.91,20.24,13.44,40.44,31.72
de 20.001 a 50.000 ,13.26,8.46,4.28,1.42,12.3,6.82,33.88,23.73
armacao dos buzios,7.29,4.56,2.99,0.79,7,4.03,24.13,15.05
arraial do cabo,7.19,4.55,2.03,0.65,6.32,3.47,21.89,13.45
bom jardim,17,10.74,6.03,1.81,16.91,9.09,37.74,28.4
bom jesus do itabapoana,13.62,9.86,3.72,1.6,11.83,7.76,34.46,25.66
casimiro de abreu,12.44,6.99,3.78,1.14,11.95,5.78,33.35,21.9
conceicao de macabu,13.11,9.73,5.13,1.24,11.51,8.44,35.57,27.31
cordeiro,8.99,5.84,2.06,1.24,7.22,3.66,28.95,19.06
iguaba grande,8.81,4.29,2.82,0.82,8.45,3.78,19.24,8.97
itaocara,13.32,11.05,3.06,1.39,11.16,7.6,34.11,29.65
itatiaia,8.01,5.83,2.24,1.39,7.45,4.73,26.67,17.75
mangaratiba,8.34,4.1,2.98,1.15,7.45,3.49,21.51,10.43
miguel pereira,9.15,6.8,2.21,1.39,8.5,5.32,20.62,15.96
miracema,14.36,10.79,4.57,1.66,13.09,8.28,35.6,29.15
paracambi,10.59,5.46,2.18,0.77,10.21,4,27.38,18.48
paraiba do sul,10.72,6.06,3.26,1.08,9.31,4.56,28.32,17.2
paraty,12.76,8.28,3.98,1.87,11.98,6.58,40.9,28.56
paty do alferes,17.37,12.3,5.56,1.55,16.82,10.7,41.59,32.62
pinheiral,7.58,5.3,2.06,1.5,6.01,3.84,29.11,17.95
pirai,10.84,7.19,2.69,0.83,9.23,5.08,34.27,23.88
quissama,15.68,8.84,4.18,1.32,15.29,7.35,38.89,26.94
santo antonio de padua,14.23,9.25,3.71,1.13,12.86,6.75,35.5,25.87
sao fidelis,15.99,10.23,5.17,1.42,14.13,7.86,36.25,26
sao francisco de itabapoana,25.01,18.75,10.31,3.24,25.03,17.84,54.01,44.3
sao joao da barra,13.78,9.84,5.71,2.35,13.33,8.9,29.37,22.75
sao jose do vale do rio preto,14.7,10.12,4.43,1.24,14.25,8.67,40.59,30.41
silva jardim,19.69,13.25,6.49,1.75,19.35,11.47,49.37,37.76
tangua,14.07,8.92,4.39,1.24,12.92,6.75,43.88,30.66
vassouras,11.02,7.68,3.51,1.41,9.91,5.81,27.25,21.97
de 50.001 a 100.000 ,9.98,6.55,3.24,1.24,8.89,5.06,28.2,20.01
barra do pirai,6.88,4.48,2.25,0.83,5.38,3.11,21.46,13.81
cachoeiras de macacu,13.97,9.31,4.33,1.43,13.3,7.53,36.93,27.78
guapimirim,11.8,7.51,4.39,1.52,10.93,6.2,33.46,24.1
itaperuna,12.19,7.62,3.24,1.27,10.44,5.27,35.35,23.58
