city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
rio grande do sul,6.65,4.53,1.77,0.99,5.42,3.2,20.4,13.53
ate 5.000 ,9.55,7.24,2.08,1.2,7.56,4.95,26.31,18.95
acegua,-,6.4,-,0.89,-,4.96,-,17.68
agua santa,8.34,5.39,1.4,1.43,5.04,3.65,33.65,16.47
alegria,12.25,10.13,2.1,2,9.96,6.0,33.33,24.69
almirante tamandare do sul,-,4.27,-,1.36,-,2.85,-,10.8
alto alegre,8.13,7.26,1.36,1.1,6.37,4.84,22.92,18.5
alto feliz,4.36,2.69,0.72,0.91,2.82,1.02,11.49,8.72
andre da rocha,7.67,6.67,1.71,1.76,5.45,5.34,22.08,14.56
arambare,14.02,7.38,3.77,1,12.72,5.83,30.21,15.65
ararica,6.54,4.93,2.88,0.26,5.05,3.55,20.67,17.65
arroio do padre,-,4.76,-,0.96,-,3.73,-,10.36
aurea,8.35,5.42,1.61,1.01,6.08,3.16,23.92,14.27
barra do guarita,14.67,9.92,3.56,0.77,11.49,7.12,42.82,29.75
barra do quarai,9.22,7.43,2.7,2.33,9.17,6.53,28.75,20.94
barra do rio azul,8.86,7.96,0.76,1.4,6.69,4.84,29.89,21.98
barra funda,6.87,5.07,0.26,0.26,5.43,2.85,25.11,17.4
benjamin constant do sul,19.62,13.81,9.27,2.11,18.34,14.35,42.11,28.96
boa vista das missoes,9.92,9.0,1.93,2.01,7.07,5.7,34.36,29.82
boa vista do cadeado,-,5.25,-,1.11,-,3.87,-,12.96
boa vista do incra,-,5.01,-,0.78,-,1.89,-,21.13
boa vista do sul,7.26,7.36,0.96,0.28,4.33,2.96,23.31,21.44
bom progresso,12.4,10.21,1.97,3.4,10.36,6.85,38.35,28.82
bozano,-,5.16,-,0.66,-,3.5,-,11.96
braga,18.31,13.78,3.45,1.04,15.15,10.36,48.76,35.68
brochier,5.09,3.33,0.78,1.01,4.47,2.75,10.34,6.51
cacique doble,13.32,10.13,3.27,2.12,10.42,7.51,38.45,25.91
caibate,8.08,6.95,1.81,0.97,6.64,4.56,21.13,18.82
camargo,10.35,8.57,1.78,0.76,6.7,5.22,34.94,24.83
campestre da serra,9.83,6.42,1.41,0.95,6.22,3.05,33.92,20.66
campos borges,12.69,9.59,1.62,1.92,9.93,5.8,39.78,26.46
canudos do vale,-,10.66,-,2.02,-,6.52,-,28.03
capao bonito do sul,-,9.68,-,1.89,-,6.08,-,26.06
capao do cipo,-,6.42,-,0.85,-,4.38,-,20.75
capitao,5.88,5.32,1.28,0.5,3.46,3.47,19.43,15.07
capivari do sul,9.03,7.9,2.33,1.96,7.44,5.17,31.76,28.57
carlos gomes,6.47,4.74,0.68,0.44,3.57,2.84,23.89,13.27
caseiros,12.1,10.11,4.19,1.23,9.28,7.69,32.39,24.06
centenario,5.93,4.07,0.96,0.95,3.56,2.08,20.73,11.7
cerro branco,16.46,13.08,2.84,1.11,14.5,10.06,37.79,30.8
cerro grande,17.07,14.04,5.15,1.67,14.42,11.27,44.71,32.52
charrua,14.61,13.09,13.99,4.57,9.3,11.84,34.62,26.51
chiapetta,8.84,6.26,1.74,0.66,7.27,4.21,28.29,17.99
chuvisca,13.55,9.74,3.44,2.46,13.31,7.53,35.2,30.11
ciriaco,11.52,7.12,1.54,1.27,8.75,3.52,36.36,21.69
colinas,2.82,2.91,0.58,0.31,2.09,1.81,5.87,6.35
colorado,5.13,4.45,0.65,1.5,3.1,2.27,16.41,11.62
coqueiro baixo,-,7.06,-,0.63,-,3.94,-,14.25
coqueiros do sul,6.83,5.16,0.26,0.61,4.01,3.12,21.39,13.14
coronel barros,5.16,3.15,1.44,1.5,4.19,2.43,12.18,5.77
coronel pilar,-,3.97,-,1.54,-,1.56,-,9.7
cotipora,6.94,4.52,1.93,0.71,3.79,2.52,19.4,11.59
coxilha,9.51,6.86,3.14,1.06,7.85,4.43,31.03,24.08
cristal do sul,12.31,12.19,1.59,0.93,9.18,7.92,41.43,34.11
cruzaltense,-,6.76,-,-,-,3.73,-,20.61
david canabarro,9.13,7.36,0.78,0.64,5.74,3.9,37.15,25.95
derrubadas,12.05,9.78,1.53,1.47,11.34,7.41,29.41,24.75
dezesseis de novembro,14.98,12.29,2.37,1.08,13.45,8.56,33.99,28.25
dilermando de aguiar,16.44,13.65,3.55,1.65,15.46,10.76,32.28,28.98
dois irmaos das missoes,13.59,12.29,2.56,1.78,12.23,10.96,41.47,27.97
dois lajeados,7.7,5.11,0.93,1.09,4.52,2.83,24.9,13.44
dom pedro de alcantara,10.64,5.65,0.23,1.75,7.58,3.01,34.47,15.83
dona francisca,11.16,7.19,3.18,1.48,9.02,5.01,28.57,19.07
doutor ricardo,9.78,7.19,1.38,-,6.21,4.61,26.02,17.93
