city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
rio grande do sul,61.07,66.79,28.29,29.2,10.64,4.01
ate 5.000 ,12.6,25.54,45.35,62.56,42.06,11.9
acegua,-,25.34,-,59.06,-,15.6
agua santa,6.52,27.12,50.71,67.3,42.77,5.58
alegria,0.06,5.23,49.64,79.07,50.29,15.69
almirante tamandare do sul,-,11.26,-,72.12,-,16.62
alto alegre,0.66,12.04,33.55,83.79,65.78,4.17
alto feliz,30.19,49.65,58.74,47.25,11.07,3.1
andre da rocha,39.23,32.94,46.02,61.18,14.75,5.88
arambare,57.52,58.83,25.27,34.64,17.21,6.54
ararica,2.07,1.01,96.52,98.16,1.41,0.83
arroio do padre,-,3.25,-,75.28,-,21.47
aurea,6.28,19.79,33.52,67.08,60.2,13.14
barra do guarita,0.6,3.39,52.47,75.77,46.93,20.84
barra do quarai,45.58,46.53,46.06,42.0,8.36,11.47
barra do rio azul,8.09,17.26,28.05,68.06,63.86,14.68
barra funda,-,32.17,60.76,66.85,39.24,0.97
benjamin constant do sul,-,24.64,13.51,65.06,86.49,10.31
boa vista das missoes,-,4.84,56.74,89.05,43.26,6.12
boa vista do cadeado,-,3.09,-,72.47,-,24.44
boa vista do incra,-,0.39,-,80.31,-,19.31
boa vista do sul,11.6,2.3,77.18,93.11,11.22,4.59
bom progresso,0.39,20.33,45.79,68.29,53.82,11.38
bozano,-,21.94,-,65.67,-,12.39
braga,0.41,6.19,58.56,64.82,41.03,28.98
brochier,0.66,26.41,63.19,70.9,36.15,2.69
cacique doble,26.4,30.14,24.82,57.54,48.78,12.32
caibate,3.36,15.99,80.74,82.33,15.9,1.69
camargo,-,44.43,73.14,54.13,26.86,1.44
campestre da serra,18.66,28.34,29.85,61.85,51.49,9.81
campos borges,12.79,9.53,48.57,67.21,38.64,23.26
canudos do vale,-,18.5,-,69.83,-,11.67
capao bonito do sul,-,1.14,-,57.75,-,41.11
capao do cipo,-,7.58,-,63.65,-,28.77
capitao,5.43,9.12,72.28,85.61,22.28,5.26
capivari do sul,41.71,61.96,54.5,36.63,3.79,1.41
carlos gomes,-,18.07,40.16,60.04,59.84,21.89
caseiros,20.66,22.08,35.45,69.63,43.89,8.29
centenario,-,29.94,13.05,61.45,86.95,8.61
