city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
rio grande do sul,9.53,4.9,10.83,4.1,2.04,0.55
ate 5.000 ,12.87,7.29,43.49,13.17,7.57,1.65
acegua,-,8.66,-,17.31,-,2.99
agua santa,9.07,4.08,41.4,5.1,4.42,0.0
alegria,12.34,10.22,51.49,8.44,7.66,0.89
almirante tamandare do sul,-,4.76,-,16.67,-,0.79
alto alegre,5.85,4.76,64.91,4.76,4.09,0.0
alto feliz,1.75,1.34,7.89,0.67,0,0.0
andre da rocha,3.33,10.47,13.33,9.3,1.11,1.16
arambare,18.65,9.4,23.32,7.26,6.22,0.85
ararica,7.4,3.74,1.9,1.5,0.19,0.0
arroio do padre,-,8.77,-,21.64,-,2.92
aurea,8.45,3.59,62.97,10.77,5.25,0.0
barra do guarita,16.46,10.19,39.24,21.89,5.38,3.02
barra do quarai,14.79,12.02,5.06,10.49,0.78,1.53
barra do rio azul,11.48,4.17,58.47,13.54,5.46,0.0
barra funda,12.32,8.16,25.59,0.68,4.27,0.0
benjamin constant do sul,40,27.96,94.55,10.22,39.32,4.3
boa vista das missoes,14.8,4.83,40.79,7.59,8.3,0.0
boa vista do cadeado,-,2.19,-,23.36,-,0.73
boa vista do incra,-,1.09,-,20.22,-,0.0
boa vista do sul,5.52,4.13,6.13,2.48,1.23,0.0
bom progresso,14.33,9.52,53.43,8.84,8.36,2.72
bozano,-,5.88,-,10.29,-,0.0
braga,21.19,18.12,36.44,26.85,7.2,6.71
brochier,7.64,1.16,33.44,2.33,4.46,0.0
cacique doble,24.33,18.49,46.8,15.1,11.34,3.91
caibate,8.47,3.49,14.12,0.95,1.93,0.0
camargo,15.38,5.52,22.56,0.61,4.1,0.61
campestre da serra,9.18,4.48,51.27,10.76,6.01,0.9
campos borges,10.3,6.64,36.04,16.37,6.78,0.88
canudos do vale,-,5.81,-,9.3,-,0.0
capao bonito do sul,-,6.48,-,51.85,-,3.7
capao do cipo,-,5.28,-,25.61,-,1.63
capitao,6.73,4.59,23.32,6.63,3.59,1.53
capivari do sul,8.36,5.56,1.86,0.65,0.31,0.0
carlos gomes,2.38,3.9,56.55,19.48,0,1.3
caseiros,13.03,10.28,39.08,7.01,6.69,1.87
centenario,4.76,2.52,86.51,8.18,4.76,1.26
cerro branco,17.1,10.78,45.51,8.92,11.3,2.23
cerro grande,20,7.02,70.2,5.85,17.65,1.75
charrua,34.59,37.5,41.54,34.87,13.16,20.07
chiapetta,8.07,5.98,43.27,5.65,3.36,1.0
chuvisca,15.87,8.05,83.04,71.14,14.57,6.71
ciriaco,12.64,5.17,26.36,14.14,3.92,0.0
colinas,2.8,2.65,26.57,0.88,2.8,0.0
colorado,4.32,3.05,34.55,6.09,3.99,0.0
coqueiro baixo,-,1.92,-,38.46,-,1.92
coqueiros do sul,6.12,1.49,64.49,9.7,6.12,0.75
coronel barros,9.09,3.88,44.85,6.2,4.85,0.78
coronel pilar,-,5.06,-,13.92,-,1.27
cotipora,4.68,3.55,44.6,6.38,3.96,1.42
coxilha,10.96,3.29,38.76,9.86,3.37,0.47
