city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
rondonia,12.97,8.74,3.22,1.34,13.76,7.46,46.86,37.04
ate 5.000 ,16.59,13.33,4.04,1.95,18.39,11.23,46.22,44.48
castanheiras,14.72,14.29,3.64,2.07,15.76,11.53,38.78,43.9
parecis,22.27,14.71,6.54,2.1,26.08,14.61,59.76,50.14
pimenteiras do oeste,14.66,9.51,2.9,1.51,15.92,8.51,51.88,31.75
primavera de rondonia,15.36,13.42,2.73,1.37,16.85,10.22,44.98,48.02
rio crespo,16,13.29,4.43,3.47,17.27,11.05,43.78,41.48
teixeiropolis,17.63,12.96,4.18,1.39,18.05,9.86,55.61,45.14
de 5.001 a 10.000 ,17.79,13.14,4.49,1.63,20.11,11.47,53.2,46.97
cabixi,17.5,13.63,2.79,2.59,18.13,10.51,54.05,45.98
cacaulandia,16.03,13.22,4.41,1.88,18.23,11.84,47.6,43.29
chupinguaia,15.87,10.31,4.71,1.4,18.51,10.26,44.58,40.38
corumbiara,17.53,12.57,3.07,1.72,19.58,10.3,57.24,50.34
itapua do oeste,18.27,12.75,5.3,2.16,19.77,12.05,54.86,42.31
nova uniao,17.74,13.57,4.12,1.14,20.56,12.25,53.97,51.49
santa luzia d'oeste,18.04,13.03,3.3,0.84,19.18,10.92,58.97,46.98
sao felipe d'oeste,17.7,14.67,2.8,0.99,19.68,11.85,58.91,49.21
vale do anari,20.05,15.07,5.04,2.43,24.15,13.1,56.3,53.45
vale do paraiso,18.15,12.87,4.62,1.3,21.1,11.71,51.37,42.95
de 10.001 a 20.000 ,16.96,12.17,4.42,1.63,19.01,10.79,52.83,44.48
alto alegre dos parecis,17.52,13.53,3.94,1.78,19.85,12.58,60.07,49.38
alto paraiso,16.19,11.81,4.75,1.71,17.93,10.29,49.12,44.5
alvorada d'oeste,15.89,12.94,3.57,1.47,17.36,11.18,51.44,46.06
campo novo de rondonia,17.85,12.31,5.16,1.73,21.81,12.6,50.82,42.54
candeias do jamari,16.82,10.99,6.36,2.46,18.84,10.62,46.17,37.49
cerejeiras,13.9,10.28,2.29,0.95,13.48,8.22,48.76,38.07
colorado do oeste,15.09,12.43,2.03,0.88,15.17,9.59,51.41,43.92
costa marques,15.98,8.56,5.78,1.64,17.18,8.16,47.95,32.27
cujubim,17.86,11.97,7.08,2.49,21.47,12.35,47.72,44.39
governador jorge teixeira,20.03,13.47,5.93,1.71,23.05,11.73,58.5,47.51
ministro andreazza,17.91,12.67,3.55,1.26,19.17,9.99,62.06,52.94
mirante da serra,19.9,13.51,5.96,1.84,21.7,11.48,57.04,46.2
monte negro,16.5,14.54,5.19,1.95,18.26,13.2,50.08,48.97
nova brasilandia d'oeste,16.3,11.25,3.11,1.28,17.69,9.48,54.79,43.4
novo horizonte do oeste,17.52,14.35,3.78,1.16,20.48,11.61,49.72,52.3
sao francisco do guapore,14.62,9.57,4.13,1.28,17.78,8.88,45.05,39.15
seringueiras,15.36,10.57,4.19,1.57,18.17,9.56,47.96,43.16
theobroma,18.3,15.13,5.91,2.78,21.84,13.89,49.53,46.94
urupa,17.94,14.26,4.19,1.4,20.7,12.42,56.58,50.08
de 20.001 a 50.000 ,14.61,10.54,3.2,1.54,15.58,9.24,50.47,40.71
alta floresta d'oeste,15.84,11.99,3.6,1.63,17.13,10.73,52.22,42.5
buritis,14.05,9.85,4.02,1.77,17.35,8.92,48.3,42.3
espigao d'oeste,15.32,11.4,2.69,1.2,16.87,9.74,52.46,45.23
guajara-mirim,11.72,8.05,3.06,1.9,11.74,6.99,41.64,30.14
machadinho d'oeste,16.4,11.95,4.63,2.15,19.43,11.3,48.01,43.43
nova mamore,16.95,13.07,5.48,1.89,20.15,12.89,50.38,48.03
ouro preto do oeste,14.06,10.36,3.6,1.46,14.19,8.3,51.4,40.57
pimenta bueno,12.9,8.35,2.77,0.77,13.42,6.94,46.13,36.93
presidente medici,17.23,12.23,3.82,1.23,17.6,9.64,55.12,42.97
sao miguel do guapore,15.95,10.81,3.21,1.35,18.8,9.74,53.3,43.69
de 50.001 a 100.000 ,12.15,8.18,2.78,1.07,12.68,6.59,45.42,36.6
ariquemes,11.77,7.9,3.24,1.12,12.54,6.88,43.11,34.9
cacoal,12.14,8.3,2.37,0.9,12.29,6.42,46.06,36.87
jaru,15.21,10.66,3.71,1.3,16.33,8.66,53.36,44.19
rolim de moura,14.49,9.04,2.28,1.12,14.39,6.85,54.25,40.85
vilhena,9.62,6.08,1.7,1.02,10.02,4.89,38.48,28.69
de 100.001 a 500.000 ,9.01,5.68,2.56,1.2,8.96,4.83,39.26,27.46
ji-parana,11.4,7.79,2.75,1.14,11.16,6.06,46.81,35.75
porto velho,8.22,5.1,2.5,1.21,8.24,4.5,36.23,24.41
mais de 500.000 ,-,-,-,-,-,-,-,-
