city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
roraima,13.49,10.33,4.17,3.92,15.14,9.65,48.56,39
ate 5.000 ,21.12,-,4.69,-,25.93,-,58.82,-
de 5.001 a 10.000 ,22.64,21.09,8.01,10.64,25.62,20.85,64.32,57.8
amajari,28.16,38.68,20.69,34.28,26.32,36.64,57.96,63.39
caroebe,20.53,12.18,5.67,1.56,24.3,11.69,61.65,46.3
iracema,21.12,30.23,4.69,17.42,25.93,31.86,58.82,60.7
normandia,20.34,12.28,6.36,2.95,21.91,9.88,70.47,59.65
sao joao da baliza,18.69,11.56,4.58,1.47,23.42,11.47,55.71,44.26
sao luiz,18.53,12.2,4.79,1.66,23.04,11.5,52.17,52.44
uiramuta,37.33,28.24,16.85,12.09,46.06,31.52,80,84.66
de 10.001 a 20.000 ,21.8,19.17,6.59,9.52,26.11,18.68,62.02,49.58
alto alegre,19.08,40.13,3.66,35.03,22.86,39.38,66.25,58.97
bonfim,22.05,13.26,5.39,4.04,25,12.23,71.79,45.47
canta,25.96,17.2,8.63,4.16,29.93,17.19,63.42,47.24
caracarai,22.81,13.32,10.39,3.51,25.73,13.24,58.22,44.92
mucajai,22.34,17.2,6.55,4.88,26.36,17.03,57.98,50.33
pacaraima,14.26,9.79,3.96,1.93,14.32,8.31,63.37,50.3
de 20.001 a 50.000 ,-,14.54,-,3.1,-,15.13,-,53.88
rorainopolis,23.4,14.54,6.51,3.1,29.57,15.13,64.88,53.88
de 50.001 a 100.000 ,-,-,-,-,-,-,-,-
de 100.001 a 500.000 ,8.66,5.83,2.51,1.31,9.29,5.17,38.41,29.67
boa vista,8.66,5.83,2.51,1.31,9.29,5.17,38.41,29.67
mais de 500.000 ,-,-,-,-,-,-,-,-
