city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
roraima,55.06,41.38,27.63,44.24,17.31,14.38
ate 5.000 ,38.65,-,33.6,-,27.75,-
de 5.001 a 10.000 ,19.51,17.13,31.19,42.29,49.31,40.59
amajari,14.21,5.36,19.03,35.77,66.76,58.87
caroebe,15.33,13.18,36.92,42.41,47.75,44.41
iracema,38.65,39.04,33.6,24.64,27.75,36.31
normandia,7.1,10.46,31.85,37.72,61.06,51.82
sao joao da baliza,32.02,15.69,44.09,64.42,23.89,19.9
sao luiz,24.45,28.6,45.38,54.38,30.17,17.01
uiramuta,1.67,2.08,35.37,43.21,62.96,54.71
de 10.001 a 20.000 ,18.57,20.56,37.56,41.43,43.86,38
alto alegre,1.38,11.19,40.35,39.97,58.27,48.84
bonfim,19.58,27.4,24.28,29.04,56.14,43.56
canta,13.82,3.19,28.62,49.01,57.55,47.8
caracarai,36.34,52.52,35.34,16.97,28.32,30.5
mucajai,33.79,3.15,29.63,64.22,36.58,32.64
pacaraima,43.79,23.23,21.43,53.61,34.79,23.15
de 20.001 a 50.000 ,-,5,-,61.35,-,33.65
rorainopolis,10.04,5,42.22,61.35,47.74,33.65
de 50.001 a 100.000 ,-,-,-,-,-,-
de 100.001 a 500.000 ,73.59,54,24.09,44,2.32,2.01
boa vista,73.59,54,24.09,44,2.32,2.01
mais de 500.000 ,-,-,-,-,-,-
