city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
roraima,21.69,18.16,20.99,21.99,7.95,9.54
ate 5.000 ,35.19,-,23.17,-,13.01,-
de 5.001 a 10.000 ,31.07,32.03,53.77,51.58,21.19,23.79
amajari,26.62,55.9,67.96,68.92,22.03,50.36
caroebe,29.24,13.38,45.87,48.44,18.46,7.82
iracema,35.19,46.81,23.17,42.64,13.01,33.87
normandia,25.25,15.52,64.27,62.46,18.75,10.64
sao joao da baliza,26.28,12.95,25.09,21.59,8.68,1.98
sao luiz,31.29,15.27,32.31,13.89,13.67,2.6
uiramuta,51.46,40.56,64.54,58.2,41.92,30.65
de 10.001 a 20.000 ,29.95,29.72,43.67,46.34,15.92,21.31
alto alegre,22.43,61.25,60.33,65.97,14.27,55.15
bonfim,26.22,20.16,60.06,51.64,18.89,13.65
canta,39,20.68,57.87,48.89,27.23,13.06
caracarai,28.72,19.56,25.73,34.39,10.67,8.75
mucajai,35.58,25.8,33.25,34.35,14.78,13.83
pacaraima,22.85,14.78,46.56,33.61,14.19,6.56
de 20.001 a 50.000 ,-,21.25,-,35.48,-,11.92
rorainopolis,35.05,21.25,50.86,35.48,23.24,11.92
de 50.001 a 100.000 ,-,-,-,-,-,-
de 100.001 a 500.000 ,15.78,9.42,3.25,2.87,1.01,0.66
boa vista,15.78,9.42,3.25,2.87,1.01,0.66
mais de 500.000 ,-,-,-,-,-,-
