city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
santa catarina,6.32,4.14,1.67,0.82,5.51,3.24,21.83,14.07
ate 5.000 ,10.68,7.96,2.84,1.18,9.52,6.46,29.59,21.38
abdon batista,10.85,9.73,2.74,1.88,9.59,8.15,33.06,23.94
agronomica,6.92,5.49,2.18,0.58,5.55,4.07,21.97,18.74
aguas frias,9.43,9.09,2.94,1.22,7.84,6.88,28.19,26.67
alto bela vista,4.96,4.04,2.85,1.84,3.7,2.89,10.9,8.4
anitapolis,13.92,10.7,3.25,3.09,12.99,8.4,32.4,26.17
arabuta,5.35,4.04,1.05,0.51,3.85,2.58,16.95,10.39
arroio trinta,10.59,5.62,1.88,1.08,8.19,3.77,39.87,17.09
arvoredo,17.34,10.1,4.43,0.72,17.51,8.18,44.44,30.48
atalanta,5.01,4.1,1.34,0.52,3.6,2.89,17.91,13.3
bandeirante,12.6,8.92,4.93,2.36,11.35,6.86,27.89,20.73
barra bonita,12.58,13.57,4.05,1.68,11.15,10.44,31.08,33.77
belmonte,10.96,9.39,2.07,2.71,9.31,7.99,34.43,21.56
bocaina do sul,16.01,11.26,7.61,2.52,14.47,9.81,35.67,27.87
bom jardim da serra,10.44,8.39,3.77,1.27,9.03,8.24,28.61,19.92
bom jesus,16,10.55,3.66,1.64,13.37,7.4,54.84,39.47
bom jesus do oeste,7.47,7.16,1.49,0.58,6.54,5.41,19.75,18.28
botuvera,7.44,5.79,1.44,0.73,5.58,4.19,24.88,18.86
braco do trombudo,8.79,3.37,1.95,0.35,7.21,2.34,24,10.43
brunopolis,16.11,13.63,4.01,2.54,13.11,9.55,52.58,39.9
calmon,18.23,11.88,6.8,2.02,18.61,12.03,51.56,35.56
capao alto,13.2,9.89,5.21,1,12.06,7.95,27.27,24.58
caxambu do sul,14.9,10.77,4.32,1.25,12.35,8.82,42.11,26.91
celso ramos,10.89,8.69,1.72,0.83,9.05,6.42,35.69,26.17
cerro negro,22.87,17.02,8.94,2.12,22.88,15.31,48.91,39.92
chapadao do lageado,9.47,7.52,2.38,0.88,7.99,6.8,33.17,22.78
cordilheira alta,10.73,4.86,1.84,1.1,9.32,3.04,36.03,18.22
coronel martins,13.84,11.43,2.21,0.94,14.12,10.6,38.25,28.17
cunhatai,4.59,3.95,4.21,0.99,3.82,3.15,8.29,10.23
dona emma,5.99,4.16,1.25,0.95,5.45,3.69,16.72,10.15
doutor pedrinho,5.13,3.88,0.98,1.04,4.1,3.79,14.71,7.35
entre rios,22.4,14.93,6.59,1.31,21.97,12.51,60.5,49.66
ermo,10.68,6.09,2.97,1.35,8.87,3.64,33.33,21.67
erval velho,11.32,7.48,1.81,0.75,9.52,5.61,32.06,19.19
flor do sertao,18.66,11.97,1.59,2.34,20.23,9.65,39.74,28.69
formosa do sul,11.43,7.72,3.69,1.05,9.86,5.81,32.4,21.88
frei rogerio,9.06,8.6,2.27,2.47,7.88,6.89,31.42,23.81
galvao,17.73,14.28,4.16,1.77,17.31,12.92,44.96,34.65
guaruja do sul,11.39,6.33,3.38,0.46,9.76,4.87,28.02,17.96
guatambu,17.35,10.15,5.17,1.05,16.82,8.82,47.44,30.38
ibiam,9.63,6.17,2.56,0.31,8.04,4.99,30.64,17.28
ibicare,7.06,6.73,1,0.64,6.15,4.32,18.65,18.31
iomere,5.46,3.16,0.74,0.49,3.53,2.06,18.21,8.49
ipira,6.88,5.02,1.15,1.24,5.5,4.25,20.13,10.51
iraceminha,10.62,7.1,2.3,0.47,9.26,4.99,29.98,19.73
irati,15.79,11.56,5.28,2.55,15.89,10.71,36.96,26.55
jabora,10.15,7.29,1.78,1.3,7.34,5.89,33.19,17.76
jardinopolis,9.7,8.99,2.22,0.33,9.25,7.51,29.11,25.21
jose boiteux,11.18,6.27,4.57,0.85,10.32,5.8,25.6,15.5
jupia,15.43,10.18,4.44,2.87,15.21,7.06,36.32,28.3
lacerdopolis,6.72,5.41,1.59,-,5.44,3.66,19.46,14.85
lajeado grande,9.43,7.39,1.29,0.78,7.78,5.49,27.49,20.51
