city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
santa catarina,61.04,66.34,28.48,29.57,10.48,4.09
ate 5.000 ,16.29,26.95,38.14,53.03,45.57,20.03
abdon batista,13.75,24.47,29.78,49.65,56.47,25.89
agronomica,16.22,30.46,30.18,48.15,53.6,21.39
aguas frias,17.74,22.38,47.71,52.21,34.56,25.41
alto bela vista,14.5,24.04,44.01,54.57,41.48,21.39
anitapolis,20.74,22.42,36.57,70.6,42.7,6.98
arabuta,11.26,29.95,29.32,61.31,59.42,8.74
arroio trinta,33.64,63.66,31.01,28.55,35.35,7.79
arvoredo,4.69,18.28,28.7,39.11,66.61,42.61
atalanta,28.06,36.93,13.61,51.64,58.32,11.43
bandeirante,-,6.01,17.65,52.06,82.35,41.94
barra bonita,9.57,4.51,35.46,67.76,54.97,27.73
belmonte,-,5.94,47.95,70.67,52.05,23.39
bocaina do sul,9.69,2.59,44.29,62.0,46.01,35.41
bom jardim da serra,36.18,25.97,28.27,48.82,35.55,25.21
bom jesus,4.84,55.09,59.59,21.02,35.57,23.89
bom jesus do oeste,2.44,15.2,34.21,68.7,63.35,16.1
botuvera,12.56,31.08,51.05,66.12,36.39,2.79
braco do trombudo,42.22,51.39,47.37,46.11,10.41,2.5
brunopolis,8.66,18.77,39.71,51.62,51.63,29.61
calmon,3.83,52.0,45.56,25.17,50.62,22.83
capao alto,9.99,16.28,40.3,52.7,49.71,31.02
caxambu do sul,10.93,13.48,63.75,44.25,25.33,42.27
celso ramos,9.09,22.07,24.77,63.97,66.14,13.97
cerro negro,0.49,6.0,28.52,53.73,70.99,40.27
chapadao do lageado,-,8.85,11.03,60.29,88.97,30.86
cordilheira alta,13.86,27.49,38.38,44.47,47.75,28.03
coronel martins,1.86,11.38,28.76,51.08,69.37,37.53
cunhatai,0.65,17.97,42.76,35.39,56.59,46.64
dona emma,36.62,33.01,52.7,54.03,10.68,12.97
doutor pedrinho,38.51,40.87,33.18,50.87,28.31,8.26
entre rios,-,3.6,14.29,38.09,85.71,58.31
ermo,18.83,34.15,68.74,64.46,12.44,1.38
erval velho,46.97,41.82,27.56,47.78,25.46,10.4
flor do sertao,-,9.05,37.62,82.7,62.38,8.25
formosa do sul,-,44.75,32.9,49.4,67.1,5.84
frei rogerio,3.42,14.85,35.07,56.81,61.51,28.34
galvao,3.9,6.08,50.13,67.17,45.97,26.74
guaruja do sul,10.49,27.56,54.64,61.02,34.87,11.42
guatambu,3.92,8.86,26.94,48.8,69.14,42.33
ibiam,12.13,32.48,24.85,45.28,63.01,22.24
ibicare,24.64,43.79,51.12,44.78,24.25,11.42
iomere,23.76,32.81,32.46,66.18,43.78,1.01
ipira,29.42,47.42,40.53,43.66,30.06,8.92
iraceminha,0.58,7.54,42.82,65.24,56.59,27.22
irati,-,1.36,42.7,85.35,57.3,13.29
jabora,18.78,32.29,27.9,33.94,53.32,33.78
jardinopolis,28.86,14.37,28.66,57.28,42.48,28.36
jose boiteux,22.21,39.86,41.8,52.56,35.99,7.57
jupia,-,0.15,21.08,51.86,78.92,47.99
lacerdopolis,51.25,52.75,16.9,45.23,31.85,2.02
lajeado grande,23.3,20.14,12.57,35.07,64.14,44.8
leoberto leal,11.94,18.1,13.47,32.43,74.59,49.47
lindoia do sul,31.26,42.23,22.62,52.3,46.11,5.47
macieira,14.62,26.5,6.15,48.64,79.23,24.86
major gercino,3.98,27.46,38.05,62.62,57.96,9.93
marema,10.13,6.82,39.87,56.01,50,37.18
matos costa,21.58,23.29,49.44,44.66,28.98,32.05
mirim doce,33.72,36.03,39.44,47.66,26.83,16.31
modelo,11.5,21.52,54.49,70.07,34.02,8.41
morro grande,20.28,45.17,67.81,54.16,11.91,0.67
nova erechim,53.95,70.66,28.53,27.62,17.52,1.72
nova itaberaba,1.78,8.04,66.23,51.2,31.99,40.76
novo horizonte,2.78,11.15,18.31,36.27,78.91,52.57
ouro verde,0.49,14.29,36.36,55.41,63.15,30.3
paial,0.96,10.22,19.62,67.7,79.42,22.08
painel,15.01,21.53,23.43,49.46,61.56,29.02
palmeira,20,31.59,38.81,37.99,41.19,30.42
paraiso,2.81,5.94,36.28,53.13,60.91,40.93
passos maia,5.56,23.52,52.01,48.99,42.43,27.49
pedras grandes,16.28,27.96,41.28,60.67,42.44,11.38
peritiba,38.96,49.45,53.72,43.88,7.32,6.67
pinheiro preto,43.38,43.45,41.06,52.36,15.55,4.18
piratuba,38.6,33.66,25.34,55.1,36.06,11.24
