city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
ate 5.000 ,13.93,9.74,2.7,1.47,10.75,6.42,43.2,29.98
adolfo,13.14,8.13,1.8,0.9,8.94,4.16,47.09,27.61
aguas de sao pedro,2.94,1.45,0.62,0.57,2.06,1.52,6.74,1.78
alambari,11.13,6.57,1.59,0.95,9.73,4.34,37.75,23.64
alfredo marcondes,11.2,10.13,2.63,1.33,7.32,4.76,32.97,29.24
altair,14.72,10.2,5.56,2.92,12.45,9.06,47.39,27.03
alto alegre,13.31,8.56,2.47,0.94,8.37,5.2,39.97,22.65
alvares florence,14.2,9.22,1.38,0.95,9.52,4.8,41.39,25.12
alvaro de carvalho,15.08,8.84,5.5,1.48,12.74,5.76,53.96,39.17
alvinlandia,15.14,10.52,2.06,1.0,12.56,7.06,50.84,34.51
analandia,7.98,6.61,1.62,1.8,5.67,5.23,28.68,16.8
anhumas,15.01,7.87,3.37,0.94,11.62,5.18,48.4,25.48
aparecida d'oeste,18.07,12.1,2.16,1.55,11.35,6.4,57.3,34.68
arapei,14.47,7.67,2.27,1.2,10.24,4.27,44.18,26.35
arco-iris,17.92,15.3,0.76,1.61,13.13,7.61,57.34,48.67
areias,15.03,8.44,4.69,1.42,11.85,6.06,45.45,27.17
aspasia,17.75,12.47,2.89,1.02,13.23,7.97,50.98,35.9
avai,12.2,7.86,1.85,1.31,10.41,5.69,35.71,25.78
balbinos,10.93,6.04,0.91,2.64,7.32,4.65,34.25,31.06
barao de antonina,14.83,9.42,1.43,1.03,12.75,7.4,40.57,24.25
bento de abreu,10.04,7.87,1.9,1.85,5.99,5.24,38.46,25.97
bom sucesso de itarare,14.18,11.33,4.49,1.76,12.17,10.2,53.77,39.79
bora,11.09,9.58,4.14,2.08,6.76,7.19,38.04,33.72
boraceia,11.62,7.62,1.75,1.3,9.25,5.46,38.48,23.8
borebi,15.42,9.18,1.37,1.67,15.27,7.41,42.93,29.44
brejo alegre,15.99,11.25,2.47,1.46,14.83,7.29,46.98,38.21
buritizal,8.93,5.8,1.9,0.77,7.03,4.89,26.26,14.08
cabralia paulista,11.36,9.61,1.73,1.7,10.16,6.85,36.56,31.52
caiabu,16.36,12.48,2.09,1.12,11.28,7.02,53.69,42.04
campos novos paulista,13.14,9.98,3.36,1.58,11.65,8.24,34.47,24.46
canas,9.87,6.15,2.99,3.14,7.85,3.78,35.86,24.3
candido rodrigues,10.74,8.62,1.47,1.14,6.73,4.65,32.19,24.47
canitar,16.13,10.35,3.77,0.69,15.62,8.77,48.47,35.4
cassia dos coqueiros,11.11,10.11,1.81,2.12,9.32,8.07,31.91,25.0
corumbatai,7.97,7.03,1.37,1.68,6.92,5.55,23.79,19.1
cruzalia,10.01,7.63,1.16,0.27,7.6,4.77,36.3,25.76
dirce reis,19.39,13.9,1.53,1.85,14.48,7.63,54.47,39.26
dolcinopolis,18.1,12.13,2.82,0.95,12.84,6.39,55.4,36.65
