city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
ate 5.000 ,64.12,74.93,17.2,15.12,18.68,9.95
adolfo,81.6,87.0,9.39,10.42,9.01,2.58
aguas de sao pedro,99.02,97.88,0.98,2.12,-,-
alambari,49.33,56.07,39.77,36.85,10.89,7.08
alfredo marcondes,73.15,82.12,8.2,7.57,18.65,10.31
altair,72.21,78.78,20.82,21.05,6.97,0.17
alto alegre,64.97,78.33,9.77,7.05,25.26,14.62
alvares florence,60.75,67.72,5.69,17.23,33.56,15.06
alvaro de carvalho,77.3,89.92,8.19,4.94,14.51,5.14
alvinlandia,80.19,89.45,7.68,6.7,12.13,3.85
analandia,73.35,75.84,11.19,10.92,15.46,13.25
anhumas,70.04,82.15,8.87,5.72,21.09,12.13
aparecida d'oeste,68.88,81.26,8.79,4.64,22.33,14.1
arapei,48.26,47.99,25.45,44.6,26.29,7.41
arco-iris,48.43,57.85,4.46,15.71,47.11,26.44
areias,47.5,63.31,27.41,20.24,25.08,16.45
aspasia,62.11,70.41,4.92,9.92,32.97,19.67
avai,61.81,65.88,10.47,22.41,27.72,11.72
balbinos,79.3,85.99,2.74,7.64,17.96,6.37
barao de antonina,52.14,54.44,21.49,38.83,26.37,6.73
bento de abreu,85.18,91.65,2.45,6.61,12.37,1.74
bom sucesso de itarare,51.75,62.76,11.9,32.69,36.35,4.54
bora,77.97,78.24,1.32,9.62,20.7,12.13
boraceia,86.56,89.09,12.31,5.25,1.13,5.65
borebi,79.42,86.45,2.72,5.14,17.86,8.42
brejo alegre,77.16,82.37,6.04,13.19,16.8,4.44
buritizal,79.53,80.84,2.17,11.43,18.3,7.72
cabralia paulista,84.41,85.72,15.35,4.2,0.24,10.07
caiabu,54.84,69.28,26.79,19.42,18.37,11.29
campos novos paulista,66.85,76.71,27.67,4.77,5.47,18.52
canas,57.63,82.24,34.35,16.51,8.02,1.24
candido rodrigues,77.18,83.99,4.23,8.41,18.59,7.6
canitar,0.23,84.32,99.77,14.94,-,0.74
cassia dos coqueiros,54.17,64.4,30.76,18.16,15.07,17.44
corumbatai,47.72,57.3,12.71,29.84,39.56,12.86
cruzalia,60.66,65.98,17.62,20.54,21.71,13.48
dirce reis,56.58,78.27,15.64,7.64,27.78,14.09
dolcinopolis,82.72,93.55,4.54,1.51,12.74,4.94
elisiario,85.54,90.95,13.77,9.05,0.69,-
embauba,79.08,84.14,1.26,3.0,19.67,12.86
emilianopolis,73.09,82.58,8.97,6.0,17.94,11.42
espirito santo do turvo,83.45,83.51,13.88,9.08,2.68,7.4
estrela do norte,61.74,75.47,6.63,11.76,31.63,12.77
fernao,44.63,55.64,19.02,36.38,36.34,7.98
flora rica,62.33,81.35,13.02,18.49,24.65,0.16
floreal,77.38,82.84,2.12,9.04,20.5,8.12
florinia,81.91,86.94,5.37,8.49,12.72,4.56
gabriel monteiro,75.73,84.36,1.39,4.64,22.88,11
gastao vidigal,77.02,86.29,5.49,10.03,17.49,3.68
gaviao peixoto,72.95,84.17,20.26,10.65,6.79,5.18
glicerio,69.44,72.7,27.22,14.99,3.33,12.32
guarani d'oeste,85.56,86.67,3.57,5.96,10.87,7.38
guzolandia,37.65,85.02,45.78,1.37,16.57,13.62
indiana,0.91,71.16,85.23,21.85,13.87,6.99
indiapora,69.27,80.86,14.87,14.92,15.86,4.22
inubia paulista,79.03,87.09,12.12,9.6,8.85,3.31
ipigua,55.83,65.28,21.93,28.34,22.23,6.38
iporanga,40.62,53.91,23.22,27.93,36.16,18.16
itaju,61.65,72.59,5.63,27.21,32.72,0.21
itaoca,25.62,32.69,41.96,59.23,32.43,8.07
itapirapua paulista,31.1,41.24,28.21,46.25,40.69,12.51
itapura,29.11,29.7,65.5,58.22,5.39,12.07
jeriquara,77.53,85.46,20.22,14.23,2.25,0.31
joao ramalho,79.87,83.99,4.24,5.28,15.9,10.72
julio mesquita,83.47,91.92,12,3.57,4.53,4.52
jumirim,50.43,59.13,40.03,39.11,9.54,1.76
lagoinha,49.41,60.12,13.53,30.15,37.06,9.73
lourdes,74.14,80.22,5.89,13.46,19.97,6.31
lucianopolis,77.62,76.34,18,15.49,4.38,8.17
lupercio,76.39,90.29,20.97,8.36,2.64,1.36
lutecia,72.64,78.91,3.14,8.48,24.21,12.61
macedonia,68.01,74.42,14.94,6.53,17.05,19.04
