city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
ate 5.000 ,15.01,8.23,19.38,9.1,3.4,0.96
adolfo,10.63,5.69,9.97,0.41,0,0.0
aguas de sao pedro,7.48,3.82,0,0.0,0,0.0
alambari,13.57,4.06,9.76,7.4,0.48,0.24
alfredo marcondes,11.64,7.39,16.04,5.65,1.89,0.87
altair,19.64,12.24,6.2,0.29,2.07,0.0
alto alegre,10.54,7.39,19.17,13.23,3.19,0.0
alvares florence,11.28,4.15,34.45,10.88,3.35,1.04
alvaro de carvalho,18.39,12.9,17.13,4.84,2.77,0.97
alvinlandia,18.79,10.29,13.64,4.04,1.21,0.74
analandia,11.11,4.64,24.22,19.13,1.14,2.46
anhumas,15.82,4.51,18.64,9.72,1.98,0.35
aparecida d'oeste,11,5.84,28.61,16.34,2.2,1.56
arapei,16.19,4.37,30.58,7.77,4.68,0.49
arco-iris,12.85,5.65,54.19,20.16,7.82,1.61
areias,20.75,10.59,28.04,17.65,7.06,3.82
aspasia,21.08,5.26,31.33,16.67,6.63,0.88
avai,15.45,5.56,36.79,10.35,5.28,1.52
balbinos,13.76,9.9,12.84,3.96,0,0.99
barao de antonina,17.53,8.55,26.12,5.58,4.47,0.37
bento de abreu,4.8,7.55,17.2,1.89,0,0.0
bom sucesso de itarare,20.41,15.05,30.9,1.61,4.49,0.81
bora,13.89,9.84,27.78,13.11,9.72,1.64
boraceia,17.48,8.84,2.31,7.46,1.8,0.28
borebi,16.47,6.28,25.88,8.7,5.88,0.48
brejo alegre,15.13,4.44,10.5,0.56,3.36,0.56
buritizal,12.68,5.19,19.15,10.39,4.23,2.27
cabralia paulista,13.55,6.61,0.57,12.4,0.19,0.28
caiabu,12.93,7.67,10.98,4.88,1.95,0.0
campos novos paulista,15.84,9.49,2.39,17.44,0.65,1.03
canas,14.25,7.22,13.57,2.19,4.52,1.75
candido rodrigues,9.34,5.88,25.27,12.42,0.55,0.65
canitar,21.72,10.96,0,0.88,0,0.66
cassia dos coqueiros,13.59,9.34,13.94,15.38,2.09,0.0
corumbatai,14.4,6.32,46.53,14.04,10.8,1.75
cruzalia,5.28,2.11,21.14,13.38,1.22,0.0
dirce reis,7.83,9.17,25.22,15.0,1.74,1.67
dolcinopolis,10.98,7.32,11.59,4.07,1.22,0.0
elisiario,13.68,7.2,0,0.0,0,0.0
embauba,13.07,5.62,21.11,11.8,3.52,0.56
emilianopolis,13.56,6.4,20.34,13.3,2.97,0.99
espirito santo do turvo,14.39,7.28,3.3,5.34,1.18,0.24
estrela do norte,17.3,9.24,32.87,9.66,5.19,0.42
fernao,12.93,6.61,43.54,6.61,6.8,0.0
flora rica,12.29,9.38,25.7,0.0,2.79,0.0
floreal,8.64,3.13,25.51,8.59,1.65,0.0
florinia,17.42,5.45,16.13,4.95,0.97,0.5
gabriel monteiro,9.23,6.47,18.97,10.59,2.56,1.18
gastao vidigal,13.56,11.3,19.56,1.74,1.89,0.0
gaviao peixoto,17.34,12.77,4.95,5.85,1.13,0.27
glicerio,13.05,11.55,3.54,13.12,1.55,2.89
guarani d'oeste,17.39,10.27,9.32,4.79,2.48,0.68
guzolandia,15.14,10.55,12.92,15.83,2,0.25
indiana,9.94,2.76,10.56,7.06,1.04,0.31
indiapora,9.12,4.64,18.24,5.06,1.26,0.0
inubia paulista,8.5,3.0,7.52,4.49,1.96,0.37
ipigua,10.69,2.98,20.81,6.55,2.89,0.89
iporanga,23.71,11.19,35.41,18.1,12.48,3.57
