city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
sergipe,25.16,18.4,13.1,4.92,26.31,18.71,54.36,46.11
ate 5.000 ,34.07,26.93,15.54,6.17,36.83,27.76,67.31,61.63
amparo de sao francisco,32.61,23.84,13.54,6.09,35.81,23.85,62.98,55.42
canhoba,36.63,32.18,20.66,12.14,40.14,34.62,60.74,62.04
cumbe,32.38,26.52,11.34,2.78,35.55,26.47,65.29,63.11
divina pastora,25.99,23.15,10.31,5.08,27.95,23.15,64.66,63.19
general maynard,26.83,15.23,11.86,4.02,26.45,14.45,62.33,42.18
itabi,39.19,30.87,21.62,6.58,41.93,33.36,65.03,56.39
malhada dos bois,32.16,23.66,13.86,6.39,33.69,24.52,71.65,56.91
pedra mole,38.43,27.72,13.88,4.33,42.22,28.61,75.2,67.7
santa rosa de lima,36.43,27.17,17.9,7.22,39.61,25.77,67.99,66.17
sao francisco,35.84,26.72,15.9,6.2,40.17,27.52,64.52,60.53
sao miguel do aleixo,41.55,33.83,21.04,6.28,44.88,36.6,78.6,76.1
telha,33.97,27.33,18.49,5.4,36.48,29.43,64.59,65.13
de 5.001 a 10.000 ,33.11,25.33,16.18,6.83,35.68,26.41,65.5,58.13
brejo grande,37.04,31.5,20.1,12.54,39.92,34.36,65.15,65.25
cedro de sao joao,24.2,21.18,13.4,7.75,24.07,19.79,43.94,43.38
feira nova,37.79,30.24,19.76,7.92,41.1,32.62,69.98,64.15
gracho cardoso,34.45,29.95,16.5,7.86,37.92,30.88,62.7,60.74
ilha das flores,32.5,25.71,16.44,10.25,33.1,26.3,64.96,54.81
macambira,36.5,31.5,16.47,6.95,38.82,34.06,64.16,60.34
muribeca,32.14,24.69,14.03,4.23,35.7,26.5,63.02,59.78
nossa senhora aparecida,47.42,37.75,26.43,7.83,51.23,40.78,81.35,76.3
nossa senhora de lourdes,37.58,28.91,19.26,7.63,41.27,29.98,67.54,63.51
pedrinhas,34.43,26.65,17.98,6.7,37.18,29.26,69.04,58.37
pinhao,41.05,30.16,22.75,6.06,42.53,30.89,73.32,65.11
pirambu,26.58,20.19,11.32,6.46,29.44,20.82,59.53,51.55
riachuelo,23.47,17.01,9.03,5.15,25.91,15.96,63.45,55.46
rosario do catete,22.43,14.14,8.24,3.51,24.75,14.42,58.1,42.9
santana do sao francisco,33.11,21.02,15.14,5.78,35.93,22.26,70.64,53.82
siriri,29.82,20.69,14.55,4.09,32.29,21.57,58.03,49.74
de 10.001 a 20.000 ,35.86,26.67,19.14,6.82,38.81,28.11,67.31,61.56
araua,34.79,27.51,16.41,5.76,38.58,29.45,70.23,66.23
areia branca,33.56,24.64,15.45,5.61,38.02,25.81,66.55,62.49
campo do brito,37.69,28.17,20.29,5.7,39.07,28.48,68.59,61.86
carmopolis,22.46,14.46,9.17,5.01,23.93,14.76,60.36,44.98
cristinapolis,41.82,30.45,25.94,10.24,46.83,33.6,73.42,68.48
frei paulo,35.04,26.55,19.24,7.36,37.39,28.07,60.26,57.58
gararu,40.93,30.77,24.69,7.63,45.69,33.59,65.67,62.28
indiaroba,38.26,26.72,19.96,6.65,43.57,30.68,67.78,59.2
japaratuba,28.26,20.58,9.26,3.11,29.93,19.96,68.66,59.83
japoata,37.67,30.84,21.37,11.11,40.75,32.9,70.24,64.1
malhador,31.56,24.73,13.67,5.97,34.93,25.91,64.92,55.67
maruim,23.7,17.66,10.83,5.04,26.07,17.87,53.98,48.81
moita bonita,34.27,26.52,12.19,4.65,35.72,25.03,73.38,61.54
monte alegre de sergipe,41.66,33.83,24.92,9.52,46.27,38.56,74.5,72.98
neopolis,31.62,22.72,16.87,8.33,33.42,22.89,61.06,49.95
pacatuba,37.38,29.42,19.98,9.38,40.39,31.15,72.07,65.97
riachao do dantas,42.85,29.23,23.08,7.05,46.98,30.99,72.65,63.86
ribeiropolis,34.31,28.5,14.56,5.36,35.57,28.13,67.28,64.69
salgado,34.18,27.49,16.5,5.28,38.34,29.22,67.59,64.1
santa luzia do itanhy,45.21,33.03,26.65,8.5,52.23,38.97,74.8,71.5
santo amaro das brotas,26.56,18.89,11.63,4.41,29.11,18.64,58.05,49.3
sao domingos,39.4,33.36,21.09,6.31,42.69,35.56,72.5,70.91
tomar do geru,41.18,32.08,24.2,8.86,45.07,35.27,73.67,69.55
