city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
sergipe,43.96,28.92,24.23,11.18,16.81,6.28
ate 5.000 ,51.03,36.06,20.52,10.34,14.63,5.75
amparo de sao francisco,46.95,26.27,25.4,19.07,16.4,5.08
canhoba,58.64,50.83,24.75,17.34,17.29,12.59
cumbe,49.79,36.02,12.97,8.07,9.21,4.32
divina pastora,41.08,29.61,11.18,5.88,6.88,3.45
general maynard,41.23,22.22,18.15,9.32,14.46,5.38
itabi,61.38,43.17,10.83,8.15,8.48,6.24
malhada dos bois,46.3,34.59,8.64,1.75,7,1.5
pedra mole,53.87,30.19,11.94,13.96,9.35,4.91
santa rosa de lima,56.39,37.2,25.35,6.4,19.88,4.27
sao francisco,45.96,30.77,17.55,3.38,9.75,1.54
sao miguel do aleixo,63.89,52.19,58.12,35.02,42.95,18.86
telha,50.41,31.71,4.68,4.18,1.93,1.74
de 5.001 a 10.000 ,50.71,35.44,24.42,11.98,16.35,6.47
brejo grande,55.99,43.76,37.44,23.62,21.92,15.34
cedro de sao joao,36.12,30.94,10.7,0.9,6.35,0.54
feira nova,55.67,41.07,23.09,5.52,17.41,3.68
gracho cardoso,51.38,42.3,21.77,10.02,13.21,7.05
ilha das flores,49.57,40.81,21.04,3.34,13.79,2.36
macambira,49.59,40.92,46.85,22.94,29.59,12.38
muribeca,51.76,37.5,31.8,5.81,20.92,3.92
nossa senhora aparecida,66.6,47.71,32.43,10.35,25.87,6.16
nossa senhora de lourdes,57.38,34.28,9.2,6.76,7.63,5.5
pedrinhas,53.08,43.3,32.28,18.38,21.58,8.97
pinhao,59.18,45.44,40.52,30.84,29.59,18.25
pirambu,46.04,27.77,14.66,10.66,9.17,3.59
riachuelo,43.44,25.33,10.66,10.41,6.13,4.5
rosario do catete,36.72,20.97,5.94,3.86,3.12,1.64
santana do sao francisco,52.55,28.5,11.06,5.58,8.72,3.1
siriri,49.06,30.11,46.89,23.59,28.83,9.67
de 10.001 a 20.000 ,56.69,38.37,39.91,22.94,28.23,12.51
araua,55.74,42.59,42.72,21.55,29.85,11.72
areia branca,55.37,35.74,33.32,7.55,21.39,4.14
campo do brito,55.23,38.16,41.22,7.52,29.14,4.87
carmopolis,35.25,17.5,4.49,0.39,2.67,0.32
cristinapolis,63.69,49.09,53.61,29.27,42.02,17.7
frei paulo,54.39,36.11,22.38,11.58,17.44,8.33
gararu,64.71,42.44,49.44,24.25,35.41,15.29
indiaroba,62.62,45.71,42.11,26.85,33.54,15.24
japaratuba,46.4,27.49,32.39,10.98,19.89,4.63
japoata,54.41,38.19,33.98,22.13,22.01,10.8
malhador,49.71,35.45,36.34,12.8,21.31,6.6
maruim,41.02,26.81,23.61,9.9,14.31,5.45
moita bonita,48.99,30.27,43.14,34.13,26.71,13.15
monte alegre de sergipe,66.31,50.46,38.19,23.88,30.54,16.35
neopolis,51.66,32.36,29.64,20.95,21.6,11.41
pacatuba,57.08,41.06,48.28,54.7,32.6,26.41
riachao do dantas,67.19,45.26,67.26,49.24,49.36,26.72
ribeiropolis,51.44,33.15,30.46,12.81,22.1,6.58
salgado,57.03,39.32,62.94,37.31,42.45,20.23
santa luzia do itanhy,70.47,50.85,68.26,30.56,50.13,19.03
santo amaro das brotas,44.94,27.14,26.17,19.22,14.58,4.94
sao domingos,55.24,45.26,31.73,1.17,21.98,0.98
tomar do geru,63.96,49.09,67.74,51.45,48.95,29.68
de 20.001 a 50.000 ,56.27,39.5,36.42,16.64,26.4,9.95
aquidaba,59.58,39.14,10.71,7.41,8.49,4.35
barra dos coqueiros,34.7,20.86,13.54,1.86,9.28,0.83
boquim,53.42,37.93,27.63,18.71,18.67,9.65
caninde de sao francisco,66.45,45.51,20.41,13.3,16.82,8.02
capela,60.03,37.66,28.21,14.79,21.45,8.73
carira,62.99,47.12,38.22,23.07,29.45,14.17
itabaianinha,61.98,47.28,55.55,32.56,40.91,20.18
itaporanga d'ajuda,55.85,34.0,53.05,22.31,35.64,9.98
laranjeiras,45.25,25.65,21.04,2.95,13.9,1.54
nossa senhora da gloria,53.96,37.43,22.13,10.5,16.96,6.66
nossa senhora das dores,55.63,40.8,37.77,12.83,27.65,7.51
poco redondo,70.65,53.13,41.5,19.07,34.61,12.37
poco verde,57.37,41.75,49.04,21.91,33.77,13.11
porto da folha,59.56,46.24,39.36,22.14,29.45,14.38
propria,41.54,26.84,9.71,2.75,7.22,1.62
simao dias,54.18,40.31,52.71,29.8,34.53,18.1
tobias barreto,56.41,43.33,32.3,13.97,23.92,9.84
umbauba,54.43,37.1,47.64,19.33,31.05,10.55
de 50.001 a 100.000 ,43.92,29.19,24.19,10.77,15.91,5.68
estancia,43.18,27.4,20.51,11.37,13.86,5.68
itabaiana,45.75,29.28,20.4,7.04,13.18,3.61
lagarto,52.03,37.41,37.4,14.48,25.42,8.87
sao cristovao,32.04,21.7,15.17,10.09,8.86,4.35
de 100.001 a 500.000 ,22.62,16.15,3.19,1.03,1.62,0.44
nossa senhora do socorro,24.86,16.15,5.9,1.03,3.1,0.44
mais de 500.000 ,-,12.42,-,0.35,-,0.19
aracaju,21.74,12.42,2.11,0.35,1.03,0.19
