city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
tocantins,16.32,26.08,57.74,57.93,25.94,15.99
ate 5.000 ,2.75,12.29,52.59,56.93,44.66,30.79
abreulandia,1.96,10.13,45.54,53.16,52.5,36.71
angico,0.15,0.83,73.88,76.01,25.97,23.16
aparecida do rio negro,-,1.68,68.04,74.88,31.96,23.44
aurora do tocantins,2.57,1.81,61.61,71.04,35.82,27.15
bandeirantes do tocantins,11.41,1.53,64.79,65.36,23.79,33.11
barra do ouro,0.27,13.51,42.23,53.94,57.49,32.54
bernardo sayao,6.67,13.02,43.67,53.65,49.67,33.33
bom jesus do tocantins,-,20.95,49.62,53.62,50.38,25.43
brasilandia do tocantins,1.39,4.1,59.84,82.3,38.77,13.61
cachoeirinha,-,11.07,84.56,75.89,15.44,13.04
cariri do tocantins,1.53,21.6,63.04,41.15,35.42,37.24
carmolandia,-,24.85,72.34,66.57,27.66,8.58
carrasco bonito,-,29,83.02,59.49,16.98,11.51
caseara,0.22,4.92,59.36,54.06,40.42,41.01
centenario,1,25.36,34.26,34.62,64.74,40.03
chapada da natividade,2.31,43.91,30.31,3.34,67.38,52.75
chapada de areia,2.1,0.44,38.92,55.95,58.98,43.61
combinado,2.47,7.86,86.45,83.79,11.08,8.35
conceicao do tocantins,-,5.96,53.66,63.64,46.34,30.4
crixas do tocantins,-,19.39,53.78,44.49,46.22,36.12
duere,0.09,11.96,57.58,52.35,42.33,35.68
fatima,45.5,40.86,36.4,45.61,18.1,13.53
fortaleza do tabocao,-,1.89,68.51,86.48,31.49,11.63
goianorte,-,8.06,30.3,49.61,69.7,42.33
ipueiras,0.37,62.55,50.18,22.2,49.45,15.25
itapiratins,2.45,0.09,28.55,53.36,68.99,46.55
itapora do tocantins,1.89,2.01,41.98,61.66,56.13,36.33
jau do tocantins,0.24,0.44,44.35,51.8,55.41,47.77
juarina,0.35,15.34,39.82,37.76,59.82,46.9
lagoa do tocantins,0.18,23.58,64.21,52.28,35.61,24.14
lajeado,3.02,37.7,66.9,42.95,30.07,19.35
lavandeira,-,16.53,50.86,50.41,49.14,33.06
lizarda,5.54,21.5,35.06,38.95,59.41,39.55
luzinopolis,-,0.14,78.56,79.64,21.44,20.22
marianopolis do tocantins,0.11,0.3,53.7,75.13,46.2,24.57
mateiros,0.29,8.45,40.47,59.17,59.24,32.37
maurilandia do tocantins,-,12.94,53.08,51.18,46.92,35.88
