city,total,regular,military_and_gov,irregular,entrepreneur,employers
acrelandia,734.88,944.67,1671.37,460.3,693.4,1036.8
assis brasil,813.01,979.45,1557.45,663.3,576.2,5620.23
brasileia,753.54,1146.66,1500.87,492.15,563.64,5335.17
bujari,800.39,934.57,1318.91,551.91,858.04,1173.95
capixaba,828.21,872.97,1540.49,580.36,964.7,1500
cruzeiro do sul,1042.01,1100.44,2111.87,567.33,765.76,13831.75
epitaciolandia,938.32,1195.9,2445.38,501.16,1013.68,433.38
feijo,839.27,1007.61,2405.95,581.18,627.69,10486.89
jordao,808.32,962.34,1257.58,751.3,493.13,1601.21
mancio lima,706.38,1073.74,1108.06,498.28,503.54,2053.52
manoel urbano,857.84,928.47,1358.3,603.7,695.01,12450.15
marechal thaumaturgo,588.57,876.48,522.6,649.59,368.38,510
placido de castro,807.37,874.49,1331.61,591.66,804.06,2880.29
porto acre,880.73,1375.66,1240.23,610.91,757.66,600
porto walter,694.56,784.69,1119.52,619.92,683.77,772.76
rio branco,1342.43,1257.56,3030.78,730.32,1328.02,5629.77
rodrigues alves,578.32,884.74,1753.94,603.54,338.27,20000
santa rosa do purus,971.98,928.04,1958.88,722.28,1100.19,821.09
sena madureira,738.14,969.19,1697.04,488.91,663.64,1796.25
senador guiomard,918,895.95,2433.73,610.69,946.52,6614.72
tarauaca,805.28,1091.25,1736.58,469.54,831.95,3227.05
xapuri,771.68,946,1321.52,487.9,750.27,2123.29
