city,total,regular,military_and_gov,irregular,entrepreneur,employers
agua branca,539.55,790.37,878.39,445.06,355.38,100
anadia,601.52,710.06,649.18,432.63,604.05,657.54
arapiraca,823.15,858.02,1514.9,518.25,714.03,3746.97
atalaia,626.32,653.06,1066.32,389.4,626.31,4095.71
barra de santo antonio,567.81,663.69,933.12,396.06,497.72,697.1
barra de sao miguel,665.12,689.63,1531.48,469.65,617.52,3227.25
batalha,551.64,725.98,1010.49,373.52,544.12,3086.15
belem,658.76,807.18,694.92,357.75,408.52,16510.73
belo monte,710.55,790.25,2230,835.56,316.58,-
boca da mata,618.01,713.74,1018.51,338.88,584.81,2771.85
branquinha,516.84,593.27,775.27,413.29,413.31,1067.7
cacimbinhas,606.13,1350.85,914.1,293.63,583.05,1020.34
cajueiro,614.9,612.69,1087.25,430.53,722.66,-
campestre,579.45,684.12,655.69,420.87,783.51,800
campo alegre,689.71,723.01,746.95,509.87,643.25,3368.64
campo grande,531.38,826.43,837.9,381.11,325.61,1161.18
canapi,394.35,659.76,1200.65,287.33,333.68,-
capela,581.59,654.55,706.78,372.69,865.1,2166.88
carneiros,424.75,688.41,743.59,283.19,235.74,1840.74
cha preta,483.94,678.79,794.63,353.8,332.42,1224.76
coite do noia,435.67,672.04,760.37,400.07,281.02,2163.03
colonia leopoldina,607.07,669.59,969.82,330.23,604.38,1577.23
coqueiro seco,583.69,688.1,1017.35,454.72,371.03,1777.9
coruripe,682.67,770.65,583.95,403.18,836.94,2022.19
craibas,416.2,657.48,965.99,331.34,345.58,742.52
delmiro gouveia,698.83,890.62,1457.66,393.3,597.69,2362.16
dois riachos,448.3,730.59,594.67,340.34,388.54,1000
estrela de alagoas,344.85,651.63,623.94,276.05,288.69,855.14
feira grande,458.43,774.65,742.01,319.37,342.83,-
feliz deserto,509.32,589.31,1289.13,441.01,378.76,-
flexeiras,572.68,620.61,724.99,510.87,484.43,2222.93
girau do ponciano,454.67,627.78,872.67,406.5,293.97,1923.47
ibateguara,540.86,561.49,510,428.89,733.17,356.32
igaci,549.57,789.73,873.66,411.54,475.16,715.88
igreja nova,590.66,625.84,899.13,464.97,552.84,150
inhapi,600.76,661.38,710.68,352.97,318.92,8499.86
jacare dos homens,490.57,814.92,773.72,352.85,526.22,2708.82
jacuipe,550.44,596.14,830.09,407.58,463.73,-
japaratinga,682.36,708.08,950.59,400.99,644.28,7606.35
jaramataia,480.67,773.27,830.21,350.46,347.41,3563.25
jequia da praia,523.86,630.68,613.81,581.73,291.54,2000
joaquim gomes,498.93,630.16,756.66,386.37,450.7,-
jundia,713.08,679.76,916.18,561.2,771.77,10324.7
junqueiro,726.27,701.19,789.45,417.88,1293.99,2342.72
lagoa da canoa,478.83,740.21,967.53,368.1,428.27,-
limoeiro de anadia,546.33,621.06,858.42,411.68,517.66,3142.19
maceio,1268.82,1110.91,3020.49,605.98,1232.93,5932.34
major isidoro,531.43,830.41,754.95,322.14,607.4,2297.24
mar vermelho,439.55,645.63,583.04,348.3,352.19,-
maragogi,613.17,664.9,1342.79,452,609.73,2050.97
maravilha,522.51,823.37,758.75,423.56,329.16,4162.06
marechal deodoro,802.98,810.2,1853.29,471.4,700.35,4680.9
maribondo,550.84,691.83,831.23,362.27,688.01,1446.96
mata grande,461.86,831.32,543.2,345.33,351.79,2072.05
matriz de camaragibe,572.22,624.45,830,420.91,564.19,1130.29
messias,670.13,709,768.37,501.79,736.76,1451.81
minador do negrao,492.51,622.28,1061.93,335.13,651.79,-
monteiropolis,397.5,545.76,607.13,296.12,393.7,-
murici,556.61,593.9,920.72,446.55,624.59,-
novo lino,657.84,755.33,659.65,327.45,783.32,4225.23
olho d'agua das flores,536.93,764.09,2342.94,299.3,516.89,2381.07
olho d'agua do casado,496.51,721.39,629.51,350.86,415.48,1390.77
olho d'agua grande,424.38,513.62,607.87,334.88,267.26,683.48
olivenca,484.03,680.49,831.17,343.6,413.99,1897.85
ouro branco,442.45,746.39,959.69,297.72,334.62,2061.45
palestina,573.52,512.66,740.37,327.62,986.65,240
palmeira dos indios,782.56,890.31,1593.93,466.94,708.82,3113.3
pao de acucar,581.31,797.74,1175.28,395.87,364.27,505
pariconha,493.33,685.46,906.04,304.95,363.19,1000
paripueira,648.96,675.16,1312.25,411.48,539.61,3157.07
passo de camaragibe,532.55,550.46,986.71,492.3,412.95,404.69
paulo jacinto,502.4,874.07,571.38,341.22,453.29,1310.46
penedo,738.02,974.88,1733,469.33,546.36,1160.8
piacabucu,480.43,793.67,1049.7,376.01,369.25,778.78
pilar,655.9,785.52,927.41,449.42,486.63,1443.84
pindoba,560.44,594.36,853.12,326.25,655.14,4500
