city,total,main_regular,main_irregular,other_regular,other_irregular
amapa,2746.67425617,1130.2823811,1616.39187507,1135.55847795,1611.11577821
calcoene,3447.03309388,1144.03423257,2302.99886131,1144.03423257,2302.99886131
cutias,1527.84101033,578.72893322,949.11207711,578.72893322,949.11207711
ferreira gomes,2143.13769486,912.19159763,1230.94609723,915.68491371,1227.45278115
itaubal,1138.42588213,263.76668229,874.65919984,263.76668229,874.65919984
laranjal do jari,14707.33202059,7239.80871233,7467.52330826,7269.15610129,7438.17591929
macapa,163616.86831519,89969.48486245,73647.38345274,90078.95220525,73537.91610993
mazagao,5835.8034013,1374.19912016,4461.60428114,1391.8353097,4443.96809159
oiapoque,8304.10431948,2549.55832424,5754.54599524,2549.55832424,5754.54599524
pedra branca do amapari,4527.66489639,1673.24717619,2854.4177202,1673.24717619,2854.4177202
porto grande,6272.19152764,2345.6763031,3926.51522454,2356.39114251,3915.80038513
pracuuba,1201.05615921,356.06749818,844.98866103,358.13363255,842.92252665
santana,36239.66920475,17433.39596246,18806.27324229,17478.78734211,18760.88186264
serra do navio,1466.6197481,834.84389739,631.77585071,834.84389739,631.77585071
tartarugalzinho,3982.7381,910.1911904,3072.5469096,910.1911904,3072.5469096
vitoria do jari,3543.91555922,1654.1988582,1889.71670102,1654.1988582,1889.71670102
