city,total,regular,military_and_gov,irregular,entrepreneur,employers
amapa,935.82,1217.91,2646.02,544.72,497.59,6783.29
calcoene,1067.27,1117.25,2334.61,610.57,721.99,8987.14
cutias,815.49,920.89,1495.29,546.01,534.39,1000
ferreira gomes,978.21,1048.32,1552.9,510.51,972.42,5000
itaubal,651.77,1032.39,1723.82,636.76,385.4,616.17
laranjal do jari,939.52,894.17,1704.38,600.89,903.23,5167.05
macapa,1395.93,1197.98,3180.69,772.34,1051.58,5686.67
mazagao,958.79,1245.83,1718.11,522.37,954.26,1203.49
oiapoque,1418.38,1412.31,2214.33,935.23,1304.35,10989.46
pedra branca do amapari,1069.65,1130.62,1216.51,694.37,1230.76,795.38
porto grande,853.09,959.86,1434.6,701.31,694.36,2003.9
pracuuba,879.7,1119.02,1237.84,538.28,528.38,5359.67
santana,1066.93,1035.62,2304.43,636.47,817.93,6108.92
serra do navio,1199.15,1156.47,1725.31,687.2,933.43,8283.31
tartarugalzinho,783.56,1196.19,2486.15,704.26,577.52,1162.16
vitoria do jari,967.37,877.7,1398.09,629.02,964.56,9491.67
