city,total,regular,military_and_gov,irregular,entrepreneur,employers
alvaraes,672.9,1015.8,938.33,738.82,560,1012.47
amatura,712.26,1252.01,899.39,493.39,702.11,-
anama,703.2,2269,1324.57,665.59,524.28,461.2
anori,701.27,1207.39,1045.05,627.16,593.34,1500
apui,882.97,1011.92,1198.74,620.4,954.66,7468.11
atalaia do norte,686.79,1086.86,1287.62,653.52,451.63,-
autazes,616.32,1113.55,824.04,534.91,538.93,1133.52
barcelos,908.59,870.7,1485.35,711.85,734.4,3572.11
barreirinha,442.89,964.91,937.52,409.67,319.79,5100
benjamin constant,638.56,1031.84,804.51,592.51,479.84,7237.99
beruri,666.86,1112.88,1015.58,699.01,490.84,2961.48
boa vista do ramos,573.91,792.49,820.59,557.46,436.52,680.28
boca do acre,791,962.68,1108.27,489.96,982.02,2076.65
borba,683.55,846.11,755.07,709.72,599.01,3200.26
caapiranga,657.01,953.72,858.31,623.87,595.42,1114.46
canutama,666.62,1079.02,813.9,498.68,608.42,3500
carauari,592.02,818.21,1142.87,484.84,436.24,1941.3
careiro,771.76,925.62,1144.26,596.93,702.16,3000
careiro da varzea,542.05,839.51,754.81,624.92,474.54,585.52
coari,809.94,1091.96,1001.74,735.39,595.59,6484.85
codajas,652.65,940.46,2387.07,511.22,491.08,936.84
eirunepe,621.67,785.42,959.89,619.95,445.49,3511.89
envira,639.57,779.26,1194.31,504.17,431.14,6436.32
fonte boa,688.4,957.62,1015.25,613.57,609.45,2163.99
guajara,764.34,748.7,1209.14,692.49,517.52,3181.17
humaita,1134.9,880.26,1883.18,573.81,925.92,11182.35
ipixuna,604.81,1185.91,1092.38,549.69,413.94,11525.79
iranduba,760.63,879.97,871.65,636.2,748.35,1797.27
itacoatiara,846.9,958.85,1445.02,560.49,866.19,2269.95
itamarati,743.99,1202.4,1034.03,905.3,326.85,1250
itapiranga,840.71,805.47,1366.51,559.55,942.49,1533.48
japura,875.68,1302.9,1691.7,665.48,520.33,70602.75
jurua,618.49,863.87,652.87,630.33,597.5,2000
jutai,832.47,1541.82,640.6,682.26,916.37,-
labrea,610.56,870.61,1982.48,500.61,508.35,978.47
manacapuru,803.97,898.8,1510.96,570.48,703.46,7065.48
manaquiri,688.28,1030.16,845.85,640.38,656.85,904.46
manaus,1403.6,1232.07,3040.33,811.87,1558.05,5560.46
manicore,821.54,1232.87,1072.69,688.59,775.35,3172.55
maraa,673.85,977.52,1037.79,666.21,521.85,4000
maues,638.27,818.41,1198.79,503.75,458.95,6383.72
nhamunda,543.15,911.1,1482.45,531.57,427.36,789.7
nova olinda do norte,692.97,916.83,911.01,551.42,626.63,4810.63
novo airao,722.58,1086.62,1080.88,519.16,577.8,2134.22
novo aripuana,649.81,695.37,897.92,523.47,633.91,717.61
parintins,748.45,957.84,1384.04,602.17,605.58,3756.29
pauini,947.99,1010.84,813.22,1143.03,647.42,942.8
presidente figueiredo,862.22,1088,998.18,622.72,733.11,3102.52
rio preto da eva,793.25,750,1054.33,649.32,847.17,5171.61
santa isabel do rio negro,672.1,1411.43,1259.87,735.13,414.43,3000
santo antonio do ica,614.39,1140.4,1005.01,492.88,508.42,155.74
sao gabriel da cachoeira,1645.97,954.7,1985.2,738.14,896.04,63836.71
sao paulo de olivenca,567.91,1517.04,984.17,536.73,300.7,2432.01
sao sebastiao do uatuma,794.8,1065.58,842.21,528.91,939.33,600
silves,664.4,1069.25,1235.47,563.8,573.03,1500
tabatinga,977.51,1049.06,1992.04,663.72,574.77,5999.61
tapaua,558.93,867.6,656.98,569.54,481.66,1157.81
tefe,961.67,1162.57,1866.73,634.48,636.27,5470.3
tonantins,641.42,923.62,889.82,562.52,541.82,944.84
uarini,666.62,1068.03,1733.17,640.69,576.3,3352.12
urucara,648.51,1005.62,956.54,503.7,542.25,1867
urucurituba,593.98,801.53,948.77,491.7,511.19,5631.36
