city,total,regular,military_and_gov,irregular,entrepreneur,employers
abaira,486.04,690.18,847.63,345.8,486.94,-
abare,491.78,587.49,995.78,393.17,363.29,921.43
acajutiba,492.15,716.16,1001.21,324.3,443.41,4216.41
adustina,390.27,618.39,832.89,329.19,361.95,678.16
agua fria,495.04,582.95,845.72,363.11,329.27,3991.56
aiquara,528.18,656.39,1091.49,413.11,487.41,-
alagoinhas,936.03,1065.85,1835.43,467.69,805.9,4079.95
alcobaca,665.29,835,1222.46,509.13,648.33,1204.99
almadina,574.01,626.87,7000,507.4,581.18,1500
amargosa,610.67,710.94,2336.98,401.04,509.64,1938.78
amelia rodrigues,655.45,818.86,1053.91,376.09,560.72,2060.68
america dourada,363.59,647.59,538.29,289.23,323.93,2000
anage,479.48,643.78,811.38,364.46,404.46,7165.01
andarai,548.85,741.89,922.11,426.95,512.31,-
andorinha,564.77,885.05,774.39,316.25,479.36,3085.67
angical,548.75,687.79,1011.76,468.85,376.3,3272.59
anguera,582.96,638.92,994.16,392.61,860.84,-
antas,517.69,802.92,1609.8,320.72,478.52,3457.84
antonio cardoso,416.67,594.07,631.59,383.17,242.61,1217.74
antonio goncalves,533.13,794.43,934.99,520.28,327.6,198.06
apora,397.92,655.13,1029.28,263.51,312.99,254.75
apuarema,453.51,644.57,862.85,373.43,434.41,510
aracas,564.09,731.59,913.69,414.73,469.61,2314.9
aracatu,511.71,638.85,716.76,456.77,433.68,2222.95
araci,439.97,792.25,1292.23,299.99,373.54,1208.32
aramari,642.34,831.57,828.2,432.27,379.19,1206.02
arataca,522.32,630.7,1026.86,461.18,463.92,1259.93
aratuipe,416.08,776.45,867.14,385.9,319.79,2219.6
aurelino leal,524.1,706.51,944.38,439.34,493.51,1098.46
baianopolis,627.65,788.58,746.74,498.85,666.15,852.98
baixa grande,457.74,710.42,1319.69,319.11,391.58,2000
banzae,422.01,663.4,627.5,374.16,321.03,1098.99
barra,467.57,812.01,1108.9,297.01,322.21,1318.27
barra da estiva,495.43,719.86,735.83,387.43,410.3,1563.06
barra do choca,451.1,584.16,987.64,330.37,661.45,1002.25
barra do mendes,465.97,780.9,881.64,360.36,408.79,1812.28
barra do rocha,573.32,696.65,799.4,448.96,508.54,2498.43
barreiras,1135.02,939.18,2087.62,595.17,1514.65,4175.87
barro alto,386.97,654.02,840.58,309.23,308.56,851.02
barro preto,598.42,694.86,494.73,453.9,478.33,20000
barrocas,507.3,760.06,743.42,303.11,430.75,2339.02
belmonte,589.1,705.46,929.83,387.71,641.58,2691.98
belo campo,442.78,729.14,906.98,315.3,434.58,1044.25
biritinga,512.31,704.24,820.75,377.63,487.76,863.49
boa nova,482.62,654.85,831.02,393.08,324.14,7000
boa vista do tupim,468.61,665.87,863.2,381.67,426.55,348
bom jesus da lapa,749.46,858.88,1008.46,450.77,702.5,4144.15
bom jesus da serra,496.39,887.02,610.65,378.07,467.26,1713.07
boninal,591.39,781.49,781.84,473.2,552.67,50
bonito,391.82,639.55,656.49,332.08,409.31,297.25
boquira,548.55,705.43,856.74,386.95,619.84,909.77
botupora,434.29,584.46,823.56,343.85,349.39,5000
brejoes,526.61,729.26,1081.48,368.91,447.53,2065.18
brejolandia,543.37,690.09,628.98,467.96,621.06,-
brotas de macaubas,457.25,619.42,900.4,376,408.61,10000
brumado,703.03,782.71,1089.76,427.92,690.83,2888.22
buerarema,641.71,732.61,2033.31,495.36,598.69,1870.21
buritirama,472.32,635.92,1316.41,353.85,350.73,1288.02
caatiba,520.97,577.87,-,458.99,425.87,1254.06
cabaceiras do paraguacu,446.18,637.53,832.56,373.05,305.9,2607.73
cachoeira,639.54,779.7,1180.47,398.47,550.35,1850.38
cacule,612.17,651.09,1815.08,398.03,636.8,1729.23
caem,442.14,810.12,887.76,314.68,379.65,600
caetanos,591.78,821.76,649.28,525.63,420.9,700
caetite,733.87,849.11,1551.8,394,621.2,5291.45
cafarnaum,429.77,660.7,1304.39,272.28,457.73,533.43
