city,total,main_regular,main_irregular,other_regular,other_irregular
abaiara,3405.55731579,718.83126264,2686.72605315,718.83126264,2686.72605315
acarape,5015.2920761,1912.37703535,3102.91504075,1912.37703535,3102.91504075
acarau,20868.44491753,3981.7417627,16886.70315483,3993.23399899,16875.21091855
acopiara,19143.41977988,3199.08138083,15944.33839905,3215.69236161,15927.72741827
aiuaba,6330.97349186,835.48136821,5495.49212365,839.72374762,5491.24974423
alcantaras,3819.7044648,1598.03584141,2221.66862339,1598.03584141,2221.66862339
altaneira,1919.04055753,550.18284678,1368.85771075,553.14746499,1365.89309254
alto santo,6319.71451915,1636.04886241,4683.66565674,1657.66425109,4662.05026806
amontada,13664.48922776,2860.26551497,10804.22371279,2904.46717861,10760.02204915
antonina do norte,2374.54066711,522.22760355,1852.31306356,529.47910319,1845.06156394
apuiares,4731.20388559,1046.76331923,3684.44056636,1046.76331923,3684.44056636
aquiraz,28531.14499101,13394.03423822,15137.11075279,13404.57459346,15126.57039755
aracati,26833.90637147,11292.43854618,15541.46782529,11349.91949618,15483.98687532
aracoiaba,9598.403323,2274.72860199,7323.67472101,2274.72860199,7323.67472101
ararenda,3142.63522648,791.26743297,2351.36779351,796.83651458,2345.7987119
araripe,6790.50617654,1466.03824772,5324.46792882,1466.03824772,5324.46792882
aratuba,4573.39105317,1068.67279601,3504.71825716,1068.67279601,3504.71825716
arneiroz,2912.04020891,786.93611282,2125.10409609,790.18249691,2121.85771201
assare,7858.9557396,1634.30939008,6224.64634952,1634.30939008,6224.64634952
aurora,8024.24379933,1668.2486421,6355.99515723,1668.2486421,6355.99515723
baixio,2321.32974383,571.4161957,1749.91354813,583.31411544,1738.01562839
banabuiu,5439.75224245,1496.58933923,3943.16290322,1496.58933923,3943.16290322
barbalha,22137.01854644,9657.33167074,12479.6868757,9689.13707724,12447.88146919
barreira,5966.81093353,1899.60090145,4067.21003208,1899.60090145,4067.21003208
barro,6653.48507864,1877.56247596,4775.92260268,1877.56247596,4775.92260268
barroquinha,4252.39875657,1122.53015355,3129.86860302,1140.06262871,3112.33612786
baturite,12176.92969526,4029.00111476,8147.9285805,4035.17423962,8141.75545564
beberibe,19380.78767766,6479.60922263,12901.17845503,6479.60922263,12901.17845503
bela cruz,12645.0082192,2133.09060636,10511.91761284,2133.09060636,10511.91761284
boa viagem,18930.76286814,3840.17973664,15090.5831315,3850.41739526,15080.34547288
brejo santo,16318.38400499,5766.00800525,10552.37599974,5787.1001407,10531.28386428
camocim,20959.38914007,7465.90892441,13493.48021566,7510.40672061,13448.98241946
campos sales,10890.07785443,2883.55470316,8006.52315127,2920.06770351,7970.01015092
caninde,21999.31355787,6221.84053317,15777.4730247,6277.41532523,15721.89823265
capistrano,5005.10823855,1349.78530373,3655.32293482,1373.19455912,3631.91367941
caridade,5681.66052049,1719.56931442,3962.09120607,1725.27423071,3956.38628978
carire,5913.15105726,1632.2998161,4280.85124116,1632.2998161,4280.85124116
caririacu,11066.69333547,2671.16240712,8395.53092835,2671.16240712,8395.53092835
carius,6088.09067759,1275.28250971,4812.80816788,1275.28250971,4812.80816788
carnaubal,6431.99662879,1156.30771834,5275.68891045,1156.30771834,5275.68891045
cascavel,25673.97730625,9433.313453,16240.66385325,9449.50869426,16224.468612
catarina,6128.75682012,1187.86735498,4940.88946514,1193.05507759,4935.70174253
catunda,3060.84236312,789.3685683,2271.47379482,789.3685683,2271.47379482
caucaia,130519.20781453,64569.65235862,65949.55545591,64780.09892959,65739.10888494
cedro,8709.49126358,2200.53665369,6508.95460989,2200.53665369,6508.95460989
chaval,4115.00942536,1582.38356731,2532.62585805,1591.42680958,2523.5826158
choro,3215.7005976,706.4045261,2509.2960715,706.4045261,2509.2960715
chorozinho,6965.73608795,3000.05059942,3965.68548853,3009.26327312,3956.47281482
coreau,7529.34304465,2278.07791998,5251.26512467,2297.82753976,5231.51550488
crateus,24138.88916059,7463.62145488,16675.26770571,7470.37493522,16668.51422537
crato,50054.71560606,22783.75903311,27270.95657295,22849.34411639,27205.37148967
croata,4852.25314497,804.94722339,4047.30592158,804.94722339,4047.30592158
cruz,10148.62093556,1934.78221218,8213.83872338,1941.12016826,8207.50076731
deputado irapuan pinheiro,3585.63738916,695.49341381,2890.14397535,707.52705056,2878.11033861
erere,2499.85811731,1049.55461495,1450.30350236,1049.55461495,1450.30350236
eusebio,19745.85053177,10548.30330636,9197.54722541,10574.21122593,9171.63930583
farias brito,6554.89646501,1529.30515511,5025.5913099,1529.30515511,5025.5913099
forquilha,8661.27996494,4576.91406272,4084.36590222,4587.65196254,4073.6280024
fortaleza,1128812.14549655,681117.96092729,447694.18456926,682121.53969085,446690.6058057
fortim,5186.96329596,1648.79801137,3538.16528459,1654.81687659,3532.14641936
frecheirinha,4898.2944821,1171.32125299,3726.97322911,1171.32125299,3726.97322911
general sampaio,2065.57371796,481.40702807,1584.16668989,484.0986431,1581.47507487
graca,3834.28729873,1126.53783203,2707.7494667,1141.87359148,2692.41370725
granja,16614.32591393,2907.39206168,13706.93385225,2907.39206168,13706.93385225
granjeiro,1908.00851813,419.95291727,1488.05560086,433.38416226,1474.62435588
groairas,4445.0211445,1610.0453405,2834.975804,1619.65490771,2825.36623679
guaiuba,8369.88233541,3079.5604723,5290.32186311,3079.5604723,5290.32186311
guaraciaba do norte,15964.36396336,3771.89432798,12192.469635379999,3836.82765679,12127.53630657
guaramiranga,1511.90404861,521.98424937,989.91979924,521.98424937,989.91979924
hidrolandia,6476.86135366,1467.42322488,5009.43812878,1472.15947352,5004.70188014
horizonte,22329.53419905,14309.760118959999,8019.77408009,14309.760118959999,8019.77408009
ibaretama,4064.73943502,872.2614542,3192.47798082,872.2614542,3192.47798082
ibiapina,10167.82869243,2259.28265593,7908.5460365,2259.28265593,7908.5460365
ibicuitinga,3275.14342151,995.52457281,2279.6188487,995.52457281,2279.6188487
icapui,7373.31669196,3004.90852157,4368.40817039,3015.86602688,4357.45066507
ico,21897.74585788,6463.07781398,15434.6680439,6471.68920366,15426.05665423
iguatu,40955.15034175,16415.44778481,24539.70255694,16509.64711035,24445.50323139
independencia,9254.84619697,1779.43683069,7475.40936628,1790.81760213,7464.02859485
ipaporanga,2900.126857,741.39271094,2158.73414606,745.96351975,2154.16333725
ipaumirim,3941.57168127,1089.83484611,2851.73683516,1096.36294213,2845.20873913
ipu,14555.68230828,3497.62878296,11058.05352532,3515.69066493,11039.99164335
