city,total,main_regular,main_irregular,other_regular,other_irregular
afonso claudio,16639.19203382,5436.12598033,11203.06605349,5446.70462973,11192.48740409
agua doce do norte,5037.72827179,1595.50420037,3442.22407142,1595.50420037,3442.22407142
aguia branca,5488.93727914,2075.74564606,3413.19163308,2091.99940395,3396.93787519
alegre,15011.93023042,8030.49973818,6981.43049224,8073.91817695,6938.01205345
alfredo chaves,7874.04987207,3614.43975128,4259.61012079,3629.93438119,4244.11549088
alto rio novo,3025.33627106,1386.14458875,1639.19168231,1386.14458875,1639.19168231
anchieta,11551.24003231,7632.92983714,3918.31019517,7650.10669966,3901.13333264
apiaca,3396.73847041,1467.19843719,1929.54003322,1467.19843719,1929.54003322
aracruz,38801.26879477,27069.88232758,11731.38646719,27121.81269504,11679.45609972
atilio vivacqua,4519.87453979,2891.4385045,1628.43603529,2891.4385045,1628.43603529
baixo guandu,13158.11751069,6705.33514986,6452.78236083,6705.33514986,6452.78236083
barra de sao francisco,18227.73165065,8205.71637642,10022.01527423,8233.02737068,9994.70427997
boa esperanca,7197.37858768,3201.55223188,3995.8263558,3216.3205848,3981.05800288
bom jesus do norte,4098.60148766,2528.30901496,1570.2924727,2528.30901496,1570.2924727
brejetuba,6908.56359526,1942.4747266,4966.08886866,1947.22929217,4961.3343031
cachoeiro de itapemirim,87676.31461844,63462.55584696,24213.75877148,63513.98283668,24162.33178177
cariacica,157381.22388782,114726.08796864,42655.13591918,114784.12967318,42597.09421462
castelo,18873.80501209,11275.22809678,7598.57691531,11288.43748069,7585.36753139
colatina,57942.26945695,41504.87179167,16437.39766528,41614.06621384,16328.20324311
conceicao da barra,11598.87502926,6661.4919004,4937.38312886,6668.57836704,4930.29666222
conceicao do castelo,6399.01531007,2441.39929042,3957.61601965,2449.52492002,3949.49039004
divino de sao lourenco,2333.37876433,762.65179528,1570.72696905,762.65179528,1570.72696905
domingos martins,19962.50210752,6439.1630799,13523.33902762,6439.1630799,13523.33902762
dores do rio preto,2994.35832082,1493.31872695,1501.03959387,1505.21875451,1489.13956631
ecoporanga,10208.76943616,3757.03950638,6451.72992978,3775.69456956,6433.0748666
fundao,8017.37947636,5146.05481309,2871.32466327,5158.89162558,2858.48785079
governador lindenberg,5478.29837626,2041.83917912,3436.45919714,2046.85809055,3431.44028571
guacui,13161.66429775,6555.04552982,6606.61876793,6585.44405085,6576.22024691
guarapari,47666.52767426,30787.43652054,16879.09115372,30818.8912611,16847.63641315
ibatiba,11168.73586641,3938.66361739,7230.07224902,3950.35490811,7218.3809583
ibiracu,5345.61503059,3481.36826949,1864.2467611,3481.36826949,1864.2467611
ibitirama,4511.29712801,1530.79203109,2980.50509692,1536.414141,2974.88298701
iconha,7139.411381,3662.11862749,3477.29275351,3665.76465588,3473.64672513
irupi,6499.4466624,2372.52736023,4126.91930217,2377.75791887,4121.68874353
itaguacu,7894.69017701,3469.39432682,4425.29585019,3469.39432682,4425.29585019
itapemirim,12160.62196237,5673.33485532,6487.28710705,5673.33485532,6487.28710705
itarana,6744.82557538,3151.73668555,3593.08888983,3151.73668555,3593.08888983
iuna,13925.84605653,5324.9018463,8600.94421023,5324.9018463,8600.94421023
jaguare,12118.97894203,5350.43500758,6768.54393445,5361.06368518,6757.91525685
jeronimo monteiro,4638.12580055,2668.40285076,1969.72294979,2668.40285076,1969.72294979
joao neiva,6950.80507426,4989.7390088,1961.06606546,5001.71437484,1949.09069942
laranja da terra,5768.6911595,1230.26219393,4538.42896557,1230.26219393,4538.42896557
linhares,69018.25032376,49200.89872093,19817.35160283,49262.30802684,19755.94229695
mantenopolis,5645.34264429,1691.90410585,3953.43853844,1691.90410585,3953.43853844
marataizes,13565.41460569,6255.9721978,7309.44240789,6255.9721978,7309.44240789
marechal floriano,7712.28652792,4513.40465318,3198.88187474,4519.21742219,3193.06910572
marilandia,6032.4628445,3236.96699848,2795.49584602,3236.96699848,2795.49584602
mimoso do sul,13122.43870393,5717.75560019,7404.68310374,5724.13331014,7398.30539379
montanha,8468.93076781,3946.3218432,4522.60892461,3955.06205575,4513.86871207
mucurici,2386.66561378,1114.18316505,1272.48244873,1114.18316505,1272.48244873
muniz freire,8823.26171767,3061.86071079,5761.40100688,3065.94879788,5757.31291979
muqui,6425.65961989,3102.35096872,3323.30865117,3136.99881581,3288.66080407
nova venecia,23839.43077851,12446.50738202,11392.92339649,12476.02760564,11363.40317287
pancas,9327.85678012,3473.43002954,5854.42675058,3483.3680524,5844.48872772
pedro canario,10085.69885716,5811.26236621,4274.43649095,5811.26236621,4274.43649095
pinheiros,11460.02161993,5366.44178839,6093.57983154,5366.44178839,6093.57983154
piuma,8383.80311898,4312.80936078,4070.9937582,4317.01904109,4066.78407789
ponto belo,2376.68755098,1066.92614631,1309.76140467,1069.38846844,1307.29908253
presidente kennedy,4212.0468231,2265.16542416,1946.88139894,2265.16542416,1946.88139894
rio bananal,9508.95168125,3541.63544088,5967.31624037,3546.34717654,5962.60450471
rio novo do sul,5271.36860875,3021.50878797,2249.85982078,3035.39340333,2235.97520542
santa leopoldina,5832.17685033,1785.77007482,4046.40677551,1791.0022179,4041.17463243
santa maria de jetiba,21642.4110013,7198.34975957,14444.06124173,7219.59103461,14422.81996669
santa teresa,12478.52488366,6740.09533604,5738.42954762,6750.57789586,5727.9469878
sao domingos do norte,3897.84831309,1677.56824193,2220.28007116,1677.56824193,2220.28007116
sao gabriel da palha,16845.96091851,9805.99207293,7039.96884558,9818.62999708,7027.33092144
sao jose do calcado,4687.24476274,2503.90339955,2183.34136319,2511.72930658,2175.51545616
sao mateus,50670.88056874,29498.69775349,21172.18281525,29542.22217736,21128.65839138
sao roque do canaa,5957.61908834,3266.22031833,2691.39877001,3266.22031833,2691.39877001
serra,188800.48484705,139616.98836825,49183.4964788,139725.71480125,49074.77004579
sooretama,10684.81775436,6537.79751126,4147.0202431,6537.79751126,4147.0202431
vargem alta,10047.6290781,5472.41715094,4575.21192716,5484.36959031,4563.2594878
venda nova do imigrante,11124.18422205,6457.43386093,4666.75036112,6457.43386093,4666.75036112
viana,27639.1138217,18880.29075186,8758.82306984,18890.42956733,8748.68425437
vila pavao,5406.52811672,1922.57921794,3483.94889878,1936.88952349,3469.63859325
vila valerio,7513.38530718,2190.37958652,5323.00572066,2190.37958652,5323.00572066
vila velha,204895.36632671,147286.75825194,57608.60807477,147521.96417502,57373.40215171
vitoria,165095.07047747,129747.73157051,35347.33890696,129990.22543115,35104.84504629
