city,total,main_regular,main_irregular,other_regular,other_irregular
abadia de goias,3493.19807935,1761.22703316,1731.97104619,1761.22703316,1731.97104619
abadiania,7383.01671429,3016.66439478,4366.35231951,3016.66439478,4366.35231951
acreuna,9768.20181048,5240.31565993,4527.88615055,5246.50010023,4521.70171025
adelandia,1175.42113132,558.87625193,616.54487939,558.87625193,616.54487939
agua fria de goias,2317.49643333,956.15848099,1361.33795234,956.15848099,1361.33795234
agua limpa,937.90566144,564.33756618,373.56809526,566.26083291,371.64482853
aguas lindas de goias,70380.42606636,44292.6090012,26087.81706516,44360.54391798,26019.88214838
alexania,10249.81956419,4670.63572029,5579.1838439,4670.63572029,5579.1838439
aloandia,1009.47812924,451.80284988,557.67527936,455.91262099,553.56550824
alto horizonte,2150.55761938,1312.21520306,838.34241632,1312.21520306,838.34241632
alto paraiso de goias,3592.04764168,1463.12641603,2128.92122565,1463.12641603,2128.92122565
alvorada do norte,3706.0677818,1529.0644715,2177.0033103,1529.0644715,2177.0033103
amaralina,1344.69545153,538.38326842,806.31218311,538.38326842,806.31218311
americano do brasil,2598.34591585,1391.5586937,1206.78722215,1400.2634785,1198.08243735
amorinopolis,1718.23558264,594.24597508,1123.98960756,594.24597508,1123.98960756
anapolis,160589.23920237,98597.03819876,61992.20100361,98715.27082779,61873.96837457
anhanguera,552.22573377,334.63135179,217.59438198,338.47910488,213.7466289
anicuns,9064.40896312,5625.34566962,3439.0632935,5625.34566962,3439.0632935
aparecida de goiania,233547.36620185,149592.96932187,83954.39687998,149863.17395754,83684.19224431
aparecida do rio doce,1042.48167539,556.01427167,486.46740372,571.32558049,471.15609491
apore,1866.27343152,1197.80528133,668.46815019,1199.59056348,666.68286804
aracu,1560.16846446,734.0549331,826.11353136,736.07758723,824.09087723
aragarcas,8475.61397752,4536.83629686,3938.77768066,4547.31035276,3928.30362476
aragoiania,4172.34666298,1827.89443529,2344.45222769,1842.52786224,2329.81880076
araguapaz,3554.65292236,1425.00496243,2129.64795993,1428.23940824,2126.41351413
arenopolis,1994.0346598,613.25286489,1380.78179491,615.69072544,1378.34393437
aruana,3773.21406209,1544.28077749,2228.9332846,1552.1638466,2221.05021551
aurilandia,1623.39560674,778.68448494,844.7111218,778.68448494,844.7111218
avelinopolis,793.49614162,360.46363014,433.03251148,360.46363014,433.03251148
baliza,1577.0679371,531.01386509,1046.05407201,531.01386509,1046.05407201
barro alto,4469.49106293,2854.91194857,1614.57911436,2858.97992992,1610.511133
bela vista de goias,12364.32891077,5961.48862812,6402.84028265,5977.63883531,6386.69007547
bom jardim de goias,3517.86315819,1070.3520655,2447.51109269,1070.3520655,2447.51109269
bom jesus de goias,9176.94075824,6046.02065786,3130.92010038,6046.02065786,3130.92010038
bonfinopolis,3608.83845609,1792.03755196,1816.80090413,1799.31200938,1809.52644671
bonopolis,1577.36850621,608.85275014,968.51575607,608.85275014,968.51575607
brazabrantes,1508.36980307,782.02882544,726.34097763,785.81209497,722.5577081
britania,2508.40338353,1246.36895782,1262.03442571,1249.3398816,1259.06350193
buriti alegre,4626.21900391,2258.03801777,2368.18098614,2273.80490249,2352.41410143
buriti de goias,1226.06721163,494.65730774,731.40990389,494.65730774,731.40990389
buritinopolis,1249.93757144,516.17990998,733.75766146,516.17990998,733.75766146
cabeceiras,3037.98343371,1498.31932436,1539.66410935,1498.31932436,1539.66410935
cachoeira alta,6190.97542529,3227.84613163,2963.12929366,3245.60450208,2945.37092321
cachoeira de goias,652.47181598,328.62840858,323.8434074,328.62840858,323.8434074
cachoeira dourada,3746.26463072,2108.54312197,1637.72150875,2111.12700921,1635.13762151
cacu,7015.38021972,4029.4023406,2985.97787912,4034.77065515,2980.60956457
caiaponia,8118.67961477,3242.271714,4876.40790077,3255.88489995,4862.79471481
caldas novas,36155.39314335,21817.79328944,14337.59985391,21886.23946394,14269.1536794
caldazinha,1543.34202952,763.33419123,780.00783829,763.33419123,780.00783829
campestre de goias,1387.05789305,583.09182973,803.96606332,583.09182973,803.96606332
campinacu,1543.76636064,438.71942263,1105.04693801,444.75236957,1099.01399107
campinorte,5014.24320977,2505.26743981,2508.97576996,2508.91395188,2505.3292579
campo alegre de goias,3044.47998184,1599.2690118,1445.21097004,1601.95300827,1442.52697357
campo limpo de goias,2967.48693308,1150.98160798,1816.5053251,1150.98160798,1816.5053251
campos belos,7377.01363747,3210.89653912,4166.11709835,3233.38983549,4143.62380198
campos verdes,1923.96265909,729.90668113,1194.05597796,729.90668113,1194.05597796
carmo do rio verde,4271.73734598,2442.01013349,1829.72721249,2442.01013349,1829.72721249
