city,total,main_regular,main_irregular,other_regular,other_irregular
acailandia,38874.91809281,18374.49250742,20500.42558539,18411.44351845,20463.47457437
afonso cunha,1011.62236881,290.34750413,721.27486468,290.34750413,721.27486468
agua doce do maranhao,2720.06844108,657.89515081,2062.17329027,657.89515081,2062.17329027
alcantara,7138.77133995,2114.39688874,5024.37445121,2142.34678006,4996.4245599
aldeias altas,7231.70992126,2000.52167556,5231.1882457,2000.52167556,5231.1882457
altamira do maranhao,2492.72879396,755.42935406,1737.2994399,755.42935406,1737.2994399
alto alegre do maranhao,6722.9910594,1452.14063009,5270.85042931,1452.14063009,5270.85042931
alto alegre do pindare,7456.54080777,1126.6727898,6329.86801797,1126.6727898,6329.86801797
alto parnaiba,3510.04220607,1095.99121035,2414.05099572,1100.03579892,2410.00640715
amapa do maranhao,2175.91082208,439.71967161,1736.19115047,439.71967161,1736.19115047
amarante do maranhao,13534.43743635,2238.60451314,11295.83292321,2238.60451314,11295.83292321
anajatuba,9238.1964899,1840.50032342,7397.69616648,1840.50032342,7397.69616648
anapurus,5319.04045817,1188.22722523,4130.81323294,1199.61208918,4119.42836898
apicum-acu,5704.46432221,1454.26713094,4250.19719127,1458.6823327,4245.78198951
araguana,3615.3120075,706.37328464,2908.93872286,706.37328464,2908.93872286
araioses,11535.82737048,3056.51784841,8479.30952207,3065.8535833,8469.97378718
arame,8637.59338302,1333.16922381,7304.42415921,1333.16922381,7304.42415921
arari,9792.24516918,3221.41602739,6570.82914179,3235.35618179,6556.88898739
axixa,4004.34887556,1092.90425688,2911.44461868,1101.381584,2902.96729156
bacabal,38173.3561792,12738.38550685,25434.97067235,12814.98341127,25358.37276795
bacabeira,5223.12574126,1834.73862738,3388.38711388,1834.73862738,3388.38711388
bacuri,6381.80135024,1760.38923047,4621.41211977,1770.49261595,4611.30873429
bacurituba,1192.6393886,234.29938242,958.34000618,234.29938242,958.34000618
balsas,33886.92835033,16191.48008191,17695.44826842,16205.12812906,17681.80022127
barao de grajau,5981.30468304,2246.60564056,3734.69904248,2246.60564056,3734.69904248
barra do corda,27581.85168232,6524.17897499,21057.67270733,6538.5586653,21043.29301701
barreirinhas,18494.7703471,4000.27971068,14494.49063642,4000.27971068,14494.49063642
bela vista do maranhao,4125.49219519,1095.76915804,3029.72303715,1102.78883295,3022.70336224
belagua,1678.59702662,329.57187528,1349.02515134,351.0634805,1327.53354613
benedito leite,1705.02767583,365.47337582,1339.55430001,365.47337582,1339.55430001
bequimao,6468.82196242,1342.16653539,5126.65542703,1349.42970569,5119.39225672
bernardo do mearim,2306.01582768,558.56867742,1747.44715026,558.56867742,1747.44715026
boa vista do gurupi,2154.38899498,598.37790264,1556.01109234,598.37790264,1556.01109234
bom jardim,12704.80836491,2205.31336072,10499.49500419,2234.99410443,10469.8142605
bom jesus das selvas,7472.56025499,2260.18994665,5212.37030834,2270.68470801,5201.87554699
bom lugar,4061.07029236,561.45438918,3499.61590318,561.45438918,3499.61590318
brejo,7529.76117906,1980.11218651,5549.64899255,1988.64372381,5541.11745525
brejo de areia,2086.40790497,206.88444301,1879.52346196,206.88444301,1879.52346196
buriti,8301.82665853,1228.14872477,7073.67793376,1232.23345111,7069.59320742
buriti bravo,7227.50418353,1552.41077109,5675.09341244,1577.4974389,5650.00674463
buriticupu,19548.8611337,3852.08494206,15696.77619164,3861.95278548,15686.90834822
buritirana,5333.30166091,1058.07500126,4275.22665965,1062.43211405,4270.86954686
cachoeira grande,2244.20491858,264.11118304,1980.09373554,268.55446686,1975.65045171
cajapio,3587.12297917,529.96109859,3057.16188058,534.55658901,3052.56639017
cajari,4865.57788094,794.79965197,4070.77822897,807.7563876,4057.82149334
campestre do maranhao,4877.99063786,2721.63959185,2156.35104601,2727.53261533,2150.45802253
candido mendes,6982.34534947,1213.68136997,5768.6639795,1218.868733,5763.47661648
cantanhede,5027.26813687,1157.85577974,3869.41235713,1157.85577974,3869.41235713
capinzal do norte,3093.36109972,728.72570511,2364.63539461,749.13847945,2344.22262026
carolina,9234.44830301,3061.0695693,6173.37873371,3082.54060108,6151.90770193
carutapera,8238.61117026,1964.91704284,6273.69412742,1985.94050797,6252.67066228
caxias,56917.89275955,18486.51852538,38431.37423417,18574.29691206,38343.59584749
cedral,3967.52955915,755.46054872,3212.06901043,773.72276288,3193.80679627
central do maranhao,3067.45777059,678.5949018,2388.86286879,678.5949018,2388.86286879
centro do guilherme,3710.34961936,609.86702682,3100.48259254,609.86702682,3100.48259254
centro novo do maranhao,4899.47023106,1631.60096408,3267.86926698,1636.47072055,3262.99951052
chapadinha,22650.64976176,6076.5837013,16574.06606046,6099.30603886,16551.3437229
cidelandia,5132.27752679,1715.38504527,3416.89248152,1721.09838574,3411.17914105
codo,40844.54697918,11964.62502732,28879.92195186,11974.83308058,28869.7138986
coelho neto,14147.91564319,4920.30590029,9227.6097429,4942.48438297,9205.43126022
colinas,14420.34748304,3269.85531332,11150.49216972,3287.64421959,11132.70326346
conceicao do lago-acu,5524.23329301,1440.0715372,4084.16175581,1480.28787485,4043.94541815
coroata,19498.10821611,4030.80460986,15467.30360625,4043.12200458,15454.98621153
cururupu,12212.61884535,3316.11031691,8896.50852844,3324.99281217,8887.62603319
davinopolis,4180.59012179,1550.17214823,2630.41797356,1555.79535025,2624.79477154
dom pedro,7999.18208049,1441.44995338,6557.73212711,1458.63899841,6540.54308208
duque bacelar,2615.83702477,612.02940626,2003.80761851,612.02940626,2003.80761851
esperantinopolis,6459.97392375,1088.37567224,5371.59825151,1113.43834007,5346.53558368
estreito,14351.85851103,7586.87609848,6764.98241255,7586.87609848,6764.98241255
feira nova do maranhao,2757.571578,448.31680319,2309.25477481,448.31680319,2309.25477481
fernando falcao,2886.45807753,290.15505736,2596.30302017,290.15505736,2596.30302017
formosa da serra negra,5040.26352293,745.9024768,4294.36104613,745.9024768,4294.36104613
fortaleza dos nogueiras,3796.39492869,1289.99084625,2506.40408244,1289.99084625,2506.40408244
fortuna,4884.8447146,1347.26179638,3537.58291822,1347.26179638,3537.58291822
godofredo viana,4265.05554432,1065.36995773,3199.68558659,1071.38616296,3193.66938135
goncalves dias,5275.63044182,1031.58534087,4244.04510095,1040.11747549,4235.51296633
governador archer,3480.84966488,788.34397523,2692.50568965,788.34397523,2692.50568965
governador edison lobao,6024.7584137,2275.08382387,3749.67458983,2275.08382387,3749.67458983
governador eugenio barros,5674.67956457,1267.50091423,4407.17865034,1273.49968246,4401.17988212
governador luiz rocha,2435.83415939,485.9158097,1949.91834969,485.9158097,1949.91834969
governador newton bello,3697.9162516,641.0275411,3056.8887105,641.0275411,3056.8887105
governador nunes freire,9007.21961298,1571.80910288,7435.4105101,1571.80910288,7435.4105101
graca aranha,1812.15090766,289.78733443,1522.36357323,289.78733443,1522.36357323
grajau,22435.58019704,6173.43450097,16262.14569607,6194.88448675,16240.69571029
guimaraes,4447.73503289,1549.16666945,2898.56836344,1554.23633795,2893.49869494
humberto de campos,6280.29787326,1044.07836055,5236.21951271,1044.07836055,5236.21951271
icatu,6271.01052557,949.75744845,5321.25307712,949.75744845,5321.25307712
igarape do meio,4423.12226231,1085.03872232,3338.08353999,1090.52943548,3332.59282683
igarape grande,5094.76075701,993.12042029,4101.64033672,1021.99073691,4072.77002012
imperatriz,109621.75004272,55495.01974453,54126.73029819,55625.78125911,53995.9687836
itaipava do grajau,4342.95789037,578.41319181,3764.54469856,583.39878512,3759.55910524
itapecuru mirim,19776.11483221,5290.90998176,14485.20485045,5309.06561858,14467.04921363
itinga do maranhao,9342.10157034,2952.13536957,6389.96620077,2952.13536957,6389.96620077
jatoba,2765.22964682,556.98747625,2208.24217057,556.98747625,2208.24217057
jenipapo dos vieiras,4913.22769689,788.82865314,4124.39904375,788.82865314,4124.39904375
joao lisboa,6819.45656304,2333.58110281,4485.87546023,2385.74461717,4433.71194585
joselandia,4912.45602035,1323.34922644,3589.10679391,1341.9712624,3570.48475795
junco do maranhao,1553.93202711,451.22041442,1102.71161269,451.22041442,1102.71161269
lago da pedra,15443.08261909,3238.17374863,12204.90887046,3238.17374863,12204.90887046
lago do junco,3735.15935378,1106.28918241,2628.87017137,1106.28918241,2628.87017137
lago dos rodrigues,3036.3313674,681.10578515,2355.22558225,681.10578515,2355.22558225
lago verde,6047.30865187,1451.61188644,4595.69676543,1451.61188644,4595.69676543
lagoa do mato,4199.69962449,1026.25260788,3173.44701661,1026.25260788,3173.44701661
lagoa grande do maranhao,3508.05023379,898.36100099,2609.6892328,909.23639613,2598.81383766
lajeado novo,2168.51688997,506.20107134,1662.31581863,508.96446369,1659.55242628
lima campos,4716.99077162,1086.35587798,3630.63489364,1090.61505366,3626.37571795
loreto,3155.33930031,834.3703357,2320.96896461,834.3703357,2320.96896461
luis domingues,2004.81986629,469.339518,1535.48034829,469.339518,1535.48034829
magalhaes de almeida,5818.89728606,1030.63135577,4788.26593029,1042.75726838,4776.14001768
maracacume,6027.73847077,1310.50707005,4717.23140072,1326.0737923,4701.66467847
maraja do sena,1857.96113463,153.36955397,1704.59158066,153.36955397,1704.59158066
maranhaozinho,4581.76159547,628.21124189,3953.55035358,628.21124189,3953.55035358
mata roma,3287.90405987,920.61622127,2367.2878386,920.61622127,2367.2878386
matinha,7903.06020096,2139.60268329,5763.45751767,2139.60268329,5763.45751767
matoes,9548.42851322,2285.60012187,7262.82839135,2295.42423731,7253.00427592
matoes do norte,3702.19224656,630.12061665,3072.07162991,630.12061665,3072.07162991
milagres do maranhao,2729.06424737,450.7407942,2278.32345317,450.7407942,2278.32345317
mirador,4895.35343222,785.72123153,4109.63220069,797.1263487,4098.22708352
miranda do norte,8205.26407749,2411.95323109,5793.3108464,2414.82180075,5790.44227674
mirinzal,5743.18469462,1573.09648834,4170.08820628,1593.21546736,4149.96922726
moncao,11065.14414703,2164.64191746,8900.50222957,2219.35964379,8845.78450324
montes altos,2716.9394932,532.19208414,2184.74740906,532.19208414,2184.74740906
morros,6370.49478317,904.07014459,5466.42463858,909.37667412,5461.11810905
nina rodrigues,3088.09600976,599.29702371,2488.79898605,599.29702371,2488.79898605
nova colinas,1210.25542444,347.92819031,862.32723413,347.92819031,862.32723413
nova iorque,1720.59124683,429.40222829,1291.18901854,432.07225351,1288.51899332
nova olinda do maranhao,6484.96924042,1175.94326569,5309.02597473,1175.94326569,5309.02597473
olho d'agua das cunhas,6301.92532497,1576.40722682,4725.51809815,1582.03151537,4719.8938096
olinda nova do maranhao,3704.18540505,892.48747407,2811.69793098,892.48747407,2811.69793098
paco do lumiar,42511.44238472,22165.92158042,20345.5208043,22165.92158042,20345.5208043
palmeirandia,7453.61816652,1144.43956957,6309.17859695,1154.83142585,6298.78674067
paraibano,6677.69125763,1937.89047825,4739.80077938,1937.89047825,4739.80077938
parnarama,10336.9043271,2688.553006,7648.3513211,2688.553006,7648.3513211
passagem franca,5173.97528504,1048.02380585,4125.95147919,1048.02380585,4125.95147919
pastos bons,6934.57662194,1072.3825245,5862.19409744,1079.36489496,5855.21172697
paulino neves,5751.75267212,1002.82630934,4748.92636278,1019.88209464,4731.87057748
paulo ramos,6540.89065111,1737.28329215,4803.60735896,1749.4200741,4791.47057703
pedreiras,15544.42123068,5661.5665645,9882.85466618,5666.39245895,9878.02877173
pedro do rosario,8565.1390073,1214.56734008,7350.57166722,1264.90631802,7300.23268928
penalva,12097.04085266,2858.62324321,9238.41760945,2899.2396223,9197.80123035
peri mirim,4083.65470374,934.7207861,3148.93391764,934.7207861,3148.93391764
peritoro,3424.59303374,878.81315679,2545.77987695,878.81315679,2545.77987695
pindare-mirim,11852.23550455,3573.45566512,8278.77983943,3625.19343527,8227.0420693
pinheiro,30974.99823889,9810.5073898,21164.49084909,9886.63934178,21088.35889713
pio xii,7650.61411649,1710.64477757,5939.96933892,1710.64477757,5939.96933892
pirapemas,4833.70571177,1291.00782639,3542.69788538,1296.13321279,3537.57249897
pocao de pedras,7491.91212118,2167.64795789,5324.26416329,2167.64795789,5324.26416329
porto franco,8927.35837806,3692.08135238,5235.27702568,3692.08135238,5235.27702568
porto rico do maranhao,2287.07341361,837.17119046,1449.90222315,847.32929475,1439.74411887
presidente dutra,18436.90581091,5410.07638007,13026.82943084,5419.6004503,13017.30536062
presidente juscelino,2661.81048418,568.6748226,2093.13566158,568.6748226,2093.13566158
presidente medici,1791.60689806,484.01032327,1307.59657479,486.86413819,1304.74275988
presidente sarney,6163.09062561,1070.18983664,5092.90078897,1070.18983664,5092.90078897
presidente vargas,3497.35048004,469.05261994,3028.2978601,469.05261994,3028.2978601
primeira cruz,3659.9861626,879.54054188,2780.44562072,879.54054188,2780.44562072
raposa,9222.78952922,2627.78347551,6595.00605371,2627.78347551,6595.00605371
riachao,6396.77668679,1045.59767254,5351.17901425,1045.59767254,5351.17901425
ribamar fiquene,1981.12269514,864.08379203,1117.03890311,864.08379203,1117.03890311
rosario,14328.56550432,4878.96474129,9449.60076303,4899.19918975,9429.36631457
sambaiba,2025.92121185,579.54580777,1446.37540408,579.54580777,1446.37540408
santa filomena do maranhao,1602.97475998,280.01788671,1322.95687327,280.01788671,1322.95687327
santa helena,14725.97137742,3408.37132092,11317.6000565,3433.19273666,11292.77864076
santa ines,29361.29053134,11946.55324949,17414.73728185,11966.39712561,17394.89340573
santa luzia,24162.44537066,4368.12891851,19794.31645215,4368.12891851,19794.31645215
santa luzia do parua,9251.0920735,2461.8781838,6789.2138897,2525.62258725,6725.46948626
santa quiteria do maranhao,9799.7307681,1951.48990996,7848.24085814,1951.48990996,7848.24085814
santa rita,11057.75233368,2892.33504746,8165.41728622,2897.77398269,8159.97835099
santana do maranhao,1583.06793789,331.06485616,1252.00308173,331.06485616,1252.00308173
santo amaro do maranhao,5034.98186905,1040.55612106,3994.42574799,1060.27872519,3974.70314384
santo antonio dos lopes,4917.52782381,1081.77608109,3835.75174272,1081.77608109,3835.75174272
sao benedito do rio preto,4122.13492768,718.87114288,3403.2637848,724.86159574,3397.27333194
sao bento,14226.33478169,2720.83953107,11505.49525062,2731.81173234,11494.52304934
sao bernardo,8442.39157393,1361.53241498,7080.85915895,1361.53241498,7080.85915895
sao domingos do azeitao,1843.42975893,479.00388903,1364.4258699,479.00388903,1364.4258699
sao domingos do maranhao,11942.89789114,2447.27216598,9495.62572516,2447.27216598,9495.62572516
sao felix de balsas,1307.39829893,285.10925781,1022.28904112,285.10925781,1022.28904112
sao francisco do brejao,3155.27939364,934.74663795,2220.53275569,934.74663795,2220.53275569
sao francisco do maranhao,4512.97703367,678.85879199,3834.11824168,689.37299408,3823.6040396
sao joao batista,4801.94770564,781.97996018,4019.96774546,781.97996018,4019.96774546
sao joao do caru,4186.34368244,759.60103829,3426.74264415,759.60103829,3426.74264415
sao joao do paraiso,3952.20355135,863.63325644,3088.57029491,874.60651801,3077.59703334
sao joao do soter,5924.85312937,1258.55863092,4666.29449845,1262.91951955,4661.93360982
sao joao dos patos,10970.4850485,2727.22605438,8243.25899412,2738.07589039,8232.40915811
sao jose de ribamar,62968.4057362,31578.69102685,31389.71470935,31623.74429523,31344.66144098
sao jose dos basilios,2543.36548736,697.414938,1845.95054936,697.414938,1845.95054936
sao luis,442152.10024863,260857.50611964,181294.59412899,261368.91528392,180783.18496472
sao luis gonzaga do maranhao,6436.44264905,1447.00160975,4989.4410393,1447.00160975,4989.4410393
sao mateus do maranhao,13019.86582588,3841.03068027,9178.83514561,3859.43713812,9160.42868776
sao pedro da agua branca,3834.49640742,1280.49471573,2554.00169169,1284.2293845,2550.26702292
sao pedro dos crentes,1526.71111276,491.78630055,1034.92481221,491.78630055,1034.92481221
sao raimundo das mangabeiras,6344.99117832,1811.26876156,4533.72241676,1811.26876156,4533.72241676
sao raimundo do doca bezerra,1874.52164015,393.35086344,1481.17077671,393.35086344,1481.17077671
sao roberto,1594.82510776,364.09610905,1230.72899871,364.09610905,1230.72899871
sao vicente ferrer,6082.8369529,1236.31993822,4846.51701468,1236.31993822,4846.51701468
satubinha,3928.51427925,507.70710201,3420.80717724,507.70710201,3420.80717724
senador alexandre costa,3487.21156741,869.31819525,2617.89337216,869.31819525,2617.89337216
