city,total,regular,military_and_gov,irregular,entrepreneur,employers
acailandia,995.85,895.36,1266.93,541.81,1076.58,6171.05
afonso cunha,547.68,693.57,660.03,473.91,534.43,-
agua doce do maranhao,510.47,719.71,731.58,435.1,345.6,1798.77
alcantara,536.57,709.88,1043.27,501.38,273.13,510
aldeias altas,521.63,642.36,845.92,335.25,331.57,6141.94
altamira do maranhao,485.58,671.51,661.28,418.61,340.29,951.23
alto alegre do maranhao,422.78,819.99,622.56,381.68,354.22,-
alto alegre do pindare,444.68,609.26,807.69,454.93,334.55,600
alto parnaiba,1846.83,814.22,716.76,534.46,2821.37,26405.92
amapa do maranhao,503,706.33,751.69,426.89,444.42,10000
amarante do maranhao,604.83,958.35,861.83,413.81,678.11,2560.44
anajatuba,493.16,954.48,954.54,485.99,290.13,200
anapurus,475.77,603.62,821.26,369.8,333.59,2314.6
apicum-acu,415.85,725.59,742.51,387.05,325.83,1412.44
araguana,429.03,1263.11,624.66,415.37,319.16,307.15
araioses,453.05,780.15,777.25,386.6,367.87,291
arame,904.13,706.46,961.5,427.24,1339.44,2331.97
arari,680.23,1009.64,957.06,422.74,563.73,3456.9
axixa,448.53,795.75,950.92,451.83,304.02,656.76
bacabal,761.18,821.45,1483.83,473.56,847.53,2643.25
bacabeira,621.29,841.21,983.33,410.92,506.77,694.06
bacuri,446.13,692.07,1129.32,337.05,305.97,6373.81
bacurituba,402.04,682.11,700.24,340.83,195.82,-
balsas,1090.07,1025.87,1321.69,566.1,1342.74,6048.9
barao de grajau,637.04,832.64,970.22,531.91,456.42,1405.76
barra do corda,709.7,804.06,1101.88,422.11,657.31,5932.64
barreirinhas,596.86,850.43,971.72,486.09,495.2,1584.91
bela vista do maranhao,441.4,672.74,726.7,395.18,373.65,-
belagua,441.09,600.09,787.61,467.93,282.91,1484.9
benedito leite,689.57,819.12,817.17,476.9,500.19,2797.91
bequimao,472.75,781.95,896.57,487.77,302.75,-
bernardo do mearim,422.74,627.73,1080.97,372.84,304.17,1500
boa vista do gurupi,515.99,576.13,874.43,402.17,462.01,3000
bom jardim,508.32,777.23,967.22,425.85,436.32,1429.52
bom jesus das selvas,794.49,709.44,822.75,591.18,1065.36,400.38
bom lugar,352.61,703.39,979.56,315.57,244.66,-
brejo,582.93,635.71,1062.14,470.48,406.27,6985.7
brejo de areia,418.26,780.58,601.63,374.12,378.74,-
buriti,521.03,949.18,784.56,315.99,434.54,4849.67
buriti bravo,520.18,686.21,1152.79,415.99,461.71,1673.75
buriticupu,616.22,662.66,1449.47,456.18,568.91,3340.95
buritirana,491.16,660.89,651.01,406.77,408.51,2317.39
cachoeira grande,311.83,649.24,788.19,440.2,212.08,510
cajapio,383.23,744.77,778.32,442.22,183.61,1304.9
cajari,366.89,638.32,614.1,446.17,271.38,712.16
campestre do maranhao,750.26,768.44,806.61,546.95,762.67,5356.2
candido mendes,489.1,718.2,1097.95,463.98,369.98,1256.6
cantanhede,535.61,1011.46,822.12,425.71,390.3,500
capinzal do norte,550.14,759.12,896.27,447.08,443.28,-
carolina,735.81,866.61,1187.78,518.09,788.49,1089.77
carutapera,460.42,690.51,704.3,414.66,413.66,1003.6
caxias,650.99,823.23,1141.78,457.48,516.24,3333.12
cedral,378.33,992.03,1140.4,311.01,231.31,1388.11
central do maranhao,358.02,610.9,674.69,497.07,211.19,923.16
centro do guilherme,565.9,899.24,590.66,467.93,633.79,2030.57
centro novo do maranhao,595.26,841.16,760.15,568.04,415.4,-
chapadinha,661.92,856.66,1369.11,439.79,500.62,3482.38
cidelandia,602.72,671.34,806.96,414.22,616.72,1773.12
codo,605.88,804.33,1488.7,462.54,439.19,3008.77
coelho neto,593,695.87,911.7,426.67,536.29,4733.53
colinas,662.02,827.01,932.25,437.84,557.89,5950.75
conceicao do lago-acu,313.72,642.4,763.54,428,222.81,1341.19
coroata,544.45,820.2,922.11,513.26,440.62,3028.18
cururupu,476.96,815.96,929.09,507.35,312.89,1722.25
davinopolis,559.57,662.98,936.08,464.46,428.72,2017.89
dom pedro,612.76,843.58,991.61,452.17,680.75,3121.24
duque bacelar,564.35,656.31,732.49,443.29,635.21,2500
esperantinopolis,565.61,918.39,1120.2,399.42,542.16,2998.03
estreito,1080.25,1222.64,1107.01,629.75,1110.86,4451.24
feira nova do maranhao,686.62,1405.26,903.24,545.6,546.59,3689.16
fernando falcao,336.31,508.62,652.84,364.37,195.59,-
formosa da serra negra,554.78,651.7,1468.55,367.74,393.73,610.3
fortaleza dos nogueiras,707.78,899.08,984.22,569.57,624.28,-
fortuna,578.27,909.69,1078,326.6,464.15,4000
godofredo viana,558.15,1303.32,699.06,419.65,310.09,2223.93
goncalves dias,518.26,922.65,1014.92,414.36,384.34,868.33
governador archer,484.32,758.66,986.58,496.58,335.1,-
governador edison lobao,655.79,716.85,1050.72,520.72,610.98,4999.8
governador eugenio barros,571.9,785.35,888.48,365.46,449.3,3451.35
governador luiz rocha,446.05,699.91,932.12,313.64,279.09,510
governador newton bello,379.98,589.25,629.65,460.76,263.69,-
governador nunes freire,575.83,841.64,810.99,528.49,554.97,1108.16
graca aranha,436.3,696.17,873.76,452.24,287.22,648.96
grajau,847.92,710.95,994.65,516.44,931.26,9257.43
guimaraes,341.81,624.46,928.81,348.61,223.68,603.61
humberto de campos,369.23,862.16,751.92,393.39,232.21,575.28
icatu,403.68,774.03,697.98,416.55,263.23,3276.19
igarape do meio,505.62,739.18,1026.79,419.08,335.41,619.17
igarape grande,467.04,741.75,1062.88,385.1,301.91,4143.47
imperatriz,1089.07,939.76,2222.03,669.56,1210.85,5297.74
itaipava do grajau,415.83,661.64,736.28,393.39,306.73,443.95
itapecuru mirim,542.29,764.96,888.38,439.89,462.45,1026.16
itinga do maranhao,733.99,727.15,1363.9,506.6,812.19,2095.32
jatoba,470.85,699.01,742.23,337.33,399.24,1724.35
jenipapo dos vieiras,499.93,609.18,546.98,403.38,482.87,8000
joao lisboa,643.68,745.87,980.17,464.1,704.61,2151.32
joselandia,517.59,838.83,1027.14,439.43,391.5,3258.25
junco do maranhao,570.56,683.44,739.99,451.62,504.26,2607.76
lago da pedra,540.34,727.81,1061.92,410.12,472.87,2383.11
lago do junco,446.23,697.08,919.05,400.73,355.16,50
lago dos rodrigues,427.56,609.12,736.58,468.43,334.66,213.18
lago verde,394.61,820.01,855.82,315.48,260.8,-
lagoa do mato,465.19,731.57,788.13,419.43,211.46,2500.92
lagoa grande do maranhao,440.89,563.8,847.91,410.1,326.12,-
lajeado novo,690.37,623.81,712.31,435.86,616.56,10508.07
lima campos,523.57,734.23,995.73,388.19,380.72,8855.5
loreto,560.96,785.7,859.88,348.21,512.18,1000
luis domingues,564.5,796.29,846.64,490.01,521.33,493.24
magalhaes de almeida,534.05,808.81,784.34,425.63,423.87,3981.09
maracacume,543.58,682.31,767.3,404.64,582.69,2357.04
maraja do sena,443.15,865.14,997.3,575.93,241.5,150
maranhaozinho,503.98,904.82,652.06,447.8,483.57,-
mata roma,477.03,772.35,745.08,403.95,349.21,1000
matinha,446.6,650.25,794.7,432.8,360.42,-
matoes,458.24,652.39,811.46,374.11,344.62,-
matoes do norte,492.27,744.76,809.98,456.29,404.97,900
milagres do maranhao,324.59,622.92,596.33,504.56,194.88,-
mirador,538.77,898.91,1224.98,471.59,349.49,1319.82
miranda do norte,610.25,716.58,824.18,509.98,569.46,1123.47
mirinzal,442.31,769.55,861.42,436.56,334.21,780.36
moncao,370.82,678.86,788.75,396.03,284.1,1013.54
montes altos,538.86,776.86,901.84,440.78,477.86,3818.49
morros,452.11,652.29,974.51,503.8,329.3,2500
nina rodrigues,527.77,1147.64,882.48,394.09,320.96,1434.5
nova colinas,576.55,765.48,779.4,491.61,441.53,515.43
nova iorque,535.33,807.63,833.63,374.15,359.65,5085.15
nova olinda do maranhao,482.67,809.56,610.88,443.07,418.15,1949.3
olho d'agua das cunhas,537.86,990.76,943.91,421.95,400.2,1895.02
olinda nova do maranhao,488.64,969.01,823.18,374.99,358.27,-
paco do lumiar,879.42,904.68,1614.38,586.76,842.51,3887.87
palmeirandia,374.12,716.22,1119.71,388.35,203.95,1660.62
paraibano,677.03,1051.44,1147.45,370.72,611.59,1839.75
parnarama,492.15,765.5,738.28,392.7,288.42,1260.36
passagem franca,487.31,762.47,828.42,454.93,381.61,350
pastos bons,486.11,749.45,1083.22,341.77,410.27,3802.32
paulino neves,439.08,740.47,692.37,522.2,321.93,1150
paulo ramos,580.94,733.51,921.29,374.65,530.48,4159.62
pedreiras,865.34,849.96,1306.04,562.62,567.73,12888.76
