city,total,main_regular,main_irregular,other_regular,other_irregular
acorizal,1700.21124513,503.2384341,1196.97281103,503.2384341,1196.97281103
agua boa,9671.99672904,5236.23707674,4435.7596523,5248.68890319,4423.30782585
alta floresta,24046.57852638,13777.80210018,10268.7764262,13790.28853698,10256.2899894
alto araguaia,7892.32653338,4707.21222351,3185.11430987,4707.21222351,3185.11430987
alto boa vista,2031.12050872,831.79075491,1199.32975381,834.75752892,1196.3629798
alto garcas,5007.37314661,2925.75500385,2081.61814276,2930.42248478,2076.95066183
alto paraguai,3245.79195799,1967.95888729,1277.8330707,1967.95888729,1277.8330707
alto taquari,4211.29992383,3166.1144393,1045.18548453,3170.00929074,1041.29063309
apiacas,4486.39161328,1775.27930206,2711.11231122,1780.47921556,2705.91239772
araguaiana,1425.65971468,847.82249463,577.83722005,847.82249463,577.83722005
araguainha,484.20062043,307.69383199,176.50678844,307.69383199,176.50678844
araputanga,7290.5141869,4204.70903175,3085.80515515,4204.70903175,3085.80515515
arenapolis,4990.40194109,2006.35322989,2984.0487112,2006.35322989,2984.0487112
aripuana,6886.61876082,3426.6170981,3460.00166272,3426.6170981,3460.00166272
barao de melgaco,2446.7070928,1520.00366745,926.70342535,1523.48486517,923.22222763
barra do bugres,14274.51484888,8807.6564735,5466.85837538,8824.28986209,5450.22498679
barra do garcas,24019.30764665,13176.43579648,10842.87185017,13197.21539613,10822.09225051
bom jesus do araguaia,2483.836864,861.98043074,1621.85643326,861.98043074,1621.85643326
brasnorte,7858.8125968,4153.20390326,3705.60869354,4153.20390326,3705.60869354
caceres,36979.82212239,20532.82884784,16446.99327455,20555.6791239,16424.1429985
campinapolis,4384.29395109,1116.92519279,3267.3687583,1116.92519279,3267.3687583
campo novo do parecis,13727.05369868,10252.57472085,3474.47897783,10261.7633949,3465.29030378
campo verde,16557.25270001,10401.9759714,6155.27672861,10413.88456783,6143.36813217
campos de julio,2595.18232896,1617.80951914,977.37280982,1626.54489298,968.63743598
canabrava do norte,2091.22403425,592.15752195,1499.0665123,592.15752195,1499.0665123
canarana,9188.20815006,4697.0248778,4491.18327226,4697.0248778,4491.18327226
carlinda,5334.46988833,1865.06200319,3469.40788514,1877.95910889,3456.51077944
castanheira,3966.29548178,1160.60962866,2805.68585312,1166.70743705,2799.58804473
chapada dos guimaraes,7788.92046056,3480.42034982,4308.50011074,3491.25516568,4297.66529489
claudia,5424.25349431,2935.06002166,2489.19347265,2947.75650979,2476.49698452
cocalinho,2630.32343305,1222.39224545,1407.9311876,1226.53121171,1403.79222134
colider,15694.92175986,8111.61821391,7583.30354595,8155.1885258,7539.73323406
colniza,12967.76456144,3479.70966609,9488.05489535,3488.90041326,9478.86414818
comodoro,7964.14067728,4088.45175771,3875.68891957,4093.96440804,3870.17626924
confresa,10390.33637809,3598.97724778,6791.35913031,3606.94370689,6783.39267121
conquista d'oeste,1605.23489543,979.46735835,625.76753708,979.46735835,625.76753708
cotriguacu,6802.71700392,2212.1820481,4590.53495582,2223.73625042,4578.9807535
cuiaba,282228.30970573,189819.2478996,92409.06180613,190194.30182275,92034.00788299
curvelandia,2119.91167389,898.18286342,1221.72881047,898.18286342,1221.72881047
denise,3811.69684027,2361.09242622,1450.60441405,2366.0065543,1445.69028597
diamantino,10765.96608057,5846.99311514,4918.97296543,5852.10327209,4913.86280848
dom aquino,3396.02904929,1871.41475405,1524.61429524,1875.98462747,1520.04442182
feliz natal,5184.95186081,2480.65397666,2704.29788415,2480.65397666,2704.29788415
figueiropolis d'oeste,1756.35305143,821.6450465,934.70800493,824.08338476,932.26966668
gaucha do norte,2118.10351905,979.44824235,1138.6552767,979.44824235,1138.6552767
general carneiro,1915.6282294,894.69867078,1020.92955862,894.69867078,1020.92955862
gloria d'oeste,1380.58171704,621.02210566,759.55961138,627.77397726,752.80773977
guaranta do norte,16303.19016615,6960.40731178,9342.78285437,6979.0413614,9324.14880476
guiratinga,6129.06867632,2936.56298095,3192.50569537,2941.42187121,3187.64680511
indiavai,905.44252371,380.83254286,524.60998085,380.83254286,524.60998085
ipiranga do norte,2743.41315191,1552.76756172,1190.64559019,1552.76756172,1190.64559019
itanhanga,2450.62377828,944.400294,1506.22348428,946.93737618,1503.6864021
itauba,2061.78582514,1057.90698614,1003.878839,1057.90698614,1003.878839
itiquira,4927.24219986,3584.10413932,1343.13806054,3600.35727547,1326.88492439
