city,total,regular,military_and_gov,irregular,entrepreneur,employers
acorizal,711.32,830.39,947.87,619.6,680.32,1102.99
agua boa,1117.55,1004.52,1558.35,679.11,1493.12,4958.85
alta floresta,1142.3,964.95,1459.27,732,1448.34,3264.6
alto araguaia,1128.45,1147.85,1652.31,578.79,1145.01,2337.31
alto boa vista,939.27,905.3,1215.18,480.5,1224.33,1750.6
alto garcas,1153.5,1114.88,1198.25,607.83,1479.01,5104.03
alto paraguai,835.39,871.32,1108.08,533.87,720.94,2303.4
alto taquari,1279.98,1108.62,1291.41,915.19,2173.39,4056.25
apiacas,912.96,960.83,1176.43,747.43,909.4,2535.88
araguaiana,951.4,958.03,1095.13,679.48,1237.67,2000
araguainha,774.14,821.31,849.82,564.76,1073.89,-
araputanga,1160.48,1029.47,1522.58,734.56,1538.29,5236.5
arenapolis,907.62,851.85,1616.68,546.73,1263.2,1622.88
aripuana,1271.93,1140.47,1328.95,802.36,1623.03,11063.61
barao de melgaco,756.86,1102.26,1074.59,535.21,637.3,974.11
barra do bugres,1079.96,999.37,1602.75,564.72,1478.65,4913.37
barra do garcas,1389.41,1120.45,2222.59,763.67,1400.38,6875.5
bom jesus do araguaia,979.03,1030.31,1655.59,584.02,984.5,1400
brasnorte,1144.78,1019.6,1292.28,702.18,1523.03,3807.03
caceres,1070.86,872.02,2271.86,649.09,1178.3,3748.57
campinapolis,1007.46,986.48,1071.49,543.52,1413.27,3900.59
campo novo do parecis,1429.69,1316.1,2190.48,852.09,1712.54,4212.85
campo verde,1494,1386.57,2009.78,813.95,1927.16,3251.77
campos de julio,2046.98,1379.89,1233.02,1433.6,3437.66,9807.78
canabrava do norte,849.02,786.78,921.01,672.62,1191.32,1210.08
canarana,1387.59,1052.61,1429.5,747.9,2451.17,5392.95
carlinda,798.96,860.78,979.64,526.69,891.2,1949.52
castanheira,956.07,794.15,1043.99,563.68,815.43,15015.31
chapada dos guimaraes,978.7,891.79,1674.97,635,1103.27,3469.28
claudia,1152.97,874.91,1065.16,795.75,1201.01,8823.33
cocalinho,902.23,894.87,1111.97,623.27,1291.81,3334.4
colider,1287.86,974.78,1836.12,597.38,1532.86,12177.28
colniza,877.84,868.13,1187.17,695.92,919.6,2223.44
comodoro,1081.89,936.52,1331.09,717.12,1461.28,2990.4
confresa,1039.63,960.37,1352.14,655.01,1321.4,3146.14
conquista d'oeste,1204.27,1303.8,1448.93,763.37,1172.18,3332.02
cotriguacu,907.9,869.86,1956.26,721.43,834.33,3318.59
cuiaba,1697.45,1277.31,3506.2,919.76,1928.81,7025.63
curvelandia,889.34,788.57,1091.67,613.13,1061.49,3049.22
denise,1047.27,1152.47,1227.47,527.46,1374.61,1423.95
diamantino,1200.59,1146.08,1524.33,763.2,1426.15,3343.4
dom aquino,1016.61,830.45,1567.19,677.21,1045.86,6040.78
feliz natal,1033.78,1019.95,1252.66,826.92,1157.47,2393.1
figueiropolis d'oeste,865.52,935.85,1019.43,508.49,1082.26,3477.48
gaucha do norte,1238.98,974.2,1140.63,721.22,1919.24,2194.68
general carneiro,1003.18,974.31,1193.72,726.53,1318.96,2852.2
gloria d'oeste,898.65,766.87,1313.67,470.05,1175.39,3486.21
guaranta do norte,1122.28,928.99,1095.74,700.88,1624.62,3015.88
guiratinga,953.65,881.03,1236.87,557.08,1356.38,4084.97
indiavai,988.85,845.29,1044.93,1009.49,2025.21,-
ipiranga do norte,1417.52,1167.05,1252.6,699.56,2254.01,3272.52
