city,total,main_regular,main_irregular,other_regular,other_irregular
agua clara,7115.51859803,4567.2617058,2548.25689223,4567.2617058,2548.25689223
alcinopolis,2398.80354124,1146.82562049,1251.97792075,1146.82562049,1251.97792075
amambai,15052.86238665,7773.67869686,7279.18368979,7794.84787077,7258.01451587
anastacio,10818.21149632,5578.71526217,5239.49623415,5588.19507692,5230.01641941
anaurilandia,3609.23084089,2142.52768063,1466.70316026,2146.99821235,1462.23262853
angelica,4466.40497821,2706.11559678,1760.28938143,2711.1420134,1755.2629648
antonio joao,3512.30724903,1248.7381114,2263.56913763,1248.7381114,2263.56913763
aparecida do taboado,10771.04931575,7227.95846793,3543.09084782,7227.95846793,3543.09084782
aquidauana,18620.96766363,9875.98774299,8744.97992064,9875.98774299,8744.97992064
aral moreira,4319.83460352,1648.88460905,2670.94999447,1648.88460905,2670.94999447
bandeirantes,3097.25244433,1651.22909605,1446.02334828,1651.22909605,1446.02334828
bataguassu,9707.47855311,6497.65463732,3209.82391579,6501.7395595,3205.73899362
bataypora,4891.94916778,2969.58831916,1922.36084862,2974.4146279,1917.53453987
bela vista,10499.75080273,4537.28614123,5962.4646615,4546.83673073,5952.91407199
bodoquena,3673.18482587,1704.0863889,1969.09843697,1721.71230023,1951.47252565
bonito,9988.21793334,5316.18411548,4672.03381786,5320.90937052,4667.30856282
brasilandia,5918.70350995,3728.59259322,2190.11091673,3740.01242682,2178.69108313
caarapo,11690.38654635,6610.16787028,5080.21867607,6610.16787028,5080.21867607
camapua,6607.77416888,3427.89982048,3179.8743484,3432.11387186,3175.66029703
campo grande,407144.59365222,262140.87794516,145003.71570706,262699.302955,144445.29069722
caracol,2465.71350458,1187.4265554,1278.28694918,1187.4265554,1278.28694918
cassilandia,10309.6512267,5883.62742689,4426.02379981,5883.62742689,4426.02379981
chapadao do sul,10752.28262366,7050.7390934,3701.54353026,7060.50621417,3691.77640949
corguinho,2270.80884754,1032.1412501,1238.66759744,1032.1412501,1238.66759744
coronel sapucaia,5006.3501163,1745.24299235,3261.10712395,1749.66556983,3256.68454646
corumba,44513.0861437,24912.3195471,19600.7665966,24961.94970503,19551.13643867
costa rica,10156.99118285,5758.22001101,4398.77117184,5777.04257097,4379.94861188
coxim,15665.94360842,9321.27303156,6344.67057686,9331.09144683,6334.85216159
deodapolis,5567.8570978,3444.29290862,2123.56418918,3451.19366222,2116.66343558
dois irmaos do buriti,3738.92228777,1871.61661839,1867.30566938,1877.09490328,1861.82738449
douradina,2388.31875606,1219.72392986,1168.5948262,1219.72392986,1168.5948262
dourados,96332.87169775,65630.21794952,30702.65374823,65705.46035318,30627.41134457
eldorado,5313.51524804,2579.28797966,2734.22726838,2579.28797966,2734.22726838
fatima do sul,8963.76522355,5053.72268655,3910.042537,5065.16232177,3898.60290178
figueirao,1419.63283081,711.71795683,707.91487398,711.71795683,707.91487398
gloria de dourados,4681.80129174,2246.66276543,2435.13852631,2270.46455516,2411.33673659
guia lopes da laguna,4148.63412522,1807.04222742,2341.5918978,1807.04222742,2341.5918978
iguatemi,6360.21912582,3210.75562352,3149.4635023,3215.54657206,3144.67255376
inocencia,3694.46528804,2158.39991115,1536.06537689,2160.32074601,1534.14454203
itapora,8703.57459755,4915.93237955,3787.642218,4919.29955989,3784.27503767
itaquirai,8040.6775442,3283.38870597,4757.28883823,3305.42635255,4735.25119166
ivinhema,11161.04136044,6180.37798519,4980.66337525,6188.13909072,4972.90226972
japora,2130.48843035,871.80308765,1258.6853427,874.91244605,1255.5759843
jaraguari,3504.46964034,1456.85104436,2047.61859598,1459.76149407,2044.70814627
jardim,11053.81040965,5558.51572042,5495.29468923,5558.51572042,5495.29468923
jatei,1743.43123864,1158.08862061,585.34261803,1158.08862061,585.34261803
juti,2140.42273597,1108.4462744,1031.97646157,1108.4462744,1031.97646157
ladario,7218.15012497,4538.17263921,2679.97748576,4548.30033768,2669.8497873
laguna carapa,2864.31498698,1611.25611356,1253.05887342,1614.49408255,1249.82090444
maracaju,18081.53695945,12009.65179072,6071.88516873,12009.65179072,6071.88516873
miranda,9920.79229316,4945.34426156,4975.4480316,4945.34426156,4975.4480316
mundo novo,7846.44488535,3731.40691251,4115.03797284,3747.91231335,4098.53257201
navirai,22493.75326514,14482.0233479,8011.72991724,14501.01280922,7992.74045592
nioaque,6375.1338834,2874.68095524,3500.45292816,2888.6162902,3486.5175932
nova alvorada do sul,8078.64997611,5341.34824665,2737.30172946,5354.99242818,2723.65754792
nova andradina,22994.56838763,15087.00293554,7907.56545209,15109.92644801,7884.64193962
novo horizonte do sul,2562.3944164,1368.73493018,1193.65948622,1372.25712278,1190.13729362
paranaiba,20271.23199016,11870.40891239,8400.82307777,11880.11328789,8391.11870226
