city,total,main_regular,main_irregular,other_regular,other_irregular
abadia dos dourados,3318.36718594,1416.27209281,1902.09509313,1416.27209281,1902.09509313
abaete,10887.80424008,6404.68821127,4483.11602881,6425.24378428,4462.5604558
abre campo,6171.9091592,2275.24699807,3896.66216113,2275.24699807,3896.66216113
acaiaca,1298.11975537,683.85314484,614.26661053,683.85314484,614.26661053
acucena,3955.15026998,1583.63388674,2371.51638324,1589.34724535,2365.80302463
agua boa,6855.78578352,1691.17886098,5164.60692254,1701.62872341,5154.15706012
agua comprida,1080.97395432,652.07945107,428.89450325,656.22542221,424.74853211
aguanil,1946.45483041,1031.218912,915.23591841,1031.218912,915.23591841
aguas formosas,8063.10112106,2486.55381526,5576.5473058,2505.29863118,5557.80248987
aguas vermelhas,4476.62774751,1431.88192407,3044.74582344,1431.88192407,3044.74582344
aimores,10841.38390973,5589.6749176,5251.70899213,5589.6749176,5251.70899213
aiuruoca,3172.28063776,1295.23090493,1877.04973283,1301.70244305,1870.57819471
alagoa,1314.39442548,374.52561998,939.8688055,379.70725078,934.68717469
albertina,1689.42111545,696.48389088,992.93722457,696.48389088,992.93722457
alem paraiba,15642.16029041,11303.23766207,4338.92262834,11314.97286429,4327.18742612
alfenas,35917.18236785,25045.30022084,10871.88214701,25128.89657428,10788.28579356
alfredo vasconcelos,2593.63965263,1559.88772223,1033.7519304,1563.42778529,1030.21186734
almenara,16323.12295237,6372.19890884,9950.92404353,6382.84005804,9940.28289433
alpercata,2561.45374497,1297.31311298,1264.14063199,1297.31311298,1264.14063199
alpinopolis,8958.02855279,4304.07991132,4653.94864147,4309.80023016,4648.22832262
alterosa,6711.26605194,3258.84691375,3452.41913819,3272.55382072,3438.71223122
alto caparao,2982.20920212,1026.89470029,1955.31450183,1043.72125454,1938.48794757
alto jequitiba,4340.86412411,2006.75253518,2334.11158893,2006.75253518,2334.11158893
alto rio doce,4989.39644923,1676.86892811,3312.52752112,1683.54115998,3305.85528925
alvarenga,1453.08653911,387.26723202,1065.81930709,387.26723202,1065.81930709
alvinopolis,6521.0888054,3715.07634252,2806.01246288,3715.07634252,2806.01246288
alvorada de minas,1135.56768554,261.67663391,873.89105163,261.67663391,873.89105163
amparo do serra,2030.94980749,809.42401108,1221.52579641,809.42401108,1221.52579641
andradas,21209.48650502,11843.01480526,9366.47169976,11872.00718622,9337.47931879
andrelandia,5352.50619527,2847.73660671,2504.76958856,2852.34626379,2500.15993147
angelandia,3866.60508367,1359.77562533,2506.82945834,1359.77562533,2506.82945834
antonio carlos,4475.54275454,2801.98254394,1673.5602106,2801.98254394,1673.5602106
antonio dias,3320.12658998,1954.19356822,1365.93302176,1958.51991686,1361.60667312
antonio prado de minas,743.68440396,439.64977062,304.03463334,439.64977062,304.03463334
aracai,1009.76953713,668.16961168,341.59992545,677.61445193,332.1550852
aracitaba,682.67327593,336.67308494,346.00019099,341.26878931,341.40448662
aracuai,14294.74539958,6684.13440395,7610.61099563,6692.388343,7602.35705657
araguari,54892.45412535,34617.97702759,20274.47709776,34663.58651727,20228.86760807
arantina,1001.40408813,682.0451175,319.35897063,682.0451175,319.35897063
araponga,4064.04658356,707.85486681,3356.19171675,716.01060006,3348.03598348
arapora,2698.98324089,2068.58359969,630.3996412,2068.58359969,630.3996412
arapua,1427.57205508,668.00963508,759.56242,670.06520525,757.50684983
araujos,4605.99654589,2532.81382434,2073.18272155,2539.61158331,2066.38496258
araxa,48072.88282639,36308.00349636,11764.87933003,36349.1376044,11723.745222
arceburgo,4729.49557143,3802.81980612,926.67576531,3802.81980612,926.67576531
arcos,17923.45307271,12823.52014396,5099.93292875,12823.52014396,5099.93292875
areado,6718.38133969,4372.69827317,2345.68306652,4372.69827317,2345.68306652
argirita,1303.15546323,649.92446953,653.2309937,653.40384814,649.75161509
aricanduva,2122.91970717,426.21290147,1696.7068057,426.21290147,1696.7068057
arinos,7301.24712434,2605.69178036,4695.55534398,2617.32478878,4683.92233556
astolfo dutra,6486.88004346,4257.33172076,2229.5483227,4266.08440404,2220.79563942
ataleia,6078.45593607,1339.3233967,4739.13253937,1339.3233967,4739.13253937
augusto de lima,2146.3599106,995.12384546,1151.23606514,995.12384546,1151.23606514
baependi,8426.52636589,4602.25067992,3824.27568597,4611.14637494,3815.37999093
baldim,3353.13583359,1586.11095279,1767.0248808,1586.11095279,1767.0248808
bambui,11820.50983955,7042.0099081,4778.49993145,7054.11102182,4766.39881772
bandeira,1891.96138548,586.70470183,1305.25668365,586.70470183,1305.25668365
bandeira do sul,2969.1232495,1831.62120752,1137.50204198,1831.62120752,1137.50204198
barao de cocais,12060.71435042,8514.00934309,3546.70500733,8514.00934309,3546.70500733
barao de monte alto,1894.19408504,919.17606409,975.01802095,922.09225648,972.10182856
barbacena,52814.80515125,38671.24375865,14143.5613926,38722.13671005,14092.6684412
barra longa,2168.18542921,693.76969614,1474.41573307,693.76969614,1474.41573307
barroso,8162.40671062,5463.80525912,2698.6014515,5473.81980979,2688.58690083
bela vista de minas,3683.0647002,2720.87958625,962.18511395,2720.87958625,962.18511395
belmiro braga,1491.9369261,829.07156286,662.86536324,829.07156286,662.86536324
belo horizonte,1237107.10166378,944899.94887064,292207.15279314,946432.1802049,290674.92145891
belo oriente,9061.94087975,6199.61718072,2862.32369903,6211.88852139,2850.05235836
belo vale,3081.75680732,1728.00681776,1353.74998956,1728.00681776,1353.74998956
berilo,4699.99744446,2209.55868658,2490.43875788,2214.35467913,2485.64276533
berizal,1648.77854928,647.16936789,1001.60918139,647.16936789,1001.60918139
bertopolis,1822.47054017,441.73175151,1380.73878866,441.73175151,1380.73878866
betim,182017.196324,133645.37486248,48371.82146152,133707.25040702,48309.94591699
bias fortes,1934.34627002,713.54877334,1220.79749668,719.80199227,1214.54427776
bicas,5509.53744603,3644.96039819,1864.57704784,3644.96039819,1864.57704784
biquinhas,1122.04062226,486.45406011,635.58656215,490.50417482,631.53644744
boa esperanca,17688.33368125,11505.32551657,6183.00816468,11514.35898081,6173.97470044
bocaina de minas,2585.01694407,862.73197561,1722.28496846,862.73197561,1722.28496846
bocaiuva,20229.97037106,10989.50058583,9240.46978523,11008.58855533,9221.38181574
bom despacho,23375.45070134,16155.53212686,7219.91857448,16188.58812398,7186.86257736
bom jardim de minas,2727.23325361,1443.64255338,1283.59070023,1446.68089117,1280.55236244
bom jesus da penha,2106.198319,757.02677783,1349.17154117,760.04012357,1346.15819544
bom jesus do amparo,2575.62759951,1398.97264172,1176.65495779,1398.97264172,1176.65495779
bom jesus do galho,5390.07292223,2376.67170462,3013.40121761,2381.51155771,3008.56136452
bom repouso,5444.09553943,1335.74675675,4108.34878268,1335.74675675,4108.34878268
bom sucesso,7739.72189373,4661.88200383,3077.8398899,4667.2559808,3072.46591293
bonfim,2851.78369404,1090.44383112,1761.33986292,1093.30082114,1758.4828729
bonfinopolis de minas,2466.8400051,1086.64095295,1380.19905215,1086.64095295,1380.19905215
bonito de minas,3399.6948476,754.50554541,2645.18930219,763.61868994,2636.07615766
borda da mata,8717.31218687,4636.84542678,4080.46676009,4651.82991645,4065.48227041
botelhos,7592.70456095,4287.61866773,3305.08589322,4297.42930443,3295.27525652
botumirim,2485.17796644,941.96587294,1543.2120935,941.96587294,1543.2120935
bras pires,1642.30266539,538.39121593,1103.91144946,538.39121593,1103.91144946
brasilandia de minas,6394.92113144,3775.877477,2619.04365444,3775.877477,2619.04365444
brasilia de minas,12957.65125839,4363.23086509,8594.4203933,4373.78160844,8583.86964995
brasopolis,6725.92280803,3451.50822143,3274.4145866,3451.50822143,3274.4145866
braunas,1898.80240748,727.66054339,1171.14186409,727.66054339,1171.14186409
brumadinho,16725.58739059,10875.4758554,5850.11153519,10887.43484908,5838.15254151
bueno brandao,5982.88304387,1708.67942136,4274.20362251,1715.88236914,4267.00067473
buenopolis,4460.20747843,2270.59872227,2189.60875616,2270.59872227,2189.60875616
bugre,1371.02656774,690.28677658,680.73979116,690.28677658,680.73979116
buritis,10254.83968958,4047.64275352,6207.19693606,4056.86815643,6197.97153315
buritizeiro,11121.91153768,6511.55166795,4610.35986973,6520.5200324,4601.39150529
cabeceira grande,2811.8214562,1358.22917497,1453.59228123,1365.03210083,1446.78935536
cabo verde,7432.41245258,4496.58280492,2935.82964766,4496.58280492,2935.82964766
cachoeira da prata,1724.63898471,1095.10831242,629.53067229,1095.10831242,629.53067229
cachoeira de minas,5112.21423901,2519.09886276,2593.11537625,2519.09886276,2593.11537625
cachoeira de pajeu,3223.38214092,978.09840127,2245.28373965,978.09840127,2245.28373965
cachoeira dourada,1205.78055577,876.42107091,329.35948486,876.42107091,329.35948486
caetanopolis,4782.08812713,3091.0942632,1690.99386393,3091.0942632,1690.99386393
caete,17511.94161117,12701.33342196,4810.60818921,12704.65170252,4807.28990865
caiana,2425.54424187,1168.79876112,1256.74548075,1171.30955005,1254.23469181
cajuri,1720.02018327,740.42125175,979.59893152,740.42125175,979.59893152
caldas,7045.59985064,2918.96335341,4126.63649723,2923.6774778,4121.92237285
camacho,1430.16794737,480.79066574,949.37728163,484.40289518,945.76505218
camanducaia,10997.92255928,5462.32178652,5535.60077276,5462.32178652,5535.60077276
cambui,13747.21806072,8849.35789783,4897.86016289,8863.69420346,4883.52385725
cambuquira,6085.98798429,3622.6459119,2463.34207239,3622.6459119,2463.34207239
campanario,1299.24986234,568.14940228,731.10046006,570.7925276,728.45733474
campanha,7794.0357263,4289.9736347,3504.0620916,4299.27109871,3494.76462758
campestre,11654.82529608,4342.65954481,7312.16575127,4342.65954481,7312.16575127
campina verde,9089.65062232,4685.64050995,4404.01011237,4699.20538086,4390.44524146
campo azul,1616.39402211,430.41395106,1185.98007105,430.41395106,1185.98007105
campo belo,24988.21723347,16326.09873161,8662.11850186,16335.77730144,8652.43993203
campo do meio,5519.58492875,3183.4721211,2336.11280765,3201.26265534,2318.32227343
campo florido,3365.17948016,2259.6601914,1105.51928876,2266.1629539,1099.01652627
campos altos,7297.01197635,4243.54965942,3053.46231693,4248.46747612,3048.54450023
campos gerais,14135.52820844,6298.26053428,7837.26767416,6298.26053428,7837.26767416
cana verde,2572.51660136,1385.41335046,1187.1032509,1388.53835396,1183.97824739
canaa,2249.54201588,696.95063452,1552.59138136,696.95063452,1552.59138136
canapolis,5664.49803616,3587.32933661,2077.16869955,3587.32933661,2077.16869955
candeias,7572.71798589,3754.36561024,3818.35237565,3763.63381414,3809.08417175
cantagalo,1650.06903851,647.56253878,1002.50649973,647.56253878,1002.50649973
caparao,2478.63940107,991.30856004,1487.33084103,991.30856004,1487.33084103
capela nova,2090.07534868,631.27849519,1458.79685349,631.27849519,1458.79685349
capelinha,16426.87191868,7012.28069505,9414.59122363,7035.21780891,9391.65410977
capetinga,3396.45853291,1873.43856527,1523.01996764,1876.54122461,1519.91730831
capim branco,3957.44836421,2788.71873188,1168.72963233,2788.71873188,1168.72963233
capinopolis,7127.80266976,4844.85988449,2282.94278527,4844.85988449,2282.94278527
capitao andrade,1921.26583824,655.70690022,1265.55893802,655.70690022,1265.55893802
capitao eneas,4855.10480759,2405.67427986,2449.43052773,2411.04578731,2444.05902028
capitolio,4473.33740809,2569.57329515,1903.76411294,2573.6307841,1899.70662399
caputira,3938.96043066,1213.98962556,2724.9708051,1213.98962556,2724.9708051
carai,8294.53592226,2111.49592469,6183.03999757,2120.46026424,6174.07565802
caranaiba,1253.7720533,609.29743768,644.47461562,609.29743768,644.47461562
carandai,9887.72393624,5985.47650639,3902.24742985,5985.47650639,3902.24742985
carangola,15596.40621311,8832.56053196,6763.84568115,8832.56053196,6763.84568115
caratinga,35998.44673882,22077.94055028,13920.50618854,22106.64075083,13891.80598801
carbonita,4198.70608241,1959.69159389,2239.01448852,1959.69159389,2239.01448852
careacu,2844.37120964,1802.76817768,1041.60303196,1802.76817768,1041.60303196
carlos chagas,7315.49950667,3889.62286714,3425.87663953,3889.62286714,3425.87663953
carmesia,1019.35305842,486.65438315,532.69867527,486.65438315,532.69867527
carmo da cachoeira,5899.42150923,4088.6931082,1810.72840103,4093.52834634,1805.89316289
carmo da mata,5249.12512411,3571.93185274,1677.19327137,3584.94225757,1664.18286654
carmo de minas,6087.03071581,4470.21593161,1616.8147842,4470.21593161,1616.8147842
carmo do cajuru,10253.98709867,6740.89349395,3513.09360472,6760.93240443,3493.05469422
carmo do paranaiba,14043.73032521,7771.59361205,6272.13671316,7786.52984703,6257.20047818
