city,total,regular,military_and_gov,irregular,entrepreneur,employers
abadia dos dourados,984.99,739.06,896.58,598.44,1365.56,4951.16
abaete,917.65,840.26,1125.38,570.39,1457.04,1541.86
abre campo,737.98,845,1128.21,462.31,715.24,2299.28
acaiaca,664.07,775.34,1174.9,472.17,688.29,-
acucena,603.06,750.56,759.41,437.05,561.61,1759.94
agua boa,560.85,671.45,964.26,379.2,584.69,1650.94
agua comprida,968.93,880.44,1743.43,570.71,1374.84,2834.72
aguanil,791.82,670.4,970.68,499.97,1372.51,2602.6
aguas formosas,676.35,746.06,940.53,405.62,698.44,2616.95
aguas vermelhas,616.77,788.43,981.06,476.05,716.35,901.76
aimores,874.7,851.44,2055.82,463.58,849.3,4611.31
aiuruoca,783.02,698.3,1019.6,450.94,987.99,5051.85
alagoa,658.45,750.36,878.41,346.04,697.78,2073.83
albertina,775.57,777.76,1051.9,568.88,894.87,1982.03
alem paraiba,1026.87,930.34,1335.47,601.98,1180.16,3489.87
alfenas,1168.41,945.03,2231.43,669.73,1404.4,4599.34
alfredo vasconcelos,662.62,711.87,1143.32,396.22,599.28,3655.92
almenara,752.64,715.36,1413.67,427.5,1015.26,2381.15
alpercata,758.36,654.97,749.13,503.99,808.62,10491.35
alpinopolis,1012.42,958.73,1274.25,634.91,1460.39,2757.9
alterosa,736.44,712.22,904.83,532.59,848.9,2301.99
alto caparao,702.14,798.66,1012.88,444.33,827.19,1781.08
alto jequitiba,680.28,743.76,1178.02,443.25,830.74,1230.15
alto rio doce,577.66,714.53,902.27,375.39,626.28,936.8
alvarenga,632.84,991.53,755.83,594.5,539.44,442.84
alvinopolis,717.04,740.32,859.42,468.86,869.26,2259.17
alvorada de minas,584.17,595.71,697.71,436.3,597.22,3533.19
amparo do serra,604.63,625.81,772.16,348.53,812.77,1824.76
andradas,977.27,945.03,1338.08,670.94,1131.08,3259.05
andrelandia,835.36,776.78,1357.41,519.16,936.46,3092.72
angelandia,633.3,562.53,722.43,375.94,1292.43,-
antonio carlos,747.94,764.54,1126.3,472.87,777.7,3034.27
antonio dias,769.49,677.54,877.5,536.81,1305.92,2390.35
antonio prado de minas,797.17,864.99,1003.93,538.33,670.5,7340.27
aracai,719.49,679.66,798.72,500.66,1023.16,5000
aracitaba,581.18,661.67,688.44,426.66,560.25,1632.64
aracuai,836.55,765.45,1268.13,395.76,620.36,8514.41
araguari,1173.65,1023.02,1805.38,662.37,1412.65,4258.82
arantina,675.9,662.77,705.15,431.18,956.9,1470.59
araponga,509.16,588.34,1099.82,420.47,439.37,2634.57
arapora,1038.3,1041.94,974.59,653.06,1539.24,1772.58
arapua,1096.6,854.27,762.6,644.51,1683.23,20000
araujos,838.62,766.6,822.95,621.88,1103.96,1865.22
araxa,1297.93,1168.69,1674.94,735.02,1775.01,4233.03
arceburgo,878.52,812.2,885.49,614.99,1181.23,3166.97
arcos,1054.37,951.78,1565.42,665.45,1377.11,5467.88
areado,886.55,804.65,1507.93,610.56,993.25,3253.43
argirita,608.67,611.67,1040.58,444.58,707.46,800
aricanduva,464.82,611.58,748.07,323.11,455.05,-
arinos,701.79,790.25,1061.92,450.76,763.83,3156.7
astolfo dutra,786.99,695.61,917.43,568.28,841.75,5143.18
ataleia,582.75,723.78,1143.88,428.65,651.58,2492.83
augusto de lima,628.57,669.15,933.24,425.17,755.31,1768.7
baependi,763.62,775.05,1258.71,479.29,726.27,2678.62
baldim,685.87,714.61,857.43,416.37,767.05,3126.14
bambui,1073.47,984.17,1929.06,592.95,1443.48,1877.7
bandeira,486.21,624.12,742.03,380.91,478.37,2036.82
bandeira do sul,809.97,737.25,924.04,576.01,1159.12,2422.23
barao de cocais,918.69,1023.77,1275.48,513.34,796.77,1645.93
barao de monte alto,606.94,603.05,828.78,419.57,844.91,3130.8
barbacena,1149.46,968.16,2178.66,663.13,1264.96,3226.36
barra longa,595.2,724.85,782.24,440.66,728.53,-
barroso,886.92,925.4,1148.03,466.89,1014.1,5339.38
bela vista de minas,797.22,833.61,932.62,442.35,837.48,2676.74
belmiro braga,671.27,620.53,839.89,498.21,967.17,1925.51
belo horizonte,1936.32,1587.39,3782.85,1043.01,2246.42,6501.57
belo oriente,846.51,898.93,905.31,622.08,854.14,1540.33
belo vale,852.62,804.25,1115.32,564.87,1073.36,2909.93
berilo,603.69,606.15,880.75,556.17,473.61,3960.34
berizal,502.92,629.31,632.86,418.57,392.01,1934.67
bertopolis,585.06,618.78,770.09,407.2,833.34,1300
betim,1046.15,998.47,2153.89,642.9,1148.58,3040.65
bias fortes,537.85,598.4,662.14,416.4,534.43,707.31
bicas,984.13,814.57,1552.99,611.65,1240.96,3075.38
biquinhas,980.99,772.13,1266.02,505.8,1323.27,-
boa esperanca,868.51,779.66,1247.64,571.77,1250.95,1815.01
bocaina de minas,713.86,823.24,895.83,570.24,831.57,1382.72
bocaiuva,787.21,794.85,1087.06,408.17,884.92,2547.19
bom despacho,1116.96,887.61,1378.81,634.2,1447.38,4122.79
bom jardim de minas,701.22,822.36,715.35,462.04,747.11,1366.12
bom jesus da penha,915.19,823.8,1111.71,610.77,1267.31,1773.99
bom jesus do amparo,729.98,740.06,928.98,529.33,762.82,2249.56
bom jesus do galho,700.84,657.81,1095.41,410.49,898.18,1785.07
bom repouso,673.25,768.31,943.17,487.03,700.32,796.91
bom sucesso,879.22,710.85,1217.06,482.18,1238.09,8113.29
bonfim,744.16,809.28,1477.52,517.35,776.18,2144.49
bonfinopolis de minas,819.18,720.97,1202.63,546.25,964.18,4464.65
bonito de minas,493.56,683.98,764.4,298.15,394.4,1227.08
borda da mata,923.3,828.47,1416.59,602.86,982.59,3584.7
botelhos,962.67,763.86,1029.96,605.21,1448.06,4364.6
botumirim,506.28,607.44,642.83,319.7,456.06,1651.78
bras pires,509.05,691.01,864.65,399.64,412.63,1146.7
