city,total,regular,military_and_gov,irregular,entrepreneur,employers
abaetetuba,644.68,932.6,1213.05,449.2,454.36,3539.95
abel figueiredo,904.28,616.63,853.3,527.57,1373.15,7614.08
acara,458.33,713.7,704.47,458.92,387.47,1165.93
afua,561.46,895.92,973.39,510.83,434.92,4542.56
agua azul do norte,698.01,676.03,1108.5,606.27,831.1,1545.68
alenquer,499.87,851.93,1286.6,448.04,359.18,1835.58
almeirim,1191.08,1700.64,1613.36,788.91,880.14,3071.32
altamira,963.06,949.36,1620.01,616.79,1034.85,3518.65
anajas,600.69,675.83,738.42,398.1,554.06,4230.3
ananindeua,1025.04,1004.57,2255.89,634.4,987.46,4234.14
anapu,675.92,872.36,839.03,563.55,667.46,1159.44
augusto correa,376.47,675.73,894.72,504.82,279.23,-
aurora do para,594.73,847.39,838.59,501.56,520.44,1172.37
aveiro,482.11,779.3,853.82,404.2,344.15,512.6
bagre,446.64,810.14,880.22,494.05,354.06,3000
baiao,509.97,803.91,858.12,460.19,393.56,759.27
bannach,988.16,870.16,924.62,593.32,1190.66,3423.59
barcarena,903.05,1216.25,1106.96,589.2,665.25,2953.01
belem,1386.51,1279.34,3125.96,686.59,1215.47,6640.36
belterra,632.97,919.7,841.51,545.41,515.3,744.48
benevides,766.92,772.37,1465.49,546.15,776.59,3742.38
bom jesus do tocantins,698.91,763.92,940.18,531.7,826.64,2975.3
bonito,445.59,662.79,747.09,406.83,295.96,7575.91
braganca,669.72,1029.73,1425.02,481.73,541.72,3902.57
brasil novo,1017.39,690.86,936.63,545.28,1152.57,10361.93
brejo grande do araguaia,758.02,965.89,857.36,522.02,996.39,716.75
breu branco,700.71,807.27,901.87,513.38,647.24,3716.05
breves,612.57,772.46,1123.25,489.61,482.5,2850.61
bujaru,399.6,945.59,927.15,359.6,311.6,290
cachoeira do arari,566.94,791.16,762.59,420.98,514.23,5712.16
cachoeira do piria,450.06,616.44,887.62,513.38,387.31,341.21
cameta,541.31,852.31,1164.14,507.45,394.17,3603.87
canaa dos carajas,1114.67,1225.48,1079.71,652.41,1190.83,4639.77
capanema,712.5,883.98,1498.04,422.55,678.99,1842.72
capitao poco,564.78,775.53,1214.86,390.3,467.97,16867.1
castanhal,914.88,865.26,1559.08,572.98,990.61,3468.64
chaves,444.28,752.74,618.68,391.87,412.84,1500
colares,501.33,776.87,891.32,395.88,386.08,2706.34
conceicao do araguaia,844.8,881.84,1620.26,510.45,906.86,2674.2
concordia do para,524.37,634.97,814.06,474.82,381.16,3883.78
cumaru do norte,884.59,964.32,1171.28,583.3,957.65,1729.97
curionopolis,799.8,815.62,737,654.69,790.07,7099.9
curralinho,509.03,750.72,950.19,518.86,407.51,3500
curua,527.56,1098.62,876.45,357.35,425.01,400
curuca,506.36,733.52,1402.62,391.54,377.8,2011.86
dom eliseu,803.23,761.92,1245.35,525,945.62,4270.94
eldorado dos carajas,722.88,802.02,1144.86,496.65,948.45,2284.55
faro,530.43,832.86,703.01,467.76,363.07,-
floresta do araguaia,788.71,1049.8,1191.35,467.36,828.72,11146.44
garrafao do norte,478.19,622.68,836.66,396.39,479.71,1806.53
goianesia do para,698.43,746.78,891.58,488.26,987.57,1284.6
gurupa,473.89,746.12,692.01,540.41,420.59,413.18
igarape-acu,605.97,718.67,1414.92,409.93,586.32,2163.84
igarape-miri,433.46,690.78,965.7,332.12,358.79,1505.1
inhangapi,593.96,688.22,1171.3,517.95,470.13,1277.54
ipixuna do para,630.15,779.76,806.84,495.28,654.44,1400.7
irituia,474.53,679.89,802.63,394.53,363.92,6853.93
itaituba,964.37,909.68,1368.06,668.77,963.47,4779.87
itupiranga,688.79,1032.74,874.81,487.51,661.02,2398.5
