city,total,main_regular,main_irregular,other_regular,other_irregular
agua branca,3303.47876592,910.45449779,2393.02426813,916.14992632,2387.32883959
aguiar,2260.00835859,642.75385263,1617.25450596,661.82788731,1598.18047129
alagoa grande,10131.924536,2895.38795584,7236.53658016,2895.38795584,7236.53658016
alagoa nova,7759.35861342,1927.22999298,5832.12862044,1927.22999298,5832.12862044
alagoinha,5109.916265,1928.14594547,3181.77031953,1933.63771925,3176.27854575
alcantil,2010.58430497,417.51564584,1593.06865913,417.51564584,1593.06865913
algodao de jandaira,813.25478642,215.92906821,597.32571821,215.92906821,597.32571821
alhandra,5765.37528237,2242.06968771,3523.30559466,2247.06991066,3518.30537171
amparo,956.63089479,218.93355054,737.69734425,220.92199347,735.70890133
aparecida,2393.04582434,759.28309583,1633.76272851,759.28309583,1633.76272851
aracagi,5818.30784953,1112.33168885,4705.97616068,1127.79211041,4690.51573911
arara,4949.10397507,809.98391091,4139.12006416,828.22054894,4120.88342614
araruna,7385.11860989,1754.12908613,5630.98952376,1770.73596686,5614.38264303
areia,9185.4636112,3136.75176331,6048.71184789,3147.93726506,6037.52634614
areia de baraunas,708.38925794,206.5353593,501.85389864,214.33794705,494.05131089
areial,3137.37845422,656.68269994,2480.69575428,656.68269994,2480.69575428
aroeiras,6836.89757931,1203.48464578,5633.41293353,1209.37086759,5627.52671172
assuncao,1427.84007286,408.58039914,1019.25967372,411.44933656,1016.3907363
baia da traicao,3355.22417746,819.56798719,2535.65619027,822.44552876,2532.7786487
bananeiras,7285.50342286,1806.53137826,5478.9720446,1806.53137826,5478.9720446
barauna,1008.35379883,343.78093778,664.57286105,343.78093778,664.57286105
barra de santa rosa,5353.56211345,1011.58054589,4341.98156756,1016.04994937,4337.51216408
barra de santana,2990.10169644,399.92892971,2590.17276673,404.03698333,2586.06471312
barra de sao miguel,2300.33016561,415.89590803,1884.43425758,415.89590803,1884.43425758
bayeux,37756.09264919,21189.87011184,16566.22253735,21242.89138789,16513.2012613
belem,5551.69919717,1491.96493942,4059.73425775,1502.1024055,4049.59679166
belem do brejo do cruz,2213.51153871,504.79621623,1708.71532248,504.79621623,1708.71532248
bernardino batista,888.08206205,325.75799809,562.32406396,329.06430302,559.01775904
boa ventura,2414.43724239,897.0178844,1517.41935799,899.39484734,1515.04239505
boa vista,2661.11552984,914.27678123,1746.83874861,928.66928541,1732.44624442
bom jesus,874.42813432,289.34066292,585.0874714,289.34066292,585.0874714
bom sucesso,1761.67069613,375.92494675,1385.74574938,375.92494675,1385.74574938
bonito de santa fe,4143.78209832,1090.99991213,3052.78218619,1111.97863773,3031.80346059
boqueirao,8169.52599959,2199.160093,5970.36590659,2257.25794722,5912.26805237
borborema,1745.37331752,454.06792823,1291.30538929,458.62868002,1286.7446375
brejo do cruz,5366.5745598,848.92811543,4517.64644437,853.97322139,4512.60133841
brejo dos santos,1630.56754275,533.73994062,1096.82760213,543.84919236,1086.71835037
caapora,6850.30343063,3654.25285282,3196.05057781,3654.25285282,3196.05057781
cabaceiras,1952.94710668,509.23310212,1443.71400456,509.23310212,1443.71400456
cabedelo,23429.33536567,14959.6948783,8469.64048737,14969.93189641,8459.40346926
cachoeira dos indios,3465.04374788,1120.64016273,2344.40358515,1126.87623637,2338.16751151
cacimba de areia,1330.70300365,442.26379485,888.4392088,442.26379485,888.4392088
cacimba de dentro,6310.16077805,1269.55219733,5040.60858072,1269.55219733,5040.60858072
cacimbas,2477.59007182,516.82328517,1960.76678665,516.82328517,1960.76678665
caicara,2900.24565065,937.35739189,1962.88825876,943.28949107,1956.95615958
cajazeiras,25111.09732149,10388.40230648,14722.69501501,10479.65361067,14631.44371081
cajazeirinhas,733.69339071,230.85589016,502.83750055,230.85589016,502.83750055
caldas brandao,1815.47378399,799.46631922,1016.00746477,802.6307062,1012.84307778
camalau,2596.20858218,440.38001839,2155.82856379,443.36317919,2152.84540299
campina grande,159942.08240625,91325.02566478,68617.05674147,91536.16952345,68405.91288281
capim,1376.655397,702.8063098,673.8490872,702.8063098,673.8490872
caraubas,1637.63273018,443.84135485,1193.79137533,443.84135485,1193.79137533
carrapateira,669.16351578,202.52093042,466.64258536,209.19797259,459.9655432
casserengue,2356.87657726,296.72221009,2060.15436717,296.72221009,2060.15436717
catingueira,1431.78228762,499.84404417,931.93824345,510.15748214,921.62480549
catole do rocha,10845.67142883,4109.44927718,6736.22215165,4117.37201995,6728.29940888
caturite,1886.59334602,593.57089672,1293.0224493,593.57089672,1293.0224493
conceicao,6524.47125457,1464.02080717,5060.4504474,1502.79857502,5021.67267958
condado,2255.48095836,607.40373621,1648.07722215,611.37367835,1644.10728001
conde,7859.4926103,3469.69238047,4389.80022983,3469.69238047,4389.80022983
congo,1773.59348411,516.82545617,1256.76802794,516.82545617,1256.76802794
coremas,6091.41801306,1565.88536235,4525.53265071,1601.88546353,4489.53254955
coxixola,915.58590343,235.08979712,680.49610631,235.08979712,680.49610631
cruz do espirito santo,5114.49169844,2153.7089342,2960.78276424,2162.61359634,2951.8781021
cubati,2601.70730526,683.48305212,1918.22425314,687.70855074,1913.99875453
cuite,8802.08486192,2235.69260936,6566.39225256,2256.30784281,6545.77701911
cuite de mamanguape,1803.17027713,480.32556866,1322.84470847,480.32556866,1322.84470847
cuitegi,2394.2188868,928.57481119,1465.64407561,930.9885461,1463.2303407
curral de cima,1738.27712687,325.47131292,1412.80581395,331.19460997,1407.08251689
curral velho,914.03931641,388.83890245,525.20041396,392.38237167,521.65694474
damiao,2222.11603084,325.60751375,1896.50851709,325.60751375,1896.50851709
desterro,3167.32408272,588.73298485,2578.59109787,592.80602737,2574.51805535
diamante,2085.583476,676.62709576,1408.95638024,679.54022047,1406.04325553
dona ines,3761.52814674,692.05712936,3069.47101738,697.44110395,3064.08704278
duas estradas,1299.45845153,457.81330135,841.64515018,457.81330135,841.64515018
emas,1173.62781261,413.03685851,760.5909541,413.03685851,760.5909541
esperanca,12460.35780712,4088.23644795,8372.12135917,4088.23644795,8372.12135917
fagundes,4557.37111388,853.65341127,3703.71770261,860.28406309,3697.08705079
frei martinho,1255.5944401,348.17217909,907.42226101,348.17217909,907.42226101
gado bravo,2345.81312006,309.16686981,2036.64625025,309.16686981,2036.64625025
guarabira,21296.5344492,10656.65184349,10639.88260571,10687.37881867,10609.15563053
gurinhem,4988.86423382,1989.2347643,2999.62946952,1989.2347643,2999.62946952
gurjao,1540.05194295,451.53510152,1088.51684143,452.53510152,1087.51684143
ibiara,1564.28851102,475.51711415,1088.77139687,479.17333321,1085.1151778
igaracy,2261.62455246,658.69891511,1602.92563735,661.03092121,1600.59363125
imaculada,4328.62308678,1018.58252913,3310.04055765,1026.29961329,3302.32347348
inga,6991.48786825,2238.10280654,4753.38506171,2257.32719608,4734.16067216
itabaiana,9643.77283376,3145.92518911,6497.84764465,3145.92518911,6497.84764465
itaporanga,9268.30708615,3487.42510654,5780.88197961,3487.42510654,5780.88197961
itapororoca,6031.09798867,1411.1149383,4619.98305037,1411.1149383,4619.98305037
itatuba,3182.20312046,1006.42402303,2175.77909743,1006.42402303,2175.77909743
jacarau,5217.22857086,1103.56533289,4113.66323797,1103.56533289,4113.66323797
jerico,2107.66351125,763.87006838,1343.79344287,763.87006838,1343.79344287
joao pessoa,320112.95115294,213944.1137224,106168.83743054,214530.27564648,105582.67550649
joca claudino,911.67518812,346.2719165,565.40327162,346.2719165,565.40327162
juarez tavora,2938.6057462,783.76996833,2154.83577787,783.76996833,2154.83577787
juazeirinho,7605.710857,2106.61039456,5499.10046244,2106.61039456,5499.10046244
junco do serido,2434.91037418,718.79246405,1716.11791013,718.79246405,1716.11791013
juripiranga,2574.4979796,1054.50824043,1519.98973917,1060.12343039,1514.37454921
juru,2787.34866758,935.127995,1852.22067258,941.69098747,1845.6576801
lagoa,1248.95291062,344.48236607,904.47054455,344.48236607,904.47054455
lagoa de dentro,2568.62391006,565.90002629,2002.72388377,568.8420438,1999.78186627
lagoa seca,11517.95452343,3761.09516688,7756.85935655,3770.67972725,7747.27479618
lastro,745.49212205,202.41315868,543.07896337,202.41315868,543.07896337
livramento,3215.9452592,573.48811069,2642.45714851,576.20614465,2639.73911455
logradouro,1572.52037003,550.64588968,1021.87448035,552.95474624,1019.56562379
lucena,3601.86494777,1706.33042419,1895.53452358,1713.95803813,1887.90690962
mae d'agua,1563.34660567,306.76411847,1256.5824872,309.19037826,1254.1562274
malta,1807.68876137,455.71470268,1351.97405869,459.13427418,1348.55448719
mamanguape,13802.06662464,6628.26372315,7173.80290149,6636.43671913,7165.6299055
manaira,3836.5624048,903.62298419,2932.93942061,907.97348077,2928.58892402
marcacao,3108.83674026,708.21593605,2400.62080421,715.14517783,2393.69156244
mari,7162.22831952,2111.91804666,5050.31027286,2127.19185981,5035.03645971
marizopolis,1816.5400419,601.52680889,1215.01323301,601.52680889,1215.01323301
massaranduba,4681.46854064,1569.30267681,3112.16586383,1572.29696137,3109.17157928
mataraca,2074.05056115,1076.28241622,997.76814493,1076.28241622,997.76814493
matinhas,1725.01463974,301.79583181,1423.21880793,304.80612826,1420.20851147
mato grosso,869.70577025,302.04405899,567.66171126,302.04405899,567.66171126
matureia,2358.27926635,557.60837155,1800.6708948,564.90377607,1793.37549028
mogeiro,4131.92558348,1396.3171617,2735.60842178,1400.9383577,2730.98722578
montadas,2440.24731216,436.74643774,2003.50087442,440.48584741,1999.76146475
monte horebe,1632.99209592,521.05246412,1111.9396318,524.19435881,1108.79773711
monteiro,13035.0048878,3226.10282635,9808.90206145,3237.59094764,9797.41394016
mulungu,3010.26033503,1151.13508417,1859.12525086,1151.13508417,1859.12525086
natuba,3792.84898575,640.86385826,3151.98512749,640.86385826,3151.98512749
nazarezinho,2020.54929745,459.03015238,1561.51914507,459.03015238,1561.51914507
nova floresta,4160.63264602,1091.90907343,3068.72357259,1133.42810044,3027.20454559
nova olinda,1846.41648001,650.48210483,1195.93437518,653.75648549,1192.65999453
nova palmeira,2008.72284353,550.34218695,1458.38065658,560.49641812,1448.22642542
olho d'agua,2161.78767746,554.75276433,1607.03491313,557.12183828,1604.66583919
olivedos,879.22726383,306.43146765,572.79579618,306.43146765,572.79579618
ouro velho,1193.47976051,402.67408254,790.80567797,402.67408254,790.80567797
parari,525.4531156,189.71897482,335.73414078,189.71897482,335.73414078
passagem,648.15313228,319.56190504,328.59122724,319.56190504,328.59122724
patos,41489.12601929,17185.96181036,24303.16420893,17249.08344543,24240.04257387
paulista,5091.41018721,716.02759925,4375.38258796,720.75060436,4370.65958285
pedra branca,805.64569863,395.00830753,410.6373911,395.00830753,410.6373911
pedra lavrada,3409.92058228,839.79889567,2570.12168661,839.79889567,2570.12168661
pedras de fogo,9820.31482145,3662.3401887,6157.97463275,3670.71712008,6149.59770138
pedro regis,1690.91315784,543.4360108,1147.47714704,552.80230448,1138.11085335
pianco,5733.76333401,1784.95849659,3948.80483742,1798.68816565,3935.07516835
picui,7214.45662359,2033.28096433,5181.17565926,2033.28096433,5181.17565926
pilar,3719.6623642,1334.62422696,2385.03813724,1334.62422696,2385.03813724
piloes,2746.46205589,743.47242581,2002.98963008,743.47242581,2002.98963008
piloezinhos,2140.71994276,547.09237653,1593.62756623,550.55087344,1590.16906932
pirpirituba,3386.33488129,1230.91306127,2155.42182002,1238.01137364,2148.32350766
pitimbu,6443.2174064,2083.28311781,4359.93428859,2083.28311781,4359.93428859
pocinhos,6642.83662589,1385.5988216,5257.23780429,1385.5988216,5257.23780429
poco dantas,1222.2365038,302.14091831,920.09558549,302.14091831,920.09558549
poco de jose de moura,1547.70413436,534.71099953,1012.99313483,534.71099953,1012.99313483
pombal,11974.0922538,3454.03412993,8520.05812387,3463.32035727,8510.77189653
prata,1611.048633,429.57720803,1181.47142497,432.38303592,1178.66559708
princesa isabel,8745.3221089,2688.99057248,6056.33153642,2700.5700402,6044.7520687
puxinana,6002.78271956,1790.26061754,4212.52210202,1790.26061754,4212.52210202
queimadas,16310.6434693,6688.98482682,9621.65864248,6688.98482682,9621.65864248
quixaba,655.12622571,214.82288055,440.30334516,216.14761279,438.97861293
remigio,6591.68298246,1644.65399709,4947.02898537,1663.81463637,4927.86834609
riachao,784.84995356,358.56111354,426.28884002,358.56111354,426.28884002
riachao do bacamarte,1599.48029703,569.75540382,1029.72489321,569.75540382,1029.72489321
riachao do poco,1866.62023261,319.99758602,1546.62264659,319.99758602,1546.62264659
riacho de santo antonio,767.77450643,214.2586716,553.51583483,218.38931206,549.38519436
riacho dos cavalos,3608.55776796,663.77446297,2944.78330499,663.77446297,2944.78330499
rio tinto,7967.63703657,3434.53018249,4533.10685408,3434.53018249,4533.10685408
salgadinho,1296.09479292,379.17620506,916.91858786,379.17620506,916.91858786
salgado de sao felix,3964.38294681,677.08687591,3287.2960709,677.08687591,3287.2960709
santa cecilia,3447.51140688,468.6140438,2978.89736308,468.6140438,2978.89736308
santa cruz,2149.7230046,662.63075401,1487.09225059,670.00409022,1479.71891438
santa helena,1782.70464106,735.68170536,1047.0229357,735.68170536,1047.0229357
santa ines,1269.98015185,305.86591435,964.1142375,305.86591435,964.1142375
santa luzia,5621.5184247,2324.51764943,3297.00077527,2334.69191652,3286.82650817
santa rita,42470.87929374,23793.46741633,18677.41187741,23839.06559897,18631.81369477
santa teresinha,1256.92932128,417.23520593,839.69411535,417.23520593,839.69411535
santana de mangueira,1426.14120858,441.01719807,985.12401051,441.01719807,985.12401051
santana dos garrotes,2541.7515668,855.36439056,1686.38717624,861.27939413,1680.47217266
santo andre,1442.31344272,249.74447287,1192.56896985,249.74447287,1192.56896985
sao bentinho,1380.54588832,284.93305157,1095.61283675,284.93305157,1095.61283675
sao bento,15049.1528985,2349.13499987,12700.01789863,2369.46052487,12679.69237365
sao domingos,1114.45105063,242.08904648,872.36200415,243.82052588,870.63052475
sao domingos do cariri,1125.52314673,216.54895387,908.97419286,216.54895387,908.97419286
sao francisco,1203.55547502,286.21189928,917.34357574,286.21189928,917.34357574
sao joao do cariri,1766.88118027,492.38101705,1274.50016322,498.46641082,1268.41476945
sao joao do rio do peixe,6988.80796162,1878.15870649,5110.64925513,1883.8493949,5104.95856671
sao joao do tigre,1865.29572311,356.13617729,1509.15954582,357.13617729,1508.15954582
sao jose da lagoa tapada,2518.88984963,551.94801072,1966.94183891,561.03463359,1957.85521604
sao jose de caiana,2140.57757276,858.07919865,1282.49837411,869.91584844,1270.66172431
sao jose de espinharas,1558.27281158,348.94730512,1209.32550646,351.48748364,1206.78532794
sao jose de piranhas,6935.3942657,2366.05466837,4569.33959733,2386.39033322,4549.00393247
sao jose de princesa,1359.75391025,379.03416633,980.71974392,385.24853167,974.50537858
sao jose do bonfim,1000.48181461,274.29129017,726.19052444,277.26995166,723.21186295
sao jose do brejo do cruz,532.86572579,210.80576149,322.0599643,210.80576149,322.0599643
sao jose do sabugi,1686.14792368,410.92296877,1275.22495491,410.92296877,1275.22495491
sao jose dos cordeiros,1720.37270367,245.97582336,1474.39688031,245.97582336,1474.39688031
sao jose dos ramos,1992.24382683,617.51959221,1374.72423462,620.60183351,1371.64199332
sao mamede,2725.56451542,904.49652004,1821.06799538,913.8308377,1811.73367773
sao miguel de taipu,2503.52401272,604.81008013,1898.71393259,604.81008013,1898.71393259
sao sebastiao de lagoa de roca,4909.26480956,1097.42108576,3811.8437238,1103.26440737,3806.00040219
sao sebastiao do umbuzeiro,1622.31554054,380.98899003,1241.32655051,380.98899003,1241.32655051
sape,15636.45542599,5494.35032741,10142.10509858,5508.18350112,10128.27192487
serido,4077.51163681,1073.83012204,3003.68151477,1079.12376028,2998.38787653
serra branca,5378.68890465,1546.04034623,3832.64855842,1549.78838911,3828.90051554
serra da raiz,1268.01519636,449.93025667,818.08493969,449.93025667,818.08493969
serra grande,1184.30022945,273.30268572,910.99754373,283.82886213,900.47136734
serra redonda,2913.8853859,846.80747761,2067.07790829,846.80747761,2067.07790829
serraria,2366.98012105,521.10331018,1845.87681087,524.55530675,1842.42481431
sertaozinho,1577.04884014,556.39324473,1020.65559541,556.39324473,1020.65559541
sobrado,2807.91035248,573.99360582,2233.91674666,573.99360582,2233.91674666
solanea,9510.01347508,2328.95176527,7181.06170981,2337.91816627,7172.09530881
soledade,5559.92541322,1810.8985223,3749.02689092,1823.79048963,3736.13492359
sossego,1325.23379168,362.31786356,962.91592812,362.31786356,962.91592812
sousa,25940.01957772,10064.81311623,15875.20646149,10104.58109265,15835.43848504
sume,6964.51841974,2103.8247931,4860.69362664,2109.39445344,4855.12396631
tacima,2731.41484931,579.67889918,2151.73595013,579.67889918,2151.73595013
taperoa,5820.06597208,1494.44834855,4325.61762353,1494.44834855,4325.61762353
tavares,4770.01834431,1484.40839005,3285.60995426,1489.01969106,3280.99865325
teixeira,5557.71175071,1420.87220428,4136.83954643,1424.83863474,4132.87311597
tenorio,1038.63436387,400.50688192,638.12748195,404.13274276,634.50162111
triunfo,3291.47895909,974.52403302,2316.95492607,994.98385687,2296.49510224
uirauna,5365.26493109,1549.61696743,3815.64796366,1568.772295,3796.49263609
umbuzeiro,4044.20914241,666.62705844,3377.58208397,670.53346224,3373.67568018
varzea,1198.21432143,442.65541128,755.55891015,445.36212835,752.85219308
vieiropolis,1413.72283352,341.34131889,1072.38151463,341.34131889,1072.38151463
vista serrana,1253.31835216,277.91494876,975.4034034,277.91494876,975.4034034
zabele,1003.19182137,174.00391615,829.18790522,174.00391615,829.18790522
