city,total,regular,military_and_gov,irregular,entrepreneur,employers
abatia,699.62,743.58,909.45,428.37,816.67,4670.04
adrianopolis,931.16,840.29,1441.29,631.97,1181.98,3707.15
agudos do sul,821.26,847.82,1459.28,498.23,848.16,2607.19
almirante tamandare,1067.12,989.15,1558.91,748.34,1158.07,6917.58
altamira do parana,875.06,837.86,1399.06,408.26,960.49,12898.34
alto paraiso,1113.06,886.71,894.27,495.32,1391.66,14596.51
alto parana,911.96,919.39,1330.53,641.57,1022.54,2313.59
alto piquiri,809.33,758.31,1698.81,452.71,996.91,2302.01
altonia,814.84,772.98,1665.78,534.34,777.25,2479.57
alvorada do sul,1051.74,955.25,2073.8,599.62,1402.3,2849.14
amapora,742.69,821.12,510,562.38,987.04,862.33
ampere,901.59,820,1506.71,635.76,962.25,2804.48
anahy,791.45,795.47,795.31,633.89,784.27,5723.23
andira,933.27,876.01,1865.33,621.98,1121.32,2714.02
angulo,992.43,788.88,896.47,907.75,1482.05,-
antonina,923.52,944.25,1436.7,586,726.32,5711.5
antonio olinto,703.78,857.97,1006.64,486.46,656.65,1786.23
apucarana,1160.44,994.56,2542.85,682.97,1321.33,3363.62
arapongas,1229.03,1020.28,1750.18,824.7,1513.62,4636.03
arapoti,1393.17,1183.26,1262.88,730.48,1303.48,9971.49
arapua,772.85,826.38,1137.02,370.19,1014.94,1020
araruna,792.33,819.54,1250.72,495.23,919.24,1689.3
araucaria,1292.01,1204.51,2235.31,729.31,1323.79,8993.21
ariranha do ivai,584.19,756.45,1755.24,311.14,507.45,2626.4
assai,1149.74,892.77,2121.59,495.85,1055.94,10070.69
assis chateaubriand,998.09,969.58,1721.36,608.95,1198.26,3849.59
astorga,1205.97,885.22,2004.65,677.39,1429.88,6645.22
atalaia,936.14,864.82,1085.03,539.42,1182.47,3310.02
balsa nova,1031.69,1074.17,1278.06,679.83,1169.39,1310.04
bandeirantes,1008.93,1006.76,2319.14,568.94,1135.51,3074.68
barbosa ferraz,856.54,856.75,1643.37,577.47,891.92,2803.81
barra do jacare,849.1,836.27,1218.31,419.07,1191.08,-
barracao,1105.19,1056.32,2060.66,576.27,1162.65,3146.17
bela vista da caroba,744.25,817.83,883.46,528.35,507.31,8578.78
bela vista do paraiso,993.76,882.97,1705.83,588.12,1209.33,3032.92
bituruna,861.12,885.54,1409.41,538.96,742.34,3774.79
boa esperanca,930.64,994.93,1072.69,394.39,1364.68,2969.59
boa esperanca do iguacu,813.06,766.24,1040.96,469.44,893.34,2600
boa ventura de sao roque,691.73,881.77,865.54,415.38,640.69,4109.52
boa vista da aparecida,843.59,789.45,1275.81,544.81,898.47,3220.76
bocaiuva do sul,889.16,881.21,1681.31,545.04,980.76,2879.17
bom jesus do sul,677.56,805.63,2443.51,458.55,518.72,3291.62
bom sucesso,928.67,809.69,1743.73,533.28,1496.71,3271.94
bom sucesso do sul,1255.57,1081.61,1231.51,646.2,1527.52,5513.04
borrazopolis,840.29,866.96,1755.89,404.92,1081.76,2212.2
braganey,837.2,829.24,2236.96,445.09,1009.47,3781.51
brasilandia do sul,765.11,757.04,1249.81,542.48,832.93,1367.33
cafeara,897.2,853.27,901.07,482.54,1277.46,2000
cafelandia,1075.53,947.9,1207.77,750.37,1447.33,3373.97
cafezal do sul,873.98,880.77,1083.32,600.5,1105.47,3207.8
california,1093.77,919.77,1787.65,581.65,987.47,6844.38
cambara,964.39,918.91,1663.91,623.67,1022.86,2258.82
cambe,1078.18,1004.75,2024.41,719.61,1297.91,3137.42
cambira,978.91,826.33,1662.18,653.05,1351.24,2532.36
campina da lagoa,854.61,789.67,1257.49,465.72,1137.46,2275.46
campina do simao,635.19,786.17,1694.36,433.98,504.29,2471.37
campina grande do sul,1121.17,991.79,2197.17,891.13,1485.79,3361.45
campo bonito,959.24,816.81,1313.66,520.28,1164.28,2295.32
campo do tenente,894.95,822.48,1031.09,562.08,1280.05,7012.71
campo largo,1189.93,1099.04,2093.23,734.95,1309.63,4142.45
campo magro,915.99,892.02,1399.82,747.85,927.48,1896.96
campo mourao,1307.18,1109.7,2450,744.91,1688.15,4342.41
candido de abreu,765.82,880.09,2203.98,382.43,760.56,2817.31
candoi,941.28,960.21,1511.12,470.08,891.9,5093.7
cantagalo,767.92,814.48,1384.69,468.55,663.17,3870.27
capanema,941.08,890.43,1653.25,582.4,923.79,2837.46
capitao leonidas marques,1020.04,938.64,1400.42,552.53,1089.93,3428.24
carambei,1354.93,953.92,1877.7,586.45,2911.94,4009.59
carlopolis,864.21,855.82,2154.17,550.93,984.45,3157.13
cascavel,1468.81,1203.7,2656.46,815.03,1762.67,4558.77
castro,1195.16,999.43,1861.5,529.55,1663.23,6230.85
catanduvas,901.57,732.24,2066.29,507.97,1056.63,2588.95
centenario do sul,875.36,816.25,2004.19,631,1117.27,2355.96
cerro azul,658.65,806.32,1058.15,431.14,579.47,3077.67
ceu azul,1122.03,874.69,1463.7,686.05,1394.13,3757.93
chopinzinho,1194.6,990.1,2087.9,729.29,1530.94,3812.12
cianorte,1146.08,1021.93,1972.15,747.27,1390.07,2587.83
cidade gaucha,1029.16,921.84,1816.37,507.1,1216.69,3679.64
clevelandia,1159.26,876.46,1647.59,541.29,1575.84,5026.34
colombo,1048.88,1005.81,1642.5,718.75,1208.31,3870.62
colorado,1233.99,1061.77,1815.45,626.63,1582.1,5029.16
congonhinhas,783.53,795.48,1089.56,378.84,1012.17,1311.58
conselheiro mairinck,862.03,878.15,1240.04,420.41,1014.81,3856.84
contenda,908.6,950.92,1682.52,645.84,665.13,4991.22
corbelia,1111.49,893.38,1538.07,758.41,1292.38,4201.63
cornelio procopio,1196.35,1059.21,2636.63,760.74,1437.85,3071.36
coronel domingos soares,746.32,749.58,1149.91,649.91,528.64,3452.87
coronel vivida,1030.87,1017.12,1813.31,482.5,1127.61,2905.52
corumbatai do sul,545.26,690.66,1344.2,366.85,699.74,1142.12
cruz machado,640.94,881.19,1300.96,355.38,537.02,4454.27
cruzeiro do iguacu,1086.72,809.89,1130.35,566.02,1653.03,5418.4
cruzeiro do oeste,964.42,919.51,1867.82,641.8,1185.35,4203.93
cruzeiro do sul,831.37,845.29,1045.49,538.28,1003.24,3827.18
cruzmaltina,664.95,750.12,1176.44,420.63,806.69,3392.84
curitiba,2076.62,1749.64,3853.76,1142.27,2228.63,6308.58
curiuva,835.24,892.84,2114.72,493.76,1066.68,1326.03
diamante do norte,937.59,973.34,1142.71,500.85,653.09,6752.85
diamante do sul,634.23,690.45,1001.38,370.9,654.55,4370.39
diamante d'oeste,766.06,745.32,1286.15,402.1,993.12,-
dois vizinhos,1202.64,1042.64,2010.43,642.75,1570.65,3910.55
douradina,1071.42,1174.38,1205.06,612.77,1020.07,4099.11
doutor camargo,931.36,874.01,1781.47,632.06,1057.84,3917.49
doutor ulysses,552.69,700.85,1159.08,450.71,381.56,1500
eneas marques,1611.27,944.01,1518.12,642.27,2817.76,1839.65
engenheiro beltrao,1012.84,901.87,1720.61,600.08,1424.07,3225.79
entre rios do oeste,1312.22,883.52,1669.15,475.79,1552.34,4494.56
esperanca nova,766.1,644.78,892.22,543.62,1025.09,-
espigao alto do iguacu,953.6,806.78,1268.7,627.79,1501.62,-
farol,950.09,802.99,992.67,550.51,1184.95,9276.58
faxinal,969.54,947.47,2325.59,525.09,1163.06,2521.95
fazenda rio grande,1129.82,965.67,1309.51,706.74,1096.04,18854.81
fenix,830.53,828.15,1282.17,469,1015.37,1961.61
fernandes pinheiro,842.37,909.99,936.51,406.56,1000.67,1986.22
figueira,910.61,1020.8,1447.6,490.71,871.74,3905.53
flor da serra do sul,812.57,780.06,1460.96,394.14,901.57,915.68
florai,1056.25,891.39,1459.73,625.5,1413.19,5076.32
floresta,979.68,871.41,1189.22,623.14,1271.67,1894.36
florestopolis,890.48,880.36,1716.7,495.05,1061.02,2779.25
florida,999.79,898,2173.12,764.79,1441.94,4034.95
formosa do oeste,841.27,875.05,1898.69,550.13,809.5,2761.74
foz do iguacu,1360.48,1204.86,2896.48,786.36,1402.42,3903.17
foz do jordao,953.14,988.96,1375.58,449.79,1420.3,13494.03
francisco alves,803.72,780.16,1079.77,509.75,1051.2,1694.69
francisco beltrao,1241.02,1071.62,2161.97,703.32,1427.58,3283.16
general carneiro,849.52,834.37,1689.74,513.02,1012.08,2415.57
godoy moreira,586.49,820.15,1725.22,334.68,490.09,1695.95
goioere,1055.52,974.21,1724.43,620.57,1322.35,4398.35
goioxim,584.06,722.65,889.33,617.44,490.94,-
grandes rios,702.77,1030.97,3498.79,392.34,739.77,555.66
guaira,1320.28,1041.35,2682.12,640.45,1316.32,6048.73
guairaca,978.14,861.37,1322.71,552.96,1998.78,1577.9
guamiranga,811.41,831.34,4947.26,428.45,866.37,3160.18
guapirama,833.42,675.29,1583.35,442.62,996.53,3881.58
guaporema,896.09,779.99,1745.17,589.29,2014.81,-
guaraci,845.84,840.38,995.06,554.26,1012.43,2194.31
guaraniacu,966.06,866.17,1734.92,521.89,1109.22,3937.11
guarapuava,1298.96,1080.66,2309.42,590.83,1359.15,7049.45
guaraquecaba,494.59,762.67,1269.53,334.45,336.87,700
guaratuba,1054.07,1006.26,1407.17,675.61,1120.34,2596.83
honorio serpa,803.67,838.04,1212.51,536.34,795.75,1461.23
ibaiti,1285.53,886.69,1759.94,515.62,2446.17,4318.25
ibema,867.27,802.22,1716.35,529.19,1015.82,1969.18
ibipora,1129.63,1025.92,1784.6,755.55,1289.99,3566.09
icaraima,874.75,971.37,1442.35,484.3,950.45,2699.03
iguaracu,933.32,923.9,1195.06,644.6,1086.21,3091.5
iguatu,850.34,741.85,1209.27,419.6,996.69,3955.32
imbau,840.71,869.7,1297.3,447.02,781.79,4675
imbituva,961.18,900.21,1328.41,522.06,878.92,6316.31
inacio martins,759.72,887.59,1281.81,537.43,584.48,4260.59
inaja,840.67,862.49,726.24,419.58,920.05,4610.24
indianopolis,908.82,894.49,1195.36,569.91,1251.55,1434.12
ipiranga,1048.09,1031.44,1687.4,504.45,930.52,9072.8
ipora,940.03,802.51,1636.48,511.63,1031.65,3418.78
iracema do oeste,733,772.61,1080.68,398.39,836.87,1761.39
irati,1089.28,1041.5,2115.53,567.68,1035.93,5518.62
iretama,957.7,870.92,1480.84,904.77,833.73,7235.92
itaguaje,856.02,832.78,1505,452.6,881.42,3379.25
itaipulandia,1174.03,861.01,1784.28,871.13,1757.96,2608.34
