city,total,main_regular,main_irregular,other_regular,other_irregular
abreu e lima,34990.56953078,21171.77182198,13818.7977088,21226.6046406,13763.96489019
afogados da ingazeira,14261.55015193,4965.94400798,9295.60614395,4991.34490513,9270.20524681
afranio,6574.48050474,1726.70941318,4847.77109156,1736.80550439,4837.67500036
agrestina,8164.4941229,2009.71010279,6154.78402011,2020.52009279,6143.97403012
agua preta,6927.21686142,3454.44847342,3472.768388,3454.44847342,3472.768388
aguas belas,15029.5045249,2505.32631434,12524.17821056,2519.19205878,12510.31246612
alagoinha,5736.73929741,1272.33717952,4464.40211789,1284.19955315,4452.53974426
alianca,9827.80852375,5648.08819341,4179.72033034,5648.08819341,4179.72033034
altinho,8552.15620513,1464.39213899,7087.76406614,1464.39213899,7087.76406614
amaraji,7480.51487551,3014.84321973,4465.67165578,3014.84321973,4465.67165578
angelim,3816.3894287,784.58075586,3031.80867284,789.33433898,3027.05508971
aracoiaba,4931.86460479,2970.22101551,1961.64358928,2970.22101551,1961.64358928
araripina,32174.2196583,9712.77633844,22461.44331986,9761.63315495,22412.58650335
arcoverde,25335.06852271,11528.0962909,13806.97223181,11548.1802737,13786.88824901
barra de guabiraba,3816.46107559,1217.31805319,2599.1430224,1217.31805319,2599.1430224
barreiros,9653.7491845,5015.08481211,4638.66437239,5025.67774982,4628.07143469
belem de maria,3699.74140143,669.00347532,3030.73792611,669.00347532,3030.73792611
belem do sao francisco,8304.21457328,2252.75430878,6051.4602645,2252.75430878,6051.4602645
belo jardim,29084.58464988,11354.63772589,17729.94692399,11354.63772589,17729.94692399
betania,3619.73022848,974.73046706,2644.99976142,980.24544487,2639.48478361
bezerros,22205.07916048,6674.49568421,15530.58347627,6682.06416385,15523.01499662
bodoco,13486.07109757,2730.37142632,10755.69967125,2730.37142632,10755.69967125
bom conselho,17782.14629578,3583.16980604,14198.97648974,3592.02321408,14190.1230817
bom jardim,14128.94831715,3393.83047189,10735.11784526,3393.83047189,10735.11784526
bonito,10897.14832968,3061.63837558,7835.5099541,3061.63837558,7835.5099541
brejao,3374.9217761,664.48796568,2710.43381042,664.48796568,2710.43381042
brejinho,2673.68697316,774.27864176,1899.4083314,777.811622,1895.87535116
brejo da madre de deus,19844.29641279,3759.02455142,16085.27186137,3770.08307986,16074.21333293
buenos aires,4312.49406413,1704.6560786,2607.83798553,1708.67179022,2603.82227391
buique,16820.87255315,2192.60281727,14628.26973588,2192.60281727,14628.26973588
cabo de santo agostinho,67594.47849379,45943.43968078,21651.03881301,45999.9703751,21594.50811871
cabrobo,11584.98404351,2460.3684462,9124.61559731,2460.3684462,9124.61559731
cachoeirinha,7159.66537349,1323.4354427,5836.22993079,1323.4354427,5836.22993079
caetes,10409.09158134,1239.69149772,9169.40008362,1248.09295699,9160.99862435
calcado,5546.14840079,483.86554967,5062.28285112,488.47546598,5057.67293482
calumbi,1854.73506665,499.00392653,1355.73114012,499.00392653,1355.73114012
camaragibe,55269.17431534,34733.31802984,20535.8562855,34748.61528255,20520.55903279
camocim de sao felix,5403.23140337,1421.06330569,3982.16809768,1426.49604038,3976.73536298
camutanga,2789.78434291,1133.68534329,1656.09899962,1139.58754258,1650.19680033
