city,total,main_regular,main_irregular,other_regular,other_irregular
acaua,3015.244629,403.17157076,2612.07305824,403.17157076,2612.07305824
agricolandia,1742.86405359,415.74584564,1327.11820795,415.74584564,1327.11820795
agua branca,5950.51386216,1732.18910852,4218.32475364,1732.18910852,4218.32475364
alagoinha do piaui,1915.49869286,479.85964581,1435.63904705,479.85964581,1435.63904705
alegrete do piaui,1501.95049948,438.20944709,1063.74105239,438.20944709,1063.74105239
alto longa,5356.82770887,949.45786503,4407.36984384,949.45786503,4407.36984384
altos,15414.83095599,4778.40704269,10636.4239133,4778.40704269,10636.4239133
alvorada do gurgueia,1423.75474678,315.64123508,1108.1135117,318.83184599,1104.92290079
amarante,6443.34798981,1748.34310255,4695.00488726,1763.72898049,4679.61900931
angical do piaui,2282.64967048,654.36575791,1628.28391257,659.20003161,1623.44963887
anisio de abreu,3259.68759204,660.06619509,2599.62139695,660.06619509,2599.62139695
antonio almeida,1042.96224387,403.37417863,639.58806524,403.37417863,639.58806524
aroazes,1689.82845152,551.98911862,1137.8393329,562.01618856,1127.81226295
aroeiras do itaim,936.205724,119.60453654,816.60118746,119.60453654,816.60118746
arraial,930.44970164,344.97958084,585.4701208,344.97958084,585.4701208
assuncao do piaui,1156.02068786,388.29013834,767.73054952,388.29013834,767.73054952
avelino lopes,2827.38506241,686.95437748,2140.43068493,686.95437748,2140.43068493
baixa grande do ribeiro,2828.40657951,970.81188918,1857.59469033,970.81188918,1857.59469033
barra d'alcantara,1130.95048925,322.50394386,808.44654539,325.09088581,805.85960344
barras,16780.03327833,4710.35314884,12069.68012949,4752.00057337,12028.03270496
barreiras do piaui,1136.95556038,226.16325385,910.79230653,226.16325385,910.79230653
barro duro,2404.38562988,1012.25325624,1392.13237364,1012.25325624,1392.13237364
batalha,8903.15556032,2210.42728526,6692.72827506,2210.42728526,6692.72827506
bela vista do piaui,1279.95332564,228.71776183,1051.23556381,230.53391409,1049.41941155
belem do piaui,1099.25315566,266.92223435,832.33092131,266.92223435,832.33092131
beneditinos,4255.37757114,798.70342936,3456.67414178,803.13224331,3452.24532784
bertolinia,2232.68140064,555.59050447,1677.09089617,555.59050447,1677.09089617
betania do piaui,2809.30523339,267.44329688,2541.86193651,267.44329688,2541.86193651
boa hora,2651.9084855,529.57665749,2122.33182801,535.65243222,2116.25605329
bocaina,1606.80748406,396.19258933,1210.61489473,400.7856682,1206.02181585
bom jesus,9197.27552257,3195.25309108,6002.02243149,3213.28438106,5983.9911415
bom principio do piaui,1777.68886926,457.99128298,1319.69758628,457.99128298,1319.69758628
bonfim do piaui,2436.53560484,548.51652087,1888.01908397,550.78994942,1885.74565542
boqueirao do piaui,1766.14695926,572.67811547,1193.46884379,572.67811547,1193.46884379
brasileira,2909.28473706,920.18911844,1989.09561862,920.18911844,1989.09561862
brejo do piaui,1734.770325,312.12624042,1422.64408458,312.12624042,1422.64408458
buriti dos lopes,6184.53940818,1599.96468205,4584.57472613,1604.55837349,4579.98103469
buriti dos montes,2536.82583084,563.36698462,1973.45884622,563.36698462,1973.45884622
cabeceiras do piaui,3459.5076511,964.69014696,2494.81750414,964.69014696,2494.81750414
cajazeiras do piaui,1400.79366302,346.2485292,1054.54513382,349.55838055,1051.23528246
cajueiro da praia,2020.50611453,678.58836191,1341.91775262,681.61357197,1338.89254256
caldeirao grande do piaui,2468.73643227,361.63083217,2107.1056001,361.63083217,2107.1056001
campinas do piaui,1716.59899896,327.93712071,1388.66187825,327.93712071,1388.66187825
campo alegre do fidalgo,811.50243303,264.92555562,546.57687741,264.92555562,546.57687741
campo grande do piaui,2125.54823184,489.88685803,1635.66137381,489.88685803,1635.66137381
campo largo do piaui,2481.83690847,368.0777337,2113.75917477,369.93167172,2111.90523675
campo maior,17576.12203512,6747.89286536,10828.22916976,6758.41075535,10817.71127977
canavieira,1192.91509894,190.44295597,1002.47214297,190.44295597,1002.47214297
canto do buriti,6763.42362874,2005.46966505,4757.95396369,2005.46966505,4757.95396369
capitao de campos,3753.75352255,933.0941971,2820.65932545,949.70413845,2804.04938411
capitao gervasio oliveira,1162.67098101,189.31689716,973.35408385,189.31689716,973.35408385
caracol,3194.66457426,740.81182735,2453.85274691,743.69214083,2450.97243342
caraubas do piaui,1172.74902577,167.55104955,1005.19797622,167.55104955,1005.19797622
caridade do piaui,1621.22775332,464.61773329,1156.61002003,464.61773329,1156.61002003
castelo do piaui,6319.99014323,1888.12709591,4431.86304732,1892.18851866,4427.80162457
caxingo,1661.97949467,361.42678849,1300.55270618,361.42678849,1300.55270618
cocal,9735.14669643,1818.34838208,7916.79831435,1818.34838208,7916.79831435
cocal de telha,1362.84505251,431.87859944,930.96645307,431.87859944,930.96645307
cocal dos alves,1690.45906483,417.82874504,1272.63031979,417.82874504,1272.63031979
coivaras,1636.44491671,291.72560697,1344.71930974,295.75559219,1340.68932452
colonia do gurgueia,2343.54639387,534.67301137,1808.8733825,546.08667399,1797.45971987
colonia do piaui,3075.69364567,1056.61546595,2019.07817972,1056.61546595,2019.07817972
conceicao do caninde,1869.61698677,309.48449569,1560.13249108,316.53673409,1553.08025269
coronel jose dias,1524.75369652,328.08255334,1196.67114318,328.08255334,1196.67114318
corrente,9978.99731729,2946.30843276,7032.68888453,2946.30843276,7032.68888453
cristalandia do piaui,2101.65916495,400.90066723,1700.75849772,400.90066723,1700.75849772
cristino castro,4198.97567519,872.25326944,3326.72240575,872.25326944,3326.72240575
curimata,3959.25223813,1112.96335917,2846.28887896,1112.96335917,2846.28887896
currais,1750.13466849,222.34831925,1527.78634924,222.34831925,1527.78634924
curral novo do piaui,2177.20144996,338.57118499,1838.63026497,341.09748326,1836.1039667
curralinhos,1362.84798661,245.09037357,1117.75761304,245.09037357,1117.75761304
demerval lobao,4998.10499061,1772.78776538,3225.31722523,1772.78776538,3225.31722523
dirceu arcoverde,3225.83500344,621.22725047,2604.60775297,621.22725047,2604.60775297
dom expedito lopes,2351.38590307,665.78351023,1685.60239284,665.78351023,1685.60239284
dom inocencio,3986.054248,432.11313503,3553.94111297,437.66707623,3548.38717176
domingos mourao,1171.82307003,242.61892801,929.20414202,242.61892801,929.20414202
elesbao veloso,5274.49285349,1499.58973895,3774.90311454,1499.58973895,3774.90311454
eliseu martins,1565.08164656,467.91792049,1097.16372607,467.91792049,1097.16372607
esperantina,16335.02718093,4550.85592879,11784.17125214,4574.3149052,11760.71227573
fartura do piaui,2170.03731657,368.80227612,1801.23504045,368.80227612,1801.23504045
flores do piaui,1411.83178286,383.19228507,1028.63949779,383.19228507,1028.63949779
floresta do piaui,802.63660294,149.48051281,653.15609013,165.14211051,637.49449243
floriano,25038.71733196,12351.97864426,12686.7386877,12435.1513125,12603.56601946
francinopolis,1259.0777524,394.70344663,864.37430577,401.88582233,857.19193007
francisco ayres,1180.93229068,439.92106967,741.01122101,442.99307709,737.93921359
francisco macedo,958.55208809,315.096208,643.45588009,318.18974654,640.36234155
francisco santos,3705.43624442,772.782301,2932.65394342,783.03303946,2922.40320496
fronteiras,3726.24745653,1169.84353437,2556.40392216,1173.17669606,2553.07076048
geminiano,1995.82375846,477.12144467,1518.70231379,477.12144467,1518.70231379
gilbues,3135.64427275,707.02917197,2428.61510078,711.96494745,2423.6793253
guadalupe,4160.29754434,1887.17196592,2273.12557842,1902.83232078,2257.46522357
guaribas,958.06669592,330.29476762,627.7719283,330.29476762,627.7719283
hugo napoleao,903.88869438,346.75630736,557.13238702,346.75630736,557.13238702
ilha grande,3096.27374424,816.80794611,2279.46579813,832.72692948,2263.54681473
inhuma,6166.93051665,1151.43860308,5015.49191357,1151.43860308,5015.49191357
ipiranga do piaui,3949.60347635,827.21862235,3122.384854,837.91130861,3111.69216774
isaias coelho,2396.61727067,542.09513878,1854.52213189,542.09513878,1854.52213189
itainopolis,4727.33724181,738.97916125,3988.35808056,738.97916125,3988.35808056
itaueira,4294.0495064,1290.42690617,3003.62260023,1324.61774001,2969.43176639
jacobina do piaui,2613.64634351,643.49303687,1970.15330664,643.49303687,1970.15330664
jaicos,7166.04203788,1728.62428322,5437.41775466,1732.6722529,5433.36978498
jardim do mulato,1523.56503114,392.04068359,1131.52434755,392.04068359,1131.52434755
jatoba do piaui,1741.84650807,243.71668292,1498.12982515,246.41191579,1495.43459228
jerumenha,1298.00899102,469.22296013,828.78603089,469.22296013,828.78603089
joao costa,1187.66015158,206.35046352,981.30968806,206.35046352,981.30968806
joaquim pires,3323.22004321,658.24356911,2664.9764741,658.24356911,2664.9764741
joca marques,1417.62303743,309.01426711,1108.60877032,309.01426711,1108.60877032
jose de freitas,13971.10915851,4622.99764204,9348.11151647,4642.07033092,9329.03882758
juazeiro do piaui,1709.09932634,360.81050114,1348.2888252,364.47402713,1344.6252992
julio borges,1584.8565376,352.30789657,1232.54864103,352.30789657,1232.54864103
jurema,1382.7507296,251.0021931,1131.7485365,254.02927542,1128.72145418
lagoa alegre,2940.29378201,701.24817744,2239.04560457,701.24817744,2239.04560457
lagoa de sao francisco,1464.35191283,507.04232596,957.30958687,507.04232596,957.30958687
lagoa do barro do piaui,853.31806858,228.60034328,624.7177253,228.60034328,624.7177253
lagoa do piaui,1388.48441785,464.10086132,924.38355653,466.63497615,921.8494417
lagoa do sitio,1412.30483197,357.6563348,1054.64849717,357.6563348,1054.64849717
lagoinha do piaui,810.09276648,234.75407294,575.33869354,234.75407294,575.33869354
landri sales,1351.45898755,506.8583233,844.60066425,506.8583233,844.60066425
luis correia,9251.68440011,2790.93690273,6460.74749738,2790.93690273,6460.74749738
luzilandia,9260.14513795,2154.29869438,7105.84644357,2184.66105555,7075.48408238
madeiro,2244.12581574,594.06627059,1650.05954515,594.06627059,1650.05954515
manoel emidio,1199.74663069,364.11815209,835.6284786,365.11815209,834.6284786
marcolandia,3495.38297998,491.97463106,3003.40834892,503.04543638,2992.3375436
marcos parente,1464.8390825,528.75154519,936.08753731,528.75154519,936.08753731
massape do piaui,2584.20990263,371.81405155,2212.39585108,396.39451948,2187.81538313
matias olimpio,3626.23941005,792.30210621,2833.93730384,803.59830324,2822.64110681
miguel alves,11483.7281786,2481.8430184,9001.8851602,2491.72138267,8992.00679593
miguel leao,532.85066208,153.97136678,378.8792953,157.44740857,375.4032535
milton brandao,1793.5057499,280.58824376,1512.91750614,280.58824376,1512.91750614
monsenhor gil,3367.749583,1177.15516949,2190.59441351,1177.15516949,2190.59441351
monsenhor hipolito,3464.30946511,736.38841402,2727.92105109,736.38841402,2727.92105109
monte alegre do piaui,3489.25102581,764.095396,2725.15562981,764.095396,2725.15562981
morro cabeca no tempo,1227.23647504,258.23297311,969.00350193,258.23297311,969.00350193
morro do chapeu do piaui,3056.92912168,613.30730846,2443.62181322,616.40661066,2440.52251102
murici dos portelas,2049.27693108,413.92485201,1635.35207907,413.92485201,1635.35207907
nazare do piaui,1911.00214687,578.61034732,1332.39179955,582.17935442,1328.82279245
nazaria,2755.53187425,839.68142484,1915.85044941,839.68142484,1915.85044941
nossa senhora de nazare,1442.77965304,319.86959249,1122.91006055,319.86959249,1122.91006055
nossa senhora dos remedios,3263.30424123,658.50216543,2604.8020758,663.05629356,2600.24794766
nova santa rita,1134.91339671,214.27841341,920.6349833,214.27841341,920.6349833
novo oriente do piaui,2061.4757749,471.64632222,1589.82945268,471.64632222,1589.82945268
novo santo antonio,854.94273837,215.76108835,639.18165002,215.76108835,639.18165002
