city,total,regular,military_and_gov,irregular,entrepreneur,employers
acaua,279.59,657.63,2423.58,332.82,157.28,1839.74
agricolandia,426.23,767.5,906.55,337.92,250.94,-
agua branca,575.4,854.59,1189.91,432.84,458.53,2429.71
alagoinha do piaui,383.63,786.9,1091.31,390.9,273.34,125
alegrete do piaui,586.49,997.58,851.64,447.35,488.78,800
alto longa,600.5,887.26,854.64,405.27,659.25,2101.88
altos,628.96,755.26,1072.02,388.34,550.2,3478.61
alvorada do gurgueia,535.43,987.46,1106.45,314.62,432.53,-
amarante,543.51,779.69,964.1,357.44,423.14,1188.01
angical do piaui,575.64,793.57,1075.61,395.24,544.81,2658.53
anisio de abreu,480.52,786.9,1735.22,388.98,362.44,1105.31
antonio almeida,757.78,693.24,1280.42,481.96,801.6,1020
aroazes,564.53,739.04,1149.99,325.64,546.6,2550.91
aroeiras do itaim,480.25,542.11,642.5,429.44,449.91,-
arraial,583.1,778.73,1154.74,355.93,547.79,-
assuncao do piaui,422.37,607.92,609.81,380.86,215.56,-
avelino lopes,565.72,710.25,820.77,365.49,582.73,225.57
baixa grande do ribeiro,730.25,875.22,802.85,603.03,590.5,3128.82
barra d'alcantara,548.7,762.6,835.7,343.82,481.25,630.38
barras,517.78,792.47,1491.14,379.47,343.8,1672.54
barreiras do piaui,451.53,701.75,-,607.4,313.76,-
barro duro,699.6,841.07,1179.57,380.98,389.89,15314.42
batalha,526.43,794.43,874.43,363.29,380.79,3289.59
bela vista do piaui,666.88,738.11,841.52,303.61,250.22,12064.39
belem do piaui,428.14,588.24,912.84,447.63,273.05,-
beneditinos,421.82,733.06,1944.24,369.54,242.53,510
bertolinia,572.47,866.9,1313.88,381.51,649.9,350
betania do piaui,328.32,764.12,1300,273.89,169.03,483.65
boa hora,479.44,750.5,762.63,319.68,351.15,1686.34
bocaina,525.17,962.38,1012.76,323.42,375.47,12500
bom jesus,1068.76,1135.57,2254.44,477.16,1075.67,5188.36
bom principio do piaui,422.63,703.73,1178.71,257.2,261.8,680.61
bonfim do piaui,401.07,759.13,795.19,366.37,220.68,-
boqueirao do piaui,668.89,1156.99,712.74,263.84,550.35,1796.8
brasileira,593.5,993.15,1042.28,311.65,379.64,1160
brejo do piaui,334.82,595.28,603.75,352.98,269.96,469.8
buriti dos lopes,490.22,904.63,1251.59,391.16,343.49,884.35
buriti dos montes,501.38,895.03,1051.75,356.37,309,700
cabeceiras do piaui,537.8,855.23,882.34,312.53,462.93,-
cajazeiras do piaui,390.51,667.86,759.23,322.3,254.13,-
cajueiro da praia,600.41,753.84,848.2,340.46,622.8,5500
caldeirao grande do piaui,446.06,870.29,1012.85,254.05,423.18,-
campinas do piaui,464.55,800.37,488.91,308.95,497.24,4000
campo alegre do fidalgo,898.43,964.36,2576.55,478.15,538.44,12724.91
campo grande do piaui,409.69,836.38,722.24,345.33,297.26,783.97
campo largo do piaui,294.31,663.51,674.19,283.25,165.68,860.95
campo maior,721.57,895.64,1333.98,468.77,709.84,1675.27
canavieira,493.54,660.91,894.32,453.71,439.49,240.9
canto do buriti,600.08,731.63,994.64,374.79,639.93,4000
capitao de campos,477.61,755.24,913.11,320,407.69,499.19
capitao gervasio oliveira,453.34,670.76,594.01,384.75,266.26,1114.06
caracol,577.06,1010.87,1178.37,397.92,414.45,1583.51
caraubas do piaui,376.93,634.61,717.22,383.27,251.19,-
caridade do piaui,431.23,702.78,843.66,273.58,236.52,649.78
castelo do piaui,541.41,739.05,1197.23,429.57,445.95,800
caxingo,378.74,646.1,470,440.75,197.38,-
cocal,395.3,711.64,1238.13,310.07,317.53,979.6
cocal de telha,563.99,872.38,855.22,372.9,427.74,-
cocal dos alves,487.13,692.54,925.28,351.66,219.44,3000
coivaras,380.89,635.64,728.56,365.1,268.06,1995.77
colonia do gurgueia,557.45,691.31,1047.5,338.73,499.87,5636.12
colonia do piaui,668.71,877.69,783.47,533.01,282.17,6249.36
conceicao do caninde,531.78,762.2,4700,428.31,413.76,1842.42
coronel jose dias,612.49,686.94,1490.13,430.38,373.72,7913.48
corrente,780.05,787.18,1349.52,409.05,778.81,4169.18
cristalandia do piaui,454.84,824.27,905.24,402.26,284.72,-
cristino castro,691.17,1026.64,996.59,352.83,612.88,2987.23
curimata,571.47,747.41,1082.21,367.66,457.9,1880.87
currais,421.36,778.34,635.32,369.07,274.6,156.94
curral novo do piaui,508.12,739.73,686.6,407.38,465.01,-
curralinhos,448.22,689.15,1708.24,399.72,281.85,510
demerval lobao,566.2,688.97,1488.83,368.78,473.37,1937.78
dirceu arcoverde,562.02,716.5,1104.99,399.99,445.56,1325.05
dom expedito lopes,596.37,812.31,843.94,400.75,687.94,1000
dom inocencio,413.68,517.79,889.5,398.97,296.28,-
domingos mourao,497.42,723.48,2287.32,437.91,284.74,-
elesbao veloso,511.19,748.77,988.6,334.88,473.88,6000
eliseu martins,720.54,792.23,1748.75,447.79,519.21,2889.55
esperantina,525.71,806.53,950.04,372.14,449.27,1877.63
fartura do piaui,394.22,603.75,-,389.67,287.14,-
flores do piaui,525.86,706.45,730.78,362.9,495.86,-
floresta do piaui,453.28,720.14,1543,280.63,451.88,-
floriano,943.49,1056.58,1619.23,530.6,791.32,4793.61
francinopolis,539.24,654.09,1622.16,496.93,359.04,50
francisco ayres,578.03,702.43,986.28,387.85,623.67,-
francisco macedo,569.42,882.63,882.28,347.12,363.57,2500
francisco santos,523.98,894.02,1132.46,408.5,425.8,2410.64
fronteiras,755.5,1072.49,1467.56,472.76,590.75,2119.82
geminiano,464.97,653.98,686.41,395.66,355.74,-
gilbues,805.43,1177.74,1072.44,398.59,1009.73,2541.26
guadalupe,821.88,1039.89,1145.15,428.37,910.52,3908.48
guaribas,557.15,673.69,-,588.29,286.98,510
hugo napoleao,640.27,911.42,1220.73,356.73,300.95,-
ilha grande,431.21,662.16,829.27,336.85,323.13,4000
inhuma,474.15,727.43,1241.05,306.35,380.75,656.17
ipiranga do piaui,422.7,661.38,667.13,292.41,403.42,493.93
isaias coelho,855.44,762.61,870.87,1548.61,259.87,510
itainopolis,417.73,677.52,927.9,282.31,335.63,1200
itaueira,577.87,922.97,865.26,287.78,380.47,3563.83
jacobina do piaui,433.09,735.75,691.85,299.78,315.07,40
jaicos,481.26,658.21,1026.1,387.32,361.09,914.89
jardim do mulato,419.1,743.7,1200,317.82,278.49,-
jatoba do piaui,423.88,581.84,686.53,395.82,359.66,-
jerumenha,595.16,742.34,1462.82,442.07,578.7,-
joao costa,472.92,698.79,845.7,364.56,341.08,1500
joaquim pires,501.86,753.53,683.43,333.48,552.33,2500
joca marques,452.74,793.05,300,390.83,327.42,250
jose de freitas,526.97,635.5,1110.02,419.92,344.64,2736.01
juazeiro do piaui,456.47,629.5,781.85,323.59,331.83,3724.89
julio borges,501.29,774.62,706.09,399.85,288.56,500
jurema,464.57,828.83,-,403.09,364.65,-
lagoa alegre,476.73,879.16,809.65,321.09,315.92,969.71
lagoa de sao francisco,519.73,691.83,735.51,266.07,263.05,968.58
lagoa do barro do piaui,665.37,695.27,984.04,454.04,493.55,-
lagoa do piaui,486.33,645.15,644.69,342.95,462.58,510
lagoa do sitio,355.32,679.17,964.69,311.5,262.21,-
lagoinha do piaui,478.33,706.1,804.3,393.68,407,-
landri sales,688.1,954.82,869.07,482.24,584.47,-
luis correia,528.06,674.76,1300.53,360.73,405.24,2758.53
luzilandia,462.57,722.47,1665.48,409.13,355.93,766.81
madeiro,490.54,644.11,1638.72,430.78,271.69,-
